* frequency_hz	amplitude
20.299999	111.680
20.600000	111.659
20.900000	111.629
21.200001	111.597
21.400000	111.577
21.799999	111.541
22.000000	111.525
22.400000	111.494
22.700001	111.471
23.000000	111.447
23.299999	111.422
23.600000	111.397
24.000000	111.363
24.299999	111.337
24.700001	111.301
25.000000	111.273
25.400000	111.234
25.799999	111.193
26.200001	111.154
26.500000	111.127
26.900000	111.093
27.200001	111.068
27.600000	111.032
28.000000	110.993
28.500000	110.940
29.000000	110.890
29.500000	110.844
30.000000	110.799
30.400000	110.760
30.700001	110.729
31.100000	110.686
31.500000	110.643
32.000000	110.593
32.500000	110.546
33.000000	110.497
33.500000	110.446
34.000000	110.394
34.500000	110.343
35.000000	110.292
35.500000	110.241
36.000000	110.190
36.500000	110.140
37.000000	110.091
37.500000	110.042
38.200001	109.972
38.700001	109.921
39.500000	109.840
40.000000	109.789
40.599998	109.728
41.200001	109.670
41.799999	109.612
42.500000	109.541
43.099998	109.479
43.700001	109.420
44.400002	109.355
45.000000	109.298
45.500000	109.247
46.200001	109.175
46.799999	109.115
47.500000	109.047
48.200001	108.978
48.700001	108.930
49.400002	108.863
50.000000	108.807
50.799999	108.733
51.500000	108.669
52.200001	108.602
53.000000	108.522
53.799999	108.448
54.500000	108.389
55.200001	108.324
56.000000	108.244
57.000000	108.149
58.000000	108.051
59.000000	107.968
60.000000	107.888
60.799999	107.810
61.500000	107.744
62.200001	107.686
63.000000	107.621
64.000000	107.533
65.000000	107.445
66.000000	107.362
67.000000	107.278
68.000000	107.195
69.000000	107.111
70.000000	107.029
71.000000	106.951
72.000000	106.867
73.000000	106.786
74.000000	106.705
75.000000	106.623
76.199997	106.531
77.500000	106.432
78.800003	106.334
80.000000	106.242
81.199997	106.147
82.500000	106.056
83.800003	105.961
85.000000	105.862
86.199997	105.778
87.500000	105.690
88.500000	105.618
90.000000	105.516
91.199997	105.435
92.500000	105.346
93.800003	105.260
95.000000	105.175
96.199997	105.096
97.500000	105.007
98.800003	104.921
100.000000	104.845
101.500000	104.753
103.000000	104.656
104.400002	104.565
106.000000	104.470
107.500000	104.379
109.000000	104.289
110.599998	104.197
112.000000	104.111
113.800003	104.009
115.000000	103.938
117.199997	103.815
118.000000	103.768
120.599998	103.633
122.000000	103.546
124.099998	103.429
125.000000	103.384
126.500000	103.294
128.000000	103.234
131.500000	103.047
132.000000	103.014
134.000000	102.926
136.000000	102.808
138.000000	102.704
140.000000	102.617
143.000000	102.468
145.000000	102.381
147.500000	102.261
150.000000	102.135
152.500000	102.032
155.000000	101.905
157.500000	101.805
160.000000	101.689
162.500000	101.576
165.000000	101.453
167.500000	101.340
170.000000	101.239
172.500000	101.127
175.000000	101.045
