* frequency_hz	amplitude
20.299999	104.625366
20.600000	104.649513
20.900000	104.666367
21.200001	104.680832
21.400000	104.689835
21.799999	104.706032
22.000000	104.712952
22.400000	104.724152
22.700001	104.730789
23.000000	104.737038
23.299999	104.744133
23.600000	104.752998
24.000000	104.768066
24.299999	104.781204
24.700001	104.799370
25.000000	104.812088
25.400000	104.826324
25.799999	104.836594
26.200001	104.843010
26.500000	104.845818
26.900000	104.847832
27.200001	104.848526
27.600000	104.848427
28.000000	104.846657
28.500000	104.841064
29.000000	104.832939
29.500000	104.826103
30.000000	104.823624
30.400000	104.823524
30.700001	104.822464
31.100000	104.817261
31.500000	104.806900
32.000000	104.789719
32.500000	104.773392
33.000000	104.760414
33.500000	104.748001
34.000000	104.732880
34.500000	104.716141
35.000000	104.702103
35.500000	104.692673
36.000000	104.684586
36.500000	104.672760
37.000000	104.655136
37.500000	104.633560
38.200001	104.601425
38.700001	104.577850
39.500000	104.540710
40.000000	104.521423
40.599998	104.503471
41.200001	104.485168
41.799999	104.459961
42.500000	104.423355
43.099998	104.393044
43.700001	104.366684
44.400002	104.337151
45.000000	104.309418
45.500000	104.284180
46.200001	104.246811
46.799999	104.214333
47.500000	104.178391
48.200001	104.146706
48.700001	104.124603
49.400002	104.086746
50.000000	104.046692
50.799999	103.995705
51.500000	103.961586
52.200001	103.930214
53.000000	103.892097
53.799999	103.853729
54.500000	103.815987
55.200001	103.773430
56.000000	103.724304
57.000000	103.665543
58.000000	103.617859
59.000000	103.575951
60.000000	103.519493
60.799999	103.463043
61.500000	103.416351
62.200001	103.378265
63.000000	103.337227
64.000000	103.283760
65.000000	103.227699
66.000000	103.161736
67.000000	103.105225
68.000000	103.044746
69.000000	102.984795
70.000000	102.932701
71.000000	102.873726
72.000000	102.816895
73.000000	102.762016
74.000000	102.704681
75.000000	102.646118
76.199997	102.572250
77.500000	102.501747
78.800003	102.426277
80.000000	102.361610
81.199997	102.301056
82.500000	102.226036
83.800003	102.143730
85.000000	102.084183
86.199997	102.022781
87.500000	101.955467
88.500000	101.900848
90.000000	101.820557
91.199997	101.752792
92.500000	101.681702
93.800003	101.609138
95.000000	101.545479
96.199997	101.487526
97.500000	101.415535
98.800003	101.349129
100.000000	101.288589
101.500000	101.207275
103.000000	101.134743
104.400002	101.063232
106.000000	100.980019
107.500000	100.903519
109.000000	100.829712
110.599998	100.754440
112.000000	100.687248
113.800003	100.602264
115.000000	100.543579
117.199997	100.437683
118.000000	100.402275
120.599998	100.284447
122.000000	100.210617
124.099998	100.116707
125.000000	100.078979
126.500000	100.015076
128.000000	99.947586
131.500000	99.797081
132.000000	99.776070
134.000000	99.682465
136.000000	99.600922
138.000000	99.519547
140.000000	99.431641
143.000000	99.315529
145.000000	99.248505
147.500000	99.149811
150.000000	99.039696
152.500000	98.940346
155.000000	98.839203
157.500000	98.760277
160.000000	98.668762
162.500000	98.565376
165.000000	98.486008
167.500000	98.394615
170.000000	98.295311
