* frequency_hz	amplitude
20.000000	99.999
20.299999	100.015
20.600000	100.027
20.900000	100.035
21.200001	100.043
21.400000	100.049
21.799999	100.065
22.000000	100.074
22.400000	100.091
22.700001	100.100
23.000000	100.102
23.299999	100.100
23.600000	100.096
24.000000	100.094
24.299999	100.097
24.700001	100.107
25.000000	100.115
25.400000	100.120
25.799999	100.117
26.200001	100.109
26.500000	100.103
26.900000	100.100
27.200001	100.101
27.600000	100.104
28.000000	100.105
28.500000	100.099
29.000000	100.088
29.500000	100.076
30.000000	100.066
30.400000	100.060
30.700001	100.056
31.100000	100.051
31.500000	100.044
32.000000	100.034
32.500000	100.021
33.000000	100.007
33.500000	99.991
34.000000	99.975
34.500000	99.959
35.000000	99.943
35.500000	99.926
36.000000	99.911
36.500000	99.898
37.000000	99.885
37.500000	99.869
38.200001	99.843
38.700001	99.823
39.500000	99.791
40.000000	99.769
40.599998	99.743
41.200001	99.720
41.799999	99.697
42.500000	99.667
43.099998	99.639
43.700001	99.612
44.400002	99.580
45.000000	99.550
45.500000	99.524
46.200001	99.493
46.799999	99.470
47.500000	99.443
48.200001	99.410
48.700001	99.384
49.400002	99.349
50.000000	99.322
50.799999	99.284
51.500000	99.246
52.200001	99.209
53.000000	99.171
53.799999	99.136
54.500000	99.106
55.200001	99.072
56.000000	99.023
57.000000	98.973
58.000000	98.923
59.000000	98.857
60.000000	98.816
60.799999	98.769
61.500000	98.733
62.200001	98.709
63.000000	98.660
64.000000	98.598
65.000000	98.565
66.000000	98.498
67.000000	98.451
68.000000	98.403
69.000000	98.344
70.000000	98.293
71.000000	98.241
72.000000	98.190
73.000000	98.140
74.000000	98.085
75.000000	98.036
76.199997	97.982
77.500000	97.907
78.800003	97.842
80.000000	97.778
81.199997	97.720
82.500000	97.648
83.800003	97.587
85.000000	97.525
86.199997	97.468
87.500000	97.402
88.500000	97.352
90.000000	97.276
91.199997	97.217
92.500000	97.155
93.800003	97.094
95.000000	97.035
96.199997	96.977
97.500000	96.915
98.800003	96.853
100.000000	96.795
101.500000	96.725
103.000000	96.657
104.400002	96.593
106.000000	96.519
107.500000	96.450
109.000000	96.383
110.599998	96.313
112.000000	96.251
113.800003	96.171
115.000000	96.117
117.199997	96.026
118.000000	95.989
120.599998	95.874
122.000000	95.820
124.099998	95.732
125.000000	95.694
126.500000	95.632
128.000000	95.572
131.500000	95.430
132.000000	95.409
134.000000	95.331
136.000000	95.252
138.000000	95.172
140.000000	95.097
143.000000	94.982
145.000000	94.908
147.500000	94.818
150.000000	94.731
152.500000	94.653
155.000000	94.577
157.500000	94.504
160.000000	94.429
162.500000	94.357
165.000000	94.285
167.500000	94.222
170.000000	94.160
172.500000	94.086
175.000000	94.016
177.500000	93.942
180.000000	93.860
182.500000	93.798
185.000000	93.731
187.500000	93.661
190.000000	93.592
192.500000	93.527
195.000000	93.456
197.500000	93.394
200.000000	93.328
203.000000	93.253
206.000000	93.181
209.000000	93.113
212.000000	93.049
214.000000	93.005
218.000000	92.924
220.000000	92.883
224.000000	92.806
227.000000	92.748
230.000000	92.692
233.000000	92.635
236.000000	92.575
240.000000	92.496
243.000000	92.441
247.000000	92.366
250.000000	92.309
254.000000	92.236
258.000000	92.168
262.000000	92.099
265.000000	92.049
269.000000	91.984
272.000000	91.937
276.000000	91.870
280.000000	91.811
285.000000	91.735
290.000000	91.663
295.000000	91.592
300.000000	91.519
304.000000	91.468
307.000000	91.430
311.000000	91.375
315.000000	91.324
320.000000	91.262
325.000000	91.200
330.000000	91.140
335.000000	91.084
340.000000	91.032
345.000000	90.979
350.000000	90.929
355.000000	90.884
360.000000	90.838
365.000000	90.796
370.000000	90.756
375.000000	90.712
382.000000	90.659
387.000000	90.617
395.000000	90.559
400.000000	90.517
406.000000	90.472
412.000000	90.427
418.000000	90.385
425.000000	90.340
431.000000	90.301
437.000000	90.260
444.000000	90.221
450.000000	90.187
455.000000	90.158
462.000000	90.119
468.000000	90.090
475.000000	90.056
482.000000	90.021
487.000000	89.998
494.000000	89.969
500.000000	89.943
508.000000	89.909
515.000000	89.885
522.000000	89.859
530.000000	89.833
538.000000	89.810
545.000000	89.788
552.000000	89.766
560.000000	89.745
570.000000	89.721
580.000000	89.694
590.000000	89.682
600.000000	89.658
608.000000	89.646
615.000000	89.638
622.000000	89.626
630.000000	89.619
640.000000	89.604
650.000000	89.601
660.000000	89.601
670.000000	89.592
680.000000	89.586
690.000000	89.586
700.000000	89.590
710.000000	89.592
720.000000	89.596
730.000000	89.609
740.000000	89.623
750.000000	89.629
762.000000	89.650
775.000000	89.674
788.000000	89.699
800.000000	89.731
812.000000	89.760
825.000000	89.797
838.000000	89.839
850.000000	89.888
862.000000	89.926
875.000000	89.982
885.000000	90.028
900.000000	90.101
912.000000	90.164
925.000000	90.234
938.000000	90.311
950.000000	90.386
962.000000	90.464
975.000000	90.549
988.000000	90.643
1000.000000	90.728
1015.000000	90.843
1030.000000	90.961
1044.000000	91.072
1060.000000	91.203
1075.000000	91.330
1090.000000	91.457
1106.000000	91.597
1120.000000	91.720
1138.000000	91.877
1150.000000	91.978
1172.000000	92.172
1180.000000	92.240
1206.000000	92.458
1220.000000	92.579
1241.000000	92.753
1250.000000	92.827
1265.000000	92.948
1280.000000	93.068
1315.000000	93.345
1320.000000	93.381
1340.000000	93.536
1360.000000	93.688
1380.000000	93.837
1400.000000	93.989
1430.000000	94.212
1450.000000	94.360
1475.000000	94.552
1500.000000	94.740
1525.000000	94.939
1550.000000	95.134
1575.000000	95.321
1600.000000	95.512
1625.000000	95.691
