* frequency_hz	amplitude
20.299999	107.857773
20.600000	107.852776
20.900000	107.840553
21.200001	107.828125
21.400000	107.821182
21.799999	107.810791
22.000000	107.806900
22.400000	107.800102
22.700001	107.794739
23.000000	107.788750
23.299999	107.782028
23.600000	107.774498
24.000000	107.762695
24.299999	107.752174
24.700001	107.735992
25.000000	107.723007
25.400000	107.706093
25.799999	107.690880
26.200001	107.677177
26.500000	107.666924
26.900000	107.651772
27.200001	107.638756
27.600000	107.619553
28.000000	107.599403
28.500000	107.574951
29.000000	107.551849
29.500000	107.528908
30.000000	107.504829
30.400000	107.484711
30.700001	107.469337
31.100000	107.448669
31.500000	107.427689
32.000000	107.400658
32.500000	107.372765
33.000000	107.344986
33.500000	107.317978
34.000000	107.290962
34.500000	107.262627
35.000000	107.233223
35.500000	107.204506
36.000000	107.177574
36.500000	107.150955
37.000000	107.122253
37.500000	107.091080
38.200001	107.047264
38.700001	107.017708
39.500000	106.970482
40.000000	106.939835
40.599998	106.903389
41.200001	106.867661
41.799999	106.831055
42.500000	106.787048
43.099998	106.750259
43.700001	106.714561
44.400002	106.672340
45.000000	106.635391
45.500000	106.604538
46.200001	106.560905
46.799999	106.522881
47.500000	106.479141
48.200001	106.436737
48.700001	106.406311
49.400002	106.362854
50.000000	106.325790
50.799999	106.277153
51.500000	106.233620
52.200001	106.189011
53.000000	106.139297
53.799999	106.090988
54.500000	106.048271
55.200001	106.005943
56.000000	105.958069
57.000000	105.895477
58.000000	105.837509
59.000000	105.782097
60.000000	105.718094
60.799999	105.669373
61.500000	105.628548
62.200001	105.586479
63.000000	105.539963
64.000000	105.482933
65.000000	105.422546
66.000000	105.364685
67.000000	105.307869
68.000000	105.251862
69.000000	105.195557
70.000000	105.138969
71.000000	105.083160
72.000000	105.028648
73.000000	104.974342
74.000000	104.918457
75.000000	104.864586
76.199997	104.800926
77.500000	104.731827
78.800003	104.662865
80.000000	104.601608
81.199997	104.539879
82.500000	104.472641
83.800003	104.408089
85.000000	104.346298
86.199997	104.286690
87.500000	104.224228
88.500000	104.177322
90.000000	104.106323
91.199997	104.048546
92.500000	103.988014
93.800003	103.926964
95.000000	103.872772
96.199997	103.818375
97.500000	103.756302
98.800003	103.701401
100.000000	103.649475
101.500000	103.584290
103.000000	103.520844
104.400002	103.462173
106.000000	103.395866
107.500000	103.334778
109.000000	103.273445
110.599998	103.210358
112.000000	103.154228
113.800003	103.084282
115.000000	103.037949
117.199997	102.954552
118.000000	102.925537
120.599998	102.831192
122.000000	102.781021
124.099998	102.706139
125.000000	102.675240
126.500000	102.624344
128.000000	102.573647
131.500000	102.457047
132.000000	102.440491
134.000000	102.375671
136.000000	102.312401
138.000000	102.248245
140.000000	102.186943
143.000000	102.096115
145.000000	102.037285
147.500000	101.964264
150.000000	101.893661
152.500000	101.824112
155.000000	101.755112
157.500000	101.687813
160.000000	101.622238
162.500000	101.558838
165.000000	101.495575
167.500000	101.432350
170.000000	101.371292
172.500000	101.311874
175.000000	101.252670
177.500000	101.193123
180.000000	101.137207
182.500000	101.080704
185.000000	101.025795
187.500000	100.971039
190.000000	100.916840
192.500000	100.863449
195.000000	100.810532
197.500000	100.759445
200.000000	100.705704
203.000000	100.645248
206.000000	100.583694
209.000000	100.522202
212.000000	100.462448
214.000000	100.422546
218.000000	100.347755
220.000000	100.313118
224.000000	100.258514
227.000000	100.228165
230.000000	100.203918
233.000000	100.174355
236.000000	100.136017
240.000000	100.075607
243.000000	100.029625
247.000000	99.971748
250.000000	99.925499
254.000000	99.865479
258.000000	99.805359
262.000000	99.744957
265.000000	99.699448
269.000000	99.637589
272.000000	99.594818
276.000000	99.534813
280.000000	99.474228
285.000000	99.398689
290.000000	99.325737
295.000000	99.251266
300.000000	99.175789
304.000000	99.116135
307.000000	99.075577
311.000000	99.024765
315.000000	98.985359
320.000000	98.957245
325.000000	98.960426
330.000000	98.982231
335.000000	98.996399
340.000000	98.985771
345.000000	98.957947
350.000000	98.911987
355.000000	98.864456
360.000000	98.813889
365.000000	98.762039
370.000000	98.710190
375.000000	98.659660
382.000000	98.588898
387.000000	98.538887
395.000000	98.461555
400.000000	98.413277
406.000000	98.357574
412.000000	98.304634
418.000000	98.251343
425.000000	98.191193
431.000000	98.140648
437.000000	98.089996
444.000000	98.034348
450.000000	97.985458
455.000000	97.946228
462.000000	97.893066
468.000000	97.848076
475.000000	97.793739
482.000000	97.741524
487.000000	97.706161
494.000000	97.657036
500.000000	97.616394
508.000000	97.559959
515.000000	97.512573
522.000000	97.464874
530.000000	97.414032
538.000000	97.364014
545.000000	97.320969
552.000000	97.280151
560.000000	97.230820
570.000000	97.173325
580.000000	97.118362
590.000000	97.065887
600.000000	97.012848
608.000000	96.974945
615.000000	96.941185
622.000000	96.905807
630.000000	96.869598
640.000000	96.823227
650.000000	96.780952
660.000000	96.738220
670.000000	96.695190
680.000000	96.658630
690.000000	96.620552
700.000000	96.584518
710.000000	96.551048
720.000000	96.516693
730.000000	96.486794
740.000000	96.457336
750.000000	96.433144
762.000000	96.404182
775.000000	96.377441
788.000000	96.358459
800.000000	96.343979
812.000000	96.332352
825.000000	96.325470
838.000000	96.322517
850.000000	96.324089
862.000000	96.329788
875.000000	96.342987
885.000000	96.354263
900.000000	96.378815
912.000000	96.405396
925.000000	96.437874
938.000000	96.476608
950.000000	96.515732
962.000000	96.560860
975.000000	96.616364
988.000000	96.676476
1000.000000	96.733261
1015.000000	96.814072
1030.000000	96.898956
1044.000000	96.982254
1060.000000	97.083931
1075.000000	97.181885
1090.000000	97.283226
1106.000000	97.392044
1120.000000	97.490707
1138.000000	97.618797
1150.000000	97.703331
1172.000000	97.858231
1180.000000	97.910217
1206.000000	98.087143
1220.000000	98.179588
1241.000000	98.312767
1250.000000	98.370941
1265.000000	98.460144
1280.000000	98.546852
1315.000000	98.738251
1320.000000	98.762787
1340.000000	98.865082
1360.000000	98.960983
1380.000000	99.052902
1400.000000	99.142075
1430.000000	99.269653
1450.000000	99.352844
1475.000000	99.450951
1500.000000	99.551025
1525.000000	99.645493
1550.000000	99.743095
1575.000000	99.840828
1600.000000	99.936874
1625.000000	100.035522
1650.000000	100.133713
1675.000000	100.235031
1700.000000	100.336678
1725.000000	100.437874
1750.000000	100.541817
1775.000000	100.645813
1800.000000	100.747490
1825.000000	100.848907
1850.000000	100.948807
1875.000000	101.043510
1900.000000	101.136131
1925.000000	101.222450
1950.000000	101.302124
1975.000000	101.377708
2000.000000	101.443611
2030.000000	101.513153
2060.000000	101.567940
2090.000000	101.606407
2120.000000	101.632919
2140.000000	101.642036
2180.000000	101.640625
2200.000000	101.631729
2240.000000	101.595444
2270.000000	101.554176
2300.000000	101.504112
2330.000000	101.445160
2360.000000	101.378075
2400.000000	101.280754
2430.000000	101.201103
2470.000000	101.092087
2500.000000	101.007713
2540.000000	100.895584
2580.000000	100.784737
2620.000000	100.675674
2650.000000	100.597694
2690.000000	100.496773
2720.000000	100.423836
2760.000000	100.335625
2800.000000	100.254440
2850.000000	100.164093
2900.000000	100.085144
2950.000000	100.019539
3000.000000	99.964783
3040.000000	99.931488
3070.000000	99.912376
3110.000000	99.891449
3150.000000	99.876205
3200.000000	99.867401
3250.000000	99.867729
3300.000000	99.879143
3350.000000	99.896370
3400.000000	99.923752
3450.000000	99.966705
3500.000000	100.032227
3550.000000	100.124954
3600.000000	100.246384
3650.000000	100.386261
3700.000000	100.536209
3750.000000	100.688080
3820.000000	100.902176
3870.000000	101.052567
3950.000000	101.297058
4000.000000	101.448730
4060.000000	101.628685
4120.000000	101.805466
4180.000000	101.977982
4250.000000	102.174606
4310.000000	102.341499
4370.000000	102.508347
4440.000000	102.699348
4500.000000	102.861954
4550.000000	102.990730
4620.000000	103.143112
4680.000000	103.241333
4750.000000	103.284309
4820.000000	103.216530
4870.000000	103.074509
4940.000000	102.751480
5000.000000	102.379028
5080.000000	101.823593
5150.000000	101.353592
5220.000000	100.932556
5300.000000	100.524750
5380.000000	100.193314
5450.000000	99.948318
5520.000000	99.750656
5600.000000	99.561234
5700.000000	99.362717
5800.000000	99.199188
5900.000000	99.052780
6000.000000	98.912682
6080.000000	98.813438
6150.000000	98.734421
