* frequency_hz	amplitude
20.299999	104.045097
20.600000	104.039497
20.900000	104.027580
21.200001	104.012917
21.400000	104.002029
21.799999	103.977066
22.000000	103.962723
22.400000	103.930290
22.700001	103.903702
23.000000	103.877060
23.299999	103.852364
23.600000	103.831146
24.000000	103.808823
24.299999	103.795090
24.700001	103.777351
25.000000	103.762665
25.400000	103.740707
25.799999	103.717285
26.200001	103.693077
26.500000	103.673370
26.900000	103.642570
27.200001	103.615234
27.600000	103.575203
28.000000	103.536285
28.500000	103.497139
29.000000	103.467972
29.500000	103.438751
30.000000	103.401520
30.400000	103.367523
30.700001	103.342110
31.100000	103.310120
31.500000	103.279495
32.000000	103.239906
32.500000	103.198135
33.000000	103.157608
33.500000	103.119888
34.000000	103.081284
34.500000	103.037964
35.000000	102.991257
35.500000	102.946091
36.000000	102.905411
36.500000	102.867859
37.000000	102.829926
37.500000	102.788849
38.200001	102.725266
38.700001	102.677925
39.500000	102.606316
40.000000	102.565216
40.599998	102.517120
41.200001	102.468811
41.799999	102.419838
42.500000	102.359497
43.099998	102.304543
43.700001	102.250954
44.400002	102.194077
45.000000	102.146469
45.500000	102.104851
46.200001	102.045097
46.799999	101.994797
47.500000	101.935966
48.200001	101.876137
48.700001	101.834320
49.400002	101.777367
50.000000	101.728027
50.799999	101.661140
51.500000	101.603485
52.200001	101.545662
53.000000	101.478073
53.799999	101.412064
54.500000	101.356377
55.200001	101.300148
56.000000	101.235062
57.000000	101.154251
58.000000	101.070984
59.000000	100.994560
60.000000	100.918907
60.799999	100.850487
61.500000	100.793991
62.200001	100.741096
63.000000	100.678345
64.000000	100.605301
65.000000	100.538063
66.000000	100.465668
67.000000	100.395317
68.000000	100.324692
69.000000	100.255844
70.000000	100.188377
71.000000	100.117714
72.000000	100.044739
73.000000	99.975876
74.000000	99.908707
75.000000	99.840378
76.199997	99.759575
77.500000	99.674660
78.800003	99.587601
80.000000	99.508507
81.199997	99.432648
82.500000	99.352211
83.800003	99.263840
85.000000	99.187645
86.199997	99.114899
87.500000	99.035637
88.500000	98.976318
90.000000	98.887009
91.199997	98.812447
92.500000	98.737167
93.800003	98.660225
95.000000	98.591995
96.199997	98.526161
97.500000	98.452370
98.800003	98.378128
100.000000	98.313690
101.500000	98.230560
103.000000	98.152191
104.400002	98.078300
106.000000	97.993423
107.500000	97.920586
109.000000	97.843079
110.599998	97.766525
112.000000	97.697174
113.800003	97.607956
115.000000	97.552452
117.199997	97.450531
118.000000	97.410515
120.599998	97.294624
122.000000	97.224609
124.099998	97.131706
125.000000	97.091721
126.500000	97.027016
128.000000	96.962219
131.500000	96.815727
132.000000	96.796478
134.000000	96.715385
136.000000	96.636597
138.000000	96.562531
140.000000	96.485947
143.000000	96.383163
145.000000	96.314461
147.500000	96.229385
150.000000	96.139030
152.500000	96.052208
155.000000	95.968651
157.500000	95.884567
160.000000	95.802643
162.500000	95.720108
165.000000	95.642349
167.500000	95.562027
170.000000	95.485489
172.500000	95.413223
175.000000	95.341599
177.500000	95.268112
180.000000	95.203506
182.500000	95.136383
185.000000	95.074425
187.500000	95.015053
190.000000	94.954170
192.500000	94.895813
195.000000	94.836487
197.500000	94.773880
200.000000	94.714981
203.000000	94.639915
206.000000	94.566574
209.000000	94.498100
212.000000	94.428162
214.000000	94.385559
218.000000	94.300949
220.000000	94.257607
224.000000	94.174377
227.000000	94.117981
230.000000	94.058914
233.000000	94.002701
236.000000	93.947388
240.000000	93.878769
243.000000	93.829842
247.000000	93.767754
250.000000	93.720787
254.000000	93.674843
258.000000	93.638748
262.000000	93.607979
265.000000	93.583794
269.000000	93.546867
272.000000	93.524040
276.000000	93.485565
280.000000	93.438431
285.000000	93.377678
290.000000	93.314545
295.000000	93.249840
300.000000	93.189354
304.000000	93.133728
307.000000	93.100830
311.000000	93.050636
315.000000	93.007401
320.000000	92.949493
325.000000	92.901260
330.000000	92.856361
335.000000	92.824966
340.000000	92.804146
345.000000	92.789757
350.000000	92.769318
355.000000	92.744263
360.000000	92.717094
365.000000	92.680695
370.000000	92.641129
375.000000	92.609528
382.000000	92.569031
387.000000	92.531929
395.000000	92.482834
400.000000	92.453011
406.000000	92.418289
412.000000	92.383759
418.000000	92.357094
425.000000	92.318657
431.000000	92.292999
437.000000	92.264938
444.000000	92.234108
450.000000	92.214401
455.000000	92.192947
462.000000	92.167244
468.000000	92.147194
475.000000	92.121490
482.000000	92.098862
487.000000	92.083282
494.000000	92.060265
500.000000	92.046341
508.000000	92.023056
515.000000	92.007355
522.000000	91.989868
530.000000	91.969643
538.000000	91.950462
545.000000	91.936501
552.000000	91.922806
560.000000	91.909264
570.000000	91.887398
580.000000	91.871689
590.000000	91.851418
600.000000	91.838448
608.000000	91.824142
615.000000	91.815590
622.000000	91.804489
630.000000	91.795128
640.000000	91.785408
650.000000	91.774773
660.000000	91.771080
670.000000	91.757942
680.000000	91.754044
690.000000	91.753677
700.000000	91.749489
710.000000	91.750916
720.000000	91.752350
730.000000	91.755219
740.000000	91.763275
750.000000	91.772087
762.000000	91.779076
775.000000	91.795792
788.000000	91.809036
800.000000	91.830078
812.000000	91.846848
825.000000	91.874496
838.000000	91.898369
850.000000	91.930817
862.000000	91.964066
875.000000	92.000740
885.000000	92.034615
900.000000	92.091415
912.000000	92.134048
925.000000	92.191536
938.000000	92.251778
950.000000	92.308792
962.000000	92.375198
975.000000	92.444435
988.000000	92.521729
1000.000000	92.594269
1015.000000	92.689148
1030.000000	92.790710
1044.000000	92.891235
1060.000000	93.002838
1075.000000	93.113914
1090.000000	93.226395
1106.000000	93.346359
1120.000000	93.451225
1138.000000	93.590652
1150.000000	93.677521
1172.000000	93.840744
1180.000000	93.899658
1206.000000	94.083900
1220.000000	94.179817
1241.000000	94.323120
1250.000000	94.380386
1265.000000	94.479370
1280.000000	94.570312
1315.000000	94.775337
1320.000000	94.805496
1340.000000	94.913712
1360.000000	95.022560
1380.000000	95.122025
1400.000000	95.224991
1430.000000	95.366554
1450.000000	95.459396
1475.000000	95.571877
1500.000000	95.684837
1525.000000	95.792236
1550.000000	95.897095
1575.000000	96.002060
1600.000000	96.103043
1625.000000	96.208488
1650.000000	96.313576
1675.000000	96.416313
1700.000000	96.513870
1725.000000	96.617119
1750.000000	96.717216
1775.000000	96.818329
1800.000000	96.918083
1825.000000	97.016319
1850.000000	97.116501
1875.000000	97.212570
1900.000000	97.309395
1925.000000	97.402771
1950.000000	97.497658
1975.000000	97.588066
2000.000000	97.680862
2030.000000	97.791122
2060.000000	97.896805
2090.000000	98.003616
2120.000000	98.106346
2140.000000	98.172783
2180.000000	98.296814
2200.000000	98.356613
2240.000000	98.469452
2270.000000	98.547417
2300.000000	98.622040
2330.000000	98.689178
2360.000000	98.754379
2400.000000	98.829979
2430.000000	98.884338
2470.000000	98.946922
2500.000000	98.990997
2540.000000	99.041992
2580.000000	99.084763
2620.000000	99.123100
2650.000000	99.145645
2690.000000	99.173325
2720.000000	99.193497
2760.000000	99.210197
2800.000000	99.226135
2850.000000	99.241623
2900.000000	99.252396
2950.000000	99.258766
3000.000000	99.262238
3040.000000	99.264359
3070.000000	99.260727
3110.000000	99.257904
3150.000000	99.251358
3200.000000	99.239601
3250.000000	99.224007
3300.000000	99.198013
3350.000000	99.170876
3400.000000	99.138092
3450.000000	99.108063
3500.000000	99.083755
3550.000000	99.078255
3600.000000	99.083466
3650.000000	99.079643
3700.000000	99.056549
3750.000000	99.012535
3820.000000	98.937164
3870.000000	98.878677
3950.000000	98.762085
4000.000000	98.681961
4060.000000	98.578026
4120.000000	98.464355
4180.000000	98.341690
4250.000000	98.180740
4310.000000	98.032120
4370.000000	97.882126
4440.000000	97.702866
4500.000000	97.556870
4550.000000	97.436302
4620.000000	97.263725
4680.000000	97.110100
4750.000000	96.919289
4820.000000	96.710846
4870.000000	96.555428
4940.000000	96.354362
5000.000000	96.200325
5080.000000	96.024002
5150.000000	95.887085
5220.000000	95.759048
5300.000000	95.612854
5380.000000	95.470268
5450.000000	95.348358
5520.000000	95.224464
5600.000000	95.089912
5700.000000	94.920067
5800.000000	94.760651
5900.000000	94.613144
6000.000000	94.475784
6080.000000	94.390930
6150.000000	94.330681
6220.000000	94.300346
6300.000000	94.285721
6400.000000	94.309616
6500.000000	94.379089
6600.000000	94.482811
6700.000000	94.633698
6800.000000	94.823639
6900.000000	95.057243
7000.000000	95.348404
7100.000000	95.688583
7200.000000	96.084122
7300.000000	96.545052
7400.000000	97.054565
7500.000000	97.595718
7620.000000	98.281174
7750.000000	98.995567
7880.000000	99.566360
8000.000000	99.835068
8120.000000	99.746887
8250.000000	99.260590
8380.000000	98.469231
8500.000000	97.606796
8620.000000	96.670898
8750.000000	95.626213
8850.000000	94.847290
9000.000000	93.692902
9120.000000	92.822784
9250.000000	91.957222
9380.000000	91.152557
9500.000000	90.495560
9620.000000	89.926865
9750.000000	89.438278
9880.000000	89.111900
10000.000000	88.933487
10150.000000	88.826591
10300.000000	88.822144
10440.000000	88.901405
10600.000000	89.049881
10750.000000	89.246414
10900.000000	89.490112
11060.000000	89.783356
11200.000000	90.064110
11380.000000	90.371628
11500.000000	90.558701
11720.000000	90.786087
11800.000000	90.838562
12060.000000	90.862114
12200.000000	90.841263
12410.000000	90.718407
12500.000000	90.642380
12650.000000	90.475281
12800.000000	90.241570
13150.000000	89.459023
13200.000000	89.304344
13400.000000	88.658813
13600.000000	87.912048
13800.000000	87.128281
14000.000000	86.394958
14300.000000	85.492722
14500.000000	85.059380
14750.000000	84.718681
15000.000000	84.688278
15250.000000	84.701035
15500.000000	84.907784
15750.000000	85.059006
16000.000000	84.724808
16250.000000	83.800812
16500.000000	82.429214
16750.000000	80.804749
17000.000000	78.987862
17250.000000	77.165916
17500.000000	75.718376
17750.000000	74.615303
18000.000000	73.968376
18250.000000	73.407204
18500.000000	73.075111
18750.000000	72.871025
19000.000000	72.578285
19250.000000	72.223999
19500.000000	71.564522
19750.000000	69.947556
