* frequency_hz	amplitude
20.299999	109.698
20.600000	109.688
20.900000	109.672
21.200001	109.661
21.400000	109.658
21.799999	109.660
22.000000	109.664
22.400000	109.675
22.700001	109.680
23.000000	109.678
23.299999	109.670
23.600000	109.658
24.000000	109.641
24.299999	109.633
24.700001	109.632
25.000000	109.634
25.400000	109.633
25.799999	109.622
26.200001	109.601
26.500000	109.583
26.900000	109.563
27.200001	109.552
27.600000	109.540
28.000000	109.523
28.500000	109.494
29.000000	109.466
29.500000	109.455
30.000000	109.459
30.400000	109.458
30.700001	109.450
31.100000	109.429
31.500000	109.404
32.000000	109.376
32.500000	109.355
33.000000	109.330
33.500000	109.301
34.000000	109.278
34.500000	109.267
35.000000	109.258
35.500000	109.235
36.000000	109.196
36.500000	109.152
37.000000	109.115
37.500000	109.087
38.200001	109.049
38.700001	109.021
39.500000	108.986
40.000000	108.970
40.599998	108.941
41.200001	108.898
41.799999	108.860
42.500000	108.839
43.099998	108.827
43.700001	108.797
44.400002	108.749
45.000000	108.714
45.500000	108.686
46.200001	108.629
46.799999	108.575
47.500000	108.534
48.200001	108.505
48.700001	108.474
49.400002	108.418
50.000000	108.381
50.799999	108.351
51.500000	108.320
52.200001	108.285
53.000000	108.249
53.799999	108.200
54.500000	108.132
55.200001	108.069
56.000000	108.038
57.000000	107.998
58.000000	107.938
59.000000	107.887
60.000000	107.795
60.799999	107.750
61.500000	107.730
62.200001	107.691
63.000000	107.640
64.000000	107.601
65.000000	107.539
66.000000	107.466
67.000000	107.421
68.000000	107.349
69.000000	107.324
70.000000	107.262
71.000000	107.186
72.000000	107.147
73.000000	107.075
74.000000	107.200
75.000000	107.041
76.199997	106.645
77.500000	106.711
78.800003	106.740
80.000000	106.584
81.199997	106.679
82.500000	106.538
83.800003	106.529
85.000000	106.449
86.199997	106.386
87.500000	106.228
88.500000	106.161
90.000000	106.243
91.199997	106.026
92.500000	106.075
93.800003	105.965
95.000000	105.918
96.199997	105.882
97.500000	105.810
98.800003	105.717
100.000000	105.710
101.500000	105.561
103.000000	105.467
104.400002	105.470
106.000000	105.473
107.500000	105.326
109.000000	105.221
110.599998	105.233
112.000000	105.108
113.800003	105.030
115.000000	104.915
117.199997	104.945
118.000000	104.834
120.599998	104.818
122.000000	104.759
124.099998	104.658
125.000000	104.608
126.500000	104.452
128.000000	104.499
131.500000	104.322
132.000000	104.271
134.000000	104.256
136.000000	104.156
138.000000	104.053
140.000000	104.093
143.000000	103.904
145.000000	103.899
147.500000	103.765
150.000000	103.656
152.500000	103.599
155.000000	103.451
157.500000	103.488
160.000000	103.370
162.500000	103.332
165.000000	103.241
167.500000	103.179
170.000000	102.963
172.500000	102.978
175.000000	102.958
177.500000	102.792
180.000000	102.588
182.500000	102.581
185.000000	102.582
187.500000	102.468
190.000000	102.373
192.500000	102.407
195.000000	102.406
197.500000	102.387
200.000000	102.407
203.000000	102.341
206.000000	102.331
209.000000	102.084
212.000000	102.125
214.000000	102.063
218.000000	101.951
220.000000	101.998
224.000000	101.804
227.000000	101.817
230.000000	101.749
233.000000	101.782
236.000000	101.605
240.000000	101.556
243.000000	101.486
247.000000	101.486
250.000000	101.473
254.000000	101.255
258.000000	101.297
262.000000	101.224
265.000000	101.096
269.000000	101.118
272.000000	101.064
276.000000	100.976
280.000000	100.907
285.000000	100.871
290.000000	100.816
295.000000	100.714
300.000000	100.646
304.000000	100.644
307.000000	100.648
311.000000	100.604
315.000000	100.570
320.000000	100.621
325.000000	100.570
330.000000	100.511
335.000000	100.436
340.000000	100.293
345.000000	100.265
350.000000	100.309
355.000000	100.226
360.000000	100.127
365.000000	100.197
370.000000	100.140
375.000000	100.091
382.000000	100.027
387.000000	100.033
395.000000	99.944
400.000000	99.919
406.000000	99.897
412.000000	99.878
418.000000	99.808
425.000000	99.793
431.000000	99.800
437.000000	99.808
444.000000	99.694
450.000000	99.672
455.000000	99.631
462.000000	99.630
468.000000	99.587
475.000000	99.566
482.000000	99.583
487.000000	99.536
494.000000	99.593
500.000000	99.518
508.000000	99.488
515.000000	99.460
522.000000	99.412
530.000000	99.413
538.000000	99.421
545.000000	99.394
552.000000	99.374
560.000000	99.441
570.000000	99.335
580.000000	99.394
590.000000	99.296
600.000000	99.339
608.000000	99.429
615.000000	99.285
622.000000	99.313
630.000000	99.344
640.000000	99.290
650.000000	99.307
660.000000	99.277
670.000000	99.357
680.000000	99.376
690.000000	99.333
700.000000	99.346
710.000000	99.376
720.000000	99.354
730.000000	99.367
740.000000	99.411
750.000000	99.419
762.000000	99.505
775.000000	99.481
788.000000	99.551
800.000000	99.599
812.000000	99.638
825.000000	99.711
838.000000	99.783
850.000000	99.847
862.000000	99.878
875.000000	99.996
885.000000	100.051
900.000000	100.149
912.000000	100.254
925.000000	100.329
938.000000	100.478
950.000000	100.568
962.000000	100.678
975.000000	100.776
988.000000	100.907
1000.000000	101.039
1015.000000	101.176
1030.000000	101.300
1044.000000	101.462
1060.000000	101.618
1075.000000	101.769
1090.000000	101.898
1106.000000	102.029
1120.000000	102.098
1138.000000	102.177
1150.000000	102.219
1172.000000	102.248
1180.000000	102.232
1206.000000	102.190
1220.000000	102.126
1241.000000	102.032
1250.000000	102.002
1265.000000	101.958
1280.000000	101.934
1315.000000	101.980
1320.000000	101.995
1340.000000	102.055
1360.000000	102.177
1380.000000	102.339
1400.000000	102.496
1430.000000	102.832
1450.000000	103.035
1475.000000	103.298
1500.000000	103.565
1525.000000	103.782
1550.000000	104.046
1575.000000	104.266
1600.000000	104.481
1625.000000	104.738
1650.000000	105.000
1675.000000	105.241
1700.000000	105.478
1725.000000	105.720
1750.000000	105.975
1775.000000	106.221
1800.000000	106.468
1825.000000	106.745
1850.000000	107.003
1875.000000	107.254
1900.000000	107.504
1925.000000	107.785
1950.000000	108.031
1975.000000	108.287
2000.000000	108.540
2030.000000	108.749
2060.000000	108.937
2090.000000	109.094
2120.000000	109.208
2140.000000	109.261
2180.000000	109.312
2200.000000	109.315
2240.000000	109.282
2270.000000	109.215
2300.000000	109.109
2330.000000	108.981
2360.000000	108.819
2400.000000	108.610
2430.000000	108.457
2470.000000	108.340
2500.000000	108.272
2540.000000	108.172
2580.000000	108.027
2620.000000	107.833
2650.000000	107.691
2690.000000	107.537
2720.000000	107.439
2760.000000	107.326
2800.000000	107.250
2850.000000	107.076
2900.000000	106.896
2950.000000	106.593
3000.000000	106.111
3040.000000	105.681
3070.000000	105.335
3110.000000	104.902
3150.000000	104.561
3200.000000	104.260
3250.000000	104.133
3300.000000	103.974
3350.000000	103.785
3400.000000	103.613
3450.000000	103.524
3500.000000	103.537
3550.000000	103.626
3600.000000	103.807
3650.000000	103.946
3700.000000	104.073
3750.000000	104.172
3820.000000	104.304
3870.000000	104.417
3950.000000	104.638
4000.000000	104.804
4060.000000	104.959
4120.000000	105.029
4180.000000	105.029
4250.000000	105.107
4310.000000	105.294
4370.000000	105.542
4440.000000	105.854
4500.000000	106.136
4550.000000	106.388
4620.000000	106.768
4680.000000	107.054
4750.000000	107.228
4820.000000	107.051
4870.000000	106.653
4940.000000	105.965
5000.000000	105.625
5080.000000	105.646
5150.000000	105.940
5220.000000	106.309
5300.000000	106.726
5380.000000	107.087
5450.000000	107.293
5520.000000	107.387
5600.000000	107.315
5700.000000	107.066
5800.000000	106.694
5900.000000	106.353
6000.000000	106.085
6080.000000	105.839
6150.000000	105.599
6220.000000	105.460
6300.000000	105.462
6400.000000	105.529
6500.000000	105.544
6600.000000	105.495
6700.000000	105.453
6800.000000	105.544
6900.000000	105.644
7000.000000	105.803
7100.000000	105.973
7200.000000	106.214
7300.000000	106.487
7400.000000	106.964
7500.000000	107.546
7620.000000	108.369
7750.000000	109.272
7880.000000	110.098
8000.000000	110.530
8120.000000	110.304
8250.000000	109.475
8380.000000	108.306
8500.000000	107.082
8620.000000	105.819
8750.000000	104.493
8850.000000	103.543
9000.000000	102.160
9120.000000	101.214
9250.000000	100.338
9380.000000	99.588
9500.000000	98.899
9620.000000	98.193
9750.000000	97.495
9880.000000	96.991
10000.000000	96.761
10150.000000	96.872
10300.000000	97.111
10440.000000	96.893
10600.000000	96.505
10750.000000	96.280
10900.000000	96.296
11060.000000	96.554
11200.000000	96.912
11380.000000	97.671
11500.000000	98.318
11720.000000	99.798
11800.000000	100.402
12060.000000	102.175
12200.000000	102.940
12410.000000	103.647
12500.000000	103.786
12650.000000	103.866
12800.000000	103.856
13150.000000	103.683
13200.000000	103.655
13400.000000	103.649
13600.000000	103.855
13800.000000	104.154
14000.000000	104.315
14300.000000	103.982
14500.000000	103.689
14750.000000	103.587
15000.000000	103.786
15250.000000	104.099
15500.000000	104.353
15750.000000	104.565
16000.000000	104.759
16250.000000	104.790
16500.000000	104.361
16750.000000	103.202
17000.000000	101.514
17250.000000	99.802
17500.000000	98.312
17750.000000	97.103
18000.000000	96.176
18250.000000	95.448
18500.000000	94.744
18750.000000	93.246
19000.000000	89.181
19250.000000	80.034
19500.000000	59.632
19750.000000	73.016
