* frequency_hz	amplitude
20.000000	103.422791
20.299999	103.489746
20.600000	103.572487
20.900000	103.668549
21.200001	103.773232
21.400000	103.844116
21.799999	103.974510
22.000000	104.027657
22.400000	104.100983
22.700001	104.126289
23.000000	104.134514
23.299999	104.138824
23.600000	104.153206
24.000000	104.202965
24.299999	104.260902
24.700001	104.348038
25.000000	104.406113
25.400000	104.462547
25.799999	104.498199
26.200001	104.526550
26.500000	104.549828
26.900000	104.584869
27.200001	104.611984
27.600000	104.646378
28.000000	104.680038
28.500000	104.726952
29.000000	104.778168
29.500000	104.821861
30.000000	104.850098
30.400000	104.866432
30.700001	104.879936
31.100000	104.903000
31.500000	104.930031
32.000000	104.961365
32.500000	104.984879
33.000000	105.004616
33.500000	105.026794
34.000000	105.051910
34.500000	105.076599
35.000000	105.098991
35.500000	105.119690
36.000000	105.139038
36.500000	105.156532
37.000000	105.172218
37.500000	105.186394
38.200001	105.201805
38.700001	105.209229
39.500000	105.223648
40.000000	105.237053
40.599998	105.249695
41.200001	105.253761
41.799999	105.261047
42.500000	105.288330
43.099998	105.311340
43.700001	105.312996
44.400002	105.302696
45.000000	105.308884
45.500000	105.320953
46.200001	105.321960
46.799999	105.305954
47.500000	105.299942
48.200001	105.320381
48.700001	105.331589
49.400002	105.316994
50.000000	105.293022
50.799999	105.292061
51.500000	105.294472
52.200001	105.249657
53.000000	105.197495
53.799999	105.226181
54.500000	105.258476
55.200001	105.249954
56.000000	105.239975
57.000000	105.251549
58.000000	105.241592
59.000000	105.241852
60.000000	105.239182
60.799999	105.226639
61.500000	105.215492
62.200001	105.204681
63.000000	105.189026
64.000000	105.169907
65.000000	105.157379
66.000000	105.138573
67.000000	105.118752
68.000000	105.099854
69.000000	105.078880
70.000000	105.055923
71.000000	105.030937
72.000000	105.009216
73.000000	104.989342
74.000000	104.965820
75.000000	104.936974
76.199997	104.906479
77.500000	104.871689
78.800003	104.839409
80.000000	104.805977
81.199997	104.778603
82.500000	104.737625
83.800003	104.703369
85.000000	104.672546
86.199997	104.638824
87.500000	104.596916
88.500000	104.567223
90.000000	104.523361
91.199997	104.488281
92.500000	104.451065
93.800003	104.415009
95.000000	104.383835
96.199997	104.347977
97.500000	104.307816
98.800003	104.272751
100.000000	104.233177
101.500000	104.192535
103.000000	104.145157
104.400002	104.103470
106.000000	104.056343
107.500000	104.010040
109.000000	103.960693
110.599998	103.914116
112.000000	103.869812
113.800003	103.811127
115.000000	103.773170
117.199997	103.702972
118.000000	103.676025
120.599998	103.591003
122.000000	103.548615
124.099998	103.477386
125.000000	103.448975
126.500000	103.397232
128.000000	103.347282
131.500000	103.234421
132.000000	103.217812
134.000000	103.154007
136.000000	103.088844
138.000000	103.029083
140.000000	102.966843
143.000000	102.878540
145.000000	102.819992
147.500000	102.747849
150.000000	102.673630
152.500000	102.598938
155.000000	102.524765
157.500000	102.449280
160.000000	102.369598
162.500000	102.293907
165.000000	102.224525
167.500000	102.141998
170.000000	102.065323
172.500000	101.988106
175.000000	101.913986
177.500000	101.837616
180.000000	101.763329
182.500000	101.688492
185.000000	101.613907
187.500000	101.538765
190.000000	101.465179
192.500000	101.390274
195.000000	101.311348
197.500000	101.239822
200.000000	101.164513
203.000000	101.075996
206.000000	100.983315
209.000000	100.893509
212.000000	100.803169
214.000000	100.747566
218.000000	100.627945
220.000000	100.568726
224.000000	100.455582
227.000000	100.373184
230.000000	100.296600
233.000000	100.225372
236.000000	100.159126
240.000000	100.083817
243.000000	100.045624
247.000000	100.002739
250.000000	99.970032
254.000000	99.922607
258.000000	99.860023
262.000000	99.792267
265.000000	99.737335
269.000000	99.659546
272.000000	99.597740
276.000000	99.515137
280.000000	99.427879
285.000000	99.323128
290.000000	99.219025
