* frequency_hz	amplitude
20.299999	102.053024
20.600000	102.048073
20.900000	102.035759
21.200001	102.022614
21.400000	102.014771
21.799999	102.002228
22.000000	101.997360
22.400000	101.989120
22.700001	101.982712
23.000000	101.974869
23.299999	101.964691
23.600000	101.951767
24.000000	101.930389
24.299999	101.912231
24.700001	101.887291
25.000000	101.869347
25.400000	101.847282
25.799999	101.826813
26.200001	101.806808
26.500000	101.791901
26.900000	101.772644
27.200001	101.758842
27.600000	101.740067
28.000000	101.718048
28.500000	101.682037
29.000000	101.640045
29.500000	101.603119
30.000000	101.577988
30.400000	101.561378
30.700001	101.545723
31.100000	101.516708
31.500000	101.480804
32.000000	101.438797
32.500000	101.410477
33.000000	101.388992
33.500000	101.357925
34.000000	101.311844
34.500000	101.262527
35.000000	101.224167
35.500000	101.197311
36.000000	101.170860
36.500000	101.136353
37.000000	101.094223
37.500000	101.048569
38.200001	100.983200
38.700001	100.938499
39.500000	100.880089
40.000000	100.852074
40.599998	100.818222
41.200001	100.775040
41.799999	100.722046
42.500000	100.658066
43.099998	100.605881
43.700001	100.551010
44.400002	100.484787
45.000000	100.440529
45.500000	100.414749
46.200001	100.374512
46.799999	100.321991
47.500000	100.256714
48.200001	100.205246
48.700001	100.169846
49.400002	100.114868
50.000000	100.071152
50.799999	100.015686
51.500000	99.954643
52.200001	99.891304
53.000000	99.829659
53.799999	99.765167
54.500000	99.709137
55.200001	99.662056
56.000000	99.605560
57.000000	99.521492
58.000000	99.434021
59.000000	99.353287
60.000000	99.290352
60.799999	99.226402
61.500000	99.165802
62.200001	99.114517
63.000000	99.052170
64.000000	98.964424
65.000000	98.898430
66.000000	98.833374
67.000000	98.768906
68.000000	98.694016
69.000000	98.610573
70.000000	98.537605
71.000000	98.460419
72.000000	98.384216
73.000000	98.314552
74.000000	98.253693
75.000000	98.193436
76.199997	98.105606
77.500000	98.010475
78.800003	97.925301
80.000000	97.844681
81.199997	97.764694
82.500000	97.677086
83.800003	97.593201
85.000000	97.515442
86.199997	97.437134
87.500000	97.353989
88.500000	97.292641
90.000000	97.197670
91.199997	97.124474
92.500000	97.043221
93.800003	96.964050
95.000000	96.891563
96.199997	96.823792
97.500000	96.744461
98.800003	96.669075
100.000000	96.603195
101.500000	96.516586
103.000000	96.435295
104.400002	96.355957
106.000000	96.267159
107.500000	96.188141
109.000000	96.110184
110.599998	96.023666
112.000000	95.950737
113.800003	95.857887
115.000000	95.800255
117.199997	95.686516
118.000000	95.651474
120.599998	95.522041
122.000000	95.457001
124.099998	95.362015
125.000000	95.320633
126.500000	95.252213
128.000000	95.185257
131.500000	95.045044
