* frequency_hz	amplitude
20.299999	103.550323
20.600000	103.549995
20.900000	103.549469
21.200001	103.548538
21.400000	103.546371
21.799999	103.536057
22.000000	103.527931
22.400000	103.508385
22.700001	103.494492
23.000000	103.483627
23.299999	103.476105
23.600000	103.470177
24.000000	103.459358
24.299999	103.445633
24.700001	103.418304
25.000000	103.393356
25.400000	103.359985
25.799999	103.333008
26.200001	103.315002
26.500000	103.305847
26.900000	103.295212
27.200001	103.286011
27.600000	103.270905
28.000000	103.253716
28.500000	103.231949
29.000000	103.209740
29.500000	103.184464
30.000000	103.156036
30.400000	103.133316
30.700001	103.117226
31.100000	103.096481
31.500000	103.074265
32.000000	103.041664
32.500000	103.005768
33.000000	102.973236
33.500000	102.947601
34.000000	102.924767
34.500000	102.897865
35.000000	102.864281
35.500000	102.826965
36.000000	102.789986
36.500000	102.754402
37.000000	102.719055
37.500000	102.683762
38.200001	102.637375
38.700001	102.607269
39.500000	102.558517
40.000000	102.524269
40.599998	102.481964
41.200001	102.445786
41.799999	102.416512
42.500000	102.374390
43.099998	102.320122
43.700001	102.262222
44.400002	102.218407
45.000000	102.194771
45.500000	102.164597
46.200001	102.098709
46.799999	102.044769
47.500000	102.008209
48.200001	101.979141
48.700001	101.948006
49.400002	101.893280
50.000000	101.845673
50.799999	101.786255
51.500000	101.743073
52.200001	101.709366
53.000000	101.662872
53.799999	101.598320
54.500000	101.543030
55.200001	101.495033
56.000000	101.444412
57.000000	101.388519
58.000000	101.320068
59.000000	101.256615
60.000000	101.211205
60.799999	101.152046
61.500000	101.095512
62.200001	101.047882
63.000000	100.994987
64.000000	100.931290
65.000000	100.867729
66.000000	100.797531
67.000000	100.737473
68.000000	100.676582
69.000000	100.614883
70.000000	100.556160
71.000000	100.494545
72.000000	100.430687
73.000000	100.369560
74.000000	100.310997
75.000000	100.251564
76.199997	100.178665
77.500000	100.107941
78.800003	100.024567
80.000000	99.957726
81.199997	99.887253
82.500000	99.818848
83.800003	99.744972
85.000000	99.682358
86.199997	99.614693
87.500000	99.543884
88.500000	99.489250
90.000000	99.411270
91.199997	99.350105
92.500000	99.281364
93.800003	99.214973
95.000000	99.154732
96.199997	99.095383
97.500000	99.030533
98.800003	98.968842
100.000000	98.911598
101.500000	98.838638
103.000000	98.768204
104.400002	98.704971
106.000000	98.635437
107.500000	98.561005
109.000000	98.492493
110.599998	98.425774
112.000000	98.363869
113.800003	98.286186
115.000000	98.230743
117.199997	98.143692
118.000000	98.110245
120.599998	98.007660
122.000000	97.946533
124.099998	97.864967
125.000000	97.831375
126.500000	97.769516
128.000000	97.721420
131.500000	97.592728
132.000000	97.574966
134.000000	97.504631
136.000000	97.432480
138.000000	97.364555
140.000000	97.299683
143.000000	97.196533
145.000000	97.133316
147.500000	97.054520
150.000000	96.980606
152.500000	96.893822
155.000000	96.828911
157.500000	96.757393
160.000000	96.684509
162.500000	96.608299
165.000000	96.545654
167.500000	96.481873
170.000000	96.417732
172.500000	96.355659
175.000000	96.299469
177.500000	96.239220
180.000000	96.195061
182.500000	96.125229
185.000000	96.068756
187.500000	96.011253
190.000000	95.956757
192.500000	95.901375
195.000000	95.850731
197.500000	95.795517
200.000000	95.747650
203.000000	95.690491
206.000000	95.633316
209.000000	95.585663
212.000000	95.542313
214.000000	95.520195
218.000000	95.478363
220.000000	95.453033
224.000000	95.408226
227.000000	95.367218
230.000000	95.324600
233.000000	95.281509
236.000000	95.242294
240.000000	95.195068
243.000000	95.149651
247.000000	95.099037
250.000000	95.062355
254.000000	95.016121
258.000000	94.967628
262.000000	94.922371
265.000000	94.891716
269.000000	94.849594
272.000000	94.821259
276.000000	94.780632
280.000000	94.744507
285.000000	94.699303
290.000000	94.658318
295.000000	94.616997
300.000000	94.575615
304.000000	94.547646
307.000000	94.525154
311.000000	94.498589
315.000000	94.471863
320.000000	94.440308
325.000000	94.408264
330.000000	94.379128
335.000000	94.350479
340.000000	94.322479
345.000000	94.294174
350.000000	94.274529
355.000000	94.248466
360.000000	94.223236
365.000000	94.200089
370.000000	94.176865
375.000000	94.156898
382.000000	94.125862
387.000000	94.104408
395.000000	94.078621
400.000000	94.060631
406.000000	94.039871
412.000000	94.021378
418.000000	94.003471
425.000000	93.980042
431.000000	93.958542
437.000000	93.934937
444.000000	93.914047
450.000000	93.899956
455.000000	93.894951
462.000000	93.897942
468.000000	93.915199
475.000000	93.932175
482.000000	93.950027
487.000000	93.954437
494.000000	93.948792
500.000000	93.940346
508.000000	93.924728
515.000000	93.903244
522.000000	93.887527
530.000000	93.863609
538.000000	93.841026
545.000000	93.820755
552.000000	93.803886
560.000000	93.777786
570.000000	93.750618
580.000000	93.720581
590.000000	93.693436
600.000000	93.666740
608.000000	93.643097
615.000000	93.622208
622.000000	93.607651
630.000000	93.585609
640.000000	93.562607
650.000000	93.542282
660.000000	93.514565
670.000000	93.497307
680.000000	93.475502
690.000000	93.457947
700.000000	93.443695
710.000000	93.427658
720.000000	93.417755
730.000000	93.404587
740.000000	93.393982
750.000000	93.389915
762.000000	93.382599
775.000000	93.377541
788.000000	93.384224
800.000000	93.384369
812.000000	93.389549
825.000000	93.396889
838.000000	93.410370
850.000000	93.421921
862.000000	93.440498
875.000000	93.466095
885.000000	93.486671
900.000000	93.520683
912.000000	93.555809
925.000000	93.597061
938.000000	93.640900
950.000000	93.685867
962.000000	93.731689
975.000000	93.790443
988.000000	93.852592
1000.000000	93.913681
1015.000000	93.991325
1030.000000	94.076630
1044.000000	94.155304
1060.000000	94.248230
1075.000000	94.341629
1090.000000	94.437073
1106.000000	94.535492
1120.000000	94.623283
1138.000000	94.733795
1150.000000	94.809593
1172.000000	94.933853
1180.000000	94.980408
1206.000000	95.122299
1220.000000	95.195709
1241.000000	95.297775
1250.000000	95.343948
1265.000000	95.414482
1280.000000	95.475342
