* frequency_hz	amplitude
20.299999	101.080406
20.600000	101.100746
20.900000	101.116783
21.200001	101.133606
21.400000	101.145935
21.799999	101.171638
22.000000	101.183838
22.400000	101.204430
22.700001	101.215485
23.000000	101.223450
23.299999	101.229965
23.600000	101.236740
24.000000	101.247742
24.299999	101.256767
24.700001	101.267273
25.000000	101.272545
25.400000	101.276169
25.799999	101.278763
26.200001	101.283829
26.500000	101.290009
26.900000	101.300087
27.200001	101.307816
27.600000	101.318130
28.000000	101.330963
28.500000	101.355598
29.000000	101.387665
29.500000	101.413567
30.000000	101.419525
30.400000	101.411629
30.700001	101.404549
31.100000	101.402031
31.500000	101.411575
32.000000	101.432938
32.500000	101.448578
33.000000	101.451302
33.500000	101.449905
34.000000	101.454491
34.500000	101.462067
35.000000	101.462730
35.500000	101.456482
36.000000	101.455421
36.500000	101.467300
37.000000	101.483833
37.500000	101.490906
38.200001	101.483643
38.700001	101.481476
39.500000	101.492798
40.000000	101.493820
40.599998	101.480286
41.200001	101.464622
41.799999	101.461311
42.500000	101.468269
43.099998	101.470314
43.700001	101.467720
44.400002	101.469131
45.000000	101.473465
45.500000	101.470985
46.200001	101.452957
46.799999	101.435898
47.500000	101.430862
48.200001	101.432373
48.700001	101.427399
49.400002	101.417892
50.000000	101.418457
50.799999	101.420815
51.500000	101.407555
52.200001	101.391571
53.000000	101.383484
53.799999	101.373604
54.500000	101.363083
55.200001	101.350899
56.000000	101.329697
57.000000	101.325989
58.000000	101.330925
59.000000	101.297867
60.000000	101.271408
60.799999	101.253784
61.500000	101.242958
62.200001	101.234894
63.000000	101.218048
64.000000	101.203949
65.000000	101.188400
66.000000	101.157227
67.000000	101.142250
68.000000	101.126587
69.000000	101.106201
70.000000	101.087486
71.000000	101.068390
72.000000	101.045631
73.000000	101.026451
74.000000	101.004631
75.000000	100.981674
76.199997	100.961777
77.500000	100.930862
78.800003	100.902374
80.000000	100.879211
81.199997	100.853104
82.500000	100.823517
83.800003	100.802742
85.000000	100.779694
86.199997	100.751114
87.500000	100.719170
88.500000	100.696861
90.000000	100.664528
91.199997	100.633820
92.500000	100.604340
93.800003	100.574814
95.000000	100.547752
96.199997	100.524384
97.500000	100.489250
98.800003	100.459564
100.000000	100.436287
101.500000	100.401413
103.000000	100.364265
104.400002	100.339752
106.000000	100.299522
107.500000	100.266159
109.000000	100.231949
110.599998	100.193329
112.000000	100.164253
113.800003	100.127441
115.000000	100.099182
117.199997	100.047371
118.000000	100.030602
120.599998	99.973259
122.000000	99.942543
124.099998	99.898849
125.000000	99.879395
126.500000	99.845268
128.000000	99.814468
131.500000	99.736298
132.000000	99.725471
134.000000	99.685524
136.000000	99.642532
138.000000	99.604378
140.000000	99.558830
143.000000	99.498657
145.000000	99.459198
147.500000	99.406860
150.000000	99.360405
152.500000	99.306068
155.000000	99.260437
157.500000	99.210411
160.000000	99.162170
162.500000	99.114967
165.000000	99.070412
167.500000	99.020752
170.000000	98.969284
172.500000	98.920708
175.000000	98.877457
177.500000	98.833588
180.000000	98.790939
182.500000	98.746147
185.000000	98.699387
187.500000	98.653595
190.000000	98.603195
192.500000	98.551849
195.000000	98.501648
197.500000	98.455917
200.000000	98.406227
203.000000	98.347931
206.000000	98.282028
209.000000	98.209549
212.000000	98.136566
214.000000	98.107780
218.000000	97.999252
220.000000	97.980553
224.000000	97.880775
227.000000	97.824600
230.000000	97.789299
233.000000	97.746765
236.000000	97.690453
240.000000	97.624931
243.000000	97.588608
247.000000	97.516365
250.000000	97.416466
254.000000	97.340111
258.000000	97.251076
262.000000	97.133026
265.000000	97.077339
269.000000	97.017921
272.000000	96.956116
276.000000	96.842789
280.000000	96.800018
285.000000	96.743248
290.000000	96.679947
295.000000	96.593948
300.000000	96.525047
304.000000	96.514069
307.000000	96.462646
311.000000	96.431427
315.000000	96.390839
320.000000	96.346870
325.000000	96.307869
330.000000	96.259171
335.000000	96.235390
340.000000	96.181259
345.000000	96.139992
350.000000	96.116478
355.000000	96.084755
360.000000	96.036919
365.000000	95.992126
370.000000	95.958076
375.000000	95.919937
382.000000	95.871040
387.000000	95.839005
395.000000	95.787552
400.000000	95.746269
406.000000	95.702705
412.000000	95.674942
418.000000	95.617386
425.000000	95.588135
431.000000	95.534050
437.000000	95.507324
444.000000	95.446136
450.000000	95.441635
455.000000	95.421783
462.000000	95.378944
468.000000	95.365021
475.000000	95.337303
482.000000	95.299881
487.000000	95.288239
494.000000	95.235046
500.000000	95.198845
508.000000	95.156227
515.000000	95.123627
522.000000	95.065567
530.000000	95.040489
538.000000	94.990700
545.000000	94.942055
552.000000	94.923546
560.000000	94.878433
570.000000	94.812668
580.000000	94.772972
590.000000	94.720444
600.000000	94.667633
608.000000	94.634392
615.000000	94.601402
622.000000	94.570816
630.000000	94.534569
640.000000	94.489380
650.000000	94.448181
660.000000	94.406311
670.000000	94.367599
680.000000	94.328163
690.000000	94.292770
700.000000	94.257072
710.000000	94.221695
720.000000	94.191650
730.000000	94.160683
740.000000	94.135078
750.000000	94.108681
762.000000	94.074539
775.000000	94.047035
788.000000	94.026550
800.000000	94.005508
812.000000	93.987869
825.000000	93.975128
838.000000	93.967339
850.000000	93.962555
862.000000	93.961159
875.000000	93.966743
885.000000	93.973900
900.000000	93.987961
912.000000	94.007843
925.000000	94.029808
938.000000	94.063690
950.000000	94.093239
962.000000	94.130325
975.000000	94.175407
988.000000	94.224091
1000.000000	94.274704
1015.000000	94.344612
1030.000000	94.417625
1044.000000	94.489754
1060.000000	94.578323
1075.000000	94.664383
1090.000000	94.750175
1106.000000	94.846321
1120.000000	94.933853
1138.000000	95.040527
1150.000000	95.113075
1172.000000	95.243027
1180.000000	95.288849
1206.000000	95.435875
1220.000000	95.510216
1241.000000	95.622719
1250.000000	95.666893
1265.000000	95.735641
1280.000000	95.809540
1315.000000	95.965202
1320.000000	95.987610
1340.000000	96.072502
1360.000000	96.152977
1380.000000	96.236328
1400.000000	96.313965
1430.000000	96.438004
1450.000000	96.521713
1475.000000	96.628128
1500.000000	96.734802
1525.000000	96.853348
1550.000000	96.976059
1575.000000	97.106934
1600.000000	97.244965
1625.000000	97.392532
1650.000000	97.549667
1675.000000	97.715363
1700.000000	97.890999
1725.000000	98.077385
1750.000000	98.268448
1775.000000	98.467712
1800.000000	98.673485
1825.000000	98.885788
1850.000000	99.101662
1875.000000	99.314484
1900.000000	99.531029
1925.000000	99.743103
1950.000000	99.953163
1975.000000	100.152077
2000.000000	100.345055
2030.000000	100.558327
2060.000000	100.750511
2090.000000	100.918274
2120.000000	101.059464
2140.000000	101.138344
2180.000000	101.261314
2200.000000	101.305931
2240.000000	101.366379
2270.000000	101.392509
2300.000000	101.408546
2330.000000	101.420555
2360.000000	101.425385
2400.000000	101.423500
2430.000000	101.410439
2470.000000	101.382202
2500.000000	101.348419
2540.000000	101.299728
2580.000000	101.250992
2620.000000	101.206223
2650.000000	101.184158
2690.000000	101.164055
2720.000000	101.157982
2760.000000	101.156563
2800.000000	101.159973
2850.000000	101.170937
2900.000000	101.193169
2950.000000	101.226387
3000.000000	101.269577
3040.000000	101.310883
3070.000000	101.344185
3110.000000	101.394318
3150.000000	101.440926
3200.000000	101.498993
3250.000000	101.555511
3300.000000	101.608353
3350.000000	101.656403
3400.000000	101.696465
3450.000000	101.727821
3500.000000	101.751129
3550.000000	101.766953
3600.000000	101.769745
3650.000000	101.768326
3700.000000	101.755432
3750.000000	101.732117
3820.000000	101.687111
3870.000000	101.646385
3950.000000	101.571693
4000.000000	101.515785
4060.000000	101.442177
4120.000000	101.371178
4180.000000	101.292450
4250.000000	101.206757
4310.000000	101.135521
4370.000000	101.070396
4440.000000	101.004745
4500.000000	100.961319
4550.000000	100.931534
4620.000000	100.911308
4680.000000	100.910583
4750.000000	100.929977
4820.000000	100.965607
4870.000000	101.000351
4940.000000	101.058014
5000.000000	101.121231
5080.000000	101.229919
5150.000000	101.344780
5220.000000	101.486473
5300.000000	101.656052
5380.000000	101.832344
5450.000000	101.976288
5520.000000	102.094513
5600.000000	102.179626
5700.000000	102.196945
5800.000000	102.100952
5900.000000	101.914192
6000.000000	101.659340
6080.000000	101.417046
6150.000000	101.188599
6220.000000	100.931610
6300.000000	100.632721
6400.000000	100.246857
6500.000000	99.860214
6600.000000	99.490059
6700.000000	99.144615
6800.000000	98.825378
6900.000000	98.542915
7000.000000	98.296906
7100.000000	98.107803
7200.000000	97.977432
7300.000000	97.906921
7400.000000	97.891754
7500.000000	97.930618
7620.000000	98.031624
7750.000000	98.187790
7880.000000	98.360283
8000.000000	98.472115
8120.000000	98.467262
8250.000000	98.258438
8380.000000	97.685928
8500.000000	96.628029
8620.000000	98.831390
8750.000000	98.197380
8850.000000	97.461395
9000.000000	96.604050
9120.000000	96.108902
9250.000000	95.746872
9380.000000	95.575844
9500.000000	95.565811
9620.000000	95.694618
9750.000000	95.968536
9880.000000	96.348724
10000.000000	96.757874
10150.000000	97.285942
10300.000000	97.699692
10440.000000	97.843361
10600.000000	97.557411
10750.000000	96.933403
10900.000000	96.280029
11060.000000	95.614281
11200.000000	95.007622
11380.000000	94.203789
11500.000000	93.684952
11720.000000	92.767143
11800.000000	92.453094
12060.000000	91.457390
12200.000000	90.932411
12410.000000	90.195679
12500.000000	89.902313
12650.000000	89.379814
12800.000000	88.888130
13150.000000	87.864258
13200.000000	87.749481
13400.000000	87.260422
13600.000000	86.871506
13800.000000	86.577911
14000.000000	86.410141
14300.000000	86.321892
14500.000000	86.442970
14750.000000	86.776527
15000.000000	87.279343
15250.000000	87.936157
15500.000000	88.714249
15750.000000	89.507164
16000.000000	90.222290
16250.000000	90.821121
16500.000000	91.298843
16750.000000	91.580093
17000.000000	91.254890
17250.000000	89.701149
17500.000000	86.978737
17750.000000	84.013184
18000.000000	81.297211
18250.000000	78.890831
18500.000000	76.663353
18750.000000	74.198471
19000.000000	71.238121
19250.000000	66.668159
19500.000000	61.913216
19750.000000	65.355209
