* frequency_hz	amplitude
20.299999	106.367
20.600000	106.371
20.900000	106.367
21.200001	106.361
21.400000	106.357
21.799999	106.349
22.000000	106.345
22.400000	106.336
22.700001	106.330
23.000000	106.324
23.299999	106.319
23.600000	106.314
24.000000	106.306
24.299999	106.299
24.700001	106.288
25.000000	106.279
25.400000	106.267
25.799999	106.254
26.200001	106.242
26.500000	106.232
26.900000	106.217
27.200001	106.204
27.600000	106.186
28.000000	106.169
28.500000	106.148
29.000000	106.128
29.500000	106.106
30.000000	106.083
30.400000	106.063
30.700001	106.047
31.100000	106.026
31.500000	106.006
32.000000	105.980
32.500000	105.954
33.000000	105.928
33.500000	105.902
34.000000	105.876
34.500000	105.848
35.000000	105.819
35.500000	105.789
36.000000	105.760
36.500000	105.730
37.000000	105.700
37.500000	105.670
38.200001	105.627
38.700001	105.597
39.500000	105.550
40.000000	105.520
40.599998	105.484
41.200001	105.447
41.799999	105.409
42.500000	105.365
43.099998	105.328
43.700001	105.290
44.400002	105.243
45.000000	105.204
45.500000	105.174
46.200001	105.131
46.799999	105.089
47.500000	105.040
48.200001	104.998
48.700001	104.969
49.400002	104.924
50.000000	104.883
50.799999	104.828
51.500000	104.782
52.200001	104.737
53.000000	104.688
53.799999	104.637
54.500000	104.589
55.200001	104.542
56.000000	104.491
57.000000	104.426
58.000000	104.362
59.000000	104.297
60.000000	104.222
60.799999	104.176
61.500000	104.141
62.200001	104.098
63.000000	104.044
64.000000	103.981
65.000000	103.917
66.000000	103.853
67.000000	103.793
68.000000	103.732
69.000000	103.673
70.000000	103.606
71.000000	103.539
72.000000	103.486
73.000000	103.424
74.000000	103.363
75.000000	103.305
76.199997	103.231
77.500000	103.151
78.800003	103.078
80.000000	103.008
81.199997	102.937
82.500000	102.865
83.800003	102.790
85.000000	102.725
86.199997	102.657
87.500000	102.586
88.500000	102.532
90.000000	102.448
91.199997	102.383
92.500000	102.314
93.800003	102.246
95.000000	102.182
96.199997	102.119
97.500000	102.053
98.800003	101.988
100.000000	101.927
101.500000	101.850
103.000000	101.776
104.400002	101.707
106.000000	101.627
107.500000	101.555
109.000000	101.481
110.599998	101.412
112.000000	101.341
113.800003	101.264
115.000000	101.201
117.199997	101.105
118.000000	101.084
120.599998	100.932
122.000000	100.887
124.099998	100.807
125.000000	100.761
126.500000	100.705
128.000000	100.637
131.500000	100.504
132.000000	100.483
134.000000	100.404
136.000000	100.325
138.000000	100.247
140.000000	100.178
143.000000	100.060
145.000000	99.988
147.500000	99.900
150.000000	99.815
