* frequency_hz	amplitude
20.299999	105.990204
20.600000	105.986977
20.900000	105.979988
21.200001	105.975861
21.400000	105.975800
21.799999	105.980682
22.000000	105.984291
22.400000	105.990845
22.700001	105.993332
23.000000	105.993637
23.299999	105.992493
23.600000	105.990845
24.000000	105.988602
24.299999	105.986557
24.700001	105.982468
25.000000	105.978210
25.400000	105.971855
25.799999	105.966583
26.200001	105.963455
26.500000	105.961975
26.900000	105.959091
27.200001	105.954842
27.600000	105.945511
28.000000	105.933083
28.500000	105.917015
29.000000	105.903992
29.500000	105.893257
30.000000	105.880707
30.400000	105.867706
30.700001	105.856598
31.100000	105.841354
31.500000	105.826981
32.000000	105.810501
32.500000	105.793884
33.000000	105.775703
33.500000	105.757095
34.000000	105.740196
34.500000	105.725250
35.000000	105.710152
35.500000	105.692802
36.000000	105.672882
36.500000	105.651489
37.000000	105.629997
37.500000	105.609215
38.200001	105.581413
38.700001	105.561821
39.500000	105.529251
40.000000	105.507858
40.599998	105.481544
41.200001	105.455444
41.799999	105.430038
42.500000	105.399117
43.099998	105.369164
43.700001	105.337921
44.400002	105.305534
45.000000	105.281174
45.500000	105.260239
46.200001	105.227974
46.799999	105.198708
47.500000	105.162880
48.200001	105.126129
48.700001	105.102104
49.400002	105.072838
50.000000	105.047516
50.799999	105.008148
51.500000	104.971336
52.200001	104.935104
53.000000	104.894295
53.799999	104.856369
54.500000	104.825119
55.200001	104.791565
56.000000	104.750450
57.000000	104.704132
58.000000	104.661774
59.000000	104.614952
60.000000	104.563980
60.799999	104.521629
61.500000	104.485580
62.200001	104.451401
63.000000	104.414139
64.000000	104.367165
65.000000	104.315674
66.000000	104.265160
67.000000	104.220284
68.000000	104.174782
69.000000	104.125648
70.000000	104.080917
71.000000	104.035881
72.000000	103.987144
73.000000	103.940880
74.000000	103.893356
75.000000	103.846230
76.199997	103.789742
77.500000	103.731155
78.800003	103.670815
80.000000	103.617821
81.199997	103.565201
82.500000	103.503906
83.800003	103.448257
85.000000	103.397049
86.199997	103.344223
87.500000	103.282196
88.500000	103.237289
90.000000	103.177666
91.199997	103.130501
92.500000	103.070610
93.800003	103.014801
95.000000	102.969261
96.199997	102.916267
97.500000	102.865120
98.800003	102.814346
100.000000	102.767662
101.500000	102.706894
103.000000	102.646751
104.400002	102.589684
106.000000	102.523926
107.500000	102.468750
109.000000	102.413651
110.599998	102.355423
112.000000	102.315506
113.800003	102.250412
115.000000	102.200104
117.199997	102.124817
118.000000	102.098068
120.599998	102.004509
122.000000	101.949326
124.099998	101.892967
125.000000	101.862595
126.500000	101.809959
128.000000	101.757278
131.500000	101.649498
132.000000	101.634262
134.000000	101.563828
136.000000	101.505333
138.000000	101.446289
140.000000	101.386574
143.000000	101.298561
145.000000	101.242928
