* frequency_hz	amplitude
20.299999	62.674206
20.600000	61.845318
20.900000	61.607262
21.200001	62.218349
21.400000	62.942192
21.799999	64.490105
22.000000	65.102859
22.400000	65.750755
22.700001	65.582916
23.000000	64.794922
23.299999	63.442257
23.600000	61.843357
24.000000	60.662033
24.299999	61.072716
24.700001	62.469955
25.000000	63.635139
25.400000	65.195152
25.799999	66.572426
26.200001	67.672440
26.500000	68.367599
26.900000	69.065414
27.200001	69.242935
27.600000	68.681686
28.000000	67.114822
28.500000	65.870346
29.000000	68.319939
29.500000	70.792130
30.000000	71.769119
30.400000	71.639725
30.700001	71.069191
31.100000	69.684555
31.500000	67.746765
32.000000	66.031906
32.500000	66.711235
33.000000	67.760139
33.500000	67.797745
34.000000	67.037102
34.500000	66.360420
35.000000	66.581001
35.500000	67.298325
36.000000	67.798851
36.500000	68.063309
37.000000	68.433807
37.500000	68.896439
38.200001	68.950348
38.700001	68.468903
39.500000	68.380836
40.000000	69.052490
40.599998	69.575897
41.200001	69.503708
41.799999	69.317863
42.500000	69.381592
43.099998	69.410393
43.700001	69.497284
44.400002	69.990494
45.000000	70.363853
45.500000	70.465744
46.200001	70.689949
46.799999	71.036964
47.500000	70.916534
48.200001	70.151657
48.700001	69.807976
49.400002	70.319481
50.000000	71.128998
50.799999	71.713272
51.500000	71.635818
52.200001	71.367897
53.000000	71.458328
53.799999	71.965645
54.500000	72.325935
55.200001	72.534241
56.000000	72.601379
57.000000	72.604073
58.000000	73.039879
59.000000	73.275330
60.000000	73.167648
60.799999	73.159302
61.500000	73.242744
62.200001	73.498161
63.000000	73.799576
64.000000	73.783432
65.000000	73.854813
66.000000	74.127281
67.000000	74.189247
68.000000	74.438286
69.000000	74.751419
70.000000	74.902428
71.000000	75.264633
72.000000	75.423119
73.000000	75.528252
74.000000	75.616005
75.000000	75.648613
76.199997	76.045502
77.500000	76.119255
78.800003	76.209099
80.000000	76.497078
81.199997	76.661079
82.500000	76.866875
83.800003	77.123535
85.000000	77.360931
86.199997	77.472618
87.500000	77.494476
88.500000	77.704712
90.000000	77.945160
91.199997	78.193779
92.500000	78.364677
93.800003	78.479004
95.000000	78.630417
96.199997	78.796883
97.500000	79.099693
98.800003	79.134796
100.000000	79.341904
101.500000	79.543640
103.000000	79.717354
104.400002	79.830231
106.000000	80.261047
107.500000	80.513474
109.000000	80.759026
110.599998	80.776657
112.000000	80.901329
113.800003	81.142212
115.000000	81.307159
117.199997	81.557541
118.000000	81.733116
120.599998	81.873947
122.000000	82.142662
124.099998	82.419868
125.000000	82.524689
126.500000	82.690933
128.000000	82.932762
131.500000	83.390251
132.000000	83.418419
134.000000	83.705940
136.000000	83.919250
138.000000	84.170578
140.000000	84.500397
143.000000	84.779060
145.000000	84.944954
147.500000	85.188599
150.000000	85.454491
152.500000	85.743057
155.000000	86.122063
157.500000	86.379372
160.000000	86.615456
162.500000	87.036591
165.000000	87.347809
167.500000	87.617249
170.000000	87.640205
172.500000	87.979134
175.000000	88.206680
177.500000	88.500710
180.000000	88.799171
182.500000	88.906784
185.000000	89.247353
187.500000	89.437347
190.000000	89.718628
192.500000	89.900497
195.000000	90.114067
197.500000	90.340912
200.000000	90.567665
203.000000	90.795860
206.000000	91.039215
209.000000	91.265945
212.000000	91.508080
214.000000	91.571381
218.000000	91.862579
220.000000	91.993614
224.000000	92.218246
227.000000	92.391106
230.000000	92.553017
233.000000	92.689148
236.000000	92.858208
240.000000	92.982605
243.000000	93.101799
247.000000	93.246956
250.000000	93.335594
254.000000	93.435638
258.000000	93.538055
262.000000	93.629356
265.000000	93.664780
269.000000	93.767380
272.000000	93.783707
276.000000	93.821259
280.000000	93.869171
285.000000	93.896278
290.000000	93.914307
295.000000	93.933998
300.000000	93.955704
304.000000	93.943802
307.000000	93.936813
311.000000	93.926033
315.000000	93.919708
320.000000	93.913597
325.000000	93.905312
330.000000	93.889488
335.000000	93.872345
340.000000	93.859856
345.000000	93.855209
350.000000	93.837212
355.000000	93.823105
360.000000	93.813866
365.000000	93.801834
370.000000	93.798531
375.000000	93.789772
382.000000	93.790771
387.000000	93.788834
395.000000	93.799866
400.000000	93.800850
406.000000	93.819313
412.000000	93.833763
418.000000	93.855850
425.000000	93.889214
431.000000	93.919075
437.000000	93.953117
444.000000	93.993256
450.000000	94.036331
455.000000	94.079681
462.000000	94.136322
468.000000	94.191536
475.000000	94.267830
482.000000	94.342270
487.000000	94.401169
494.000000	94.493095
500.000000	94.579208
508.000000	94.695839
515.000000	94.810097
522.000000	94.933456
530.000000	95.080544
538.000000	95.236961
545.000000	95.377045
552.000000	95.522812
560.000000	95.712601
570.000000	95.944595
580.000000	96.187004
590.000000	96.447449
600.000000	96.722412
608.000000	96.954773
615.000000	97.158546
622.000000	97.373444
630.000000	97.619713
640.000000	97.932251
650.000000	98.246162
660.000000	98.567276
670.000000	98.876953
680.000000	99.171761
690.000000	99.448212
700.000000	99.688622
710.000000	99.872040
720.000000	99.995819
730.000000	100.029175
740.000000	99.979492
750.000000	99.834412
762.000000	99.548294
775.000000	99.100021
788.000000	98.546837
800.000000	97.963409
812.000000	97.340881
825.000000	96.631401
838.000000	95.917374
850.000000	95.253815
862.000000	94.606392
875.000000	93.917610
885.000000	93.395973
900.000000	92.647621
912.000000	92.070602
925.000000	91.456306
938.000000	90.881035
950.000000	90.364716
962.000000	89.867966
975.000000	89.331573
988.000000	88.826263
1000.000000	88.369057
1015.000000	87.827148
1030.000000	87.302948
1044.000000	86.827477
1060.000000	86.299149
1075.000000	85.799988
1090.000000	85.297241
1106.000000	84.806656
1120.000000	84.532349
1138.000000	84.035637
1150.000000	83.688507
1172.000000	83.033241
1180.000000	82.792534
1206.000000	81.569672
1220.000000	80.305870
1241.000000	76.044907
1250.000000	73.327209
1265.000000	71.679153
1280.000000	73.859741
1315.000000	76.748459
1320.000000	76.968079
1340.000000	77.697990
1360.000000	78.298340
1380.000000	78.897247
1400.000000	79.501747
1430.000000	80.424530
1450.000000	81.077271
1475.000000	81.962181
1500.000000	82.844139
1525.000000	83.764565
1550.000000	84.684151
1575.000000	85.651001
1600.000000	86.626564
1625.000000	87.616676
1650.000000	88.639389
1675.000000	89.694077
1700.000000	90.750351
1725.000000	91.810402
1750.000000	92.833015
1775.000000	93.752861
1800.000000	94.502357
1825.000000	94.988373
1850.000000	95.144531
1875.000000	94.975708
1900.000000	94.533554
1925.000000	93.927536
1950.000000	93.230042
1975.000000	92.505013
2000.000000	91.790031
2030.000000	90.959518
2060.000000	90.173286
2090.000000	89.448433
2120.000000	88.792358
2140.000000	88.375961
2180.000000	87.606735
2200.000000	87.241760
2240.000000	86.579727
2270.000000	86.128319
2300.000000	85.694870
2330.000000	85.296532
2360.000000	84.937149
2400.000000	84.479462
2430.000000	84.164993
2470.000000	83.781189
2500.000000	83.525955
2540.000000	83.174629
2580.000000	82.869957
2620.000000	82.593262
2650.000000	82.394951
2690.000000	82.161285
2720.000000	82.026398
2760.000000	81.825562
2800.000000	81.658134
2850.000000	81.496262
2900.000000	81.298515
2950.000000	81.145638
3000.000000	81.012199
3040.000000	80.945572
3070.000000	80.885925
3110.000000	80.833649
3150.000000	80.757538
3200.000000	80.716858
3250.000000	80.682220
3300.000000	80.646523
3350.000000	80.632484
3400.000000	80.645638
3450.000000	80.657654
3500.000000	80.682449
3550.000000	80.727821
3600.000000	80.812035
3650.000000	80.876129
3700.000000	80.966736
3750.000000	81.062576
3820.000000	81.198616
3870.000000	81.302711
3950.000000	81.513008
4000.000000	81.696236
4060.000000	81.795242
4120.000000	82.003387
4180.000000	82.214455
4250.000000	82.476151
4310.000000	82.715065
4370.000000	82.999306
4440.000000	83.319771
4500.000000	83.591782
4550.000000	83.812393
4620.000000	84.059807
4680.000000	84.155121
4750.000000	84.073372
4820.000000	83.736290
4870.000000	83.337738
4940.000000	82.668800
5000.000000	82.094879
5080.000000	81.544151
5150.000000	80.864456
5220.000000	81.324287
5300.000000	82.197144
5380.000000	83.294052
5450.000000	84.385826
5520.000000	85.582909
5600.000000	87.026634
5700.000000	88.900322
5800.000000	90.610428
5900.000000	91.713455
6000.000000	91.787178
6080.000000	91.121750
6150.000000	90.292191
6220.000000	89.369873
6300.000000	88.322189
6400.000000	87.118637
6500.000000	86.078728
6600.000000	85.224968
6700.000000	84.533493
6800.000000	83.999138
6900.000000	83.598404
7000.000000	83.317787
7100.000000	83.173592
7200.000000	83.113258
7300.000000	83.173485
7400.000000	83.320457
7500.000000	83.559959
7620.000000	83.956299
7750.000000	84.539467
7880.000000	85.175079
8000.000000	85.691505
8120.000000	85.865189
8250.000000	85.338394
8380.000000	84.003868
8500.000000	82.334335
8620.000000	80.489563
8750.000000	78.506058
8850.000000	77.067375
9000.000000	75.020264
9120.000000	73.619690
9250.000000	72.194260
9380.000000	70.901611
9500.000000	69.786491
9620.000000	68.782021
9750.000000	67.944542
9880.000000	66.979828
10000.000000	65.853188
10150.000000	65.251640
10300.000000	64.326622
10440.000000	63.752651
10600.000000	62.895962
10750.000000	62.181347
10900.000000	61.696503
11060.000000	61.327644
11200.000000	60.586941
11380.000000	60.339497
11500.000000	60.083042
11720.000000	59.320831
11800.000000	59.538582
12060.000000	58.726986
12200.000000	58.908436
12410.000000	58.697838
12500.000000	58.799557
12650.000000	59.011692
12800.000000	59.132561
13150.000000	59.299717
13200.000000	59.922932
13400.000000	60.902287
13600.000000	61.819565
13800.000000	63.191776
14000.000000	64.539238
14300.000000	67.377602
14500.000000	69.802856
14750.000000	74.112320
15000.000000	79.091553
15250.000000	77.877457
15500.000000	73.710236
15750.000000	70.930702
16000.000000	68.996185
16250.000000	67.512405
16500.000000	66.597649
16750.000000	65.877449
17000.000000	65.169289
17250.000000	64.796722
17500.000000	64.794205
17750.000000	65.152382
18000.000000	65.181610
18250.000000	66.006966
18500.000000	66.982658
18750.000000	68.437416
19000.000000	70.479042
19250.000000	72.603821
19500.000000	72.163719
19750.000000	67.740669
