* frequency_hz	amplitude
20.000000	81.752045
20.299999	81.854309
20.600000	81.906723
20.900000	81.945816
21.200001	82.019073
21.400000	82.106033
21.799999	82.363899
22.000000	82.515793
22.400000	82.807213
22.700001	82.969574
23.000000	83.071678
23.299999	83.127045
23.600000	83.165405
24.000000	83.245995
24.299999	83.347961
24.700001	83.525833
25.000000	83.662582
25.400000	83.819313
25.799999	83.947632
26.200001	84.078827
26.500000	84.196335
26.900000	84.373604
27.200001	84.503685
27.600000	84.641350
28.000000	84.727882
28.500000	84.806107
29.000000	84.939667
29.500000	85.157661
30.000000	85.387985
30.400000	85.524277
30.700001	85.588882
31.100000	85.640503
31.500000	85.687180
32.000000	85.780327
32.500000	85.914619
33.000000	86.060745
33.500000	86.202530
34.000000	86.343765
34.500000	86.482277
35.000000	86.599640
35.500000	86.685471
36.000000	86.760681
36.500000	86.861053
37.000000	86.997032
37.500000	87.141808
38.200001	87.304329
38.700001	87.397591
39.500000	87.568405
40.000000	87.688248
40.599998	87.818802
41.200001	87.930191
41.799999	88.033577
42.500000	88.156219
43.099998	88.273132
43.700001	88.398987
44.400002	88.528824
45.000000	88.626534
45.500000	88.720169
46.200001	88.865662
46.799999	88.964355
47.500000	89.055458
48.200001	89.175407
48.700001	89.264435
49.400002	89.353737
50.000000	89.435539
50.799999	89.600967
51.500000	89.717361
52.200001	89.787636
53.000000	89.915756
53.799999	90.056160
54.500000	90.126328
55.200001	90.213585
56.000000	90.375183
57.000000	90.545456
58.000000	90.666885
59.000000	90.814842
60.000000	90.950607
60.799999	91.034599
61.500000	91.109489
62.200001	91.195015
63.000000	91.305489
64.000000	91.437958
65.000000	91.542374
66.000000	91.665215
67.000000	91.784744
68.000000	91.900040
69.000000	92.025551
70.000000	92.117470
71.000000	92.231903
72.000000	92.338287
73.000000	92.416893
74.000000	92.532738
75.000000	92.623909
76.199997	92.735245
77.500000	92.888039
78.800003	92.976166
80.000000	93.116074
81.199997	93.228333
82.500000	93.339195
83.800003	93.447495
85.000000	93.553810
86.199997	93.666397
87.500000	93.771812
88.500000	93.850029
90.000000	93.973045
91.199997	94.062767
92.500000	94.160141
93.800003	94.262901
95.000000	94.352150
96.199997	94.436554
97.500000	94.536697
98.800003	94.623779
100.000000	94.706818
101.500000	94.808647
103.000000	94.907799
104.400002	94.997406
106.000000	95.102501
107.500000	95.194397
109.000000	95.288055
110.599998	95.384911
112.000000	95.464233
113.800003	95.568291
115.000000	95.640686
117.199997	95.761116
118.000000	95.805206
120.599998	95.941818
122.000000	96.019173
124.099998	96.128357
125.000000	96.173523
126.500000	96.246483
128.000000	96.319534
131.500000	96.485352
132.000000	96.509544
134.000000	96.603271
136.000000	96.690620
138.000000	96.779579
140.000000	96.864632
143.000000	96.990829
145.000000	97.075478
147.500000	97.171211
150.000000	97.268745
152.500000	97.366463
155.000000	97.455826
157.500000	97.548462
160.000000	97.635620
162.500000	97.720818
165.000000	97.808044
167.500000	97.890099
170.000000	97.971733
172.500000	98.051071
175.000000	98.132668
177.500000	98.205093
180.000000	98.273621
182.500000	98.353638
185.000000	98.424332
187.500000	98.497231
190.000000	98.566597
192.500000	98.633972
195.000000	98.703812
197.500000	98.773132
200.000000	98.835754
203.000000	98.913033
206.000000	98.991135
209.000000	99.066368
212.000000	99.140709
214.000000	99.189453
218.000000	99.285164
220.000000	99.333496
224.000000	99.426247
227.000000	99.497314
230.000000	99.563187
233.000000	99.629379
236.000000	99.695511
240.000000	99.791580
243.000000	99.853333
247.000000	99.940117
250.000000	100.006706
254.000000	100.091667
258.000000	100.179268
262.000000	100.264084
265.000000	100.325607
269.000000	100.413094
272.000000	100.474792
276.000000	100.558548
280.000000	100.641754
285.000000	100.745247
290.000000	100.849434
295.000000	100.950432
300.000000	101.054016
304.000000	101.133240
307.000000	101.191788
311.000000	101.269936
315.000000	101.345413
320.000000	101.441193
325.000000	101.533554
330.000000	101.627274
335.000000	101.717896
340.000000	101.806244
345.000000	101.888878
350.000000	101.968925
355.000000	102.044571
360.000000	102.116234
365.000000	102.185547
370.000000	102.248436
375.000000	102.303497
382.000000	102.376053
387.000000	102.421951
395.000000	102.483894
400.000000	102.511848
406.000000	102.531639
412.000000	102.535828
418.000000	102.520752
425.000000	102.481346
431.000000	102.439125
437.000000	102.384430
444.000000	102.303741
450.000000	102.224777
455.000000	102.146454
462.000000	102.013954
468.000000	101.884171
475.000000	101.709007
482.000000	101.516205
487.000000	101.364265
494.000000	101.134079
500.000000	100.924019
508.000000	100.624023
515.000000	100.349487
522.000000	100.061020
530.000000	99.722870
538.000000	99.373062
545.000000	99.064651
552.000000	98.747879
560.000000	98.382927
570.000000	97.922523
580.000000	97.461464
590.000000	97.004883
600.000000	96.548683
608.000000	96.192192
615.000000	95.877953
622.000000	95.569664
630.000000	95.216888
640.000000	94.783257
650.000000	94.354469
660.000000	93.936745
670.000000	93.521759
680.000000	93.109474
690.000000	92.708946
700.000000	92.313400
710.000000	91.922256
720.000000	91.535088
730.000000	91.157188
740.000000	90.784042
750.000000	90.417717
762.000000	89.978859
775.000000	89.513336
788.000000	89.046478
800.000000	88.605179
812.000000	88.157059
825.000000	87.651016
838.000000	87.077591
850.000000	86.455063
862.000000	85.722359
875.000000	85.187088
885.000000	85.567894
900.000000	86.120255
912.000000	86.032944
925.000000	85.760658
938.000000	85.450768
950.000000	85.142624
962.000000	84.841400
975.000000	84.523308
988.000000	84.223450
1000.000000	83.951469
1015.000000	83.609894
1030.000000	83.270317
1044.000000	82.974632
1060.000000	82.616867
1075.000000	82.297325
1090.000000	81.974991
1106.000000	81.627602
1120.000000	81.310371
1138.000000	80.891251
1150.000000	80.594925
1172.000000	79.989517
1180.000000	79.730522
1206.000000	78.727051
1220.000000	78.524750
1241.000000	79.306725
1250.000000	79.291519
1265.000000	79.007515
1280.000000	78.642921
1315.000000	77.810104
1320.000000	77.698288
1340.000000	77.252556
1360.000000	76.814972
1380.000000	76.404808
1400.000000	76.036728
1430.000000	75.558601
1450.000000	75.287369
1475.000000	75.049751
1500.000000	74.952667
1525.000000	74.960602
1550.000000	75.106781
1575.000000	75.372452
1600.000000	75.751785
1625.000000	76.192032
1650.000000	76.711105
1675.000000	77.276451
1700.000000	77.890877
1725.000000	78.519646
1750.000000	79.171097
1775.000000	79.841156
1800.000000	80.510040
1825.000000	81.179245
1850.000000	81.851807
1875.000000	82.502686
1900.000000	83.156960
1925.000000	83.791962
1950.000000	84.385086
1975.000000	84.966797
2000.000000	85.509132
2030.000000	86.071472
2060.000000	86.547981
2090.000000	86.924675
2120.000000	87.170212
2140.000000	87.274689
2180.000000	87.326271
2200.000000	87.285324
2240.000000	87.075180
2270.000000	86.835800
2300.000000	86.549583
2330.000000	86.231804
2360.000000	85.879005
2400.000000	85.408264
2430.000000	85.064735
2470.000000	84.601273
2500.000000	84.276764
2540.000000	83.851234
2580.000000	83.461784
2620.000000	83.088737
2650.000000	82.801918
2690.000000	82.459213
2720.000000	82.220840
2760.000000	81.937302
2800.000000	81.643242
2850.000000	81.310646
2900.000000	81.039108
2950.000000	80.799622
3000.000000	80.567772
3040.000000	80.430069
3070.000000	80.324600
3110.000000	80.222572
3150.000000	80.138451
3200.000000	80.055977
3250.000000	80.016518
3300.000000	80.021172
3350.000000	80.082741
3400.000000	80.188210
3450.000000	80.391846
3500.000000	80.647171
3550.000000	80.971161
3600.000000	81.408066
3650.000000	81.901039
3700.000000	82.465569
3750.000000	83.095978
3820.000000	84.023956
3870.000000	84.729843
3950.000000	85.889137
4000.000000	86.621040
4060.000000	87.491684
4120.000000	88.334213
4180.000000	89.120323
4250.000000	89.919456
4310.000000	90.460876
4370.000000	91.153191
4440.000000	91.703102
4500.000000	92.057045
4550.000000	92.281616
4620.000000	92.756157
4680.000000	92.975052
4750.000000	93.212219
4820.000000	93.455154
4870.000000	93.648071
4940.000000	93.934135
5000.000000	94.221245
5080.000000	94.669945
5150.000000	95.126320
5220.000000	95.639114
5300.000000	96.302948
5380.000000	97.029900
5450.000000	97.698914
5520.000000	98.348801
5600.000000	98.969856
5700.000000	99.337646
5800.000000	98.987411
5900.000000	97.971329
6000.000000	96.602051
6080.000000	95.459106
6150.000000	94.489693
6220.000000	93.591682
6300.000000	92.650879
6400.000000	91.623871
6500.000000	90.746597
6600.000000	89.999176
6700.000000	89.381668
6800.000000	88.882133
6900.000000	88.494186
7000.000000	88.220436
7100.000000	88.067596
7200.000000	88.056595
7300.000000	88.178482
7400.000000	88.444244
7500.000000	88.844406
7620.000000	89.543877
7750.000000	90.558167
7880.000000	91.693329
8000.000000	92.459747
8120.000000	92.296295
8250.000000	90.796768
8380.000000	88.626297
8500.000000	86.576035
8620.000000	84.636391
8750.000000	82.699638
8850.000000	81.347115
9000.000000	79.551422
9120.000000	78.250488
9250.000000	76.995834
9380.000000	75.814537
9500.000000	74.839890
9620.000000	73.989120
9750.000000	73.186188
9880.000000	72.407570
10000.000000	71.722794
10150.000000	70.969498
10300.000000	70.293816
10440.000000	69.583832
10600.000000	68.990761
10750.000000	68.565231
10900.000000	68.034721
11060.000000	67.687134
11200.000000	67.271782
11380.000000	67.042366
11500.000000	66.926773
11720.000000	66.783478
11800.000000	66.647911
12060.000000	66.915169
12200.000000	67.056076
12410.000000	67.441154
12500.000000	67.498070
12650.000000	67.673836
12800.000000	67.880859
13150.000000	68.646881
13200.000000	68.929008
13400.000000	69.386543
13600.000000	70.163391
13800.000000	71.051758
14000.000000	71.918404
14300.000000	73.283928
14500.000000	74.993881
14750.000000	78.598022
15000.000000	78.617805
15250.000000	73.309067
15500.000000	68.772804
15750.000000	64.995514
16000.000000	61.860893
16250.000000	58.604836
16500.000000	56.002747
16750.000000	52.422890
17000.000000	50.214066
17250.000000	46.476322
17500.000000	46.330456
17750.000000	43.547359
18000.000000	44.498901
18250.000000	45.290878
18500.000000	46.445213
18750.000000	46.339111
19000.000000	48.146072
19250.000000	50.247684
19500.000000	52.396778
19750.000000	54.316010
