* frequency_hz	amplitude
20.299999	100.759
20.600000	100.761
20.900000	100.758
21.200001	100.761
21.400000	100.768
21.799999	100.795
22.000000	100.811
22.400000	100.838
22.700001	100.848
23.000000	100.845
23.299999	100.834
23.600000	100.822
24.000000	100.816
24.299999	100.822
24.700001	100.841
25.000000	100.855
25.400000	100.864
25.799999	100.865
26.200001	100.871
26.500000	100.885
26.900000	100.915
27.200001	100.937
27.600000	100.953
28.000000	100.944
28.500000	100.909
29.000000	100.884
29.500000	100.892
30.000000	100.921
30.400000	100.939
30.700001	100.942
31.100000	100.934
31.500000	100.918
32.000000	100.904
32.500000	100.901
33.000000	100.904
33.500000	100.903
34.000000	100.895
34.500000	100.887
35.000000	100.882
35.500000	100.879
36.000000	100.876
36.500000	100.870
37.000000	100.866
37.500000	100.863
38.200001	100.859
38.700001	100.850
39.500000	100.835
40.000000	100.828
40.599998	100.822
41.200001	100.815
41.799999	100.808
42.500000	100.799
43.099998	100.787
43.700001	100.768
44.400002	100.751
45.000000	100.743
45.500000	100.735
46.200001	100.713
46.799999	100.700
47.500000	100.710
48.200001	100.713
48.700001	100.687
49.400002	100.641
50.000000	100.636
50.799999	100.655
51.500000	100.632
52.200001	100.598
53.000000	100.593
53.799999	100.582
54.500000	100.557
55.200001	100.546
56.000000	100.542
57.000000	100.521
58.000000	100.483
59.000000	100.431
60.000000	100.429
60.799999	100.425
61.500000	100.396
62.200001	100.371
63.000000	100.361
64.000000	100.341
65.000000	100.313
66.000000	100.286
67.000000	100.265
68.000000	100.239
69.000000	100.212
70.000000	100.185
71.000000	100.162
72.000000	100.141
73.000000	100.111
74.000000	100.082
75.000000	100.055
76.199997	100.031
77.500000	99.996
78.800003	99.960
80.000000	99.926
81.199997	99.897
82.500000	99.857
83.800003	99.827
85.000000	99.792
86.199997	99.761
87.500000	99.726
88.500000	99.698
90.000000	99.659
91.199997	99.628
92.500000	99.593
93.800003	99.553
95.000000	99.529
96.199997	99.495
97.500000	99.464
98.800003	99.425
100.000000	99.396
101.500000	99.345
103.000000	99.311
104.400002	99.277
106.000000	99.233
107.500000	99.193
109.000000	99.152
110.599998	99.111
112.000000	99.072
113.800003	99.028
115.000000	98.994
117.199997	98.934
118.000000	98.917
120.599998	98.822
122.000000	98.823
124.099998	98.769
125.000000	98.742
126.500000	98.708
128.000000	98.666
131.500000	98.581
132.000000	98.566
134.000000	98.519
136.000000	98.470
138.000000	98.425
140.000000	98.375
143.000000	98.306
145.000000	98.260
147.500000	98.203
150.000000	98.138
152.500000	98.089
155.000000	98.034
157.500000	97.976
160.000000	97.924
162.500000	97.856
165.000000	97.805
167.500000	97.752
170.000000	97.691
172.500000	97.630
175.000000	97.560
177.500000	97.501
180.000000	97.383
182.500000	97.375
185.000000	97.322
187.500000	97.306
190.000000	97.312
192.500000	97.336
195.000000	97.340
197.500000	97.325
200.000000	97.297
203.000000	97.253
206.000000	97.203
209.000000	97.155
212.000000	97.104
214.000000	97.075
218.000000	97.013
220.000000	96.984
224.000000	96.925
227.000000	96.879
230.000000	96.837
233.000000	96.798
236.000000	96.754
240.000000	96.700
243.000000	96.666
247.000000	96.612
250.000000	96.574
254.000000	96.526
258.000000	96.476
262.000000	96.428
265.000000	96.390
269.000000	96.347
272.000000	96.315
276.000000	96.270
280.000000	96.228
285.000000	96.176
290.000000	96.129
295.000000	96.078
300.000000	96.027
304.000000	95.995
307.000000	95.968
311.000000	95.930
315.000000	95.893
320.000000	95.852
325.000000	95.810
330.000000	95.773
335.000000	95.735
340.000000	95.693
345.000000	95.657
350.000000	95.620
355.000000	95.581
360.000000	95.549
365.000000	95.515
370.000000	95.480
375.000000	95.449
382.000000	95.407
387.000000	95.375
395.000000	95.329
400.000000	95.297
406.000000	95.266
412.000000	95.239
418.000000	95.207
425.000000	95.185
431.000000	95.168
437.000000	95.149
444.000000	95.126
450.000000	95.104
455.000000	95.086
462.000000	95.059
468.000000	95.040
475.000000	95.016
482.000000	94.994
487.000000	94.974
494.000000	94.953
500.000000	94.932
508.000000	94.903
515.000000	94.889
522.000000	94.867
530.000000	94.847
538.000000	94.820
545.000000	94.813
552.000000	94.792
560.000000	94.769
570.000000	94.746
580.000000	94.721
590.000000	94.701
600.000000	94.679
608.000000	94.655
615.000000	94.638
622.000000	94.624
630.000000	94.606
640.000000	94.589
650.000000	94.575
660.000000	94.554
670.000000	94.554
680.000000	94.545
690.000000	94.546
700.000000	94.543
710.000000	94.546
720.000000	94.535
730.000000	94.555
740.000000	94.559
750.000000	94.570
762.000000	94.581
775.000000	94.600
788.000000	94.617
800.000000	94.639
812.000000	94.664
825.000000	94.693
838.000000	94.719
850.000000	94.757
862.000000	94.797
875.000000	94.842
885.000000	94.877
900.000000	94.924
912.000000	94.990
925.000000	95.050
938.000000	95.118
950.000000	95.182
962.000000	95.247
975.000000	95.328
988.000000	95.407
1000.000000	95.486
1015.000000	95.590
1030.000000	95.700
1044.000000	95.805
1060.000000	95.923
1075.000000	96.040
1090.000000	96.159
1106.000000	96.288
1120.000000	96.399
1138.000000	96.543
1150.000000	96.638
1172.000000	96.814
1180.000000	96.875
1206.000000	97.073
1220.000000	97.176
1241.000000	97.326
1250.000000	97.390
1265.000000	97.492
1280.000000	97.590
1315.000000	97.808
1320.000000	97.827
1340.000000	97.956
1360.000000	98.071
1380.000000	98.185
1400.000000	98.287
1430.000000	98.443
1450.000000	98.543
1475.000000	98.668
1500.000000	98.783
1525.000000	98.915
1550.000000	99.034
1575.000000	99.156
1600.000000	99.280
1625.000000	99.402
1650.000000	99.523
1675.000000	99.642
1700.000000	99.760
1725.000000	99.878
1750.000000	99.993
1775.000000	100.104
1800.000000	100.218
1825.000000	100.324
1850.000000	100.431
1875.000000	100.536
1900.000000	100.639
1925.000000	100.745
1950.000000	100.848
1975.000000	100.949
2000.000000	101.050
2030.000000	101.167
2060.000000	101.285
2090.000000	101.401
2120.000000	101.512
2140.000000	101.585
2180.000000	101.728
2200.000000	101.799
2240.000000	101.930
2270.000000	102.025
2300.000000	102.116
2330.000000	102.201
2360.000000	102.281
2400.000000	102.383
2430.000000	102.450
2470.000000	102.534
2500.000000	102.591
2540.000000	102.660
2580.000000	102.718
2620.000000	102.774
2650.000000	102.807
2690.000000	102.847
2720.000000	102.875
2760.000000	102.905
2800.000000	102.930
2850.000000	102.957
2900.000000	102.979
2950.000000	102.998
3000.000000	103.014
3040.000000	103.027
3070.000000	103.037
3110.000000	103.050
3150.000000	103.062
3200.000000	103.081
3250.000000	103.100
3300.000000	103.122
3350.000000	103.143
3400.000000	103.165
3450.000000	103.190
3500.000000	103.216
3550.000000	103.240
3600.000000	103.265
3650.000000	103.286
3700.000000	103.306
3750.000000	103.324
3820.000000	103.340
3870.000000	103.348
3950.000000	103.354
4000.000000	103.351
4060.000000	103.347
4120.000000	103.347
4180.000000	103.350
4250.000000	103.362
4310.000000	103.376
4370.000000	103.396
4440.000000	103.423
4500.000000	103.451
4550.000000	103.467
4620.000000	103.470
4680.000000	103.457
4750.000000	103.421
4820.000000	103.361
4870.000000	103.307
4940.000000	103.212
5000.000000	103.118
5080.000000	102.963
5150.000000	102.806
5220.000000	102.630
5300.000000	102.410
5380.000000	102.186
5450.000000	101.993
5520.000000	101.808
5600.000000	101.610
5700.000000	101.374
5800.000000	101.151
5900.000000	100.940
6000.000000	100.741
6080.000000	100.608
6150.000000	100.500
6220.000000	100.418
6300.000000	100.343
6400.000000	100.288
6500.000000	100.271
6600.000000	100.298
6700.000000	100.361
6800.000000	100.475
6900.000000	100.629
7000.000000	100.834
7100.000000	101.091
7200.000000	101.404
7300.000000	101.777
7400.000000	102.198
7500.000000	102.659
7620.000000	103.239
7750.000000	103.849
7880.000000	104.333
8000.000000	104.543
8120.000000	104.420
8250.000000	103.900
8380.000000	103.080
8500.000000	102.175
8620.000000	101.189
8750.000000	100.097
8850.000000	99.271
9000.000000	98.099
9120.000000	97.237
9250.000000	96.374
9380.000000	95.584
9500.000000	94.925
9620.000000	94.331
9750.000000	93.732
9880.000000	93.219
10000.000000	92.799
10150.000000	92.349
10300.000000	91.976
10440.000000	91.701
10600.000000	91.477
10750.000000	91.362
10900.000000	91.321
11060.000000	91.379
11200.000000	91.516
11380.000000	91.824
11500.000000	92.107
11720.000000	92.811
11800.000000	93.135
12060.000000	94.475
12200.000000	95.421
12410.000000	97.211
12500.000000	98.154
12650.000000	99.976
12800.000000	102.124
13150.000000	105.086
13200.000000	104.671
13400.000000	101.880
13600.000000	99.116
13800.000000	96.939
14000.000000	95.272
14300.000000	93.478
14500.000000	92.659
14750.000000	91.978
15000.000000	91.631
15250.000000	91.611
15500.000000	91.982
15750.000000	92.807
16000.000000	94.143
16250.000000	95.649
16500.000000	96.209
16750.000000	95.035
17000.000000	92.562
17250.000000	89.312
17500.000000	87.207
17750.000000	85.945
18000.000000	84.959
18250.000000	84.126
18500.000000	83.426
18750.000000	82.722
19000.000000	82.026
19250.000000	81.019
19500.000000	79.749
19750.000000	77.607
