* frequency_hz	amplitude
20.299999	99.244514
20.600000	99.267548
20.900000	99.284943
21.200001	99.304001
21.400000	99.318436
21.799999	99.348618
22.000000	99.362717
22.400000	99.387085
22.700001	99.403084
23.000000	99.420273
23.299999	99.441391
23.600000	99.467323
24.000000	99.505707
24.299999	99.532280
24.700001	99.558968
25.000000	99.572205
25.400000	99.585228
25.799999	99.599617
26.200001	99.618195
26.500000	99.633339
26.900000	99.651711
27.200001	99.662987
27.600000	99.675873
28.000000	99.688629
28.500000	99.705559
29.000000	99.720207
29.500000	99.729774
30.000000	99.735786
30.400000	99.739975
30.700001	99.743507
31.100000	99.749748
31.500000	99.759697
32.000000	99.778931
32.500000	99.800896
33.000000	99.813484
33.500000	99.810669
34.000000	99.801277
34.500000	99.798607
35.000000	99.804611
35.500000	99.810287
36.000000	99.810913
36.500000	99.812477
37.000000	99.820137
37.500000	99.828300
38.200001	99.827393
38.700001	99.824989
39.500000	99.840919
40.000000	99.855385
40.599998	99.863495
41.200001	99.864700
41.799999	99.862625
42.500000	99.849670
43.099998	99.837189
43.700001	99.839302
44.400002	99.847275
45.000000	99.836678
45.500000	99.822395
46.200001	99.819862
46.799999	99.828644
47.500000	99.824135
48.200001	99.815132
48.700001	99.820450
49.400002	99.830482
50.000000	99.823120
50.799999	99.804062
51.500000	99.800957
52.200001	99.805351
53.000000	99.807030
53.799999	99.799538
54.500000	99.785606
55.200001	99.773560
56.000000	99.765289
57.000000	99.755722
58.000000	99.736679
59.000000	99.705444
60.000000	99.705750
60.799999	99.712524
61.500000	99.704353
62.200001	99.692520
63.000000	99.681801
64.000000	99.669022
65.000000	99.657539
66.000000	99.641075
67.000000	99.625092
68.000000	99.610977
69.000000	99.592354
70.000000	99.577629
71.000000	99.567238
72.000000	99.549538
73.000000	99.530258
74.000000	99.513084
75.000000	99.495338
76.199997	99.477905
77.500000	99.457794
78.800003	99.434647
80.000000	99.416969
81.199997	99.387924
82.500000	99.369919
83.800003	99.348480
85.000000	99.331062
86.199997	99.309425
87.500000	99.284454
88.500000	99.262474
90.000000	99.237091
91.199997	99.217979
92.500000	99.194145
93.800003	99.170677
95.000000	99.150528
96.199997	99.126770
97.500000	99.104027
98.800003	99.076172
100.000000	99.053291
101.500000	99.029816
103.000000	98.998909
104.400002	98.956161
106.000000	98.928185
107.500000	98.907875
109.000000	98.886047
110.599998	98.858742
112.000000	98.828949
113.800003	98.794235
115.000000	98.771187
117.199997	98.724030
118.000000	98.715569
120.599998	98.661026
122.000000	98.633415
124.099998	98.591972
125.000000	98.576416
126.500000	98.547020
128.000000	98.520050
131.500000	98.449158
132.000000	98.440216
134.000000	98.401215
136.000000	98.362114
138.000000	98.323730
140.000000	98.287552
143.000000	98.226181
145.000000	98.187805
147.500000	98.139664
150.000000	98.091026
152.500000	98.039314
155.000000	97.989563
157.500000	97.937477
160.000000	97.882858
162.500000	97.832870
165.000000	97.782318
167.500000	97.733078
170.000000	97.668732
172.500000	97.608902
175.000000	97.549034
177.500000	97.478790
180.000000	97.408264
182.500000	97.341293
185.000000	97.269417
187.500000	97.208237
190.000000	97.150291
192.500000	97.126579
195.000000	97.138077
197.500000	97.172974
200.000000	97.215698
203.000000	97.256302
206.000000	97.262344
209.000000	97.263741
212.000000	97.231964
214.000000	97.211311
218.000000	97.165703
220.000000	97.139168
224.000000	97.083366
227.000000	97.039078
230.000000	96.998856
233.000000	96.952194
236.000000	96.909180
240.000000	96.847908
243.000000	96.813293
247.000000	96.746399
250.000000	96.706284
254.000000	96.645073
258.000000	96.602516
262.000000	96.542351
265.000000	96.503563
269.000000	96.449638
272.000000	96.409805
276.000000	96.356262
280.000000	96.309700
285.000000	96.244781
290.000000	96.184029
295.000000	96.126839
300.000000	96.068718
304.000000	96.019836
307.000000	95.985695
311.000000	95.938858
315.000000	95.888069
320.000000	95.830940
325.000000	95.777565
330.000000	95.722702
335.000000	95.666725
340.000000	95.610275
345.000000	95.557800
350.000000	95.503830
355.000000	95.453156
360.000000	95.405960
365.000000	95.361168
370.000000	95.319786
375.000000	95.282715
382.000000	95.226273
387.000000	95.189087
395.000000	95.115776
400.000000	95.067467
406.000000	95.013306
412.000000	94.959404
418.000000	94.900368
425.000000	94.844543
431.000000	94.789658
437.000000	94.731689
444.000000	94.671021
450.000000	94.621437
455.000000	94.587700
462.000000	94.562378
468.000000	94.543213
475.000000	94.507637
482.000000	94.461449
487.000000	94.431213
494.000000	94.388649
500.000000	94.333862
508.000000	94.194633
515.000000	93.998703
522.000000	93.811691
530.000000	93.683693
538.000000	93.592323
545.000000	93.528259
552.000000	93.460999
560.000000	93.386490
570.000000	93.286331
580.000000	93.184212
590.000000	93.075386
600.000000	92.956383
608.000000	92.859276
615.000000	92.771088
622.000000	92.681152
630.000000	92.575974
640.000000	92.437012
650.000000	92.295486
660.000000	92.150101
670.000000	92.005684
680.000000	91.860100
690.000000	91.718719
700.000000	91.586533
710.000000	91.474419
720.000000	91.387787
730.000000	91.331001
740.000000	91.326477
750.000000	91.362823
762.000000	91.483276
775.000000	91.695351
788.000000	91.974983
800.000000	92.280304
812.000000	92.592590
825.000000	92.925095
838.000000	93.237022
850.000000	93.482834
862.000000	93.713837
875.000000	93.921463
885.000000	94.060760
900.000000	94.246681
912.000000	94.372726
925.000000	94.500023
938.000000	94.610657
950.000000	94.703804
962.000000	94.794273
975.000000	94.889969
988.000000	94.985954
1000.000000	95.069595
1015.000000	95.172745
1030.000000	95.276154
1044.000000	95.382103
1060.000000	95.499741
1075.000000	95.609871
1090.000000	95.723068
1106.000000	95.844681
1120.000000	95.949295
1138.000000	96.088272
1150.000000	96.183189
1172.000000	96.348938
1180.000000	96.406639
1206.000000	96.597565
1220.000000	96.694260
1241.000000	96.836761
1250.000000	96.898849
1265.000000	96.992203
1280.000000	97.084442
1315.000000	97.284233
1320.000000	97.314362
1340.000000	97.417679
1360.000000	97.515053
1380.000000	97.608856
1400.000000	97.695999
1430.000000	97.822197
1450.000000	97.900925
1475.000000	97.995689
1500.000000	98.088020
1525.000000	98.175407
1550.000000	98.260483
1575.000000	98.346695
1600.000000	98.432663
1625.000000	98.518776
1650.000000	98.607773
1675.000000	98.695480
1700.000000	98.785095
1725.000000	98.878120
1750.000000	98.973038
1775.000000	99.069916
1800.000000	99.168045
1825.000000	99.265793
1850.000000	99.367599
1875.000000	99.470154
1900.000000	99.574326
1925.000000	99.673141
1950.000000	99.770081
