* frequency_hz	amplitude
20.299999	102.408974
20.600000	102.458412
20.900000	102.502823
21.200001	102.548401
21.400000	102.580246
21.799999	102.645248
22.000000	102.676926
22.400000	102.736130
22.700001	102.776489
23.000000	102.815170
23.299999	102.854477
23.600000	102.895905
24.000000	102.952972
24.299999	102.992851
24.700001	103.035019
25.000000	103.056190
25.400000	103.073975
25.799999	103.090942
26.200001	103.118935
26.500000	103.149750
26.900000	103.199059
27.200001	103.236328
27.600000	103.278671
28.000000	103.310234
28.500000	103.340652
29.000000	103.372078
29.500000	103.407288
30.000000	103.439674
30.400000	103.459221
30.700001	103.469719
31.100000	103.479523
31.500000	103.487190
32.000000	103.498093
32.500000	103.513947
33.000000	103.535072
33.500000	103.558029
34.000000	103.578171
34.500000	103.593643
35.000000	103.605621
35.500000	103.615799
36.000000	103.625511
36.500000	103.636841
37.000000	103.651550
37.500000	103.667824
38.200001	103.683884
38.700001	103.688423
39.500000	103.693130
40.000000	103.694328
40.599998	103.687202
41.200001	103.676659
41.799999	103.679817
42.500000	103.703308
43.099998	103.717903
43.700001	103.714951
44.400002	103.704185
45.000000	103.701584
45.500000	103.702927
46.200001	103.704056
46.799999	103.702751
47.500000	103.697678
48.200001	103.687241
48.700001	103.677437
49.400002	103.665192
50.000000	103.660629
50.799999	103.660828
51.500000	103.651192
52.200001	103.627586
53.000000	103.608589
53.799999	103.605240
54.500000	103.594917
55.200001	103.580200
56.000000	103.572678
57.000000	103.554237
58.000000	103.530029
59.000000	103.516571
60.000000	103.483719
60.799999	103.459534
61.500000	103.445747
62.200001	103.430771
63.000000	103.412506
64.000000	103.391541
65.000000	103.366234
66.000000	103.342621
67.000000	103.320320
68.000000	103.288834
69.000000	103.258797
70.000000	103.232140
71.000000	103.198677
72.000000	103.163826
73.000000	103.127686
74.000000	103.098267
75.000000	103.068604
76.199997	103.027000
77.500000	102.978081
78.800003	102.933197
80.000000	102.889328
81.199997	102.844101
82.500000	102.797028
83.800003	102.749084
85.000000	102.704277
86.199997	102.659660
87.500000	102.614052
88.500000	102.574142
90.000000	102.513763
91.199997	102.471405
92.500000	102.429222
93.800003	102.372902
95.000000	102.321220
96.199997	102.276123
97.500000	102.232384
98.800003	102.178261
100.000000	102.125107
101.500000	102.068604
103.000000	102.002052
104.400002	101.946640
106.000000	101.873314
107.500000	101.812393
109.000000	101.751915
110.599998	101.679832
112.000000	101.614441
113.800003	101.544792
115.000000	101.493729
117.199997	101.398560
118.000000	101.365158
120.599998	101.262039
122.000000	101.192047
124.099998	101.112831
125.000000	101.074921
126.500000	101.013313
128.000000	100.952400
131.500000	100.802704
132.000000	100.783279
134.000000	100.694260
136.000000	100.608727
138.000000	100.519897
140.000000	100.429321
143.000000	100.298767
145.000000	100.207520
147.500000	100.099274
150.000000	99.983109
152.500000	99.882736
155.000000	99.783768
157.500000	99.677399
160.000000	99.595444
162.500000	99.397118
165.000000	99.400803
167.500000	99.294815
170.000000	99.197876
172.500000	99.100113
175.000000	98.994850
177.500000	98.894554
180.000000	98.796661
182.500000	98.693169
185.000000	98.593178
187.500000	98.493401
190.000000	98.398193
192.500000	98.301086
195.000000	98.203789
197.500000	98.114281
200.000000	98.015793
203.000000	97.902664
206.000000	97.794769
209.000000	97.685928
212.000000	97.580307
214.000000	97.507027
218.000000	97.368240
220.000000	97.296234
224.000000	97.163498
227.000000	97.065506
230.000000	96.963974
233.000000	96.869995
236.000000	96.770462
240.000000	96.650764
243.000000	96.551384
247.000000	96.430367
250.000000	96.347740
254.000000	96.229454
258.000000	96.118721
262.000000	96.011566
265.000000	95.926735
269.000000	95.823471
272.000000	95.750305
276.000000	95.648415
280.000000	95.551735
285.000000	95.433273
290.000000	95.317909
295.000000	95.208214
300.000000	95.112450
304.000000	95.024658
307.000000	94.966194
311.000000	94.889214
315.000000	94.813293
320.000000	94.727989
325.000000	94.640411
330.000000	94.556900
335.000000	94.486664
340.000000	94.408432
345.000000	94.339127
350.000000	94.274681
355.000000	94.208595
360.000000	94.155052
365.000000	94.093384
370.000000	94.040848
375.000000	93.987991
382.000000	93.928879
387.000000	93.892891
395.000000	93.845337
400.000000	93.823479
406.000000	93.790932
412.000000	93.751602
418.000000	93.722824
425.000000	93.706841
431.000000	93.683853
437.000000	93.670593
444.000000	93.656494
450.000000	93.643631
455.000000	93.634109
462.000000	93.621750
468.000000	93.611992
475.000000	93.601051
482.000000	93.596115
487.000000	93.607323
494.000000	93.597443
500.000000	93.595444
508.000000	93.597656
515.000000	93.598686
522.000000	93.610397
530.000000	93.615356
538.000000	93.625496
545.000000	93.633209
552.000000	93.643555
560.000000	93.660217
570.000000	93.672867
580.000000	93.694992
590.000000	93.715622
600.000000	93.734970
608.000000	93.755058
615.000000	93.770973
622.000000	93.790588
630.000000	93.810181
640.000000	93.833023
650.000000	93.860741
660.000000	93.881531
670.000000	93.919075
680.000000	93.948631
690.000000	93.979126
700.000000	94.011948
710.000000	94.044685
720.000000	94.074577
730.000000	94.116333
740.000000	94.145889
750.000000	94.150085
762.000000	94.133301
775.000000	94.113106
788.000000	94.119308
800.000000	94.142136
812.000000	94.170204
825.000000	94.210320
838.000000	94.250031
850.000000	94.291374
862.000000	94.334206
875.000000	94.385239
885.000000	94.422874
900.000000	94.487793
912.000000	94.536926
925.000000	94.592934
938.000000	94.657524
950.000000	94.716904
962.000000	94.780457
975.000000	94.851501
988.000000	94.924240
1000.000000	94.999367
1015.000000	95.092903
1030.000000	95.188950
1044.000000	95.285393
1060.000000	95.395927
1075.000000	95.503334
1090.000000	95.611130
1106.000000	95.729256
1120.000000	95.833420
1138.000000	95.967941
1150.000000	96.054718
1172.000000	96.217613
1180.000000	96.276382
1206.000000	96.465225
1220.000000	96.563400
1241.000000	96.709694
1250.000000	96.770912
1265.000000	96.871979
1280.000000	96.970459
1315.000000	97.193626
1320.000000	97.222267
1340.000000	97.344360
1360.000000	97.458519
1380.000000	97.572311
1400.000000	97.683495
1430.000000	97.845802
1450.000000	97.954636
1475.000000	98.086746
1500.000000	98.216103
1525.000000	98.347321
1550.000000	98.473824
1575.000000	98.601334
1600.000000	98.725998
1625.000000	98.846100
1650.000000	98.965019
1675.000000	99.076492
1700.000000	99.180420
1725.000000	99.280441
1750.000000	99.369461
1775.000000	99.448227
1800.000000	99.516373
1825.000000	99.565887
1850.000000	99.604080
1875.000000	99.618668
1900.000000	99.612442
1925.000000	99.588760
1950.000000	99.544960
1975.000000	99.484505
2000.000000	99.413628
2030.000000	99.325722
2060.000000	99.255829
2090.000000	99.208015
2120.000000	99.203514
2140.000000	99.227188
2180.000000	99.340149
2200.000000	99.426361
2240.000000	99.651482
2270.000000	99.851402
2300.000000	100.072144
2330.000000	100.297867
2360.000000	100.528030
2400.000000	100.821663
2430.000000	101.030991
2470.000000	101.286339
2500.000000	101.453964
2540.000000	101.646423
2580.000000	101.797340
2620.000000	101.906464
2650.000000	101.960327
2690.000000	101.994041
2720.000000	101.993263
2760.000000	101.959549
2800.000000	101.886963
2850.000000	101.763031
2900.000000	101.601837
2950.000000	101.411774
3000.000000	101.204346
3040.000000	101.030838
3070.000000	100.898224
3110.000000	100.719223
3150.000000	100.539566
3200.000000	100.323647
3250.000000	100.112747
3300.000000	99.913651
3350.000000	99.726219
3400.000000	99.549713
3450.000000	99.389145
3500.000000	99.235130
3550.000000	99.095299
3600.000000	98.970413
3650.000000	98.854233
3700.000000	98.748993
3750.000000	98.652878
3820.000000	98.535538
3870.000000	98.463959
3950.000000	98.361839
4000.000000	98.315765
4060.000000	98.287102
4120.000000	98.351448
4180.000000	98.426880
4250.000000	98.496887
4310.000000	98.720245
4370.000000	99.113411
4440.000000	99.765488
4500.000000	100.416260
4550.000000	100.950294
4620.000000	101.590851
4680.000000	102.025223
4750.000000	102.423660
4820.000000	102.743965
4870.000000	102.929054
4940.000000	103.125519
5000.000000	103.229118
5080.000000	103.252518
5150.000000	103.151878
5220.000000	102.928673
5300.000000	102.535965
5380.000000	102.019020
5450.000000	101.503601
5520.000000	100.964729
5600.000000	100.345879
5700.000000	99.578087
5800.000000	98.836632
5900.000000	98.127335
6000.000000	97.477081
6080.000000	97.000336
6150.000000	96.618126
6220.000000	96.277969
6300.000000	95.948059
6400.000000	95.636719
6500.000000	95.437393
6600.000000	95.362198
6700.000000	95.441254
6800.000000	95.687004
6900.000000	96.127678
7000.000000	96.774178
7100.000000	97.644081
7200.000000	98.735733
7300.000000	100.020355
7400.000000	101.416649
7500.000000	102.782867
7620.000000	104.099579
7750.000000	104.852936
7880.000000	104.986115
8000.000000	104.861069
8120.000000	104.734009
8250.000000	104.723587
8380.000000	104.871803
8500.000000	105.093658
8620.000000	105.270576
8750.000000	105.225471
8850.000000	104.913651
9000.000000	104.000877
9120.000000	103.047218
9250.000000	102.049774
9380.000000	101.314117
9500.000000	100.923058
9620.000000	100.724503
9750.000000	100.592194
9880.000000	100.389503
10000.000000	100.199203
10150.000000	99.764587
10300.000000	99.058289
10440.000000	98.182739
10600.000000	97.101944
10750.000000	96.195213
10900.000000	95.418671
11060.000000	94.794579
11200.000000	94.276451
11380.000000	93.670395
11500.000000	93.346329
11720.000000	92.999619
11800.000000	92.937668
12060.000000	92.903091
