* frequency_hz	amplitude
20.299999	105.001976
20.600000	105.046860
20.900000	105.043678
21.200001	105.007317
21.400000	104.975739
21.799999	104.925392
22.000000	104.915512
22.400000	104.927750
22.700001	104.953918
23.000000	104.980927
23.299999	104.999451
23.600000	105.006302
24.000000	105.002327
24.299999	104.996826
24.700001	104.994629
25.000000	104.998550
25.400000	105.008614
25.799999	105.017044
26.200001	105.015854
26.500000	105.005920
26.900000	104.983055
27.200001	104.964104
27.600000	104.948219
28.000000	104.951668
28.500000	104.979591
29.000000	105.008629
29.500000	105.019104
30.000000	105.016708
30.400000	105.017792
30.700001	105.023399
31.100000	105.033745
31.500000	105.038559
32.000000	105.027397
32.500000	105.000389
33.000000	104.971329
33.500000	104.950317
34.000000	104.938744
34.500000	104.933769
35.000000	104.932793
35.500000	104.934189
36.000000	104.935448
36.500000	104.932289
37.000000	104.920891
37.500000	104.902420
38.200001	104.880096
38.700001	104.876045
39.500000	104.879616
40.000000	104.874580
40.599998	104.858215
41.200001	104.837936
41.799999	104.819153
42.500000	104.801270
43.099998	104.788513
43.700001	104.773384
44.400002	104.750404
45.000000	104.731659
45.500000	104.718605
46.200001	104.702522
46.799999	104.693504
47.500000	104.688881
48.200001	104.673218
48.700001	104.649811
49.400002	104.615829
50.000000	104.599045
50.799999	104.589577
51.500000	104.580002
52.200001	104.570587
53.000000	104.576042
53.799999	104.566422
54.500000	104.506874
55.200001	104.458771
56.000000	104.469849
57.000000	104.442467
58.000000	104.545807
59.000000	104.656189
60.000000	104.390442
60.799999	104.280746
61.500000	104.304314
62.200001	104.297119
63.000000	104.269257
64.000000	104.224861
65.000000	104.183037
66.000000	104.189392
67.000000	104.125908
68.000000	104.084076
69.000000	104.050400
70.000000	104.019478
71.000000	103.991714
72.000000	103.949173
73.000000	103.916367
74.000000	103.883339
75.000000	103.849495
76.199997	103.799438
77.500000	103.758011
78.800003	103.710915
80.000000	103.663521
81.199997	103.622932
82.500000	103.579468
83.800003	103.520905
85.000000	103.478424
86.199997	103.428108
87.500000	103.376442
88.500000	103.334602
90.000000	103.284866
91.199997	103.234207
92.500000	103.182106
93.800003	103.129059
95.000000	103.080780
96.199997	103.032265
97.500000	102.978996
98.800003	102.929420
100.000000	102.878197
101.500000	102.820221
103.000000	102.758072
104.400002	102.690376
106.000000	102.634109
107.500000	102.571625
109.000000	102.507240
110.599998	102.450493
112.000000	102.374054
113.800003	102.315002
115.000000	102.258308
117.199997	102.150864
118.000000	102.126656
120.599998	102.059875
122.000000	101.969833
124.099998	101.869301
125.000000	101.841461
126.500000	101.777649
128.000000	101.708511
131.500000	101.548409
132.000000	101.521103
134.000000	101.449249
136.000000	101.335899
138.000000	101.265778
140.000000	101.157249
143.000000	101.041550
145.000000	100.923851
147.500000	100.827034
150.000000	100.746277
152.500000	100.651222
155.000000	100.667503
157.500000	100.597252
160.000000	100.576447
162.500000	100.575829
165.000000	100.403931
167.500000	100.306808
170.000000	100.317070
172.500000	100.196411
175.000000	100.116371
177.500000	100.104111
180.000000	100.150009
182.500000	100.099396
185.000000	100.036362
187.500000	99.964020
190.000000	99.892883
192.500000	99.802368
195.000000	99.700653
197.500000	99.613365
200.000000	99.527946
203.000000	99.421494
206.000000	99.315453
209.000000	99.213364
212.000000	99.110573
214.000000	99.044357
218.000000	98.896530
220.000000	98.820633
224.000000	98.688110
227.000000	98.598938
230.000000	98.506302
233.000000	98.404900
236.000000	98.319458
240.000000	98.201019
243.000000	98.107239
247.000000	97.996529
250.000000	97.906082
254.000000	97.805908
258.000000	97.687180
262.000000	97.585617
265.000000	97.507492
269.000000	97.406708
272.000000	97.337494
276.000000	97.239288
280.000000	97.142441
285.000000	97.027283
290.000000	96.917992
295.000000	96.811272
300.000000	96.705933
304.000000	96.625328
307.000000	96.560226
311.000000	96.484818
315.000000	96.407257
320.000000	96.317841
325.000000	96.229675
330.000000	96.145683
335.000000	96.063087
340.000000	95.986404
345.000000	95.915726
350.000000	95.843079
355.000000	95.777390
360.000000	95.711555
365.000000	95.647606
370.000000	95.586159
375.000000	95.529938
382.000000	95.455315
387.000000	95.410179
395.000000	95.356514
400.000000	95.338531
406.000000	95.325127
412.000000	95.315331
418.000000	95.303223
425.000000	95.278656
431.000000	95.252045
437.000000	95.222626
444.000000	95.189003
450.000000	95.160835
455.000000	95.132568
462.000000	95.102577
468.000000	95.074699
475.000000	95.049347
482.000000	95.027420
487.000000	95.014069
494.000000	94.994370
500.000000	94.982086
508.000000	94.964531
515.000000	94.955109
522.000000	94.948715
530.000000	94.935921
538.000000	94.931587
545.000000	94.929008
552.000000	94.927773
560.000000	94.930908
570.000000	94.935921
580.000000	94.938995
590.000000	94.946373
600.000000	94.953423
608.000000	94.968086
615.000000	94.975555
622.000000	94.985229
630.000000	94.996948
640.000000	95.014725
650.000000	95.033730
660.000000	95.050743
670.000000	95.069740
680.000000	95.088440
690.000000	95.104279
700.000000	95.124405
710.000000	95.140152
720.000000	95.159637
730.000000	95.174065
740.000000	95.189430
750.000000	95.198296
762.000000	95.214920
775.000000	95.233765
788.000000	95.253105
800.000000	95.274223
812.000000	95.310783
825.000000	95.364555
838.000000	95.441299
850.000000	95.533340
862.000000	95.644302
875.000000	95.791634
885.000000	95.915009
900.000000	96.105431
912.000000	96.262909
925.000000	96.423798
938.000000	96.579521
950.000000	96.722389
962.000000	96.852493
975.000000	96.991440
988.000000	97.121979
1000.000000	97.246559
1015.000000	97.378845
1030.000000	97.513786
1044.000000	97.632065
1060.000000	97.767242
1075.000000	97.884949
1090.000000	98.000084
1106.000000	98.112762
1120.000000	98.209557
1138.000000	98.325226
1150.000000	98.399498
1172.000000	98.523376
1180.000000	98.566772
1206.000000	98.696228
1220.000000	98.755386
1241.000000	98.836655
1250.000000	98.869263
1265.000000	98.916595
1280.000000	98.965332
1315.000000	99.054840
1320.000000	99.064392
1340.000000	99.100746
1360.000000	99.130150
1380.000000	99.156433
1400.000000	99.181152
1430.000000	99.215347
1450.000000	99.230698
1475.000000	99.251434
1500.000000	99.267174
1525.000000	99.280777
1550.000000	99.302292
1575.000000	99.323471
1600.000000	99.344681
1625.000000	99.371849
1650.000000	99.399773
1675.000000	99.431549
1700.000000	99.467064
1725.000000	99.509872
1750.000000	99.558205
1775.000000	99.608627
1800.000000	99.665985
1825.000000	99.724266
1850.000000	99.788773
1875.000000	99.856789
1900.000000	99.933273
1925.000000	100.014130
1950.000000	100.100471
1975.000000	100.188370
2000.000000	100.284637
2030.000000	100.401688
2060.000000	100.524239
2090.000000	100.660278
2120.000000	100.801750
2140.000000	100.899307
2180.000000	101.102348
2200.000000	101.205811
2240.000000	101.414291
2270.000000	101.572685
2300.000000	101.729713
2330.000000	101.885391
2360.000000	102.039078
2400.000000	102.241188
2430.000000	102.390167
2470.000000	102.583641
2500.000000	102.720581
2540.000000	102.888725
2580.000000	103.036514
2620.000000	103.163971
2650.000000	103.249474
2690.000000	103.339790
2720.000000	103.387726
2760.000000	103.426697
2800.000000	103.433304
2850.000000	103.406952
2900.000000	103.340576
2950.000000	103.245232
3000.000000	103.140976
3040.000000	103.063927
3070.000000	103.012543
3110.000000	102.937103
3150.000000	102.851631
3200.000000	102.761940
3250.000000	102.676895
3300.000000	102.588173
3350.000000	102.491829
3400.000000	102.393257
3450.000000	102.297554
3500.000000	102.210999
3550.000000	102.133316
3600.000000	102.061905
3650.000000	102.002701
3700.000000	101.954918
3750.000000	101.910202
3820.000000	101.844711
3870.000000	101.799347
3950.000000	101.796440
4000.000000	101.814163
4060.000000	101.937302
4120.000000	102.119316
4180.000000	102.286697
4250.000000	102.520935
4310.000000	102.752922
4370.000000	102.985863
4440.000000	103.246864
4500.000000	103.455040
4550.000000	103.618629
4620.000000	103.848236
4680.000000	104.061142
4750.000000	104.327850
4820.000000	104.575348
4870.000000	104.724426
4940.000000	104.876320
5000.000000	104.948097
5080.000000	104.911209
5150.000000	104.755623
5220.000000	104.497658
5300.000000	104.111198
5380.000000	103.658592
5450.000000	103.240280
5520.000000	102.814522
5600.000000	102.345261
5700.000000	101.797752
5800.000000	101.321388
5900.000000	100.924675
6000.000000	100.627235
6080.000000	100.474747
6150.000000	100.395325
6220.000000	100.379868
6300.000000	100.449005
6400.000000	100.655815
6500.000000	100.979080
6600.000000	101.431938
6700.000000	101.985657
6800.000000	102.600105
6900.000000	103.187836
7000.000000	103.650406
7100.000000	103.927307
7200.000000	104.028961
7300.000000	104.033905
7400.000000	103.991020
7500.000000	103.966614
7620.000000	104.023445
7750.000000	104.174423
7880.000000	104.382736
8000.000000	104.543411
8120.000000	104.620972
8250.000000	104.564896
8380.000000	104.380592
8500.000000	104.123413
8620.000000	103.823242
8750.000000	103.514359
8850.000000	103.330338
9000.000000	103.189087
9120.000000	103.167091
9250.000000	103.093971
9380.000000	102.783493
9500.000000	102.036804
9620.000000	100.843346
9750.000000	99.252533
9880.000000	97.305923
10000.000000	94.895882
10150.000000	92.105545
10300.000000	90.880653
10440.000000	90.769180
10600.000000	91.072426
10750.000000	91.499023
10900.000000	91.988419
11060.000000	92.552109
11200.000000	93.076233
11380.000000	93.732063
11500.000000	94.149010
11720.000000	94.699814
11800.000000	94.800705
12060.000000	94.754044
12200.000000	94.523071
12410.000000	94.016174
12500.000000	93.761391
12650.000000	93.311493
12800.000000	92.859634
13150.000000	91.943687
13200.000000	91.844528
13400.000000	91.589478
13600.000000	91.602470
13800.000000	91.910324
14000.000000	92.551811
14300.000000	94.284721
14500.000000	96.039360
14750.000000	98.492371
15000.000000	99.296829
15250.000000	97.696480
15500.000000	95.537193
15750.000000	92.661438
16000.000000	89.312439
16250.000000	86.222496
16500.000000	83.494186
16750.000000	81.080711
17000.000000	79.262985
17250.000000	78.024124
17500.000000	77.291916
17750.000000	76.993935
18000.000000	76.761261
18250.000000	76.792145
18500.000000	76.636627
18750.000000	76.460938
19000.000000	75.688675
19250.000000	74.342751
19500.000000	72.163239
19750.000000	67.895409
