* frequency_hz	amplitude
20.299999	94.856339
20.600000	94.861809
20.900000	94.871056
21.200001	94.891182
21.400000	94.911072
21.799999	94.953606
22.000000	94.967575
22.400000	94.961670
22.700001	94.915848
23.000000	94.836815
23.299999	94.738304
23.600000	94.642319
24.000000	94.559387
24.299999	94.549057
24.700001	94.602310
25.000000	94.670883
25.400000	94.761414
25.799999	94.813751
26.200001	94.812271
26.500000	94.780571
26.900000	94.716446
27.200001	94.666397
27.600000	94.615303
28.000000	94.591629
28.500000	94.595573
29.000000	94.608131
29.500000	94.598816
30.000000	94.557426
30.400000	94.510384
30.700001	94.474159
31.100000	94.429520
31.500000	94.388809
32.000000	94.340576
32.500000	94.298729
33.000000	94.272301
33.500000	94.260468
34.000000	94.247917
34.500000	94.220856
35.000000	94.179276
35.500000	94.130890
36.000000	94.079941
36.500000	94.028290
37.000000	93.982651
37.500000	93.950455
38.200001	93.917847
38.700001	93.885345
39.500000	93.814751
40.000000	93.773857
40.599998	93.724731
41.200001	93.661346
41.799999	93.595993
42.500000	93.552330
43.099998	93.534111
43.700001	93.499451
44.400002	93.432709
45.000000	93.379387
45.500000	93.346092
46.200001	93.302444
46.799999	93.255844
47.500000	93.196495
48.200001	93.141716
48.700001	93.102081
49.400002	93.038925
50.000000	92.985283
50.799999	92.931412
51.500000	92.888092
52.200001	92.828720
53.000000	92.756943
53.799999	92.699638
54.500000	92.644775
55.200001	92.582085
56.000000	92.525856
57.000000	92.464851
58.000000	92.376198
59.000000	92.309952
60.000000	92.230995
60.799999	92.157433
61.500000	92.120163
62.200001	92.082840
63.000000	92.008713
64.000000	91.923653
65.000000	91.863937
66.000000	91.788345
67.000000	91.723145
68.000000	91.659790
69.000000	91.583122
70.000000	91.517883
71.000000	91.461632
72.000000	91.374954
73.000000	91.276413
74.000000	91.240181
75.000000	91.195969
76.199997	91.103668
77.500000	91.032349
78.800003	90.953827
80.000000	90.883972
81.199997	90.782394
82.500000	90.714584
83.800003	90.662125
85.000000	90.589127
86.199997	90.450600
87.500000	90.437874
88.500000	90.405991
90.000000	90.292404
91.199997	90.241409
92.500000	90.174431
