* frequency_hz	amplitude
20.299999	102.828224
20.600000	102.898079
20.900000	102.964142
21.200001	103.024338
21.400000	103.059692
21.799999	103.119064
22.000000	103.144470
22.400000	103.191895
22.700001	103.229294
23.000000	103.270264
23.299999	103.314362
23.600000	103.359573
24.000000	103.417442
24.299999	103.457367
24.700001	103.505814
25.000000	103.539406
25.400000	103.581268
25.799999	103.619415
26.200001	103.653030
26.500000	103.675323
26.900000	103.702423
27.200001	103.721855
27.600000	103.747818
28.000000	103.774269
28.500000	103.807678
29.000000	103.841293
29.500000	103.875298
30.000000	103.908852
30.400000	103.934265
30.700001	103.952133
31.100000	103.974670
31.500000	103.996712
32.000000	104.024323
32.500000	104.050354
33.000000	104.070885
33.500000	104.084015
34.000000	104.092430
34.500000	104.100975
35.000000	104.112320
35.500000	104.124893
36.000000	104.135239
36.500000	104.141594
37.000000	104.144913
37.500000	104.147202
38.200001	104.150604
38.700001	104.152489
39.500000	104.150169
40.000000	104.143997
40.599998	104.134056
41.200001	104.125595
41.799999	104.119759
42.500000	104.112694
43.099998	104.104614
43.700001	104.096634
44.400002	104.090530
45.000000	104.089149
45.500000	104.090279
46.200001	104.091263
46.799999	104.084717
47.500000	104.061905
48.200001	104.025963
48.700001	103.999695
49.400002	103.974411
50.000000	103.966614
50.799999	103.962929
51.500000	103.949158
52.200001	103.921059
53.000000	103.880035
53.799999	103.844101
54.500000	103.825294
55.200001	103.812439
56.000000	103.787125
57.000000	103.736389
58.000000	103.691200
59.000000	103.654152
60.000000	103.608566
60.799999	103.566246
61.500000	103.532677
62.200001	103.506332
63.000000	103.477402
64.000000	103.426910
65.000000	103.374817
66.000000	103.330910
67.000000	103.278503
68.000000	103.222610
69.000000	103.167290
70.000000	103.117554
71.000000	103.072357
72.000000	103.015396
73.000000	102.955421
74.000000	102.902939
75.000000	102.847878
76.199997	102.774406
77.500000	102.702881
78.800003	102.626831
80.000000	102.553322
81.199997	102.483139
82.500000	102.404320
83.800003	102.328636
85.000000	102.255882
86.199997	102.180901
87.500000	102.096001
88.500000	102.039276
90.000000	101.944908
91.199997	101.865303
92.500000	101.783249
93.800003	101.698677
95.000000	101.627052
96.199997	101.544182
97.500000	101.461609
98.800003	101.374344
100.000000	101.301361
101.500000	101.203041
103.000000	101.107101
104.400002	101.011902
106.000000	100.912651
107.500000	100.810303
109.000000	100.722740
110.599998	100.616905
112.000000	100.523354
113.800003	100.409729
115.000000	100.323296
117.199997	100.183777
118.000000	100.122826
120.599998	99.967300
122.000000	99.869675
124.099998	99.745621
125.000000	99.670815
126.500000	99.590759
128.000000	99.500397
131.500000	99.283554
132.000000	99.250641
134.000000	99.113113
136.000000	98.998734
138.000000	98.871399
140.000000	98.756424
143.000000	98.582108
145.000000	98.461868
147.500000	98.307220
150.000000	98.178146
152.500000	98.024963
155.000000	97.899086
157.500000	97.759026
160.000000	97.617523
162.500000	97.492439
165.000000	97.360672
167.500000	97.232162
170.000000	97.110733
172.500000	96.985718
175.000000	96.866402
177.500000	96.757217
180.000000	96.648827
182.500000	96.544113
185.000000	96.445099
187.500000	96.343117
190.000000	96.242989
192.500000	96.145500
195.000000	96.050301
197.500000	95.955490
200.000000	95.866440
203.000000	95.755325
206.000000	95.649788
209.000000	95.567413
212.000000	95.480873
214.000000	95.419846
218.000000	95.301865
220.000000	95.257729
224.000000	95.157227
227.000000	95.074394
230.000000	95.019424
233.000000	94.948448
236.000000	94.885925
240.000000	94.810349
243.000000	94.755798
247.000000	94.664726
250.000000	94.641693
254.000000	94.553787
258.000000	94.510956
262.000000	94.427940
265.000000	94.403595
269.000000	94.348854
272.000000	94.301537
276.000000	94.219269
280.000000	94.167732
285.000000	94.150726
290.000000	94.151459
295.000000	94.253296
300.000000	94.380890
304.000000	94.407364
307.000000	94.422905
311.000000	94.433945
315.000000	94.444450
320.000000	94.453941
325.000000	94.430550
330.000000	94.412849
