* frequency_hz	amplitude
20.000000	95.650
20.299999	95.665
20.600000	95.680
20.900000	95.695
21.200001	95.711
21.400000	95.722
21.799999	95.741
22.000000	95.750
22.400000	95.764
22.700001	95.774
23.000000	95.783
23.299999	95.793
23.600000	95.805
24.000000	95.822
24.299999	95.833
24.700001	95.844
25.000000	95.849
25.400000	95.855
25.799999	95.864
26.200001	95.878
26.500000	95.891
26.900000	95.906
27.200001	95.913
27.600000	95.916
28.000000	95.915
28.500000	95.917
29.000000	95.928
29.500000	95.941
30.000000	95.951
30.400000	95.957
30.700001	95.961
31.100000	95.966
31.500000	95.972
32.000000	95.976
32.500000	95.978
33.000000	95.981
33.500000	95.987
34.000000	95.993
34.500000	95.996
35.000000	95.996
35.500000	95.997
36.000000	96.000
36.500000	96.004
37.000000	96.008
37.500000	96.008
38.200001	96.007
38.700001	96.008
39.500000	96.012
40.000000	96.012
40.599998	96.011
41.200001	96.011
41.799999	96.014
42.500000	96.014
43.099998	96.012
43.700001	96.012
44.400002	96.015
45.000000	96.014
45.500000	96.010
46.200001	96.001
46.799999	95.998
47.500000	96.001
48.200001	95.994
48.700001	95.986
49.400002	95.990
50.000000	96.003
50.799999	95.992
51.500000	95.987
52.200001	96.029
53.000000	96.051
53.799999	95.984
54.500000	95.948
55.200001	95.965
56.000000	95.970
57.000000	95.951
58.000000	95.942
59.000000	95.928
60.000000	95.928
60.799999	95.918
61.500000	95.912
62.200001	95.911
63.000000	95.912
64.000000	95.909
65.000000	95.901
66.000000	95.914
67.000000	95.893
68.000000	95.865
69.000000	95.868
70.000000	95.861
71.000000	95.847
72.000000	95.828
73.000000	95.844
74.000000	95.824
75.000000	95.796
76.199997	95.804
77.500000	95.784
78.800003	95.779
80.000000	95.763
81.199997	95.764
82.500000	95.752
83.800003	95.726
85.000000	95.712
86.199997	95.695
87.500000	95.677
88.500000	95.671
90.000000	95.656
91.199997	95.644
92.500000	95.629
93.800003	95.614
95.000000	95.601
96.199997	95.587
97.500000	95.572
98.800003	95.555
100.000000	95.543
101.500000	95.521
103.000000	95.503
104.400002	95.485
106.000000	95.463
107.500000	95.446
109.000000	95.417
110.599998	95.393
112.000000	95.383
113.800003	95.361
115.000000	95.349
117.199997	95.326
118.000000	95.308
120.599998	95.300
122.000000	95.249
124.099998	95.218
125.000000	95.208
126.500000	95.186
128.000000	95.157
131.500000	95.088
132.000000	95.077
134.000000	95.068
136.000000	95.042
138.000000	95.005
140.000000	94.978
143.000000	94.920
145.000000	94.875
147.500000	94.826
150.000000	94.766
152.500000	94.740
155.000000	94.718
157.500000	94.704
160.000000	94.720
162.500000	94.726
165.000000	94.755
167.500000	94.714
170.000000	94.687
172.500000	94.655
175.000000	94.600
177.500000	94.594
180.000000	94.555
182.500000	94.521
185.000000	94.484
187.500000	94.443
190.000000	94.410
192.500000	94.369
195.000000	94.333
197.500000	94.297
200.000000	94.255
203.000000	94.211
206.000000	94.165
209.000000	94.119
212.000000	94.066
214.000000	94.050
218.000000	93.981
220.000000	93.961
224.000000	93.892
227.000000	93.852
230.000000	93.807
233.000000	93.762
236.000000	93.719
240.000000	93.664
243.000000	93.611
247.000000	93.554
250.000000	93.513
254.000000	93.452
258.000000	93.397
262.000000	93.338
265.000000	93.290
269.000000	93.235
272.000000	93.193
276.000000	93.136
280.000000	93.076
285.000000	93.006
290.000000	92.935
295.000000	92.862
300.000000	92.790
304.000000	92.732
307.000000	92.692
311.000000	92.637
315.000000	92.581
320.000000	92.518
325.000000	92.459
330.000000	92.411
335.000000	92.364
340.000000	92.310
345.000000	92.255
350.000000	92.194
355.000000	92.132
360.000000	92.071
365.000000	92.011
370.000000	91.951
375.000000	91.890
382.000000	91.807
387.000000	91.750
395.000000	91.661
400.000000	91.607
406.000000	91.538
412.000000	91.480
418.000000	91.418
425.000000	91.353
431.000000	91.297
437.000000	91.249
444.000000	91.183
450.000000	91.135
455.000000	91.092
462.000000	91.035
468.000000	90.986
475.000000	90.924
482.000000	90.868
487.000000	90.823
494.000000	90.765
500.000000	90.713
508.000000	90.648
515.000000	90.590
522.000000	90.535
530.000000	90.472
538.000000	90.414
545.000000	90.362
552.000000	90.312
560.000000	90.256
570.000000	90.192
580.000000	90.123
590.000000	90.062
600.000000	89.998
608.000000	89.956
615.000000	89.918
622.000000	89.882
630.000000	89.841
640.000000	89.785
650.000000	89.741
660.000000	89.702
670.000000	89.653
680.000000	89.616
690.000000	89.583
700.000000	89.548
710.000000	89.513
720.000000	89.485
730.000000	89.458
740.000000	89.436
750.000000	89.416
762.000000	89.395
775.000000	89.377
788.000000	89.360
800.000000	89.351
812.000000	89.345
825.000000	89.350
838.000000	89.354
850.000000	89.362
862.000000	89.378
875.000000	89.396
885.000000	89.415
900.000000	89.453
912.000000	89.486
925.000000	89.532
938.000000	89.578
950.000000	89.626
962.000000	89.678
975.000000	89.746
988.000000	89.810
1000.000000	89.872
1015.000000	89.969
1030.000000	90.054
1044.000000	90.148
1060.000000	90.248
1075.000000	90.357
1090.000000	90.462
1106.000000	90.576
1120.000000	90.683
1138.000000	90.814
1150.000000	90.899
1172.000000	91.059
1180.000000	91.116
1206.000000	91.299
1220.000000	91.397
1241.000000	91.541
1250.000000	91.600
1265.000000	91.699
1280.000000	91.799
1315.000000	92.024
1320.000000	92.054
1340.000000	92.181
1360.000000	92.303
1380.000000	92.421
1400.000000	92.546
1430.000000	92.730
1450.000000	92.850
1475.000000	93.001
1500.000000	93.153
1525.000000	93.313
1550.000000	93.465
1575.000000	93.632
1600.000000	93.795
1625.000000	93.959
1650.000000	94.125
1675.000000	94.298
1700.000000	94.470
1725.000000	94.646
1750.000000	94.820
1775.000000	94.995
1800.000000	95.172
1825.000000	95.344
1850.000000	95.516
1875.000000	95.687
1900.000000	95.853
1925.000000	96.014
1950.000000	96.166
1975.000000	96.311
2000.000000	96.443
2030.000000	96.595
2060.000000	96.722
2090.000000	96.828
2120.000000	96.913
2140.000000	96.956
2180.000000	97.004
2200.000000	97.011
2240.000000	96.986
2270.000000	96.937
2300.000000	96.864
2330.000000	96.770
2360.000000	96.650
2400.000000	96.469
2430.000000	96.311
2470.000000	96.089
2500.000000	95.911
2540.000000	95.661
2580.000000	95.410
2620.000000	95.158
2650.000000	94.969
2690.000000	94.720
2720.000000	94.536
2760.000000	94.299
2800.000000	94.068
2850.000000	93.797
2900.000000	93.541
2950.000000	93.305
3000.000000	93.096
3040.000000	92.937
3070.000000	92.828
3110.000000	92.701
3150.000000	92.588
3200.000000	92.468
3250.000000	92.371
3300.000000	92.297
3350.000000	92.242
3400.000000	92.206
3450.000000	92.181
3500.000000	92.167
3550.000000	92.153
3600.000000	92.138
3650.000000	92.121
3700.000000	92.101
3750.000000	92.082
3820.000000	92.036
3870.000000	92.002
3950.000000	91.951
4000.000000	91.929
4060.000000	91.880
4120.000000	91.845
4180.000000	91.816
4250.000000	91.769
4310.000000	91.726
4370.000000	91.692
4440.000000	91.642
4500.000000	91.604
4550.000000	91.568
4620.000000	91.535
4680.000000	91.515
4750.000000	91.525
4820.000000	91.597
4870.000000	91.690
4940.000000	91.916
5000.000000	92.200
5080.000000	92.672
5150.000000	93.090
5220.000000	93.453
5300.000000	93.700
5380.000000	93.770
5450.000000	93.700
5520.000000	93.566
5600.000000	93.362
5700.000000	93.088
5800.000000	92.836
5900.000000	92.597
6000.000000	92.338
6080.000000	92.135
6150.000000	91.963
6220.000000	91.811
6300.000000	91.680
6400.000000	91.573
6500.000000	91.539
6600.000000	91.576
6700.000000	91.703
6800.000000	91.891
6900.000000	92.149
7000.000000	92.471
7100.000000	92.853
7200.000000	93.356
7300.000000	94.037
7400.000000	94.942
7500.000000	95.995
7620.000000	97.376
7750.000000	98.875
7880.000000	100.004
8000.000000	100.352
8120.000000	99.982
8250.000000	99.086
8380.000000	98.010
8500.000000	97.122
8620.000000	96.465
8750.000000	95.888
8850.000000	95.494
9000.000000	95.004
9120.000000	94.729
9250.000000	94.526
9380.000000	94.407
9500.000000	94.379
9620.000000	94.447
9750.000000	94.614
9880.000000	94.870
10000.000000	95.162
10150.000000	95.607
10300.000000	96.134
10440.000000	96.654
10600.000000	97.186
10750.000000	97.353
10900.000000	96.791
11060.000000	96.309
11200.000000	96.592
11380.000000	95.809
11500.000000	95.357
11720.000000	95.714
11800.000000	95.446
12060.000000	94.247
12200.000000	93.899
12410.000000	93.189
12500.000000	92.903
12650.000000	92.375
12800.000000	91.779
13150.000000	90.316
13200.000000	90.138
13400.000000	89.464
13600.000000	88.717
13800.000000	87.989
14000.000000	87.563
14300.000000	87.194
14500.000000	86.871
14750.000000	86.044
15000.000000	85.456
15250.000000	85.621
15500.000000	85.503
15750.000000	86.347
16000.000000	87.595
16250.000000	88.853
16500.000000	91.367
16750.000000	94.508
17000.000000	93.315
17250.000000	89.612
17500.000000	86.174
17750.000000	84.260
18000.000000	83.028
18250.000000	81.901
18500.000000	80.672
18750.000000	79.557
19000.000000	79.152
19250.000000	78.608
19500.000000	77.083
19750.000000	75.344
