* frequency_hz	amplitude
20.299999	99.642609
20.600000	99.703270
20.900000	99.750771
21.200001	99.787216
21.400000	99.806503
21.799999	99.839211
22.000000	99.855667
22.400000	99.893585
22.700001	99.927879
23.000000	99.965057
23.299999	100.001442
23.600000	100.033485
24.000000	100.066925
24.299999	100.087128
24.700001	100.113953
25.000000	100.137848
25.400000	100.175705
25.799999	100.215027
26.200001	100.248482
26.500000	100.268013
26.900000	100.290268
27.200001	100.308418
27.600000	100.339409
28.000000	100.377396
28.500000	100.424438
29.000000	100.459572
29.500000	100.484680
30.000000	100.511490
30.400000	100.537674
30.700001	100.558243
31.100000	100.583252
31.500000	100.603851
32.000000	100.627617
32.500000	100.656189
33.000000	100.689415
33.500000	100.719269
34.000000	100.739670
34.500000	100.753036
35.000000	100.766197
35.500000	100.782669
36.000000	100.801163
36.500000	100.819595
37.000000	100.837196
37.500000	100.853622
38.200001	100.873711
38.700001	100.886543
39.500000	100.906235
40.000000	100.916580
40.599998	100.926697
41.200001	100.939026
41.799999	100.956123
42.500000	100.973267
43.099998	100.978424
43.700001	100.979980
44.400002	100.986412
45.000000	100.993240
45.500000	100.997658
46.200001	101.005829
46.799999	101.015121
47.500000	101.019966
48.200001	101.018463
48.700001	101.019814
49.400002	101.024338
50.000000	101.022354
50.799999	101.012558
51.500000	101.011169
52.200001	101.015373
53.000000	101.008156
53.799999	100.993416
54.500000	100.993690
55.200001	100.995270
56.000000	100.976547
57.000000	100.956734
58.000000	100.942978
59.000000	100.950966
60.000000	100.987396
60.799999	100.942787
61.500000	100.886017
62.200001	100.869759
63.000000	100.866890
64.000000	100.833466
65.000000	100.812706
66.000000	100.799545
67.000000	100.767738
68.000000	100.736839
69.000000	100.713150
70.000000	100.681183
71.000000	100.656693
72.000000	100.626450
73.000000	100.586769
74.000000	100.556656
75.000000	100.529320
76.199997	100.497749
77.500000	100.442657
78.800003	100.395210
80.000000	100.354912
81.199997	100.330948
82.500000	100.262032
83.800003	100.209030
85.000000	100.162247
86.199997	100.114098
87.500000	100.062225
88.500000	100.015495
90.000000	99.947144
91.199997	99.904564
92.500000	99.842934
93.800003	99.785019
95.000000	99.725891
96.199997	99.663956
97.500000	99.609772
98.800003	99.543961
100.000000	99.490295
101.500000	99.415764
103.000000	99.345070
104.400002	99.263245
106.000000	99.184402
107.500000	99.101334
109.000000	99.021286
110.599998	98.934219
112.000000	98.876755
113.800003	98.773399
115.000000	98.704498
117.199997	98.587669
118.000000	98.555344
120.599998	98.369904
122.000000	98.328995
124.099998	98.155762
125.000000	98.141724
126.500000	98.104446
128.000000	98.025803
131.500000	97.742119
132.000000	97.725769
134.000000	97.630318
136.000000	97.512665
138.000000	97.418465
140.000000	97.282005
143.000000	97.078064
145.000000	97.008461
147.500000	96.805771
150.000000	96.655037
152.500000	96.510712
155.000000	96.388893
157.500000	96.203629
160.000000	96.034073
162.500000	95.891785
165.000000	95.741989
167.500000	95.589539
170.000000	95.421753
172.500000	95.260941
175.000000	95.112625
177.500000	94.942841
180.000000	94.805710
182.500000	94.630905
185.000000	94.486664
187.500000	94.330559
190.000000	94.180359
192.500000	94.028206
195.000000	93.876450
197.500000	93.714600
200.000000	93.562370
203.000000	93.370171
206.000000	93.178223
209.000000	92.991188
212.000000	92.801865
214.000000	92.675041
218.000000	92.426048
220.000000	92.301338
224.000000	92.054565
227.000000	91.870552
230.000000	91.690964
233.000000	91.502457
236.000000	91.322449
240.000000	91.089951
243.000000	90.903137
247.000000	90.671623
250.000000	90.495781
254.000000	90.265076
258.000000	90.036659
262.000000	89.816162
265.000000	89.648911
269.000000	89.430145
272.000000	89.273705
276.000000	89.063293
280.000000	88.859772
285.000000	88.614967
290.000000	88.383263
295.000000	88.153091
300.000000	87.956749
304.000000	87.746414
307.000000	87.621925
311.000000	87.466370
315.000000	87.302010
320.000000	87.116364
325.000000	86.945648
330.000000	86.766975
335.000000	86.605827
340.000000	86.462822
345.000000	86.313843
350.000000	86.180077
355.000000	86.064934
360.000000	85.948570
365.000000	85.849281
370.000000	85.748329
375.000000	85.663795
382.000000	85.561516
387.000000	85.497971
395.000000	85.415260
400.000000	85.379807
406.000000	85.330841
412.000000	85.316376
418.000000	85.275291
425.000000	85.253593
431.000000	85.219307
437.000000	85.196587
444.000000	85.164795
450.000000	85.160812
455.000000	85.161140
462.000000	85.170876
468.000000	85.175423
475.000000	85.192291
482.000000	85.209900
487.000000	85.233978
494.000000	85.260689
500.000000	85.293503
508.000000	85.329659
515.000000	85.367661
522.000000	85.402710
530.000000	85.452499
538.000000	85.500702
545.000000	85.549637
552.000000	85.593452
560.000000	85.645630
570.000000	85.707817
580.000000	85.780228
590.000000	85.840012
600.000000	85.912888
608.000000	85.962959
615.000000	86.010254
622.000000	86.052490
630.000000	86.107117
640.000000	86.170715
650.000000	86.235374
660.000000	86.274307
670.000000	86.365036
680.000000	86.434044
690.000000	86.499794
700.000000	86.564743
710.000000	86.626427
720.000000	86.690575
730.000000	86.754425
740.000000	86.812721
750.000000	86.877487
762.000000	86.957382
775.000000	87.043877
788.000000	87.125877
800.000000	87.206902
812.000000	87.284142
825.000000	87.366234
838.000000	87.456703
850.000000	87.541092
862.000000	87.629822
875.000000	87.748199
885.000000	87.850281
900.000000	87.985123
912.000000	88.160080
925.000000	88.259857
938.000000	88.349442
950.000000	88.426910
962.000000	88.530457
975.000000	88.682373
988.000000	88.837196
1000.000000	88.999176
1015.000000	89.186691
1030.000000	89.356720
1044.000000	89.507393
1060.000000	89.679092
1075.000000	89.842506
1090.000000	89.999886
1106.000000	90.169014
1120.000000	90.319824
1138.000000	90.514275
1150.000000	90.644073
1172.000000	90.868652
1180.000000	90.951599
1206.000000	91.209564
1220.000000	91.345078
1241.000000	91.531029
1250.000000	91.613342
1265.000000	91.749794
1280.000000	91.865776
1315.000000	92.134773
1320.000000	92.173172
1340.000000	92.316879
1360.000000	92.451302
1380.000000	92.570908
1400.000000	92.705917
1430.000000	92.884369
1450.000000	92.997612
1475.000000	93.134315
1500.000000	93.262299
1525.000000	93.400192
1550.000000	93.530426
1575.000000	93.661964
1600.000000	93.786659
1625.000000	93.912277
1650.000000	94.040413
1675.000000	94.165901
1700.000000	94.292809
1725.000000	94.418312
1750.000000	94.544800
1775.000000	94.675598
1800.000000	94.807365
1825.000000	94.936340
1850.000000	95.072754
1875.000000	95.205521
1900.000000	95.345009
1925.000000	95.482651
1950.000000	95.618729
1975.000000	95.755356
2000.000000	95.895378
2030.000000	96.064270
2060.000000	96.232849
2090.000000	96.400970
2120.000000	96.568237
2140.000000	96.681404
2180.000000	96.904221
2200.000000	97.013901
2240.000000	97.231400
2270.000000	97.391861
2300.000000	97.550591
2330.000000	97.703270
2360.000000	97.850372
2400.000000	98.036346
2430.000000	98.170891
2470.000000	98.339348
2500.000000	98.454124
2540.000000	98.598640
2580.000000	98.730667
2620.000000	98.846054
2650.000000	98.926682
2690.000000	99.021095
2720.000000	99.084183
2760.000000	99.156624
2800.000000	99.216949
2850.000000	99.278580
2900.000000	99.320137
2950.000000	99.344872
3000.000000	99.354996
3040.000000	99.354828
3070.000000	99.351059
3110.000000	99.347160
3150.000000	99.351578
3200.000000	99.379044
3250.000000	99.421700
3300.000000	99.461746
3350.000000	99.489555
3400.000000	99.503761
3450.000000	99.506905
3500.000000	99.501801
3550.000000	99.490334
3600.000000	99.475639
3650.000000	99.458153
3700.000000	99.437767
3750.000000	99.410919
3820.000000	99.368492
3870.000000	99.331482
3950.000000	99.258827
4000.000000	99.203094
4060.000000	99.116547
4120.000000	99.006325
4180.000000	98.874512
4250.000000	98.709084
4310.000000	98.586197
4370.000000	98.488655
4440.000000	98.391647
4500.000000	98.314018
4550.000000	98.250648
4620.000000	98.160439
4680.000000	98.084457
4750.000000	97.993469
4820.000000	97.891411
4870.000000	97.815155
4940.000000	97.701347
5000.000000	97.594444
5080.000000	97.440384
5150.000000	97.300583
5220.000000	97.154221
5300.000000	96.981644
5380.000000	96.813721
5450.000000	96.667267
5520.000000	96.516922
5600.000000	96.353989
5700.000000	96.148224
5800.000000	95.949493
5900.000000	95.759071
6000.000000	95.588737
6080.000000	95.461594
6150.000000	95.361473
6220.000000	95.272484
6300.000000	95.185410
6400.000000	95.100716
6500.000000	95.043159
6600.000000	95.036751
6700.000000	95.052361
6800.000000	95.108383
6900.000000	95.208115
7000.000000	95.376015
7100.000000	95.623550
7200.000000	95.944267
7300.000000	96.339233
7400.000000	96.786377
7500.000000	97.272499
7620.000000	97.890961
7750.000000	98.549576
7880.000000	99.093315
8000.000000	99.372513
8120.000000	99.332001
8250.000000	98.919746
8380.000000	98.215057
8500.000000	97.411438
8620.000000	96.520988
8750.000000	95.516418
8850.000000	94.749611
9000.000000	93.674187
9120.000000	92.885185
9250.000000	92.114609
9380.000000	91.440689
9500.000000	90.925735
9620.000000	90.422951
9750.000000	90.005646
9880.000000	89.657814
10000.000000	89.412796
10150.000000	89.194687
10300.000000	89.086533
10440.000000	89.069214
10600.000000	89.164940
10750.000000	89.366104
10900.000000	89.665192
11060.000000	90.116272
11200.000000	90.584335
11380.000000	91.291847
11500.000000	91.795921
11720.000000	92.711845
11800.000000	93.018753
12060.000000	93.936569
12200.000000	94.418243
12410.000000	95.333229
12500.000000	95.828819
12650.000000	96.808159
12800.000000	97.839470
13150.000000	97.620934
13200.000000	97.124420
13400.000000	94.700874
13600.000000	92.395508
13800.000000	90.501762
14000.000000	89.043480
14300.000000	87.476852
14500.000000	86.798950
14750.000000	86.309769
15000.000000	85.843849
15250.000000	86.258301
15500.000000	86.639793
15750.000000	87.108238
16000.000000	87.645523
16250.000000	88.023918
16500.000000	88.160492
16750.000000	87.975021
17000.000000	87.531738
17250.000000	86.813118
17500.000000	85.997787
17750.000000	85.158546
18000.000000	84.175201
18250.000000	82.869705
18500.000000	79.618195
18750.000000	74.368561
19000.000000	65.415344
19250.000000	60.893703
19500.000000	50.130718
19750.000000	54.684189
