* frequency_hz	amplitude
20.000000	102.113
20.299999	102.116
20.600000	102.125
20.900000	102.134
21.200001	102.140
21.400000	102.140
21.799999	102.132
22.000000	102.124
22.400000	102.104
22.700001	102.089
23.000000	102.076
23.299999	102.067
23.600000	102.060
24.000000	102.054
24.299999	102.049
24.700001	102.038
25.000000	102.025
25.400000	102.001
25.799999	101.972
26.200001	101.944
26.500000	101.927
26.900000	101.914
27.200001	101.909
27.600000	101.903
28.000000	101.891
28.500000	101.862
29.000000	101.827
29.500000	101.794
30.000000	101.766
30.400000	101.742
30.700001	101.722
31.100000	101.695
31.500000	101.667
32.000000	101.637
32.500000	101.611
33.000000	101.584
33.500000	101.550
34.000000	101.510
34.500000	101.469
35.000000	101.429
35.500000	101.392
36.000000	101.354
36.500000	101.311
37.000000	101.264
37.500000	101.220
38.200001	101.172
38.700001	101.139
39.500000	101.070
40.000000	101.023
40.599998	100.971
41.200001	100.923
41.799999	100.875
42.500000	100.817
43.099998	100.765
43.700001	100.709
44.400002	100.640
45.000000	100.586
45.500000	100.543
46.200001	100.484
46.799999	100.430
47.500000	100.358
48.200001	100.288
48.700001	100.246
49.400002	100.189
50.000000	100.127
50.799999	100.042
51.500000	99.988
52.200001	99.920
53.000000	99.802
53.799999	99.716
54.500000	99.681
55.200001	99.626
56.000000	99.541
57.000000	99.454
58.000000	99.358
59.000000	99.265
60.000000	99.153
60.799999	99.065
61.500000	99.007
62.200001	98.945
63.000000	98.860
64.000000	98.762
65.000000	98.665
66.000000	98.567
67.000000	98.474
68.000000	98.375
69.000000	98.282
70.000000	98.176
71.000000	98.075
72.000000	97.980
73.000000	97.870
74.000000	97.785
75.000000	97.696
76.199997	97.556
77.500000	97.439
78.800003	97.314
80.000000	97.198
81.199997	97.090
82.500000	96.961
83.800003	96.842
85.000000	96.722
86.199997	96.612
87.500000	96.492
88.500000	96.396
90.000000	96.259
91.199997	96.150
92.500000	96.036
93.800003	95.917
95.000000	95.810
96.199997	95.699
97.500000	95.584
98.800003	95.470
100.000000	95.381
101.500000	95.245
103.000000	95.117
104.400002	95.013
106.000000	94.878
107.500000	94.748
109.000000	94.646
110.599998	94.516
112.000000	94.404
113.800003	94.276
115.000000	94.197
117.199997	94.052
118.000000	93.989
120.599998	93.857
122.000000	93.722
124.099998	93.580
125.000000	93.526
126.500000	93.432
128.000000	93.353
131.500000	93.149
132.000000	93.127
134.000000	93.013
136.000000	92.920
138.000000	92.809
140.000000	92.741
143.000000	92.629
145.000000	92.534
147.500000	92.430
150.000000	92.355
152.500000	92.283
155.000000	92.203
157.500000	92.137
160.000000	92.083
162.500000	92.013
165.000000	91.942
167.500000	91.887
170.000000	91.861
172.500000	91.833
175.000000	91.805
177.500000	91.790
180.000000	91.813
182.500000	91.835
185.000000	91.851
187.500000	91.856
190.000000	91.867
192.500000	91.869
195.000000	91.862
