* frequency_hz	amplitude
20.299999	109.319534
20.600000	109.377754
20.900000	109.426468
21.200001	109.472282
21.400000	109.502838
21.799999	109.565567
22.000000	109.597855
22.400000	109.662971
22.700001	109.710327
23.000000	109.754761
23.299999	109.795311
23.600000	109.832039
24.000000	109.876945
24.299999	109.909798
24.700001	109.955048
25.000000	109.990234
25.400000	110.036896
25.799999	110.079735
26.200001	110.116798
26.500000	110.141525
26.900000	110.172890
27.200001	110.196457
27.600000	110.227577
28.000000	110.256119
28.500000	110.285645
29.000000	110.312599
29.500000	110.345245
30.000000	110.385132
30.400000	110.416046
30.700001	110.434280
31.100000	110.449249
31.500000	110.455292
32.000000	110.459244
32.500000	110.469070
33.000000	110.487801
33.500000	110.510338
34.000000	110.529228
34.500000	110.540802
35.000000	110.547546
35.500000	110.555412
36.000000	110.567848
36.500000	110.582092
37.000000	110.592621
37.500000	110.597977
38.200001	110.603821
38.700001	110.608719
39.500000	110.607925
40.000000	110.601425
40.599998	110.595551
41.200001	110.593620
41.799999	110.589302
42.500000	110.578949
43.099998	110.571236
43.700001	110.564705
44.400002	110.552002
45.000000	110.537560
45.500000	110.526642
46.200001	110.513962
46.799999	110.502106
47.500000	110.484695
48.200001	110.464485
48.700001	110.448761
49.400002	110.425636
50.000000	110.406937
50.799999	110.384468
51.500000	110.362633
52.200001	110.337204
53.000000	110.307213
53.799999	110.278694
54.500000	110.256256
55.200001	110.227692
56.000000	110.182602
57.000000	110.148323
58.000000	110.104736
59.000000	110.074783
60.000000	110.125557
60.799999	110.070801
61.500000	109.978127
62.200001	109.941719
63.000000	109.937164
64.000000	109.896591
65.000000	109.858566
66.000000	109.816048
67.000000	109.779762
68.000000	109.736549
69.000000	109.686874
70.000000	109.639366
71.000000	109.590591
72.000000	109.536331
73.000000	109.487274
74.000000	109.431534
75.000000	109.378723
76.199997	109.313660
77.500000	109.242584
78.800003	109.162659
80.000000	109.099472
81.199997	109.023163
82.500000	108.946617
83.800003	108.856010
85.000000	108.780823
86.199997	108.696350
87.500000	108.592087
88.500000	108.527252
90.000000	108.391739
91.199997	108.315620
92.500000	108.221802
93.800003	108.142143
95.000000	108.135223
96.199997	108.142891
97.500000	108.241608
98.800003	108.346779
100.000000	108.417953
101.500000	108.490463
103.000000	108.502678
104.400002	108.481522
106.000000	108.438957
107.500000	108.371368
109.000000	108.303322
110.599998	108.224823
112.000000	108.155663
113.800003	108.062912
115.000000	108.004044
117.199997	107.898003
118.000000	107.853050
120.599998	107.715134
122.000000	107.681458
124.099998	107.577095
125.000000	107.538681
126.500000	107.472404
128.000000	107.403778
131.500000	107.258522
132.000000	107.237907
134.000000	107.153610
136.000000	107.072723
138.000000	106.992607
140.000000	106.911781
143.000000	106.794785
145.000000	106.718613
147.500000	106.621849
150.000000	106.527985
152.500000	106.434174
155.000000	106.341965
157.500000	106.251389
160.000000	106.161896
162.500000	106.076134
165.000000	105.990158
167.500000	105.910278
170.000000	105.833748
172.500000	105.768509
175.000000	105.713806
177.500000	105.658661
180.000000	105.634392
182.500000	105.541534
185.000000	105.476006
187.500000	105.403419
190.000000	105.332588
192.500000	105.262772
195.000000	105.190872
197.500000	105.122696
200.000000	105.053696
203.000000	104.973534
206.000000	104.893646
209.000000	104.816170
212.000000	104.740128
214.000000	104.691513
218.000000	104.594452
220.000000	104.543274
224.000000	104.450356
227.000000	104.383102
230.000000	104.315475
233.000000	104.246796
236.000000	104.182396
240.000000	104.071777
243.000000	104.040039
247.000000	103.958595
250.000000	103.899673
254.000000	103.822655
258.000000	103.746063
262.000000	103.672012
265.000000	103.615860
269.000000	103.543350
272.000000	103.489273
276.000000	103.419243
280.000000	103.350067
285.000000	103.266830
290.000000	103.187584
295.000000	103.110619
300.000000	103.033905
304.000000	102.974182
307.000000	102.927071
311.000000	102.869339
315.000000	102.812576
320.000000	102.742683
325.000000	102.676201
330.000000	102.609161
335.000000	102.545540
340.000000	102.484558
345.000000	102.423988
350.000000	102.365768
355.000000	102.305000
360.000000	102.243225
365.000000	102.194809
370.000000	102.143181
375.000000	102.089050
382.000000	102.016846
387.000000	101.967888
395.000000	101.891884
400.000000	101.846359
406.000000	101.792175
412.000000	101.740204
418.000000	101.690697
425.000000	101.630302
431.000000	101.583412
437.000000	101.537422
444.000000	101.486137
450.000000	101.442375
455.000000	101.405640
462.000000	101.358559
468.000000	101.317101
475.000000	101.273308
482.000000	101.231537
487.000000	101.199272
494.000000	101.159248
500.000000	101.123810
508.000000	101.080765
515.000000	101.044502
522.000000	101.007919
530.000000	100.971268
538.000000	100.935844
545.000000	100.899513
552.000000	100.870834
560.000000	100.838058
570.000000	100.797066
580.000000	100.759666
590.000000	100.724770
600.000000	100.693626
608.000000	100.667709
615.000000	100.647240
622.000000	100.629280
630.000000	100.607834
640.000000	100.583878
650.000000	100.557861
660.000000	100.553520
670.000000	100.520569
680.000000	100.505165
690.000000	100.490921
700.000000	100.479095
710.000000	100.468445
720.000000	100.457870
730.000000	100.453781
740.000000	100.449165
750.000000	100.448402
762.000000	100.450340
775.000000	100.455353
788.000000	100.464775
800.000000	100.475609
812.000000	100.489197
825.000000	100.511932
838.000000	100.534264
850.000000	100.566071
862.000000	100.595085
875.000000	100.633530
885.000000	100.661858
900.000000	100.715187
912.000000	100.763641
925.000000	100.820465
938.000000	100.881584
950.000000	100.941452
962.000000	101.006134
975.000000	101.078110
988.000000	101.155830
1000.000000	101.231750
1015.000000	101.329315
1030.000000	101.429749
1044.000000	101.530426
1060.000000	101.646500
1075.000000	101.757942
1090.000000	101.870972
1106.000000	101.991913
1120.000000	102.097389
1138.000000	102.232971
1150.000000	102.326370
1172.000000	102.491028
1180.000000	102.548645
1206.000000	102.741600
1220.000000	102.840126
1241.000000	102.983948
1250.000000	103.040718
1265.000000	103.132713
1280.000000	103.221642
1315.000000	103.425964
1320.000000	103.454124
1340.000000	103.566307
1360.000000	103.676132
1380.000000	103.775215
1400.000000	103.884209
1430.000000	104.032822
1450.000000	104.129654
1475.000000	104.247246
1500.000000	104.364243
1525.000000	104.475647
1550.000000	104.584702
1575.000000	104.693336
1600.000000	104.799904
1625.000000	104.906097
1650.000000	105.012146
1675.000000	105.117706
1700.000000	105.230431
1725.000000	105.355881
1750.000000	105.500557
1775.000000	105.667740
1800.000000	105.844780
1825.000000	106.018784
1850.000000	106.174011
1875.000000	106.310791
1900.000000	106.436813
1925.000000	106.555893
1950.000000	106.671600
1975.000000	106.787254
2000.000000	106.910271
2030.000000	107.062973
2060.000000	107.219933
2090.000000	107.371635
2120.000000	107.514130
2140.000000	107.601410
2180.000000	107.759834
2200.000000	107.834221
2240.000000	107.968826
2270.000000	108.059181
2300.000000	108.144630
2330.000000	108.221367
2360.000000	108.294815
2400.000000	108.389420
2430.000000	108.464149
2470.000000	108.584106
2500.000000	108.700821
2540.000000	108.898758
2580.000000	109.119522
2620.000000	109.320274
2650.000000	109.438622
2690.000000	109.557220
2720.000000	109.621635
2760.000000	109.687027
2800.000000	109.734665
2850.000000	109.778442
2900.000000	109.806274
2950.000000	109.822891
3000.000000	109.837860
3040.000000	109.853500
3070.000000	109.866928
3110.000000	109.887032
3150.000000	109.903381
3200.000000	109.919525
3250.000000	109.922897
3300.000000	109.913597
3350.000000	109.895676
3400.000000	109.871201
3450.000000	109.846840
3500.000000	109.825043
3550.000000	109.804131
3600.000000	109.779350
