* frequency_hz	amplitude
20.299999	104.198074
20.600000	104.202026
20.900000	104.195503
21.200001	104.184174
21.400000	104.177399
21.799999	104.176712
22.000000	104.186523
22.400000	104.226715
22.700001	104.266785
23.000000	104.302620
23.299999	104.322350
23.600000	104.318359
24.000000	104.276154
24.299999	104.227081
24.700001	104.159698
25.000000	104.120598
25.400000	104.091583
25.799999	104.083221
26.200001	104.080513
26.500000	104.073792
26.900000	104.053757
27.200001	104.031311
27.600000	103.997841
28.000000	103.968079
28.500000	103.943741
29.000000	103.930000
29.500000	103.914452
30.000000	103.887459
30.400000	103.859009
30.700001	103.836975
31.100000	103.810074
31.500000	103.786438
32.000000	103.757103
32.500000	103.723381
33.000000	103.687012
33.500000	103.653412
34.000000	103.624687
34.500000	103.597595
35.000000	103.567245
35.500000	103.531395
36.000000	103.491524
36.500000	103.451263
37.000000	103.413567
37.500000	103.378235
38.200001	103.327415
38.700001	103.289024
39.500000	103.229713
40.000000	103.193443
40.599998	103.145332
41.200001	103.092133
41.799999	103.039078
42.500000	102.981255
43.099998	102.936745
43.700001	102.899391
44.400002	102.857338
45.000000	102.809128
45.500000	102.759712
46.200001	102.690681
46.799999	102.638748
47.500000	102.577896
48.200001	102.512466
48.700001	102.467789
49.400002	102.410507
50.000000	102.361557
50.799999	102.292107
51.500000	102.228539
52.200001	102.163132
53.000000	102.088737
53.799999	102.019753
54.500000	101.964424
55.200001	101.906471
56.000000	101.828598
57.000000	101.735641
58.000000	101.655899
59.000000	101.558205
60.000000	101.477516
60.799999	101.413132
61.500000	101.340370
62.200001	101.272560
63.000000	101.208878
64.000000	101.117165
65.000000	101.024582
66.000000	100.936707
67.000000	100.843605
68.000000	100.757553
69.000000	100.664734
70.000000	100.577118
71.000000	100.485519
72.000000	100.387230
73.000000	100.300041
74.000000	100.207619
75.000000	100.114670
76.199997	100.007263
77.500000	99.892303
78.800003	99.773331
80.000000	99.661163
81.199997	99.551979
82.500000	99.436813
83.800003	99.320328
85.000000	99.212410
86.199997	99.103821
87.500000	98.984764
88.500000	98.895988
90.000000	98.765411
91.199997	98.658966
92.500000	98.545166
93.800003	98.442062
95.000000	98.351791
96.199997	98.265930
97.500000	98.161949
98.800003	98.054588
100.000000	97.951202
101.500000	97.834358
103.000000	97.706062
104.400002	97.594696
106.000000	97.471153
107.500000	97.344345
109.000000	97.234428
110.599998	97.101425
112.000000	96.990013
113.800003	96.861115
115.000000	96.766861
117.199997	96.598045
118.000000	96.534721
120.599998	96.344116
122.000000	96.255829
124.099998	96.092522
125.000000	96.035378
126.500000	95.922386
128.000000	95.830490
131.500000	95.598541
132.000000	95.562859
134.000000	95.413101
136.000000	95.242554
138.000000	95.179153
140.000000	95.059883
143.000000	94.875648
145.000000	94.765854
147.500000	94.640503
150.000000	94.484055
152.500000	94.379356
155.000000	94.220268
157.500000	94.115097
160.000000	93.970245
162.500000	93.870750
165.000000	93.779190
167.500000	93.669609
170.000000	93.605850
172.500000	93.542969
175.000000	93.463600
177.500000	93.377464
180.000000	93.258072
182.500000	93.206169
185.000000	93.135262
187.500000	93.048416
190.000000	92.979881
192.500000	92.900238
195.000000	92.841629
197.500000	92.773994
200.000000	92.709267
203.000000	92.633690
206.000000	92.557861
209.000000	92.480522
212.000000	92.417465
214.000000	92.374306
218.000000	92.300140
220.000000	92.257301
224.000000	92.189941
227.000000	92.135277
230.000000	92.093994
233.000000	92.051376
236.000000	92.001297
240.000000	91.930298
243.000000	91.904526
247.000000	91.861465
250.000000	91.827934
254.000000	91.781761
258.000000	91.749023
