* frequency_hz	amplitude
20.000000	97.347
20.299999	97.399
20.600000	97.432
20.900000	97.446
21.200001	97.442
21.400000	97.436
21.799999	97.428
22.000000	97.433
22.400000	97.462
22.700001	97.498
23.000000	97.537
23.299999	97.572
23.600000	97.598
24.000000	97.620
24.299999	97.631
24.700001	97.644
25.000000	97.654
25.400000	97.663
25.799999	97.667
26.200001	97.670
26.500000	97.678
26.900000	97.703
27.200001	97.729
27.600000	97.765
28.000000	97.789
28.500000	97.798
29.000000	97.801
29.500000	97.818
30.000000	97.842
30.400000	97.855
30.700001	97.857
31.100000	97.854
31.500000	97.852
32.000000	97.858
32.500000	97.871
33.000000	97.882
33.500000	97.889
34.000000	97.896
34.500000	97.906
35.000000	97.915
35.500000	97.918
36.000000	97.919
36.500000	97.921
37.000000	97.926
37.500000	97.934
38.200001	97.949
38.700001	97.957
39.500000	97.961
40.000000	97.960
40.599998	97.961
41.200001	97.964
41.799999	97.972
42.500000	97.982
43.099998	97.984
43.700001	97.976
44.400002	97.971
45.000000	97.975
45.500000	97.977
46.200001	97.971
46.799999	97.963
47.500000	97.957
48.200001	97.957
48.700001	97.967
49.400002	97.991
50.000000	97.999
50.799999	97.985
51.500000	97.973
52.200001	97.970
53.000000	97.966
53.799999	97.959
54.500000	97.948
55.200001	97.944
56.000000	97.962
57.000000	97.950
58.000000	97.922
59.000000	97.943
60.000000	97.933
60.799999	97.925
61.500000	97.926
62.200001	97.922
63.000000	97.924
64.000000	97.929
65.000000	97.908
66.000000	97.903
67.000000	97.896
68.000000	97.883
69.000000	97.883
70.000000	97.875
71.000000	97.875
72.000000	97.860
73.000000	97.844
74.000000	97.844
75.000000	97.830
76.199997	97.817
77.500000	97.787
78.800003	97.800
80.000000	97.782
81.199997	97.770
82.500000	97.757
83.800003	97.740
85.000000	97.727
86.199997	97.718
87.500000	97.707
88.500000	97.695
90.000000	97.681
91.199997	97.667
92.500000	97.653
93.800003	97.639
95.000000	97.625
96.199997	97.613
97.500000	97.589
98.800003	97.576
100.000000	97.563
101.500000	97.545
103.000000	97.526
104.400002	97.511
106.000000	97.487
107.500000	97.470
109.000000	97.449
110.599998	97.427
112.000000	97.411
113.800003	97.386
115.000000	97.366
117.199997	97.333
118.000000	97.324
120.599998	97.265
122.000000	97.275
124.099998	97.244
125.000000	97.230
126.500000	97.206
128.000000	97.182
131.500000	97.133
132.000000	97.127
134.000000	97.092
136.000000	97.055
138.000000	97.040
140.000000	97.005
143.000000	96.966
145.000000	96.933
147.500000	96.887
150.000000	96.842
152.500000	96.799
155.000000	96.753
157.500000	96.707
160.000000	96.673
162.500000	96.649
165.000000	96.628
167.500000	96.614
170.000000	96.594
172.500000	96.574
175.000000	96.548
177.500000	96.522
180.000000	96.484
182.500000	96.453
185.000000	96.418
187.500000	96.382
190.000000	96.349
192.500000	96.311
195.000000	96.284
197.500000	96.249
200.000000	96.212
203.000000	96.169
206.000000	96.126
209.000000	96.083
212.000000	96.041
214.000000	96.011
218.000000	95.960
220.000000	95.929
224.000000	95.874
227.000000	95.831
230.000000	95.789
233.000000	95.746
236.000000	95.703
240.000000	95.646
243.000000	95.610
247.000000	95.553
250.000000	95.512
254.000000	95.459
258.000000	95.405
262.000000	95.354
265.000000	95.313
269.000000	95.272
272.000000	95.235
276.000000	95.188
280.000000	95.141
285.000000	95.084
290.000000	95.023
295.000000	94.964
300.000000	94.906
304.000000	94.855
307.000000	94.817
311.000000	94.773
315.000000	94.724
320.000000	94.670
325.000000	94.615
330.000000	94.562
335.000000	94.502
340.000000	94.450
345.000000	94.394
350.000000	94.340
355.000000	94.290
360.000000	94.239
365.000000	94.189
370.000000	94.140
375.000000	94.090
382.000000	94.023
387.000000	93.972
395.000000	93.904
400.000000	93.858
406.000000	93.804
412.000000	93.752
418.000000	93.699
425.000000	93.644
431.000000	93.593
437.000000	93.545
444.000000	93.492
450.000000	93.447
455.000000	93.409
462.000000	93.356
468.000000	93.316
475.000000	93.269
482.000000	93.223
487.000000	93.192
494.000000	93.149
500.000000	93.113
508.000000	93.072
515.000000	93.035
522.000000	92.993
530.000000	92.931
538.000000	92.827
545.000000	92.710
552.000000	92.619
560.000000	92.550
570.000000	92.494
580.000000	92.437
590.000000	92.377
600.000000	92.330
608.000000	92.299
615.000000	92.279
622.000000	92.255
630.000000	92.231
640.000000	92.202
650.000000	92.176
660.000000	92.138
670.000000	92.111
680.000000	92.079
690.000000	92.053
700.000000	92.025
710.000000	91.997
720.000000	91.974
730.000000	91.951
740.000000	91.935
750.000000	91.917
762.000000	91.900
775.000000	91.881
788.000000	91.871
800.000000	91.861
812.000000	91.859
825.000000	91.858
838.000000	91.864
850.000000	91.871
862.000000	91.886
875.000000	91.905
885.000000	91.922
900.000000	91.957
912.000000	91.987
925.000000	92.025
938.000000	92.068
950.000000	92.113
962.000000	92.164
975.000000	92.223
988.000000	92.288
1000.000000	92.349
1015.000000	92.431
1030.000000	92.519
1044.000000	92.609
1060.000000	92.715
1075.000000	92.820
1090.000000	92.919
1106.000000	93.033
1120.000000	93.133
1138.000000	93.259
1150.000000	93.348
1172.000000	93.503
1180.000000	93.559
1206.000000	93.738
1220.000000	93.831
1241.000000	93.967
1250.000000	94.025
1265.000000	94.119
1280.000000	94.203
1315.000000	94.398
1320.000000	94.422
1340.000000	94.518
1360.000000	94.613
1380.000000	94.694
1400.000000	94.769
1430.000000	94.873
1450.000000	94.944
1475.000000	95.073
1500.000000	95.278
1525.000000	95.514
1550.000000	95.700
1575.000000	95.826
1600.000000	95.917
1625.000000	95.985
1650.000000	96.047
