* frequency_hz	amplitude
20.299999	107.598251
20.600000	107.555267
20.900000	107.504692
21.200001	107.454094
21.400000	107.421371
21.799999	107.356102
22.000000	107.322205
22.400000	107.250443
22.700001	107.194702
23.000000	107.140854
23.299999	107.092308
23.600000	107.050911
24.000000	107.005219
24.299999	106.974289
24.700001	106.932007
25.000000	106.897850
25.400000	106.849350
25.799999	106.797928
26.200001	106.741035
26.500000	106.692383
26.900000	106.619850
27.200001	106.563492
27.600000	106.496162
28.000000	106.446945
28.500000	106.410728
29.000000	106.378090
29.500000	106.321243
30.000000	106.234535
30.400000	106.155586
30.700001	106.098755
31.100000	106.031418
31.500000	105.973213
32.000000	105.906525
32.500000	105.840118
33.000000	105.771935
33.500000	105.702415
34.000000	105.632050
34.500000	105.562164
35.000000	105.494614
35.500000	105.429726
36.000000	105.365593
36.500000	105.300667
37.000000	105.235435
37.500000	105.170387
38.200001	105.075470
38.700001	105.003540
39.500000	104.896530
40.000000	104.840561
40.599998	104.768654
41.200001	104.678024
41.799999	104.591415
42.500000	104.531555
43.099998	104.477150
43.700001	104.363091
44.400002	104.198196
45.000000	104.119720
45.500000	104.099930
46.200001	104.062836
46.799999	103.993500
47.500000	103.920578
48.200001	103.883537
48.700001	103.856407
49.400002	103.797607
50.000000	103.749344
50.799999	103.721802
51.500000	103.678566
52.200001	103.538208
53.000000	103.347580
53.799999	103.315147
54.500000	103.349525
55.200001	103.312538
56.000000	103.217514
57.000000	103.115219
58.000000	103.007942
59.000000	102.927086
60.000000	102.836380
60.799999	102.759674
61.500000	102.698517
62.200001	102.639694
63.000000	102.573227
64.000000	102.488304
65.000000	102.402145
66.000000	102.314552
67.000000	102.236862
68.000000	102.159004
69.000000	102.082741
70.000000	102.009422
71.000000	101.931877
72.000000	101.856239
73.000000	101.783012
74.000000	101.709969
75.000000	101.646004
76.199997	101.575531
77.500000	101.483139
78.800003	101.407776
80.000000	101.327805
81.199997	101.256248
82.500000	101.171768
83.800003	101.099678
85.000000	101.028198
86.199997	100.954475
87.500000	100.876503
88.500000	100.823837
90.000000	100.746170
91.199997	100.686523
92.500000	100.624100
93.800003	100.559250
95.000000	100.498657
96.199997	100.443504
97.500000	100.379227
98.800003	100.318985
100.000000	100.264717
101.500000	100.195084
103.000000	100.124374
104.400002	100.055565
106.000000	99.987526
107.500000	99.927872
109.000000	99.860405
110.599998	99.795120
112.000000	99.739990
113.800003	99.667885
115.000000	99.617607
117.199997	99.532166
118.000000	99.500000
120.599998	99.388168
122.000000	99.362030
124.099998	99.280609
125.000000	99.250755
126.500000	99.202667
128.000000	99.152435
131.500000	99.068092
132.000000	99.056480
134.000000	99.013298
136.000000	98.966866
138.000000	98.907013
140.000000	98.858437
143.000000	98.782272
145.000000	98.728333
147.500000	98.661667
150.000000	98.603302
152.500000	98.543175
155.000000	98.482559
157.500000	98.421181
160.000000	98.364899
162.500000	98.313133
165.000000	98.259308
167.500000	98.211205
170.000000	98.164261
172.500000	98.117661
175.000000	98.079453
177.500000	98.035370
180.000000	98.001106
182.500000	97.947449
185.000000	97.910782
187.500000	97.868484
190.000000	97.834099
192.500000	97.797714
195.000000	97.768021
197.500000	97.754570
200.000000	97.740829
203.000000	97.736382
206.000000	97.729233
209.000000	97.715508
212.000000	97.685661
214.000000	97.661827
218.000000	97.623039
220.000000	97.607628
224.000000	97.563644
227.000000	97.534302
230.000000	97.512428
233.000000	97.488220
236.000000	97.465057
240.000000	97.428825
243.000000	97.422081
247.000000	97.393677
