* frequency_hz	amplitude
20.299999	104.940170
20.600000	104.957962
20.900000	104.967796
21.200001	104.975670
21.400000	104.980972
21.799999	104.992165
22.000000	104.997993
22.400000	105.009712
22.700001	105.018646
23.000000	105.028008
23.299999	105.037971
23.600000	105.048378
24.000000	105.061737
24.299999	105.070351
24.700001	105.079193
25.000000	105.084175
25.400000	105.089912
25.799999	105.096115
26.200001	105.103149
26.500000	105.108482
26.900000	105.114754
27.200001	105.118507
27.600000	105.122498
28.000000	105.125862
28.500000	105.129547
29.000000	105.131996
29.500000	105.132568
30.000000	105.132004
30.400000	105.131607
30.700001	105.131607
31.100000	105.131851
31.500000	105.131935
32.000000	105.131042
32.500000	105.128647
33.000000	105.124855
33.500000	105.120438
34.000000	105.116386
34.500000	105.112984
35.000000	105.108932
35.500000	105.102646
36.000000	105.094139
36.500000	105.085289
37.000000	105.077652
37.500000	105.070679
38.200001	105.058990
38.700001	105.049156
39.500000	105.034279
40.000000	105.025391
40.599998	105.013161
41.200001	104.999161
41.799999	104.984962
42.500000	104.968842
43.099998	104.954414
43.700001	104.939034
44.400002	104.920593
45.000000	104.905052
45.500000	104.892242
46.200001	104.873550
46.799999	104.856346
47.500000	104.836014
48.200001	104.815582
48.700001	104.800079
49.400002	104.777679
50.000000	104.759186
50.799999	104.734344
51.500000	104.711975
52.200001	104.691750
53.000000	104.667908
53.799999	104.637802
54.500000	104.611702
55.200001	104.588409
56.000000	104.559189
57.000000	104.519928
58.000000	104.483711
59.000000	104.446930
60.000000	104.409821
60.799999	104.380882
61.500000	104.355225
62.200001	104.327660
63.000000	104.295708
64.000000	104.257759
65.000000	104.218857
66.000000	104.180161
67.000000	104.139938
68.000000	104.099434
69.000000	104.058151
70.000000	104.017982
71.000000	103.979347
72.000000	103.937195
73.000000	103.895645
74.000000	103.856262
75.000000	103.814743
76.199997	103.762817
77.500000	103.709808
78.800003	103.655655
80.000000	103.606201
81.199997	103.557304
82.500000	103.503799
83.800003	103.448135
85.000000	103.397491
86.199997	103.347321
87.500000	103.293816
88.500000	103.252449
90.000000	103.190475
91.199997	103.141533
92.500000	103.088715
93.800003	103.034805
95.000000	102.984612
96.199997	102.934677
97.500000	102.883430
98.800003	102.830513
100.000000	102.781288
101.500000	102.720451
103.000000	102.660736
104.400002	102.604782
106.000000	102.538437
107.500000	102.481033
109.000000	102.424294
110.599998	102.361076
112.000000	102.306992
113.800003	102.237793
115.000000	102.192093
117.199997	102.108841
118.000000	102.079247
120.599998	101.981293
122.000000	101.930870
124.099998	101.853851
125.000000	101.820938
126.500000	101.767944
128.000000	101.713654
131.500000	101.590355
132.000000	101.572922
134.000000	101.504257
136.000000	101.436935
138.000000	101.369507
140.000000	101.301987
143.000000	101.204185
145.000000	101.138916
147.500000	101.061722
150.000000	100.986328
152.500000	100.908752
155.000000	100.833099
157.500000	100.758377
160.000000	100.683235
162.500000	100.613991
165.000000	100.541504
167.500000	100.475067
170.000000	100.406509
172.500000	100.337486
175.000000	100.273941
177.500000	100.207611
180.000000	100.145523
182.500000	100.083313
185.000000	100.023087
187.500000	99.962860
190.000000	99.903435
192.500000	99.847748
195.000000	99.789963
197.500000	99.734818
200.000000	99.679947
203.000000	99.616615
206.000000	99.554474
209.000000	99.492714
212.000000	99.433968
214.000000	99.394020
218.000000	99.318871
220.000000	99.281677
224.000000	99.207825
227.000000	99.156250
230.000000	99.106232
233.000000	99.053665
236.000000	99.005768
240.000000	98.944229
243.000000	98.892387
247.000000	98.837379
250.000000	98.787270
254.000000	98.731583
258.000000	98.676926
262.000000	98.631004
265.000000	98.595139
269.000000	98.568451
272.000000	98.543434
276.000000	98.510094
280.000000	98.472214
285.000000	98.420120
290.000000	98.371178
295.000000	98.322968
300.000000	98.278839
304.000000	98.245041
307.000000	98.221512
311.000000	98.188873
315.000000	98.161179
320.000000	98.129318
325.000000	98.103127
330.000000	98.078995
335.000000	98.058189
340.000000	98.031853
345.000000	98.007751
350.000000	97.985161
355.000000	97.962555
360.000000	97.942490
365.000000	97.925087
370.000000	97.907249
375.000000	97.892288
382.000000	97.876305
387.000000	97.863548
395.000000	97.849281
400.000000	97.840889
406.000000	97.834358
412.000000	97.830139
418.000000	97.823341
425.000000	97.820404
431.000000	97.821388
437.000000	97.821907
444.000000	97.823509
450.000000	97.826462
455.000000	97.830254
462.000000	97.837479
468.000000	97.844551
475.000000	97.855202
482.000000	97.865646
487.000000	97.873856
494.000000	97.889091
500.000000	97.899353
508.000000	97.914825
515.000000	97.932159
522.000000	97.949005
530.000000	97.969109
538.000000	97.993225
545.000000	98.012390
552.000000	98.034386
560.000000	98.057968
570.000000	98.088463
580.000000	98.122169
590.000000	98.155746
600.000000	98.191803
608.000000	98.222160
615.000000	98.246758
622.000000	98.274811
630.000000	98.306717
640.000000	98.349434
650.000000	98.396378
660.000000	98.445724
670.000000	98.494209
680.000000	98.541458
690.000000	98.585098
700.000000	98.628838
710.000000	98.674202
720.000000	98.717674
730.000000	98.760132
740.000000	98.805344
750.000000	98.849426
762.000000	98.903168
775.000000	98.960754
788.000000	99.021614
800.000000	99.079498
812.000000	99.136765
825.000000	99.200096
838.000000	99.266205
850.000000	99.327766
862.000000	99.391006
875.000000	99.462273
885.000000	99.517624
900.000000	99.603981
912.000000	99.674728
925.000000	99.752258
938.000000	99.831627
950.000000	99.906685
962.000000	99.986557
975.000000	100.071686
988.000000	100.161613
1000.000000	100.247772
1015.000000	100.355789
1030.000000	100.467422
1044.000000	100.573448
1060.000000	100.694275
1075.000000	100.807503
1090.000000	100.921509
1106.000000	101.040756
1120.000000	101.146042
1138.000000	101.274200
1150.000000	101.358002
1172.000000	101.503555
1180.000000	101.555038
1206.000000	101.708954
1220.000000	101.789383
1241.000000	101.897278
1250.000000	101.940025
1265.000000	102.009666
1280.000000	102.072578
1315.000000	102.200439
1320.000000	102.215332
1340.000000	102.276260
1360.000000	102.329544
1380.000000	102.377899
1400.000000	102.417976
1430.000000	102.472794
1450.000000	102.502045
1475.000000	102.535286
1500.000000	102.564117
1525.000000	102.590027
1550.000000	102.613335
1575.000000	102.634666
1600.000000	102.654190
1625.000000	102.674904
1650.000000	102.693344
1675.000000	102.712349
1700.000000	102.732193
1725.000000	102.750092
1750.000000	102.770393
1775.000000	102.790550
1800.000000	102.812103
1825.000000	102.832726
1850.000000	102.854752
1875.000000	102.876602
1900.000000	102.900124
1925.000000	102.922760
1950.000000	102.945572
1975.000000	102.968781
2000.000000	102.988556
2030.000000	103.014038
2060.000000	103.037613
2090.000000	103.057404
2120.000000	103.077370
2140.000000	103.087387
2180.000000	103.105492
2200.000000	103.113426
2240.000000	103.119797
2270.000000	103.118874
2300.000000	103.114510
2330.000000	103.105911
2360.000000	103.087982
2400.000000	103.057709
2430.000000	103.028358
2470.000000	102.979980
2500.000000	102.939507
2540.000000	102.881149
2580.000000	102.815796
2620.000000	102.746117
2650.000000	102.687378
2690.000000	102.606956
2720.000000	102.538681
2760.000000	102.440277
2800.000000	102.334084
2850.000000	102.182816
2900.000000	102.009628
2950.000000	101.806870
3000.000000	101.562088
3040.000000	101.317581
3070.000000	101.102325
3110.000000	100.762505
3150.000000	100.353401
3200.000000	99.757195
3250.000000	99.101135
3300.000000	98.480164
3350.000000	98.016312
3400.000000	97.805283
3450.000000	97.841980
3500.000000	98.052261
3550.000000	98.345222
3600.000000	98.666046
3650.000000	98.978958
3700.000000	99.272995
3750.000000	99.540070
3820.000000	99.873680
3870.000000	100.088936
3950.000000	100.394073
4000.000000	100.564842
4060.000000	100.747772
4120.000000	100.910881
4180.000000	101.044418
4250.000000	101.170792
4310.000000	101.243530
4370.000000	101.279984
4440.000000	101.274109
4500.000000	101.221039
4550.000000	101.142403
