* frequency_hz	amplitude
20.299999	101.850365
20.600000	101.909576
20.900000	101.964706
21.200001	102.017586
21.400000	102.051132
21.799999	102.113647
22.000000	102.143127
22.400000	102.201118
22.700001	102.246262
23.000000	102.293396
23.299999	102.340942
23.600000	102.385818
24.000000	102.435913
24.299999	102.464752
24.700001	102.494507
25.000000	102.515213
25.400000	102.547043
25.799999	102.586266
26.200001	102.629326
26.500000	102.660431
26.900000	102.697502
27.200001	102.722275
27.600000	102.754356
28.000000	102.788193
28.500000	102.832375
29.000000	102.871407
29.500000	102.899200
30.000000	102.917877
30.400000	102.931396
30.700001	102.943321
31.100000	102.962891
31.500000	102.986069
32.000000	103.016731
32.500000	103.044876
33.000000	103.067360
33.500000	103.084137
34.000000	103.098007
34.500000	103.112335
35.000000	103.128761
35.500000	103.146698
36.000000	103.164246
36.500000	103.179077
37.000000	103.189087
37.500000	103.194160
38.200001	103.200653
38.700001	103.211060
39.500000	103.232224
40.000000	103.238304
40.599998	103.237686
41.200001	103.237671
41.799999	103.239098
42.500000	103.232880
43.099998	103.226486
43.700001	103.233696
44.400002	103.252434
45.000000	103.256897
45.500000	103.251305
46.200001	103.246452
46.799999	103.251450
47.500000	103.255974
48.200001	103.251633
48.700001	103.245224
49.400002	103.234116
50.000000	103.224823
50.799999	103.216759
51.500000	103.210976
52.200001	103.202530
53.000000	103.189835
53.799999	103.175766
54.500000	103.167587
55.200001	103.160233
56.000000	103.141937
57.000000	103.123611
58.000000	103.111588
59.000000	103.088593
60.000000	103.086273
60.799999	103.068565
61.500000	103.037941
62.200001	103.017349
63.000000	103.006683
64.000000	102.986809
65.000000	102.964455
66.000000	102.943054
67.000000	102.915329
68.000000	102.887466
69.000000	102.862633
70.000000	102.836823
71.000000	102.809753
72.000000	102.787140
73.000000	102.756958
74.000000	102.728264
75.000000	102.706802
76.199997	102.667801
77.500000	102.633850
78.800003	102.595657
80.000000	102.558968
81.199997	102.528534
82.500000	102.484428
83.800003	102.447937
85.000000	102.417084
86.199997	102.372131
87.500000	102.326248
88.500000	102.304565
90.000000	102.253754
91.199997	102.219711
92.500000	102.179832
93.800003	102.146248
95.000000	102.095795
96.199997	102.058624
97.500000	102.025459
98.800003	101.982475
100.000000	101.943893
101.500000	101.898285
103.000000	101.845154
104.400002	101.801941
106.000000	101.753525
107.500000	101.712433
109.000000	101.658371
110.599998	101.610382
112.000000	101.563797
113.800003	101.501778
115.000000	101.481171
117.199997	101.400085
118.000000	101.384682
120.599998	101.325287
122.000000	101.239769
124.099998	101.182953
125.000000	101.149551
126.500000	101.099976
128.000000	101.084656
131.500000	100.955933
132.000000	100.941528
134.000000	100.883789
136.000000	100.829430
138.000000	100.762100
140.000000	100.709373
143.000000	100.618149
145.000000	100.560143
147.500000	100.486061
150.000000	100.404358
152.500000	100.342979
155.000000	100.261887
157.500000	100.198593
160.000000	100.113800
162.500000	100.050232
165.000000	99.968849
167.500000	99.921135
170.000000	99.875443
172.500000	99.820877
175.000000	99.761063
177.500000	99.700386
180.000000	99.656929
182.500000	99.559456
185.000000	99.503883
187.500000	99.441940
190.000000	99.379578
192.500000	99.324341
195.000000	99.276115
197.500000	99.218353
200.000000	99.169922
203.000000	99.111404
206.000000	99.059822
209.000000	98.999321
212.000000	98.951286
214.000000	98.895126
218.000000	98.821869
220.000000	98.781799
224.000000	98.702751
227.000000	98.641556
230.000000	98.584183
233.000000	98.525223
236.000000	98.466934
240.000000	98.365921
243.000000	98.333565
247.000000	98.257187
250.000000	98.204964
254.000000	98.129173
258.000000	98.060890
262.000000	97.990929
265.000000	97.938721
269.000000	97.875710
272.000000	97.827950
276.000000	97.760895
280.000000	97.700104
285.000000	97.618042
290.000000	97.553238
295.000000	97.459343
300.000000	97.406586
304.000000	97.350220
307.000000	97.304817
311.000000	97.245529
315.000000	97.200516
320.000000	97.135025
325.000000	97.064514
330.000000	97.003860
335.000000	96.945068
340.000000	96.881950
345.000000	96.823814
350.000000	96.771339
355.000000	96.709763
360.000000	96.653496
365.000000	96.598190
370.000000	96.545349
375.000000	96.492798
382.000000	96.422661
387.000000	96.374870
395.000000	96.293015
400.000000	96.245316
406.000000	96.185349
412.000000	96.138313
418.000000	96.078110
425.000000	96.017853
431.000000	95.969505
437.000000	95.929131
444.000000	95.886726
450.000000	95.847031
455.000000	95.811386
462.000000	95.763023
468.000000	95.723671
475.000000	95.669868
482.000000	95.630432
487.000000	95.593414
494.000000	95.551666
500.000000	95.511734
508.000000	95.462624
515.000000	95.422729
522.000000	95.377342
530.000000	95.331779
538.000000	95.293144
545.000000	95.253189
552.000000	95.217331
560.000000	95.178276
570.000000	95.132599
580.000000	95.085480
590.000000	95.045059
600.000000	95.007469
608.000000	94.972473
615.000000	94.945091
622.000000	94.920090
630.000000	94.888145
640.000000	94.855370
650.000000	94.827065
660.000000	94.788177
670.000000	94.765900
680.000000	94.738884
690.000000	94.712616
700.000000	94.690071
710.000000	94.671997
720.000000	94.655083
730.000000	94.636307
740.000000	94.620590
750.000000	94.607300
762.000000	94.590599
775.000000	94.593735
788.000000	94.580269
800.000000	94.578400
812.000000	94.580559
825.000000	94.590271
838.000000	94.597458
850.000000	94.607178
862.000000	94.621140
875.000000	94.647476
885.000000	94.669434
900.000000	94.710449
912.000000	94.732178
925.000000	94.772339
938.000000	94.813538
950.000000	94.857109
962.000000	94.900635
975.000000	94.947388
988.000000	94.992882
1000.000000	95.036995
1015.000000	95.085800
1030.000000	95.137230
1044.000000	95.177071
1060.000000	95.233643
1075.000000	95.286789
1090.000000	95.364769
1106.000000	95.459564
1120.000000	95.559090
1138.000000	95.707008
1150.000000	95.809708
1172.000000	96.001678
1180.000000	96.071251
1206.000000	96.289093
1220.000000	96.400436
1241.000000	96.558800
1250.000000	96.627022
1265.000000	96.729744
1280.000000	96.827728
1315.000000	97.044350
1320.000000	97.072998
1340.000000	97.183144
1360.000000	97.290390
1380.000000	97.390137
1400.000000	97.488022
1430.000000	97.624214
1450.000000	97.711243
1475.000000	97.813118
1500.000000	97.916458
1525.000000	98.017715
1550.000000	98.113831
1575.000000	98.211266
1600.000000	98.309219
1625.000000	98.408203
1650.000000	98.506599
1675.000000	98.604652
1700.000000	98.706497
1725.000000	98.807640
1750.000000	98.909889
1775.000000	99.015533
1800.000000	99.119583
1825.000000	99.228920
1850.000000	99.335464
1875.000000	99.448349
1900.000000	99.559906
1925.000000	99.674240
1950.000000	99.790230
1975.000000	99.907356
2000.000000	100.026230
2030.000000	100.170029
2060.000000	100.316742
2090.000000	100.464523
2120.000000	100.616905
2140.000000	100.717010
2180.000000	100.918884
2200.000000	101.021950
2240.000000	101.229301
2270.000000	101.384094
2300.000000	101.537888
2330.000000	101.691826
2360.000000	101.846588
2400.000000	102.046310
2430.000000	102.198402
2470.000000	102.395920
2500.000000	102.540230
2540.000000	102.729561
2580.000000	102.912819
2620.000000	103.088837
2650.000000	103.214905
2690.000000	103.378502
2720.000000	103.496597
2760.000000	103.647041
2800.000000	103.787552
2850.000000	103.952271
2900.000000	104.102867
2950.000000	104.239784
3000.000000	104.364342
3040.000000	104.454926
3070.000000	104.517792
3110.000000	104.595337
3150.000000	104.667061
3200.000000	104.747505
3250.000000	104.817871
3300.000000	104.882675
3350.000000	104.936790
3400.000000	104.984604
3450.000000	105.025917
3500.000000	105.060959
3550.000000	105.089592
3600.000000	105.113708
3650.000000	105.132126
3700.000000	105.141197
3750.000000	105.146194
3820.000000	105.142151
3870.000000	105.132744
3950.000000	105.107056
4000.000000	105.082886
4060.000000	105.044876
4120.000000	105.000961
4180.000000	104.948929
4250.000000	104.884354
4310.000000	104.823463
4370.000000	104.761536
4440.000000	104.680878
4500.000000	104.606552
4550.000000	104.540794
4620.000000	104.454086
4680.000000	104.388527
4750.000000	104.309052
4820.000000	104.227203
4870.000000	104.166718
4940.000000	104.086426
5000.000000	104.010880
5080.000000	103.894569
5150.000000	103.773796
5220.000000	103.629150
5300.000000	103.435684
5380.000000	103.220276
5450.000000	103.015152
5520.000000	102.796852
5600.000000	102.542305
5700.000000	102.205704
5800.000000	101.853210
5900.000000	101.488655
6000.000000	101.109024
6080.000000	100.810699
6150.000000	100.556190
6220.000000	100.319321
6300.000000	100.089386
6400.000000	99.867401
6500.000000	99.719894
6600.000000	99.611115
6700.000000	99.544495
6800.000000	99.524063
6900.000000	99.555008
7000.000000	99.646584
7100.000000	99.788467
7200.000000	100.001572
7300.000000	100.276642
7400.000000	100.607056
7500.000000	100.974556
7620.000000	101.459305
7750.000000	101.948891
7880.000000	102.306641
8000.000000	102.460190
8120.000000	102.375740
8250.000000	102.085922
8380.000000	101.692017
8500.000000	101.199326
8620.000000	100.510773
8750.000000	99.589333
8850.000000	98.804474
9000.000000	97.611679
9120.000000	96.693504
9250.000000	95.775742
9380.000000	94.937241
9500.000000	94.215179
9620.000000	93.547295
9750.000000	92.892807
9880.000000	92.284943
10000.000000	91.787125
10150.000000	91.215683
10300.000000	90.728592
10440.000000	90.338898
10600.000000	89.975426
10750.000000	89.678864
10900.000000	89.446449
11060.000000	89.258026
11200.000000	89.146072
11380.000000	89.059258
11500.000000	89.026688
11720.000000	89.088928
11800.000000	89.147888
12060.000000	89.489433
12200.000000	89.757835
12410.000000	90.342712
12500.000000	90.620399
12650.000000	91.158257
12800.000000	91.710533
13150.000000	93.338127
13200.000000	93.641472
13400.000000	95.032951
13600.000000	96.638756
13800.000000	98.253059
14000.000000	99.349113
14300.000000	98.821678
14500.000000	97.478020
14750.000000	95.778801
15000.000000	94.526779
15250.000000	93.947304
15500.000000	93.938446
15750.000000	94.564209
16000.000000	95.816040
16250.000000	97.105568
16500.000000	96.308418
16750.000000	93.004822
17000.000000	89.400322
