* frequency_hz	amplitude
20.299999	105.832672
20.600000	105.831383
20.900000	105.827583
21.200001	105.824852
21.400000	105.823662
21.799999	105.821709
22.000000	105.820717
22.400000	105.819458
22.700001	105.820648
23.000000	105.824661
23.299999	105.831123
23.600000	105.838165
24.000000	105.842865
24.299999	105.839241
24.700001	105.823090
25.000000	105.805260
25.400000	105.781311
25.799999	105.765648
26.200001	105.760635
26.500000	105.760521
26.900000	105.758423
27.200001	105.753014
27.600000	105.743652
28.000000	105.738792
28.500000	105.743408
29.000000	105.743454
29.500000	105.717926
30.000000	105.674149
30.400000	105.647728
30.700001	105.640289
31.100000	105.639984
31.500000	105.628281
32.000000	105.572281
32.500000	105.490524
33.000000	105.451042
33.500000	105.490845
34.000000	105.565842
34.500000	105.602913
35.000000	105.575783
35.500000	105.518425
36.000000	105.476997
36.500000	105.462646
37.000000	105.457703
37.500000	105.449768
38.200001	105.438019
38.700001	105.428200
39.500000	105.394356
40.000000	105.368553
40.599998	105.348579
41.200001	105.337524
41.799999	105.321434
42.500000	105.292274
43.099998	105.266075
43.700001	105.239746
44.400002	105.203796
45.000000	105.172874
45.500000	105.153412
46.200001	105.134918
46.799999	105.116768
47.500000	105.086784
48.200001	105.054520
48.700001	105.032295
49.400002	105.000778
50.000000	104.974899
50.799999	104.942009
51.500000	104.910149
52.200001	104.878998
53.000000	104.844818
53.799999	104.797989
54.500000	104.753822
55.200001	104.722008
56.000000	104.693779
57.000000	104.651871
58.000000	104.605850
59.000000	104.558289
60.000000	104.509544
60.799999	104.473190
61.500000	104.445457
62.200001	104.414429
63.000000	104.372375
64.000000	104.319656
65.000000	104.265236
66.000000	104.217567
67.000000	104.167267
68.000000	104.113213
69.000000	104.061813
70.000000	104.010681
71.000000	103.966942
72.000000	103.913925
73.000000	103.858978
74.000000	103.806313
75.000000	103.749130
76.199997	103.689575
77.500000	103.627472
78.800003	103.555099
80.000000	103.483597
81.199997	103.418549
82.500000	103.355751
83.800003	103.286858
85.000000	103.218216
86.199997	103.152702
87.500000	103.086334
88.500000	103.030067
90.000000	102.947693
91.199997	102.883163
92.500000	102.809929
93.800003	102.740829
95.000000	102.676956
96.199997	102.609596
97.500000	102.539299
98.800003	102.465561
100.000000	102.395927
101.500000	102.318512
103.000000	102.234833
104.400002	102.156418
106.000000	102.069618
107.500000	101.985382
109.000000	101.904686
110.599998	101.815117
112.000000	101.738609
113.800003	101.641983
115.000000	101.575531
117.199997	101.454468
118.000000	101.414520
120.599998	101.270844
122.000000	101.193497
124.099998	101.078918
125.000000	101.037140
126.500000	100.953331
128.000000	100.873932
131.500000	100.696785
132.000000	100.667908
134.000000	100.563049
136.000000	100.455940
138.000000	100.357063
140.000000	100.249275
143.000000	100.104523
145.000000	100.002037
147.500000	99.878006
150.000000	99.761612
152.500000	99.636482
155.000000	99.526398
157.500000	99.406082
160.000000	99.297028
162.500000	99.180550
165.000000	99.074844
167.500000	98.967484
170.000000	98.861641
172.500000	98.761307
175.000000	98.659622
177.500000	98.559814
180.000000	98.444870
182.500000	98.374222
185.000000	98.275841
187.500000	98.186813
190.000000	98.105782
192.500000	98.017509
195.000000	97.943222
197.500000	97.854202
200.000000	97.775635
203.000000	97.688965
206.000000	97.604691
209.000000	97.524200
212.000000	97.447716
214.000000	97.396332
218.000000	97.301811
220.000000	97.253510
224.000000	97.168129
227.000000	97.105431
230.000000	97.036377
233.000000	96.971039
236.000000	96.898293
240.000000	96.854889
243.000000	96.781601
247.000000	96.712189
250.000000	96.643730
254.000000	96.560585
258.000000	96.517303
262.000000	96.432938
265.000000	96.409744
269.000000	96.395905
272.000000	96.374451
276.000000	96.425369
280.000000	96.440842
285.000000	96.472832
290.000000	96.492508
295.000000	96.494415
300.000000	96.458878
304.000000	96.462440
307.000000	96.445381
311.000000	96.442879
315.000000	96.432137
320.000000	96.419167
325.000000	96.396294
330.000000	96.383148
335.000000	96.376564
340.000000	96.364548
345.000000	96.348137
350.000000	96.339539
355.000000	96.329681
360.000000	96.309578
365.000000	96.306015
370.000000	96.297997
375.000000	96.284393
382.000000	96.270943
387.000000	96.259003
395.000000	96.242897
400.000000	96.233391
406.000000	96.216911
412.000000	96.203056
418.000000	96.184418
425.000000	96.169746
431.000000	96.150162
437.000000	96.132782
444.000000	96.110519
450.000000	96.090179
455.000000	96.073700
462.000000	96.051514
468.000000	96.032623
475.000000	96.009651
482.000000	95.982979
487.000000	95.966263
494.000000	95.940674
500.000000	95.923492
508.000000	95.895271
515.000000	95.867065
522.000000	95.841888
530.000000	95.810776
538.000000	95.789848
545.000000	95.757462
552.000000	95.731178
560.000000	95.701431
570.000000	95.662529
580.000000	95.622940
590.000000	95.581253
600.000000	95.578262
608.000000	95.506851
615.000000	95.475990
622.000000	95.446716
630.000000	95.414246
640.000000	95.369659
650.000000	95.326248
660.000000	95.320320
670.000000	95.237381
680.000000	95.192703
690.000000	95.146461
700.000000	95.096642
710.000000	95.053680
720.000000	94.961037
730.000000	94.967278
740.000000	94.925507
750.000000	94.888565
762.000000	94.844933
775.000000	94.802200
788.000000	94.760132
800.000000	94.723419
812.000000	94.691742
825.000000	94.660973
838.000000	94.636665
850.000000	94.615639
862.000000	94.596169
875.000000	94.586395
885.000000	94.576523
900.000000	94.574799
912.000000	94.578751
925.000000	94.586174
938.000000	94.598511
950.000000	94.614815
962.000000	94.636566
975.000000	94.666214
988.000000	94.702301
1000.000000	94.743141
1015.000000	94.796242
1030.000000	94.857719
1044.000000	94.922615
1060.000000	95.002716
1075.000000	95.081856
1090.000000	95.170807
1106.000000	95.274330
1120.000000	95.371185
1138.000000	95.503273
1150.000000	95.593117
1172.000000	95.760567
1180.000000	95.822426
1206.000000	96.013657
1220.000000	96.104515
1241.000000	96.223206
1250.000000	96.267860
1265.000000	96.336029
1280.000000	96.389023
1315.000000	96.500710
1320.000000	96.500946
1340.000000	96.567978
1360.000000	96.615395
1380.000000	96.651978
1400.000000	96.705780
1430.000000	96.774918
1450.000000	96.817429
1475.000000	96.875320
1500.000000	96.964211
1525.000000	96.997314
1550.000000	97.063011
1575.000000	97.131386
1600.000000	97.209335
1625.000000	97.284096
1650.000000	97.370491
1675.000000	97.455345
1700.000000	97.548454
1725.000000	97.644714
1750.000000	97.746910
