* frequency_hz	amplitude
20.299999	105.193321
20.600000	105.201508
20.900000	105.200829
21.200001	105.198257
21.400000	105.197342
21.799999	105.198555
22.000000	105.200256
22.400000	105.203644
22.700001	105.204636
23.000000	105.204742
23.299999	105.205627
23.600000	105.209099
24.000000	105.218010
24.299999	105.224510
24.700001	105.225555
25.000000	105.217339
25.400000	105.196396
25.799999	105.174210
26.200001	105.160835
26.500000	105.156853
26.900000	105.151215
27.200001	105.140503
27.600000	105.115837
28.000000	105.089584
28.500000	105.080780
29.000000	105.107231
29.500000	105.138313
30.000000	105.135666
30.400000	105.108772
30.700001	105.085213
31.100000	105.062996
31.500000	105.054443
32.000000	105.045174
32.500000	105.015045
33.000000	104.967506
33.500000	104.926857
34.000000	104.905716
34.500000	104.892029
35.000000	104.869965
35.500000	104.840424
36.000000	104.814819
36.500000	104.796661
37.000000	104.778145
37.500000	104.752579
38.200001	104.710617
38.700001	104.683403
39.500000	104.643448
40.000000	104.616714
40.599998	104.583038
41.200001	104.548767
41.799999	104.512794
42.500000	104.468506
43.099998	104.431557
43.700001	104.397179
44.400002	104.357086
45.000000	104.319717
45.500000	104.286942
46.200001	104.241318
46.799999	104.203362
47.500000	104.159355
48.200001	104.115021
48.700001	104.083130
49.400002	104.037727
50.000000	103.997765
50.799999	103.943817
51.500000	103.897713
52.200001	103.852966
53.000000	103.801102
53.799999	103.747711
54.500000	103.700691
55.200001	103.652832
56.000000	103.597946
57.000000	103.530502
58.000000	103.460625
59.000000	103.391815
60.000000	103.322266
60.799999	103.265800
61.500000	103.218063
62.200001	103.169792
63.000000	103.112671
64.000000	103.042770
65.000000	102.974617
66.000000	102.904350
67.000000	102.833641
68.000000	102.764572
69.000000	102.693520
70.000000	102.622597
71.000000	102.552803
72.000000	102.482697
73.000000	102.413170
74.000000	102.342590
75.000000	102.273773
76.199997	102.189896
77.500000	102.100304
78.800003	102.009193
80.000000	101.925003
81.199997	101.843193
82.500000	101.753593
83.800003	101.664902
85.000000	101.582558
86.199997	101.502983
87.500000	101.412781
88.500000	101.346817
90.000000	101.245148
91.199997	101.167313
92.500000	101.081230
93.800003	100.995163
95.000000	100.914703
96.199997	100.836853
97.500000	100.754913
98.800003	100.669960
100.000000	100.594048
101.500000	100.496826
103.000000	100.403717
104.400002	100.319344
106.000000	100.218330
107.500000	100.126724
109.000000	100.041618
110.599998	99.940437
112.000000	99.856934
