* frequency_hz	amplitude
20.299999	101.693581
20.600000	101.708252
20.900000	101.719910
21.200001	101.722076
21.400000	101.716370
21.799999	101.690491
22.000000	101.673172
22.400000	101.636749
22.700001	101.611206
23.000000	101.584663
23.299999	101.551643
23.600000	101.506943
24.000000	101.427658
24.299999	101.360374
24.700001	101.276161
25.000000	101.226334
25.400000	101.181152
25.799999	101.151291
26.200001	101.121468
26.500000	101.091606
26.900000	101.036705
27.200001	100.983360
27.600000	100.898819
28.000000	100.807114
28.500000	100.704643
29.000000	100.639343
29.500000	100.607422
30.000000	100.572899
30.400000	100.521835
30.700001	100.467491
31.100000	100.380356
31.500000	100.287979
32.000000	100.180687
32.500000	100.099213
33.000000	100.066925
33.500000	100.093147
34.000000	100.144913
34.500000	100.163895
35.000000	100.114388
35.500000	100.007713
36.000000	99.868690
36.500000	99.695526
37.000000	99.482536
37.500000	99.270065
38.200001	99.115112
38.700001	99.126663
39.500000	99.126793
40.000000	99.010513
40.599998	98.814392
41.200001	98.698372
41.799999	98.692795
42.500000	98.674026
43.099998	98.548302
43.700001	98.378227
44.400002	98.251289
45.000000	98.170303
45.500000	98.056458
46.200001	97.862968
46.799999	97.789902
47.500000	97.774254
48.200001	97.611229
48.700001	97.417488
49.400002	97.256195
50.000000	97.259689
50.799999	97.228905
51.500000	97.091270
52.200001	96.950256
53.000000	96.796936
53.799999	96.671944
54.500000	96.625008
55.200001	96.543335
56.000000	96.362213
57.000000	96.199097
58.000000	96.123856
59.000000	96.059448
60.000000	95.895416
60.799999	95.714317
61.500000	95.619240
62.200001	95.566002
63.000000	95.480911
64.000000	95.340714
65.000000	95.201965
66.000000	95.065376
67.000000	94.944626
68.000000	94.807693
69.000000	94.686707
70.000000	94.587585
71.000000	94.459915
72.000000	94.351990
73.000000	94.229958
74.000000	94.100182
75.000000	93.994362
76.199997	93.865967
77.500000	93.710808
78.800003	93.583450
80.000000	93.463722
81.199997	93.337906
82.500000	93.214355
83.800003	93.078659
85.000000	92.989990
86.199997	92.855507
87.500000	92.764198
88.500000	92.677727
90.000000	92.556534
91.199997	92.447426
92.500000	92.342972
93.800003	92.254097
95.000000	92.141838
96.199997	92.072266
97.500000	91.960037
98.800003	91.878319
100.000000	91.803024
101.500000	91.744171
103.000000	91.646240
104.400002	91.555786
106.000000	91.441032
107.500000	91.384377
109.000000	91.291565
110.599998	91.213181
112.000000	91.136726
113.800003	91.066116
115.000000	90.987152
117.199997	90.935707
118.000000	90.887596
120.599998	90.594986
122.000000	90.750877
124.099998	90.672279
125.000000	90.616577
126.500000	90.566414
128.000000	90.500778
131.500000	90.391640
132.000000	90.377754
134.000000	90.332611
136.000000	90.266281
138.000000	90.209106
140.000000	90.143242
143.000000	90.070724
145.000000	90.029099
147.500000	90.008514
150.000000	89.939552
152.500000	89.880783
155.000000	89.863289
157.500000	89.793129
160.000000	89.755173
162.500000	89.721169
165.000000	89.635086
167.500000	89.655098
170.000000	89.602364
172.500000	89.579285
175.000000	89.568283
177.500000	89.576698
180.000000	89.568810
182.500000	89.539909
185.000000	89.583725
187.500000	89.583473
190.000000	89.576057
192.500000	89.572418
195.000000	89.540344
197.500000	89.521271
200.000000	89.481964
203.000000	89.476166
206.000000	89.468132
209.000000	89.420670
212.000000	89.420357
214.000000	89.410019
218.000000	89.405861
220.000000	89.390488
224.000000	89.383453
227.000000	89.381584
230.000000	89.370529
233.000000	89.352570
236.000000	89.348419
240.000000	89.316254
243.000000	89.305054
247.000000	89.300201
250.000000	89.294556
254.000000	89.268417
258.000000	89.253563
262.000000	89.257835
265.000000	89.257416
269.000000	89.242828
272.000000	89.233078
276.000000	89.211823
280.000000	89.209877
285.000000	89.199295
290.000000	89.188026
295.000000	89.185059
300.000000	89.182961
304.000000	89.167770
307.000000	89.165871
311.000000	89.161285
315.000000	89.150986
320.000000	89.149033
325.000000	89.141350
330.000000	89.132339
335.000000	89.129044
340.000000	89.124832
345.000000	89.124191
350.000000	89.108521
355.000000	89.122253
360.000000	89.123146
365.000000	89.126160
370.000000	89.128853
375.000000	89.135567
382.000000	89.133224
387.000000	89.141113
395.000000	89.143822
400.000000	89.143524
406.000000	89.140732
412.000000	89.131355
418.000000	89.132698
425.000000	89.128189
431.000000	89.130981
437.000000	89.124893
444.000000	89.129601
450.000000	89.112808
455.000000	89.120972
462.000000	89.124023
468.000000	89.125801
475.000000	89.128914
482.000000	89.126114
487.000000	89.128387
494.000000	89.132217
500.000000	89.132149
508.000000	89.137955
515.000000	89.135170
522.000000	89.135178
530.000000	89.141846
538.000000	89.148514
545.000000	89.156876
552.000000	89.163528
560.000000	89.166809
570.000000	89.178375
580.000000	89.187904
590.000000	89.193680
600.000000	89.201187
608.000000	89.216537
615.000000	89.228729
622.000000	89.237808
630.000000	89.244568
640.000000	89.261932
650.000000	89.270020
660.000000	89.292763
670.000000	89.311531
680.000000	89.329422
690.000000	89.350327
700.000000	89.379669
710.000000	89.400543
720.000000	89.424614
730.000000	89.451126
740.000000	89.480614
750.000000	89.515709
762.000000	89.541260
775.000000	89.587265
788.000000	89.628204
800.000000	89.659950
812.000000	89.724152
825.000000	89.776367
838.000000	89.833000
850.000000	89.889709
862.000000	89.949562
875.000000	90.015244
885.000000	90.075745
900.000000	90.171936
912.000000	90.243149
925.000000	90.325493
938.000000	90.418732
950.000000	90.499237
962.000000	90.596405
975.000000	90.694588
988.000000	90.802666
1000.000000	90.894119
1015.000000	91.034927
1030.000000	91.166992
1044.000000	91.295090
1060.000000	91.437897
1075.000000	91.577461
1090.000000	91.713722
1106.000000	91.869827
1120.000000	91.998550
1138.000000	92.162758
1150.000000	92.265335
1172.000000	92.455971
1180.000000	92.523811
1206.000000	92.737495
1220.000000	92.845779
1241.000000	93.004608
1250.000000	93.072495
1265.000000	93.169449
1280.000000	93.264702
1315.000000	93.473305
1320.000000	93.502907
1340.000000	93.607407
1360.000000	93.706848
1380.000000	93.803032
1400.000000	93.881310
1430.000000	94.007439
1450.000000	94.078011
1475.000000	94.162712
1500.000000	94.237923
1525.000000	94.306839
1550.000000	94.371933
1575.000000	94.434166
1600.000000	94.488365
1625.000000	94.543274
1650.000000	94.593826
