* frequency_hz	amplitude
20.299999	101.785004
20.600000	101.773521
20.900000	101.754967
21.200001	101.739380
21.400000	101.733589
21.799999	101.734543
22.000000	101.740234
22.400000	101.756660
22.700001	101.767517
23.000000	101.773453
23.299999	101.773071
23.600000	101.766769
24.000000	101.752007
24.299999	101.738686
24.700001	101.720840
25.000000	101.708488
25.400000	101.693733
25.799999	101.679909
26.200001	101.665245
26.500000	101.652786
26.900000	101.634132
27.200001	101.619247
27.600000	101.599937
28.000000	101.582680
28.500000	101.564110
29.000000	101.545532
29.500000	101.522797
30.000000	101.494034
30.400000	101.467583
30.700001	101.446869
31.100000	101.419479
31.500000	101.393509
32.000000	101.363640
32.500000	101.335785
33.000000	101.307884
33.500000	101.277969
34.000000	101.245239
34.500000	101.210236
35.000000	101.174210
35.500000	101.138321
36.000000	101.103920
36.500000	101.073318
37.000000	101.048965
37.500000	101.030304
38.200001	101.003113
38.700001	100.975021
39.500000	100.915970
40.000000	100.876450
40.599998	100.830643
41.200001	100.794983
41.799999	100.781670
42.500000	100.778404
43.099998	100.737053
43.700001	100.636940
44.400002	100.502777
45.000000	100.436043
45.500000	100.415619
46.200001	100.392143
46.799999	100.348206
47.500000	100.280281
48.200001	100.217400
48.700001	100.178711
49.400002	100.124718
50.000000	100.071259
50.799999	99.997787
51.500000	99.944054
52.200001	99.890999
53.000000	99.824722
53.799999	99.762573
54.500000	99.698334
55.200001	99.630318
56.000000	99.579620
57.000000	99.507751
58.000000	99.411629
59.000000	99.307449
60.000000	99.158180
60.799999	99.121170
61.500000	99.125488
62.200001	99.085938
63.000000	99.005493
64.000000	98.919914
65.000000	98.842926
66.000000	98.776901
67.000000	98.695114
68.000000	98.608994
69.000000	98.532196
70.000000	98.450119
71.000000	98.369980
72.000000	98.300613
73.000000	98.221848
74.000000	98.141335
75.000000	98.069176
76.199997	97.972168
77.500000	97.864426
78.800003	97.766098
80.000000	97.696457
81.199997	97.606293
82.500000	97.498734
83.800003	97.408348
85.000000	97.336166
86.199997	97.274445
87.500000	97.156952
88.500000	97.073494
90.000000	97.019707
91.199997	96.939430
92.500000	96.825760
93.800003	96.766609
95.000000	96.684204
96.199997	96.616005
97.500000	96.531906
98.800003	96.452042
100.000000	96.381378
101.500000	96.295944
103.000000	96.206337
104.400002	96.125412
106.000000	96.039566
107.500000	95.951767
109.000000	95.872841
110.599998	95.784775
112.000000	95.717308
113.800003	95.640945
115.000000	95.577019
117.199997	95.459229
118.000000	95.426506
120.599998	95.321564
122.000000	95.249489
124.099998	95.139786
125.000000	95.123100
126.500000	95.056633
128.000000	94.988037
131.500000	94.867249
132.000000	94.847221
134.000000	94.771713
136.000000	94.695023
138.000000	94.626266
140.000000	94.559105
143.000000	94.447227
145.000000	94.388367
147.500000	94.333084
150.000000	94.257698
152.500000	94.167862
155.000000	94.126007
157.500000	94.045662
160.000000	93.983322
162.500000	93.957321
165.000000	93.863815
167.500000	93.809174
170.000000	93.773590
172.500000	93.708023
175.000000	93.649887
177.500000	93.609657
180.000000	93.583298
182.500000	93.537643
185.000000	93.532318
187.500000	93.547302
190.000000	93.545341
192.500000	93.546768
195.000000	93.541847
197.500000	93.535812
200.000000	93.517075
203.000000	93.512260
206.000000	93.489082
209.000000	93.464500
212.000000	93.443420
214.000000	93.428589
218.000000	93.408333
220.000000	93.397842
224.000000	93.363907
227.000000	93.346207
230.000000	93.335960
233.000000	93.322151
236.000000	93.326508
240.000000	93.309555
243.000000	93.289139
247.000000	93.252235
250.000000	93.263733
254.000000	93.258354
258.000000	93.244408
262.000000	93.233154
265.000000	93.229881
269.000000	93.225464
272.000000	93.215012
276.000000	93.205109
280.000000	93.198471
285.000000	93.190536
290.000000	93.189781
295.000000	93.171013
300.000000	93.125885
304.000000	93.166641
307.000000	93.159607
311.000000	93.162056
315.000000	93.162033
320.000000	93.179611
325.000000	93.191742
330.000000	93.173927
335.000000	93.205963
340.000000	93.216682
345.000000	93.208916
350.000000	93.209129
355.000000	93.202660
360.000000	93.202034
365.000000	93.195175
370.000000	93.188217
375.000000	93.180519
382.000000	93.171509
387.000000	93.165222
395.000000	93.156555
400.000000	93.148956
406.000000	93.144501
412.000000	93.132416
418.000000	93.131393
425.000000	93.113892
431.000000	93.111931
437.000000	93.104660
444.000000	93.091980
450.000000	93.090538
455.000000	93.092651
462.000000	93.079811
468.000000	93.085983
475.000000	93.090752
482.000000	93.089767
487.000000	93.093964
494.000000	93.098198
500.000000	93.098846
508.000000	93.103287
515.000000	93.080429
522.000000	93.022987
530.000000	92.973946
538.000000	92.949547
545.000000	92.932671
552.000000	92.928741
560.000000	92.914131
570.000000	92.911781
580.000000	92.891945
590.000000	92.871490
600.000000	92.860672
608.000000	92.843224
615.000000	92.826355
622.000000	92.817520
630.000000	92.802856
640.000000	92.791496
650.000000	92.774315
660.000000	92.773178
670.000000	92.742645
680.000000	92.731621
690.000000	92.712296
700.000000	92.704483
710.000000	92.693474
720.000000	92.682709
730.000000	92.669067
740.000000	92.663788
750.000000	92.648895
762.000000	92.644760
775.000000	92.641037
788.000000	92.637398
800.000000	92.639832
812.000000	92.636360
825.000000	92.648216
838.000000	92.655258
850.000000	92.665466
862.000000	92.682968
875.000000	92.702301
885.000000	92.727203
900.000000	92.793335
912.000000	92.804230
925.000000	92.836899
938.000000	92.890869
950.000000	92.929848
962.000000	92.989433
975.000000	93.054588
988.000000	93.123825
1000.000000	93.193405
1015.000000	93.278244
1030.000000	93.377701
1044.000000	93.471252
1060.000000	93.589630
1075.000000	93.698303
1090.000000	93.818375
1106.000000	93.950554
1120.000000	94.068878
1138.000000	94.220352
1150.000000	94.327858
1172.000000	94.517242
1180.000000	94.583328
1206.000000	94.804321
1220.000000	94.919197
1241.000000	95.084549
1250.000000	95.155182
1265.000000	95.262352
1280.000000	95.370796
1315.000000	95.609421
1320.000000	95.645775
1340.000000	95.773254
1360.000000	95.887329
1380.000000	95.985413
1400.000000	96.074646
1430.000000	96.186119
1450.000000	96.247818
1475.000000	96.312981
1500.000000	96.371490
1525.000000	96.413391
1550.000000	96.447830
1575.000000	96.476601
1600.000000	96.500626
1625.000000	96.523140
1650.000000	96.548050
1675.000000	96.588638
1700.000000	96.674431
1725.000000	96.815338
1750.000000	96.968529
1775.000000	97.081757
1800.000000	97.153923
1825.000000	97.205994
1850.000000	97.246521
1875.000000	97.285378
1900.000000	97.324348
1925.000000	97.361168
1950.000000	97.403534
1975.000000	97.445908
2000.000000	97.486725
2030.000000	97.538246
2060.000000	97.589760
2090.000000	97.639626
2120.000000	97.687950
2140.000000	97.717255
2180.000000	97.770576
2200.000000	97.796654
2240.000000	97.841240
2270.000000	97.866005
2300.000000	97.887161
2330.000000	97.903328
2360.000000	97.924469
2400.000000	97.963585
2430.000000	97.994774
2470.000000	98.025078
2500.000000	98.037262
2540.000000	98.040787
2580.000000	98.025314
2620.000000	97.996468
2650.000000	97.979286
2690.000000	97.973923
2720.000000	97.974754
2760.000000	97.962883
2800.000000	97.925209
2850.000000	97.831573
2900.000000	97.686302
2950.000000	97.504242
3000.000000	97.316055
3040.000000	97.160408
3070.000000	97.035355
3110.000000	96.868324
3150.000000	96.704842
3200.000000	96.545258
3250.000000	96.455444
3300.000000	96.428192
3350.000000	96.441528
3400.000000	96.470734
3450.000000	96.509537
3500.000000	96.555038
3550.000000	96.596870
3600.000000	96.642471
3650.000000	96.698936
3700.000000	96.763031
3750.000000	96.848366
3820.000000	96.990952
3870.000000	97.107735
3950.000000	97.300171
4000.000000	97.430573
4060.000000	97.592285
4120.000000	97.772110
4180.000000	97.956772
4250.000000	98.173271
4310.000000	98.343544
4370.000000	98.515373
4440.000000	98.723343
4500.000000	98.914375
4550.000000	99.073898
4620.000000	99.263794
4680.000000	99.371704
4750.000000	99.411774
4820.000000	99.349571
4870.000000	99.249725
4940.000000	99.042656
5000.000000	98.813820
5080.000000	98.455185
5150.000000	98.109581
5220.000000	97.746635
5300.000000	97.325714
5380.000000	96.906494
5450.000000	96.555389
5520.000000	96.215805
5600.000000	95.849884
5700.000000	95.426895
5800.000000	95.034729
5900.000000	94.661385
6000.000000	94.316223
6080.000000	94.051018
6150.000000	93.830360
6220.000000	93.620056
6300.000000	93.395767
6400.000000	93.142899
6500.000000	92.926369
6600.000000	92.751755
6700.000000	92.639740
6800.000000	92.594543
6900.000000	92.625946
7000.000000	92.730568
7100.000000	92.906616
7200.000000	93.150772
7300.000000	93.478996
7400.000000	93.853065
7500.000000	94.261208
7620.000000	94.782166
7750.000000	95.324646
7880.000000	95.776825
8000.000000	96.028603
8120.000000	96.064445
8250.000000	95.872803
8380.000000	95.484329
8500.000000	95.046883
8620.000000	94.563538
8750.000000	94.047623
8850.000000	93.676445
9000.000000	93.191185
9120.000000	92.879669
9250.000000	92.640503
9380.000000	92.498451
9500.000000	92.461014
9620.000000	92.526260
9750.000000	92.701462
9880.000000	92.952904
10000.000000	93.214371
10150.000000	93.501511
10300.000000	93.603210
10440.000000	93.404533
10600.000000	92.869324
10750.000000	92.281357
10900.000000	91.845016
11060.000000	91.556000
11200.000000	91.351868
11380.000000	90.976303
11500.000000	90.629799
11720.000000	89.738655
11800.000000	89.366547
12060.000000	88.034615
12200.000000	87.308807
12410.000000	86.373352
12500.000000	86.046326
12650.000000	85.576469
12800.000000	85.229248
13150.000000	84.838943
13200.000000	84.838333
13400.000000	84.980850
13600.000000	85.277405
13800.000000	85.673767
14000.000000	86.088905
14300.000000	86.513336
14500.000000	86.655006
14750.000000	86.616737
15000.000000	87.140938
15250.000000	86.580353
15500.000000	86.934929
15750.000000	87.720261
16000.000000	88.258408
16250.000000	89.236885
16500.000000	90.999329
16750.000000	82.286461
17000.000000	85.980057
17250.000000	91.153954
17500.000000	86.040588
17750.000000	81.925766
18000.000000	79.750938
18250.000000	78.107468
18500.000000	75.721901
18750.000000	73.280067
19000.000000	71.856552
19250.000000	70.843300
19500.000000	69.851555
19750.000000	68.719307
