* frequency_hz	amplitude
20.299999	101.775398
20.600000	101.765205
20.900000	101.748474
21.200001	101.732407
21.400000	101.723633
21.799999	101.712006
22.000000	101.709167
22.400000	101.708267
22.700001	101.709747
23.000000	101.710785
23.299999	101.709213
23.600000	101.703346
24.000000	101.687943
24.299999	101.671768
24.700001	101.646759
25.000000	101.626953
25.400000	101.599915
25.799999	101.572220
26.200001	101.545624
26.500000	101.528900
26.900000	101.514442
27.200001	101.510109
27.600000	101.509148
28.000000	101.506012
28.500000	101.488052
29.000000	101.454430
29.500000	101.416962
30.000000	101.386063
30.400000	101.365219
30.700001	101.349174
31.100000	101.324966
31.500000	101.298004
32.000000	101.263992
32.500000	101.231750
33.000000	101.198875
33.500000	101.162811
34.000000	101.124893
34.500000	101.088333
35.000000	101.054237
35.500000	101.020950
36.000000	100.986328
36.500000	100.949371
37.000000	100.910797
37.500000	100.872894
38.200001	100.824471
38.700001	100.791145
39.500000	100.730614
40.000000	100.690765
40.599998	100.649582
41.200001	100.612152
41.799999	100.564148
42.500000	100.492981
43.099998	100.439674
43.700001	100.403358
44.400002	100.361809
45.000000	100.312645
45.500000	100.268639
46.200001	100.216835
46.799999	100.176262
47.500000	100.114685
48.200001	100.047333
48.700001	100.014015
49.400002	99.983994
50.000000	99.939255
50.799999	99.841469
51.500000	99.781639
52.200001	99.754745
53.000000	99.683159
53.799999	99.591248
54.500000	99.564140
55.200001	99.541069
56.000000	99.457428
57.000000	99.366745
58.000000	99.306656
59.000000	99.225548
60.000000	99.163887
60.799999	99.090195
61.500000	99.018135
62.200001	98.963463
63.000000	98.906631
64.000000	98.832253
65.000000	98.766266
66.000000	98.683014
67.000000	98.610382
68.000000	98.534065
69.000000	98.448494
70.000000	98.373138
71.000000	98.296944
72.000000	98.223686
73.000000	98.152206
74.000000	98.076965
75.000000	97.993797
76.199997	97.907425
77.500000	97.841202
78.800003	97.760025
80.000000	97.676003
81.199997	97.572708
82.500000	97.492363
83.800003	97.419884
85.000000	97.353714
86.199997	97.276253
87.500000	97.183472
88.500000	97.105286
90.000000	97.039093
91.199997	96.962936
92.500000	96.863708
93.800003	96.821693
95.000000	96.732391
96.199997	96.634338
97.500000	96.590141
98.800003	96.540977
100.000000	96.015900
101.500000	96.282761
103.000000	96.334091
104.400002	96.213791
106.000000	96.102066
107.500000	96.045540
109.000000	95.946960
110.599998	95.889343
112.000000	95.790985
113.800003	95.735771
115.000000	95.666954
117.199997	95.544891
118.000000	95.521408
120.599998	95.388992
122.000000	95.358765
124.099998	95.254013
125.000000	95.220779
126.500000	95.148132
128.000000	95.096603
131.500000	94.969803
132.000000	94.953773
134.000000	94.870445
136.000000	94.792488
138.000000	94.721863
140.000000	94.652847
143.000000	94.561562
145.000000	94.485428
147.500000	94.407532
150.000000	94.319633
152.500000	94.243149
155.000000	94.177185
157.500000	94.100899
160.000000	94.030075
162.500000	93.973129
165.000000	93.908562
167.500000	93.852966
170.000000	93.810394
172.500000	93.773705
175.000000	93.774765
177.500000	93.764725
180.000000	93.802170
182.500000	93.826584
185.000000	93.835213
187.500000	93.817757
190.000000	93.795998
192.500000	93.774040
195.000000	93.754105
197.500000	93.729591
200.000000	93.684875
203.000000	93.660080
206.000000	93.625076
209.000000	93.591492
212.000000	93.564392
214.000000	93.545074
218.000000	93.508362
220.000000	93.494011
224.000000	93.466469
227.000000	93.441589
230.000000	93.419006
233.000000	93.400131
236.000000	93.382774
240.000000	93.346550
243.000000	93.343010
247.000000	93.327408
250.000000	93.314758
254.000000	93.298218
258.000000	93.276016
262.000000	93.264572
265.000000	93.259369
269.000000	93.240112
272.000000	93.219322
276.000000	93.223000
280.000000	93.215858
285.000000	93.173805
290.000000	93.133087
295.000000	93.169113
300.000000	93.147240
304.000000	93.180328
307.000000	93.141846
311.000000	93.114471
315.000000	93.116844
320.000000	93.108238
325.000000	93.106071
330.000000	93.101158
335.000000	93.071167
340.000000	93.068268
345.000000	93.057571
350.000000	93.056915
355.000000	93.046829
360.000000	93.025276
365.000000	93.029663
370.000000	93.002693
375.000000	92.992477
382.000000	92.970207
387.000000	92.948997
395.000000	92.934219
400.000000	92.917442
406.000000	92.840446
412.000000	92.897308
418.000000	92.876045
425.000000	92.839806
431.000000	92.828545
437.000000	92.839485
444.000000	92.809967
450.000000	92.817398
455.000000	92.810188
462.000000	92.795059
468.000000	92.781715
475.000000	92.744331
482.000000	92.701385
487.000000	92.664200
494.000000	92.630775
500.000000	92.631958
508.000000	92.586952
515.000000	92.592422
522.000000	92.629379
530.000000	92.586014
538.000000	92.574211
545.000000	92.568466
552.000000	92.545883
560.000000	92.507690
570.000000	92.490623
580.000000	92.465782
590.000000	92.439224
600.000000	92.408081
608.000000	92.402359
615.000000	92.370697
622.000000	92.356575
630.000000	92.322250
640.000000	92.312340
650.000000	92.285675
660.000000	92.265327
670.000000	92.244812
680.000000	92.219131
690.000000	92.194359
700.000000	92.187370
710.000000	92.162025
720.000000	92.146103
730.000000	92.139633
740.000000	92.113693
750.000000	92.115700
762.000000	92.106163
775.000000	92.092087
788.000000	92.087730
800.000000	92.080612
812.000000	92.085571
825.000000	92.088104
838.000000	92.100113
850.000000	92.115883
862.000000	92.131218
875.000000	92.147942
885.000000	92.172401
900.000000	92.206100
912.000000	92.242615
925.000000	92.287872
938.000000	92.323814
950.000000	92.375961
962.000000	92.432899
975.000000	92.497154
988.000000	92.564331
1000.000000	92.628410
1015.000000	92.714050
1030.000000	92.807709
1044.000000	92.898949
1060.000000	93.005074
1075.000000	93.107231
1090.000000	93.206581
1106.000000	93.319817
1120.000000	93.422295
1138.000000	93.548630
1150.000000	93.641266
1172.000000	93.817856
1180.000000	93.877319
1206.000000	94.060822
1220.000000	94.150337
1241.000000	94.269913
1250.000000	94.313583
1265.000000	94.392662
1280.000000	94.463272
1315.000000	94.603508
1320.000000	94.617348
1340.000000	94.680099
1360.000000	94.730949
1380.000000	94.771027
1400.000000	94.801147
1430.000000	94.827766
1450.000000	94.839333
1475.000000	94.895981
1500.000000	95.037582
1525.000000	95.218002
1550.000000	95.325989
1575.000000	95.354286
1600.000000	95.347214
1625.000000	95.326019
1650.000000	95.290375
1675.000000	95.263809
1700.000000	95.226028
1725.000000	95.189049
1750.000000	95.146683
1775.000000	95.097992
1800.000000	95.053757
1825.000000	94.998444
1850.000000	94.952896
1875.000000	94.900375
1900.000000	94.847626
1925.000000	94.788307
1950.000000	94.723221
1975.000000	94.662140
2000.000000	94.601128
2030.000000	94.532486
2060.000000	94.466301
2090.000000	94.411720
2120.000000	94.354889
2140.000000	94.328911
2180.000000	94.298187
2200.000000	94.306465
2240.000000	94.341675
2270.000000	94.404625
2300.000000	94.457794
2330.000000	94.566910
