* frequency_hz	amplitude
20.299999	103.520020
20.600000	103.542953
20.900000	103.559525
21.200001	103.574875
21.400000	103.585297
21.799999	103.606705
22.000000	103.617577
22.400000	103.639244
22.700001	103.655373
23.000000	103.671478
23.299999	103.687469
23.600000	103.703026
24.000000	103.722107
24.299999	103.734619
24.700001	103.748917
25.000000	103.758682
25.400000	103.772003
25.799999	103.786850
26.200001	103.802948
26.500000	103.814880
26.900000	103.829308
27.200001	103.838661
27.600000	103.849815
28.000000	103.860741
28.500000	103.875534
29.000000	103.891014
29.500000	103.905327
30.000000	103.917686
30.400000	103.926796
30.700001	103.933609
31.100000	103.942856
31.500000	103.952003
32.000000	103.962822
32.500000	103.973114
33.000000	103.983719
33.500000	103.994812
34.000000	104.005333
34.500000	104.013855
35.000000	104.020035
35.500000	104.024963
36.000000	104.030464
36.500000	104.037621
37.000000	104.046028
37.500000	104.054100
38.200001	104.062180
38.700001	104.065720
39.500000	104.071434
40.000000	104.076530
40.599998	104.083214
41.200001	104.088531
41.799999	104.091797
42.500000	104.094337
43.099998	104.096924
43.700001	104.100502
44.400002	104.105530
45.000000	104.109207
45.500000	104.110786
46.200001	104.111069
46.799999	104.111549
47.500000	104.114052
48.200001	104.116943
48.700001	104.118256
49.400002	104.119324
50.000000	104.119492
50.799999	104.118134
51.500000	104.116776
52.200001	104.116226
53.000000	104.115631
53.799999	104.113815
54.500000	104.109894
55.200001	104.105789
56.000000	104.105637
57.000000	104.105225
58.000000	104.100372
59.000000	104.089882
60.000000	104.071075
60.799999	104.072807
61.500000	104.081230
62.200001	104.080757
63.000000	104.072426
64.000000	104.062790
65.000000	104.054382
66.000000	104.049232
67.000000	104.041420
68.000000	104.034485
69.000000	104.026955
70.000000	104.017372
71.000000	104.007507
72.000000	103.997047
73.000000	103.988693
74.000000	103.980263
75.000000	103.969574
76.199997	103.956131
77.500000	103.942131
78.800003	103.927956
80.000000	103.916718
81.199997	103.897369
82.500000	103.882561
83.800003	103.866425
85.000000	103.851845
86.199997	103.836472
87.500000	103.818932
88.500000	103.805130
90.000000	103.784149
91.199997	103.765533
92.500000	103.748016
93.800003	103.727142
95.000000	103.709381
96.199997	103.690964
97.500000	103.671165
98.800003	103.650543
100.000000	103.632179
101.500000	103.607040
103.000000	103.583023
104.400002	103.559669
106.000000	103.533539
107.500000	103.507668
109.000000	103.481514
110.599998	103.452728
112.000000	103.427277
113.800003	103.396912
115.000000	103.373276
117.199997	103.333069
118.000000	103.321297
120.599998	103.255554
122.000000	103.243607
124.099998	103.201660
125.000000	103.181335
126.500000	103.153793
128.000000	103.121094
131.500000	103.050842
132.000000	103.040459
134.000000	103.000305
136.000000	102.957695
138.000000	102.916100
140.000000	102.876015
143.000000	102.823204
145.000000	102.786186
147.500000	102.745346
150.000000	102.704872
152.500000	102.663612
155.000000	102.619843
157.500000	102.574425
160.000000	102.527565
162.500000	102.478531
165.000000	102.426895
167.500000	102.380188
170.000000	102.329987
172.500000	102.280273
175.000000	102.241997
177.500000	102.192657
180.000000	102.255104
182.500000	102.103561
185.000000	102.079185
187.500000	102.042778
190.000000	102.004883
192.500000	101.967407
195.000000	101.928711
197.500000	101.888924
200.000000	101.844292
203.000000	101.786087
206.000000	101.729874
209.000000	101.671570
212.000000	101.613220
214.000000	101.574455
218.000000	101.501190
220.000000	101.460709
224.000000	101.383789
227.000000	101.324730
230.000000	101.264420
233.000000	101.203499
236.000000	101.142509
240.000000	101.079033
243.000000	101.001556
247.000000	100.917953
250.000000	100.858734
254.000000	100.779366
258.000000	100.699806
262.000000	100.621826
265.000000	100.563385
269.000000	100.487915
272.000000	100.430161
276.000000	100.354431
280.000000	100.277779
285.000000	100.186539
290.000000	100.093575
295.000000	100.002350
300.000000	99.909348
304.000000	99.837845
307.000000	99.784966
311.000000	99.713989
315.000000	99.642906
320.000000	99.555840
325.000000	99.469635
330.000000	99.382126
335.000000	99.298073
340.000000	99.215294
345.000000	99.134567
350.000000	99.053543
355.000000	98.972992
360.000000	98.895958
365.000000	98.812424
370.000000	98.732353
375.000000	98.655128
382.000000	98.549423
387.000000	98.474899
395.000000	98.360390
400.000000	98.293716
406.000000	98.218262
412.000000	98.148979
418.000000	98.086296
425.000000	98.012833
431.000000	97.952263
437.000000	97.886711
444.000000	97.806892
450.000000	97.734177
455.000000	97.671768
462.000000	97.584984
468.000000	97.511360
475.000000	97.423592
482.000000	97.340378
487.000000	97.280037
494.000000	97.197639
500.000000	97.129662
508.000000	97.036743
515.000000	96.961838
522.000000	96.886383
530.000000	96.801208
538.000000	96.719177
545.000000	96.650177
552.000000	96.582611
560.000000	96.508331
570.000000	96.414490
580.000000	96.328568
590.000000	96.245010
600.000000	96.153702
608.000000	96.098907
615.000000	96.044937
622.000000	95.996597
630.000000	95.936203
640.000000	95.866241
650.000000	95.800537
660.000000	95.740616
670.000000	95.677048
680.000000	95.621758
690.000000	95.565613
700.000000	95.515961
710.000000	95.471710
720.000000	95.421165
730.000000	95.390617
740.000000	95.352249
750.000000	95.322327
762.000000	95.288239
775.000000	95.258408
788.000000	95.234726
800.000000	95.218002
812.000000	95.208458
825.000000	95.203354
838.000000	95.207878
850.000000	95.214439
862.000000	95.231491
875.000000	95.254791
885.000000	95.278427
900.000000	95.329277
912.000000	95.361931
925.000000	95.416618
938.000000	95.477356
950.000000	95.537567
962.000000	95.606171
975.000000	95.689224
988.000000	95.775497
1000.000000	95.861328
1015.000000	95.978378
1030.000000	96.102776
1044.000000	96.219833
1060.000000	96.366653
1075.000000	96.509811
1090.000000	96.656906
1106.000000	96.814674
1120.000000	96.958992
1138.000000	97.142410
1150.000000	97.266640
1172.000000	97.493599
1180.000000	97.577988
1206.000000	97.846878
1220.000000	97.989426
1241.000000	98.202827
1250.000000	98.291992
1265.000000	98.439423
1280.000000	98.586563
1315.000000	98.924332
1320.000000	98.968719
1340.000000	99.158913
1360.000000	99.347069
1380.000000	99.526237
1400.000000	99.711830
1430.000000	99.982613
1450.000000	100.158836
1475.000000	100.381432
1500.000000	100.603348
1525.000000	100.819679
1550.000000	101.034485
1575.000000	101.250237
1600.000000	101.464767
1625.000000	101.673721
1650.000000	101.878708
1675.000000	102.078583
1700.000000	102.268890
1725.000000	102.452133
1750.000000	102.625916
1775.000000	102.789124
1800.000000	102.942665
1825.000000	103.086967
1850.000000	103.219223
1875.000000	103.337906
1900.000000	103.444756
1925.000000	103.539452
1950.000000	103.624214
1975.000000	103.696785
2000.000000	103.763115
2030.000000	103.827530
2060.000000	103.881477
2090.000000	103.924652
2120.000000	103.959717
2140.000000	103.980286
2180.000000	104.014236
2200.000000	104.027542
2240.000000	104.047859
2270.000000	104.059433
2300.000000	104.066452
2330.000000	104.073135
2360.000000	104.077881
2400.000000	104.083679
2430.000000	104.088730
2470.000000	104.092148
2500.000000	104.092331
2540.000000	104.080582
2580.000000	104.045509
2620.000000	103.973495
2650.000000	103.882690
2690.000000	103.706909
2720.000000	103.537460
2760.000000	103.278305
2800.000000	103.009148
2850.000000	102.700699
2900.000000	102.450378
2950.000000	102.252304
3000.000000	102.107056
3040.000000	102.027374
3070.000000	101.986649
3110.000000	101.962135
3150.000000	101.961304
3200.000000	101.980309
3250.000000	102.010605
3300.000000	102.043098
3350.000000	102.076317
3400.000000	102.115044
3450.000000	102.166222
3500.000000	102.236893
3550.000000	102.320869
3600.000000	102.419327
3650.000000	102.517426
3700.000000	102.625214
3750.000000	102.744064
3820.000000	102.941940
3870.000000	103.107170
3950.000000	103.393997
4000.000000	103.579643
4060.000000	103.791443
4120.000000	104.001152
4180.000000	104.199234
4250.000000	104.414680
4310.000000	104.579552
4370.000000	104.717644
4440.000000	104.837105
4500.000000	104.893494
4550.000000	104.905045
4620.000000	104.862938
4680.000000	104.767227
4750.000000	104.585388
4820.000000	104.337166
4870.000000	104.120514
4940.000000	103.780098
5000.000000	103.456650
5080.000000	103.001083
5150.000000	102.588646
5220.000000	102.172829
5300.000000	101.708969
5380.000000	101.261024
5450.000000	100.892838
5520.000000	100.563873
5600.000000	100.330597
5700.000000	100.133385
5800.000000	100.414215
5900.000000	101.096115
6000.000000	101.567528
6080.000000	101.700325
6150.000000	101.660828
6220.000000	101.570602
6300.000000	101.482559
6400.000000	101.427650
6500.000000	101.429626
6600.000000	101.479523
6700.000000	101.565811
6800.000000	101.688759
6900.000000	101.852264
7000.000000	102.061546
7100.000000	102.328468
7200.000000	102.666840
7300.000000	103.080444
7400.000000	103.558151
7500.000000	104.096970
7620.000000	104.796455
7750.000000	105.535522
7880.000000	106.076218
8000.000000	106.196823
8120.000000	105.861176
8250.000000	105.083359
8380.000000	104.091354
8500.000000	103.137627
8620.000000	102.214607
8750.000000	101.284088
8850.000000	100.634125
9000.000000	99.801285
9120.000000	99.255676
9250.000000	98.780472
9380.000000	98.412025
9500.000000	98.141068
9620.000000	97.951805
9750.000000	97.812531
9880.000000	97.705208
10000.000000	97.578583
10150.000000	97.338562
10300.000000	96.930679
10440.000000	96.419586
10600.000000	95.705482
10750.000000	95.044930
10900.000000	94.493423
11060.000000	94.081184
11200.000000	93.900558
11380.000000	93.895195
11500.000000	94.047943
11720.000000	94.577171
11800.000000	94.858940
12060.000000	95.997955
12200.000000	96.758629
12410.000000	98.046341
12500.000000	98.629768
12650.000000	99.610100
12800.000000	100.524887
13150.000000	101.843346
13200.000000	101.899986
13400.000000	101.819908
13600.000000	101.426147
13800.000000	100.960907
14000.000000	100.578308
14300.000000	100.329567
14500.000000	100.402397
14750.000000	100.412033
15000.000000	100.987518
15250.000000	101.900970
15500.000000	101.668114
15750.000000	101.069580
16000.000000	100.465439
16250.000000	99.676331
16500.000000	98.324966
16750.000000	98.429291
17000.000000	99.356010
17250.000000	100.381180
17500.000000	99.894913
17750.000000	93.181938
18000.000000	86.945938
18250.000000	81.527473
18500.000000	76.380219
18750.000000	73.686386
19000.000000	76.786392
19250.000000	78.362923
19500.000000	74.370651
19750.000000	69.121704
