* frequency_hz	amplitude
20.299999	100.950890
20.600000	100.956627
20.900000	100.954376
21.200001	100.951157
21.400000	100.950180
21.799999	100.951233
22.000000	100.952377
22.400000	100.952728
22.700001	100.948891
23.000000	100.941444
23.299999	100.932068
23.600000	100.923355
24.000000	100.916367
24.299999	100.914536
24.700001	100.912895
25.000000	100.908577
25.400000	100.895752
25.799999	100.876442
26.200001	100.856209
26.500000	100.843460
26.900000	100.830513
27.200001	100.822754
27.600000	100.812927
28.000000	100.803505
28.500000	100.794388
29.000000	100.786171
29.500000	100.768608
30.000000	100.735085
30.400000	100.704788
30.700001	100.688583
31.100000	100.682213
31.500000	100.687119
32.000000	100.677368
32.500000	100.616394
33.000000	100.512459
33.500000	100.420532
34.000000	100.392227
34.500000	100.419022
35.000000	100.445709
35.500000	100.434479
36.000000	100.390038
36.500000	100.332657
37.000000	100.273903
37.500000	100.224228
38.200001	100.195663
38.700001	100.182716
39.500000	100.044052
40.000000	99.891876
40.599998	99.788589
41.200001	99.847061
41.799999	99.945343
42.500000	99.930702
43.099998	99.848106
43.700001	99.793304
44.400002	99.744041
45.000000	99.679108
45.500000	99.628624
46.200001	99.583786
46.799999	99.547974
47.500000	99.495720
48.200001	99.438004
48.700001	99.391350
49.400002	99.335739
50.000000	99.303192
50.799999	99.228065
51.500000	99.159409
52.200001	99.191017
53.000000	99.249489
53.799999	99.132721
54.500000	98.986626
55.200001	98.928780
56.000000	98.890488
57.000000	98.801208
58.000000	98.759514
59.000000	98.646759
60.000000	98.498749
60.799999	98.488083
61.500000	98.494400
62.200001	98.452629
63.000000	98.393707
64.000000	98.336548
65.000000	98.253609
66.000000	98.185944
67.000000	98.107605
68.000000	98.051926
69.000000	97.988228
70.000000	97.916374
71.000000	97.844086
72.000000	97.771309
73.000000	97.731071
74.000000	97.659828
75.000000	97.590637
76.199997	97.503403
77.500000	97.400078
78.800003	97.344193
80.000000	97.223557
81.199997	97.194191
82.500000	97.069374
83.800003	97.026718
85.000000	96.950760
86.199997	96.890221
87.500000	96.864716
88.500000	96.873383
90.000000	96.878082
91.199997	96.847183
92.500000	96.753479
93.800003	96.730545
95.000000	96.681763
96.199997	96.587280
97.500000	96.506477
98.800003	96.487473
100.000000	96.371468
101.500000	96.326019
103.000000	96.274208
104.400002	96.177513
106.000000	96.070145
107.500000	96.016006
109.000000	95.980820
110.599998	95.899765
112.000000	95.822037
113.800003	95.754745
115.000000	95.689362
117.199997	95.595055
118.000000	95.569748
120.599998	95.468903
122.000000	95.383133
124.099998	95.303612
125.000000	95.264374
126.500000	95.217201
128.000000	95.155167
131.500000	95.087044
132.000000	95.071121
134.000000	95.029854
136.000000	95.008949
138.000000	94.945877
140.000000	94.961067
143.000000	94.861610
145.000000	94.881638
147.500000	94.825951
150.000000	94.784218
152.500000	94.732689
155.000000	94.659981
157.500000	94.605827
160.000000	94.533127
162.500000	94.465157
165.000000	94.406990
167.500000	94.366089
170.000000	94.320892
172.500000	94.284088
175.000000	94.235657
177.500000	94.172958
180.000000	94.144638
182.500000	94.062386
185.000000	94.020981
187.500000	93.971817
190.000000	93.931557
192.500000	93.875786
195.000000	93.838898
197.500000	93.784218
200.000000	93.740524
203.000000	93.695335
206.000000	93.647095
209.000000	93.597946
212.000000	93.561554
214.000000	93.534111
218.000000	93.486526
220.000000	93.457054
224.000000	93.411850
227.000000	93.382507
230.000000	93.338379
233.000000	93.301224
236.000000	93.268082
240.000000	93.223656
243.000000	93.176857
247.000000	93.119919
250.000000	93.079079
254.000000	93.026543
258.000000	92.964600
262.000000	92.900711
265.000000	92.875282
269.000000	92.812126
272.000000	92.784561
276.000000	92.754349
280.000000	92.744537
285.000000	92.751335
290.000000	92.770943
295.000000	92.790642
300.000000	92.818588
304.000000	92.820023
307.000000	92.803764
311.000000	92.808044
315.000000	92.782890
320.000000	92.756516
325.000000	92.730034
330.000000	92.696350
335.000000	92.658089
340.000000	92.639740
345.000000	92.611008
350.000000	92.604652
355.000000	92.566902
360.000000	92.532616
365.000000	92.543961
370.000000	92.498978
375.000000	92.479836
382.000000	92.452675
387.000000	92.438713
395.000000	92.419098
400.000000	92.402573
406.000000	92.379662
412.000000	92.361237
418.000000	92.335594
425.000000	92.315575
431.000000	92.292542
437.000000	92.268295
444.000000	92.252060
450.000000	92.231895
455.000000	92.218719
462.000000	92.199142
468.000000	92.185181
475.000000	92.168159
482.000000	92.153351
487.000000	92.142960
494.000000	92.127068
500.000000	92.112694
508.000000	92.103683
515.000000	92.088699
522.000000	92.076660
530.000000	92.065918
538.000000	92.054901
545.000000	92.046867
552.000000	92.047577
560.000000	92.032349
570.000000	92.028244
580.000000	92.022247
590.000000	92.014236
600.000000	92.014160
608.000000	92.007629
615.000000	92.006149
622.000000	92.009338
630.000000	92.005760
640.000000	92.008537
650.000000	92.011566
660.000000	91.999062
670.000000	92.021378
680.000000	92.029137
690.000000	92.038055
700.000000	92.046967
710.000000	92.060455
720.000000	92.072121
730.000000	92.086273
740.000000	92.098038
750.000000	92.119194
762.000000	92.143524
775.000000	92.169922
788.000000	92.202492
800.000000	92.238220
812.000000	92.272263
825.000000	92.311623
838.000000	92.354988
850.000000	92.403847
862.000000	92.454514
875.000000	92.507126
885.000000	92.551071
900.000000	92.593529
912.000000	92.689163
925.000000	92.760963
938.000000	92.840004
950.000000	92.913681
962.000000	92.992340
975.000000	93.079529
988.000000	93.172897
1000.000000	93.257957
1015.000000	93.372986
1030.000000	93.494102
1044.000000	93.605965
1060.000000	93.740517
1075.000000	93.865906
1090.000000	93.993950
1106.000000	94.135559
1120.000000	94.255112
1138.000000	94.420959
1150.000000	94.524391
1172.000000	94.715248
1180.000000	94.785858
1206.000000	95.013504
1220.000000	95.131920
1241.000000	95.309143
1250.000000	95.381989
1265.000000	95.509583
1280.000000	95.627319
1315.000000	95.879196
1320.000000	95.911133
1340.000000	96.018188
1360.000000	96.084999
1380.000000	96.131943
1400.000000	96.210701
1430.000000	96.373291
1450.000000	96.487686
1475.000000	96.591537
1500.000000	96.591431
1525.000000	96.508072
1550.000000	96.385681
1575.000000	96.359604
1600.000000	96.440720
1625.000000	96.591309
1650.000000	96.763939
1675.000000	96.948105
1700.000000	97.130737
1725.000000	97.307762
1750.000000	97.484070
1775.000000	97.658554
1800.000000	97.827835
1825.000000	97.996002
1850.000000	98.160492
1875.000000	98.326164
1900.000000	98.492775
1925.000000	98.654366
1950.000000	98.811226
1975.000000	98.965477
2000.000000	99.114349
2030.000000	99.286781
2060.000000	99.455719
2090.000000	99.621384
2120.000000	99.778435
2140.000000	99.878464
2180.000000	100.072876
2200.000000	100.164612
2240.000000	100.336433
2270.000000	100.455391
2300.000000	100.567673
2330.000000	100.670570
2360.000000	100.761047
2400.000000	100.870026
2430.000000	100.938423
2470.000000	101.016815
2500.000000	101.066055
2540.000000	101.116638
2580.000000	101.157227
2620.000000	101.174202
2650.000000	101.183853
2690.000000	101.187622
2720.000000	101.184494
2760.000000	101.173164
2800.000000	101.155807
2850.000000	101.136871
2900.000000	101.123253
2950.000000	101.112183
3000.000000	101.102615
3040.000000	101.086945
3070.000000	101.073982
3110.000000	101.057953
3150.000000	101.038330
3200.000000	101.015732
3250.000000	100.993141
3300.000000	100.968658
3350.000000	100.945496
3400.000000	100.932381
3450.000000	100.935959
3500.000000	100.969276
3550.000000	101.027412
3600.000000	101.085930
3650.000000	101.139053
3700.000000	101.185593
3750.000000	101.231155
3820.000000	101.305733
3870.000000	101.361053
3950.000000	101.454979
4000.000000	101.520309
4060.000000	101.618011
4120.000000	101.722076
4180.000000	101.834763
4250.000000	101.959457
4310.000000	102.056984
4370.000000	102.145035
4440.000000	102.226372
4500.000000	102.279068
4550.000000	102.309486
4620.000000	102.335922
4680.000000	102.338852
4750.000000	102.321274
4820.000000	102.269608
4870.000000	102.215469
4940.000000	102.118896
5000.000000	102.012939
5080.000000	101.843781
5150.000000	101.666885
5220.000000	101.473595
5300.000000	101.230743
5380.000000	100.967056
5450.000000	100.722206
5520.000000	100.468117
5600.000000	100.171394
5700.000000	99.797951
5800.000000	99.436920
5900.000000	99.097824
6000.000000	98.787292
6080.000000	98.557182
6150.000000	98.374390
6220.000000	98.209419
6300.000000	98.046555
6400.000000	97.886642
6500.000000	97.778954
6600.000000	97.731377
6700.000000	97.745483
6800.000000	97.816238
6900.000000	97.968056
7000.000000	98.180367
7100.000000	98.453194
7200.000000	98.804482
7300.000000	99.235954
7400.000000	99.741928
7500.000000	100.305763
7620.000000	101.043526
7750.000000	101.838600
7880.000000	102.456657
8000.000000	102.658073
8120.000000	102.352577
8250.000000	101.503273
8380.000000	100.342255
8500.000000	99.189491
8620.000000	98.040718
8750.000000	96.833420
8850.000000	95.960594
9000.000000	94.722214
9120.000000	93.860542
9250.000000	93.001404
9380.000000	92.213547
9500.000000	91.560486
9620.000000	90.956505
9750.000000	90.367828
9880.000000	89.835968
10000.000000	89.412231
10150.000000	88.942490
10300.000000	88.592331
10440.000000	88.323029
10600.000000	88.119370
10750.000000	88.028244
10900.000000	88.014420
11060.000000	88.124725
11200.000000	88.309219
11380.000000	88.886230
11500.000000	89.486877
11720.000000	91.402313
11800.000000	92.320633
12060.000000	95.405441
12200.000000	96.724304
12410.000000	97.828606
12500.000000	97.912140
12650.000000	97.507713
12800.000000	96.577057
13150.000000	93.798950
13200.000000	93.423569
13400.000000	92.040359
13600.000000	90.920464
13800.000000	90.004539
14000.000000	89.346039
14300.000000	88.727394
14500.000000	88.616867
14750.000000	88.819992
15000.000000	88.909225
15250.000000	89.850540
15500.000000	90.186600
15750.000000	89.641769
16000.000000	88.111923
16250.000000	86.108086
16500.000000	84.162361
16750.000000	82.460106
17000.000000	81.085754
17250.000000	80.013306
17500.000000	79.218536
17750.000000	78.739304
18000.000000	78.539139
18250.000000	78.861679
18500.000000	79.393784
18750.000000	80.221519
19000.000000	79.964249
19250.000000	77.670479
19500.000000	74.200333
19750.000000	69.806351
