* frequency_hz	amplitude
20.299999	104.731369
20.600000	104.780624
20.900000	104.821732
21.200001	104.862946
21.400000	104.892342
21.799999	104.956360
22.000000	104.990448
22.400000	105.060501
22.700001	105.112610
23.000000	105.163116
23.299999	105.211235
23.600000	105.256241
24.000000	105.310043
24.299999	105.344749
24.700001	105.383057
25.000000	105.406876
25.400000	105.435234
25.799999	105.464325
26.200001	105.498001
26.500000	105.527008
26.900000	105.569519
27.200001	105.602638
27.600000	105.645317
28.000000	105.683022
28.500000	105.718750
29.000000	105.740570
29.500000	105.753593
30.000000	105.768799
30.400000	105.788254
30.700001	105.807373
31.100000	105.835907
31.500000	105.862717
32.000000	105.888077
32.500000	105.905228
33.000000	105.920525
33.500000	105.938103
34.000000	105.956680
34.500000	105.973557
35.000000	105.988525
35.500000	106.002716
36.000000	106.015427
36.500000	106.024902
37.000000	106.031677
37.500000	106.038773
38.200001	106.050781
38.700001	106.056808
39.500000	106.057701
40.000000	106.058578
40.599998	106.065430
41.200001	106.074364
41.799999	106.078651
42.500000	106.077316
43.099998	106.074638
43.700001	106.071274
44.400002	106.065575
45.000000	106.060349
45.500000	106.056320
46.200001	106.050240
46.799999	106.044060
47.500000	106.036148
48.200001	106.026947
48.700001	106.019081
49.400002	106.007584
50.000000	105.998505
50.799999	105.985504
51.500000	105.971657
52.200001	105.958115
53.000000	105.942474
53.799999	105.923355
54.500000	105.909233
55.200001	105.896820
56.000000	105.874283
57.000000	105.848740
58.000000	105.826530
59.000000	105.802147
60.000000	105.804535
60.799999	105.771393
61.500000	105.721596
62.200001	105.694313
63.000000	105.681053
64.000000	105.648262
65.000000	105.619080
66.000000	105.585251
67.000000	105.551949
68.000000	105.521812
69.000000	105.485001
70.000000	105.451241
71.000000	105.416809
72.000000	105.381310
73.000000	105.345879
74.000000	105.309624
75.000000	105.273170
76.199997	105.229797
77.500000	105.181885
78.800003	105.133461
80.000000	105.088554
81.199997	105.043686
82.500000	104.994148
83.800003	104.944969
85.000000	104.900856
86.199997	104.853958
87.500000	104.803955
88.500000	104.766998
90.000000	104.707855
91.199997	104.658981
92.500000	104.610283
93.800003	104.560295
95.000000	104.515350
96.199997	104.468719
97.500000	104.417053
98.800003	104.367363
100.000000	104.321152
101.500000	104.265099
103.000000	104.204559
104.400002	104.151901
106.000000	104.089607
107.500000	104.031776
109.000000	103.974960
110.599998	103.912148
112.000000	103.858894
113.800003	103.790497
115.000000	103.745018
117.199997	103.660690
118.000000	103.629883
120.599998	103.537415
122.000000	103.478271
124.099998	103.400269
125.000000	103.368500
126.500000	103.309990
128.000000	103.253128
131.500000	103.125000
132.000000	103.106491
134.000000	103.033852
136.000000	102.962303
138.000000	102.891014
140.000000	102.822655
143.000000	102.722687
145.000000	102.652184
147.500000	102.566742
150.000000	102.480392
152.500000	102.392578
155.000000	102.305168
157.500000	102.217628
160.000000	102.128021
162.500000	102.038391
165.000000	101.949921
167.500000	101.859535
170.000000	101.773239
172.500000	101.691727
175.000000	101.615807
177.500000	101.544418
180.000000	101.485641
182.500000	101.400436
185.000000	101.331444
187.500000	101.254707
190.000000	101.181664
192.500000	101.118073
195.000000	101.068581
197.500000	101.038696
200.000000	101.031738
203.000000	101.032303
206.000000	101.028091
209.000000	101.002266
212.000000	100.954552
214.000000	100.916435
218.000000	100.826927
220.000000	100.780685
224.000000	100.683556
227.000000	100.612877
230.000000	100.540062
233.000000	100.471169
236.000000	100.403214
240.000000	100.313980
243.000000	100.246063
247.000000	100.158806
250.000000	100.095070
254.000000	100.010818
258.000000	99.929268
262.000000	99.848923
265.000000	99.789413
269.000000	99.713409
272.000000	99.655640
276.000000	99.582191
280.000000	99.509827
285.000000	99.422241
290.000000	99.336586
295.000000	99.250710
300.000000	99.158417
304.000000	99.106812
307.000000	99.061142
311.000000	99.000259
315.000000	98.939789
320.000000	98.867912
325.000000	98.797073
330.000000	98.729416
335.000000	98.663353
340.000000	98.597672
345.000000	98.534958
350.000000	98.472374
355.000000	98.415810
360.000000	98.360832
365.000000	98.305992
370.000000	98.253853
375.000000	98.202728
382.000000	98.132416
387.000000	98.083893
395.000000	98.007973
400.000000	97.963005
406.000000	97.911011
412.000000	97.862907
418.000000	97.811905
425.000000	97.761002
431.000000	97.714554
437.000000	97.671082
444.000000	97.624115
450.000000	97.583595
455.000000	97.552322
462.000000	97.508026
468.000000	97.473457
475.000000	97.429688
482.000000	97.390823
487.000000	97.364029
494.000000	97.326859
500.000000	97.296906
508.000000	97.262329
515.000000	97.236755
522.000000	97.220932
530.000000	97.222565
538.000000	97.241272
545.000000	97.265282
552.000000	97.290604
560.000000	97.315567
570.000000	97.331474
580.000000	97.335548
590.000000	97.332191
600.000000	97.330406
608.000000	97.331482
615.000000	97.331932
622.000000	97.335579
630.000000	97.339279
640.000000	97.350723
650.000000	97.364914
660.000000	97.390778
670.000000	97.406250
680.000000	97.430817
690.000000	97.460670
700.000000	97.491074
710.000000	97.528915
720.000000	97.567238
730.000000	97.611000
740.000000	97.656631
750.000000	97.704079
762.000000	97.764870
775.000000	97.835739
788.000000	97.912964
800.000000	97.985207
812.000000	98.060410
825.000000	98.148781
838.000000	98.240768
850.000000	98.329018
862.000000	98.417175
875.000000	98.518990
885.000000	98.598839
900.000000	98.725388
912.000000	98.825233
925.000000	98.938370
938.000000	99.053642
950.000000	99.161041
962.000000	99.269493
975.000000	99.390434
988.000000	99.511459
1000.000000	99.620735
1015.000000	99.761139
1030.000000	99.898338
1044.000000	100.024857
1060.000000	100.167587
1075.000000	100.295578
1090.000000	100.419594
1106.000000	100.547813
1120.000000	100.654465
1138.000000	100.778069
1150.000000	100.859161
1172.000000	100.988441
1180.000000	101.032196
1206.000000	101.152542
1220.000000	101.207069
1241.000000	101.272530
1250.000000	101.295883
1265.000000	101.326500
1280.000000	101.349350
1315.000000	101.372948
1320.000000	101.371750
1340.000000	101.369041
1360.000000	101.354340
1380.000000	101.338600
1400.000000	101.307518
1430.000000	101.261429
1450.000000	101.230515
1475.000000	101.195412
1500.000000	101.160667
