* frequency_hz	amplitude
20.299999	102.044731
20.600000	102.049316
20.900000	102.046425
21.200001	102.041420
21.400000	102.037804
21.799999	102.030487
22.000000	102.026955
22.400000	102.020706
22.700001	102.017395
23.000000	102.015472
23.299999	102.014374
23.600000	102.012749
24.000000	102.006729
24.299999	101.997971
24.700001	101.980972
25.000000	101.966316
25.400000	101.947609
25.799999	101.931999
26.200001	101.918282
26.500000	101.907158
26.900000	101.889015
27.200001	101.872719
27.600000	101.849304
28.000000	101.826637
28.500000	101.801414
29.000000	101.777008
29.500000	101.749390
30.000000	101.718391
30.400000	101.693451
30.700001	101.675636
31.100000	101.652878
31.500000	101.629730
32.000000	101.598129
32.500000	101.564102
33.000000	101.530212
33.500000	101.496643
34.000000	101.460472
34.500000	101.420540
35.000000	101.381180
35.500000	101.348190
36.000000	101.321304
36.500000	101.293121
37.000000	101.256409
37.500000	101.211922
38.200001	101.151276
38.700001	101.115585
39.500000	101.062851
40.000000	101.026474
40.599998	100.980347
41.200001	100.933945
41.799999	100.886383
42.500000	100.830338
43.099998	100.785789
43.700001	100.743294
44.400002	100.688774
45.000000	100.637787
45.500000	100.596611
46.200001	100.543465
46.799999	100.499519
47.500000	100.448898
48.200001	100.398071
48.700001	100.358315
49.400002	100.298920
50.000000	100.252884
50.799999	100.198563
51.500000	100.143715
52.200001	100.087952
53.000000	100.039368
53.799999	99.985756
54.500000	99.924950
55.200001	99.867180
56.000000	99.806892
57.000000	99.732735
58.000000	99.661095
59.000000	99.582413
60.000000	99.531532
60.799999	99.478928
61.500000	99.415138
62.200001	99.362061
63.000000	99.314499
64.000000	99.245117
65.000000	99.173897
66.000000	99.105286
67.000000	99.042038
68.000000	98.975121
69.000000	98.907310
70.000000	98.845154
71.000000	98.782059
72.000000	98.715286
73.000000	98.652023
74.000000	98.594688
75.000000	98.533188
76.199997	98.460175
77.500000	98.380074
78.800003	98.303436
80.000000	98.231224
81.199997	98.159164
82.500000	98.086533
83.800003	98.019081
85.000000	97.953613
86.199997	97.885994
87.500000	97.818665
88.500000	97.765671
90.000000	97.685211
91.199997	97.622047
92.500000	97.557350
93.800003	97.490570
95.000000	97.431412
96.199997	97.369621
97.500000	97.307259
98.800003	97.243675
100.000000	97.191040
101.500000	97.120834
103.000000	97.051964
104.400002	96.989693
106.000000	96.913940
107.500000	96.852158
109.000000	96.790009
110.599998	96.724251
112.000000	96.663460
113.800003	96.595695
115.000000	96.544212
117.199997	96.454895
118.000000	96.430023
120.599998	96.295418
122.000000	96.277908
124.099998	96.200859
125.000000	96.164444
126.500000	96.113724
128.000000	96.058182
131.500000	95.938156
132.000000	95.922752
134.000000	95.859489
136.000000	95.797432
138.000000	95.729004
140.000000	95.670647
143.000000	95.579544
145.000000	95.519325
147.500000	95.445511
150.000000	95.367683
152.500000	95.295219
155.000000	95.221855
157.500000	95.144623
160.000000	95.074112
162.500000	95.011032
165.000000	94.941841
167.500000	94.891876
170.000000	94.854919
172.500000	94.832687
175.000000	94.799240
177.500000	94.763000
180.000000	94.748604
182.500000	94.724678
185.000000	94.666679
187.500000	94.609596
190.000000	94.572769
192.500000	94.544006
195.000000	94.517052
197.500000	94.486687
200.000000	94.468010
203.000000	94.435974
206.000000	94.400932
209.000000	94.357323
212.000000	94.316986
214.000000	94.286720
218.000000	94.226273
220.000000	94.203812
224.000000	94.142349
227.000000	94.101562
230.000000	94.060211
233.000000	94.019379
236.000000	93.978523
240.000000	93.964127
243.000000	93.888527
247.000000	93.839302
250.000000	93.804230
254.000000	93.758766
258.000000	93.710106
262.000000	93.667648
265.000000	93.637283
269.000000	93.597229
272.000000	93.566803
276.000000	93.525848
280.000000	93.486954
285.000000	93.439507
290.000000	93.395523
295.000000	93.354904
300.000000	93.320938
304.000000	93.288666
307.000000	93.267235
311.000000	93.244110
315.000000	93.221130
320.000000	93.196312
325.000000	93.168541
330.000000	93.141075
335.000000	93.110214
340.000000	93.079681
345.000000	93.050537
350.000000	93.021240
355.000000	92.995987
360.000000	92.967331
365.000000	92.938423
370.000000	92.910843
375.000000	92.887543
382.000000	92.853249
387.000000	92.827843
395.000000	92.794777
400.000000	92.777069
406.000000	92.758728
412.000000	92.748505
418.000000	92.748878
425.000000	92.755310
431.000000	92.755753
437.000000	92.749435
444.000000	92.733856
450.000000	92.723434
455.000000	92.705734
462.000000	92.687271
468.000000	92.669502
475.000000	92.651413
482.000000	92.628845
487.000000	92.616814
494.000000	92.601936
500.000000	92.585495
508.000000	92.569153
515.000000	92.555893
522.000000	92.540985
530.000000	92.526810
538.000000	92.518875
545.000000	92.504265
552.000000	92.496986
560.000000	92.485191
570.000000	92.477844
580.000000	92.467659
590.000000	92.457504
600.000000	92.458405
608.000000	92.446991
615.000000	92.444107
622.000000	92.441223
630.000000	92.434830
640.000000	92.438354
650.000000	92.435486
660.000000	92.437759
670.000000	92.437462
680.000000	92.442268
690.000000	92.442810
700.000000	92.453323
710.000000	92.458603
720.000000	92.477081
730.000000	92.478104
740.000000	92.491051
750.000000	92.509583
762.000000	92.529633
775.000000	92.552818
788.000000	92.580223
800.000000	92.607086
812.000000	92.639832
825.000000	92.678040
838.000000	92.718575
850.000000	92.761787
862.000000	92.808449
875.000000	92.859467
885.000000	92.904137
900.000000	92.969131
912.000000	93.033905
925.000000	93.102730
938.000000	93.181862
950.000000	93.250519
962.000000	93.328102
975.000000	93.416054
988.000000	93.500137
1000.000000	93.587372
1015.000000	93.700897
1030.000000	93.816200
1044.000000	93.926125
1060.000000	94.055435
1075.000000	94.181587
1090.000000	94.303131
1106.000000	94.439812
1120.000000	94.557968
1138.000000	94.708153
1150.000000	94.811363
1172.000000	94.992859
1180.000000	95.058899
1206.000000	95.267700
1220.000000	95.375099
1241.000000	95.530640
1250.000000	95.589523
1265.000000	95.679626
1280.000000	95.744286
1315.000000	95.838142
1320.000000	95.851395
1340.000000	95.952003
1360.000000	96.073631
1380.000000	96.200394
1400.000000	96.328033
1430.000000	96.509995
1450.000000	96.626587
1475.000000	96.765175
1500.000000	96.905853
1525.000000	97.037567
1550.000000	97.170471
1575.000000	97.300896
1600.000000	97.433311
1625.000000	97.561996
1650.000000	97.692757
1675.000000	97.820953
1700.000000	97.952164
1725.000000	98.082634
1750.000000	98.212860
1775.000000	98.343742
1800.000000	98.472649
1825.000000	98.606560
1850.000000	98.737000
1875.000000	98.866013
1900.000000	98.994400
1925.000000	99.122925
1950.000000	99.249557
1975.000000	99.372665
2000.000000	99.494797
2030.000000	99.637482
2060.000000	99.773560
2090.000000	99.908379
2120.000000	100.037628
2140.000000	100.117676
2180.000000	100.278763
2200.000000	100.352219
2240.000000	100.492203
2270.000000	100.588219
2300.000000	100.675522
2330.000000	100.754753
2360.000000	100.827446
2400.000000	100.913078
2430.000000	100.967072
2470.000000	101.028252
2500.000000	101.064148
2540.000000	101.102394
2580.000000	101.128647
2620.000000	101.144012
2650.000000	101.151451
2690.000000	101.153954
2720.000000	101.150070
2760.000000	101.143158
2800.000000	101.130600
2850.000000	101.116890
2900.000000	101.106529
2950.000000	101.108345
3000.000000	101.114838
3040.000000	101.126068
3070.000000	101.130066
3110.000000	101.132278
3150.000000	101.132294
3200.000000	101.133614
3250.000000	101.132950
3300.000000	101.131950
3350.000000	101.133820
3400.000000	101.137077
3450.000000	101.143089
3500.000000	101.155975
3550.000000	101.180855
3600.000000	101.209976
3650.000000	101.243492
3700.000000	101.277367
3750.000000	101.307533
3820.000000	101.346878
3870.000000	101.378372
3950.000000	101.437233
4000.000000	101.474808
4060.000000	101.521881
4120.000000	101.574051
4180.000000	101.624168
4250.000000	101.687424
4310.000000	101.736778
4370.000000	101.778419
