* frequency_hz	amplitude
20.299999	104.699539
20.600000	104.696564
20.900000	104.689232
21.200001	104.682396
21.400000	104.678780
21.799999	104.673195
22.000000	104.670715
22.400000	104.665382
22.700001	104.660400
23.000000	104.654297
23.299999	104.646866
23.600000	104.637756
24.000000	104.622505
24.299999	104.608864
24.700001	104.588936
25.000000	104.574181
25.400000	104.556808
25.799999	104.543190
26.200001	104.532318
26.500000	104.524246
26.900000	104.510681
27.200001	104.496834
27.600000	104.472778
28.000000	104.444038
28.500000	104.407860
29.000000	104.379257
29.500000	104.359909
30.000000	104.342964
30.400000	104.325790
30.700001	104.309891
31.100000	104.286072
31.500000	104.262138
32.000000	104.233757
32.500000	104.203995
33.000000	104.168907
33.500000	104.130280
34.000000	104.093689
34.500000	104.060944
35.000000	104.028130
35.500000	103.992096
36.000000	103.955353
36.500000	103.922424
37.000000	103.893471
37.500000	103.864044
38.200001	103.815788
38.700001	103.777328
39.500000	103.715546
40.000000	103.679260
40.599998	103.638863
41.200001	103.599075
41.799999	103.556076
42.500000	103.503799
43.099998	103.462242
43.700001	103.422272
44.400002	103.371384
45.000000	103.325989
45.500000	103.290657
46.200001	103.244568
46.799999	103.203835
47.500000	103.152664
48.200001	103.098099
48.700001	103.057274
49.400002	103.000893
50.000000	102.956535
50.799999	102.900200
51.500000	102.849411
52.200001	102.798645
53.000000	102.739006
53.799999	102.679291
54.500000	102.633980
55.200001	102.586021
56.000000	102.519455
57.000000	102.448547
58.000000	102.373352
59.000000	102.322220
60.000000	102.302063
60.799999	102.213203
61.500000	102.119820
62.200001	102.064613
63.000000	102.018852
64.000000	101.948547
65.000000	101.875580
66.000000	101.796432
67.000000	101.732666
68.000000	101.658478
69.000000	101.590607
70.000000	101.518906
71.000000	101.446365
72.000000	101.381187
73.000000	101.304199
74.000000	101.239944
75.000000	101.167252
76.199997	101.090958
77.500000	100.998955
78.800003	100.910202
80.000000	100.842529
81.199997	100.759499
82.500000	100.679276
83.800003	100.604645
85.000000	100.540062
86.199997	100.476051
87.500000	100.409294
88.500000	100.361542
90.000000	100.292297
91.199997	100.231255
92.500000	100.165573
93.800003	100.102921
95.000000	100.036003
96.199997	99.972183
97.500000	99.905014
98.800003	99.838707
100.000000	99.770851
101.500000	99.689163
103.000000	99.611885
104.400002	99.536774
106.000000	99.447487
107.500000	99.367783
109.000000	99.287949
110.599998	99.201302
112.000000	99.129082
113.800003	99.034546
