* frequency_hz	amplitude
20.299999	107.643196
20.600000	107.715775
20.900000	107.782227
21.200001	107.849861
21.400000	107.896820
21.799999	107.992188
22.000000	108.038101
22.400000	108.120956
22.700001	108.172989
23.000000	108.218910
23.299999	108.263985
23.600000	108.313560
24.000000	108.389450
24.299999	108.447662
24.700001	108.512314
25.000000	108.544861
25.400000	108.573204
25.799999	108.610931
26.200001	108.684631
26.500000	108.762985
26.900000	108.867928
27.200001	108.920639
27.600000	108.931778
28.000000	108.887436
28.500000	108.836288
29.000000	108.889252
29.500000	109.035080
30.000000	109.164200
30.400000	109.209579
30.700001	109.216721
31.100000	109.220490
31.500000	109.247391
32.000000	109.313507
32.500000	109.372192
33.000000	109.393089
33.500000	109.397537
34.000000	109.420906
34.500000	109.461288
35.000000	109.487953
35.500000	109.489517
36.000000	109.490608
36.500000	109.518036
37.000000	109.564133
37.500000	109.596451
38.200001	109.596436
38.700001	109.596863
39.500000	109.645645
40.000000	109.669205
40.599998	109.658630
41.200001	109.651802
41.799999	109.692879
42.500000	109.747223
43.099998	109.741623
43.700001	109.717224
44.400002	109.720482
45.000000	109.733894
45.500000	109.739487
46.200001	109.747757
46.799999	109.748482
47.500000	109.734856
48.200001	109.750107
48.700001	109.777588
49.400002	109.770370
50.000000	109.722900
50.799999	109.716583
51.500000	109.753204
52.200001	109.731308
53.000000	109.690277
53.799999	109.719482
54.500000	109.728516
55.200001	109.689606
56.000000	109.658142
57.000000	109.667999
58.000000	109.659004
59.000000	109.629311
60.000000	109.600967
60.799999	109.589996
61.500000	109.587715
62.200001	109.574532
63.000000	109.539398
64.000000	109.505638
65.000000	109.498245
66.000000	109.479675
67.000000	109.446602
68.000000	109.411926
69.000000	109.381073
70.000000	109.356018
71.000000	109.332550
72.000000	109.306831
73.000000	109.272346
74.000000	109.237854
75.000000	109.202682
76.199997	109.158707
77.500000	109.120415
78.800003	109.084900
80.000000	109.052658
81.199997	109.008316
82.500000	108.963387
83.800003	108.909737
85.000000	108.865997
86.199997	108.826309
87.500000	108.780518
88.500000	108.745041
90.000000	108.691727
91.199997	108.647224
92.500000	108.600616
93.800003	108.553383
95.000000	108.509689
96.199997	108.463394
97.500000	108.413269
98.800003	108.367256
100.000000	108.323700
101.500000	108.272354
103.000000	108.212822
104.400002	108.168411
106.000000	108.115799
107.500000	108.061974
109.000000	108.003464
110.599998	107.950890
112.000000	107.895798
113.800003	107.824677
115.000000	107.779831
117.199997	107.703484
118.000000	107.674347
120.599998	107.576744
122.000000	107.530182
124.099998	107.452950
125.000000	107.419785
126.500000	107.367783
128.000000	107.315643
131.500000	107.190002
132.000000	107.171890
134.000000	107.099319
136.000000	107.030380
138.000000	106.958496
140.000000	106.886673
143.000000	106.782104
145.000000	106.714676
147.500000	106.625252
150.000000	106.540817
152.500000	106.458435
155.000000	106.372391
157.500000	106.290123
160.000000	106.206520
162.500000	106.125870
