* frequency_hz	amplitude
20.299999	106.150314
20.600000	106.182228
20.900000	106.204269
21.200001	106.218948
21.400000	106.225365
21.799999	106.234375
22.000000	106.239182
22.400000	106.253334
22.700001	106.269501
23.000000	106.288788
23.299999	106.307793
23.600000	106.322609
24.000000	106.331291
24.299999	106.329865
24.700001	106.322502
25.000000	106.318146
25.400000	106.319435
25.799999	106.329247
26.200001	106.341537
26.500000	106.347305
26.900000	106.346527
27.200001	106.340363
27.600000	106.331924
28.000000	106.333374
28.500000	106.359871
29.000000	106.406799
29.500000	106.452148
30.000000	106.477913
30.400000	106.484863
30.700001	106.486465
31.100000	106.488792
31.500000	106.493118
32.000000	106.498718
32.500000	106.502068
33.000000	106.505951
33.500000	106.512932
34.000000	106.518883
34.500000	106.517998
35.000000	106.511429
35.500000	106.506271
36.000000	106.505966
36.500000	106.506226
37.000000	106.501801
37.500000	106.493622
38.200001	106.484329
38.700001	106.479485
39.500000	106.465485
40.000000	106.453758
40.599998	106.442978
41.200001	106.437065
41.799999	106.432053
42.500000	106.422958
43.099998	106.412445
43.700001	106.401428
44.400002	106.389778
45.000000	106.379166
45.500000	106.368050
46.200001	106.351074
46.799999	106.339767
47.500000	106.328423
48.200001	106.310242
48.700001	106.293999
49.400002	106.277199
50.000000	106.269836
50.799999	106.255653
51.500000	106.233902
52.200001	106.213684
53.000000	106.195778
53.799999	106.172356
54.500000	106.150810
55.200001	106.137489
56.000000	106.122040
57.000000	106.087044
58.000000	106.062759
59.000000	106.029358
60.000000	105.993004
60.799999	105.983665
61.500000	105.966919
62.200001	105.939598
63.000000	105.914551
64.000000	105.886414
65.000000	105.853310
66.000000	105.822044
67.000000	105.789459
68.000000	105.757790
69.000000	105.723312
70.000000	105.690666
71.000000	105.657631
72.000000	105.623604
73.000000	105.589783
74.000000	105.556580
75.000000	105.523155
76.199997	105.479774
77.500000	105.434448
78.800003	105.388451
80.000000	105.346130
81.199997	105.303452
82.500000	105.254341
83.800003	105.209312
85.000000	105.164742
86.199997	105.120605
87.500000	105.071480
88.500000	105.033318
90.000000	104.976189
91.199997	104.930557
92.500000	104.878876
93.800003	104.828316
95.000000	104.781433
96.199997	104.733337
97.500000	104.679359
98.800003	104.623573
100.000000	104.575455
101.500000	104.510193
103.000000	104.443398
104.400002	104.382126
