* frequency_hz	amplitude
20.299999	104.146271
20.600000	104.162163
20.900000	104.173599
21.200001	104.182579
21.400000	104.187210
21.799999	104.193588
22.000000	104.195770
22.400000	104.199432
22.700001	104.202606
23.000000	104.206360
23.299999	104.210335
23.600000	104.213936
24.000000	104.217308
24.299999	104.218658
24.700001	104.219193
25.000000	104.218872
25.400000	104.217628
25.799999	104.215706
26.200001	104.213951
26.500000	104.213379
26.900000	104.213852
27.200001	104.214554
27.600000	104.214073
28.000000	104.210052
28.500000	104.199608
29.000000	104.187584
29.500000	104.179649
30.000000	104.176994
30.400000	104.175827
30.700001	104.173576
31.100000	104.167595
31.500000	104.159088
32.000000	104.148438
32.500000	104.140327
33.000000	104.132591
33.500000	104.120667
34.000000	104.103279
34.500000	104.084183
35.000000	104.067802
35.500000	104.054199
36.000000	104.040131
36.500000	104.024414
37.000000	104.009964
37.500000	103.999237
38.200001	103.985352
38.700001	103.970665
39.500000	103.942123
40.000000	103.927170
40.599998	103.910820
41.200001	103.889862
41.799999	103.864456
42.500000	103.837112
43.099998	103.817314
43.700001	103.797279
44.400002	103.773399
45.000000	103.753830
45.500000	103.735451
46.200001	103.701721
46.799999	103.668213
47.500000	103.634430
48.200001	103.612953
48.700001	103.603958
49.400002	103.591263
50.000000	103.570679
50.799999	103.529747
51.500000	103.496323
52.200001	103.468071
53.000000	103.435219
53.799999	103.401665
54.500000	103.365097
55.200001	103.332069
56.000000	103.318573
57.000000	103.275772
58.000000	103.223083
59.000000	103.179077
60.000000	103.047493
60.799999	103.037140
61.500000	103.083771
62.200001	103.069809
63.000000	103.008644
64.000000	102.968246
65.000000	102.922714
66.000000	102.885841
67.000000	102.837463
68.000000	102.788528
69.000000	102.746918
70.000000	102.701904
71.000000	102.653404
72.000000	102.604156
73.000000	102.565666
74.000000	102.523270
75.000000	102.474792
76.199997	102.422035
77.500000	102.369858
78.800003	102.318375
80.000000	102.260086
81.199997	102.209061
82.500000	102.156982
83.800003	102.099991
85.000000	102.047134
86.199997	101.994911
87.500000	101.934822
88.500000	101.887253
90.000000	101.821274
91.199997	101.768585
92.500000	101.713303
93.800003	101.648422
95.000000	101.593971
96.199997	101.543953
97.500000	101.488808
98.800003	101.423965
100.000000	101.369995
101.500000	101.317787
103.000000	101.276733
104.400002	101.227844
106.000000	101.171532
107.500000	101.114426
109.000000	101.064499
110.599998	100.993347
112.000000	100.940269
113.800003	100.857521
115.000000	100.812233
117.199997	100.715240
118.000000	100.654083
120.599998	100.613342
122.000000	100.518791
124.099998	100.421371
125.000000	100.401733
126.500000	100.342049
128.000000	100.303078
131.500000	100.246048
132.000000	100.240379
134.000000	100.208908
136.000000	100.173157
138.000000	100.123253
140.000000	100.065689
143.000000	99.966988
145.000000	99.905952
147.500000	99.816986
150.000000	99.736229
152.500000	99.650269
155.000000	99.565262
157.500000	99.483673
160.000000	99.403816
162.500000	99.324364
165.000000	99.247581
167.500000	99.167221
170.000000	99.096237
172.500000	99.019241
175.000000	98.948792
177.500000	98.876877
180.000000	98.838287
182.500000	98.749237
185.000000	98.693848
187.500000	98.633743
190.000000	98.581757
192.500000	98.538223
195.000000	98.484802
197.500000	98.440681
200.000000	98.393677
203.000000	98.336853
206.000000	98.274696
209.000000	98.215828
212.000000	98.152779
214.000000	98.111343
218.000000	98.026741
220.000000	97.986977
224.000000	97.906425
227.000000	97.846581
230.000000	97.785828
233.000000	97.728195
236.000000	97.671570
240.000000	97.545265
243.000000	97.532593
247.000000	97.461563
250.000000	97.404572
254.000000	97.339111
258.000000	97.266861
262.000000	97.202950
265.000000	97.152374
269.000000	97.088127
272.000000	97.043381
276.000000	96.983971
280.000000	96.924149
285.000000	96.854286
290.000000	96.787987
295.000000	96.724136
300.000000	96.711166
304.000000	96.608536
307.000000	96.564545
311.000000	96.521927
315.000000	96.479744
320.000000	96.424561
325.000000	96.368813
330.000000	96.322945
335.000000	96.264709
340.000000	96.212585
345.000000	96.154358
350.000000	96.107193
355.000000	96.057251
360.000000	96.024971
365.000000	95.965271
370.000000	95.920662
375.000000	95.877411
382.000000	95.823303
387.000000	95.787758
395.000000	95.740128
400.000000	95.710190
406.000000	95.691307
412.000000	95.661880
418.000000	95.645561
425.000000	95.611549
431.000000	95.580261
437.000000	95.548546
444.000000	95.507965
450.000000	95.477959
455.000000	95.448135
462.000000	95.410805
468.000000	95.382050
475.000000	95.339645
482.000000	95.298485
487.000000	95.280800
494.000000	95.241272
500.000000	95.218750
508.000000	95.181381
515.000000	95.152451
522.000000	95.121887
530.000000	95.087364
538.000000	95.053665
545.000000	95.031006
552.000000	95.004799
560.000000	94.973755
570.000000	94.940048
580.000000	94.904518
590.000000	94.877075
600.000000	94.822304
608.000000	94.814064
615.000000	94.794167
622.000000	94.769897
