* frequency_hz	amplitude
20.299999	108.132927
20.600000	108.149445
20.900000	108.160294
21.200001	108.177727
21.400000	108.196564
21.799999	108.251122
22.000000	108.283936
22.400000	108.349419
22.700001	108.387222
23.000000	108.409096
23.299999	108.414261
23.600000	108.406723
24.000000	108.389755
24.299999	108.381210
24.700001	108.383041
25.000000	108.393661
25.400000	108.414360
25.799999	108.435158
26.200001	108.452888
26.500000	108.465096
26.900000	108.482117
27.200001	108.495834
27.600000	108.513504
28.000000	108.527435
28.500000	108.536873
29.000000	108.541107
29.500000	108.547707
30.000000	108.561798
30.400000	108.577209
30.700001	108.588669
31.100000	108.600296
31.500000	108.605179
32.000000	108.602806
32.500000	108.597542
33.000000	108.596855
33.500000	108.602028
34.000000	108.608284
34.500000	108.610947
35.000000	108.609360
35.500000	108.605637
36.000000	108.601944
36.500000	108.599525
37.000000	108.598671
37.500000	108.597870
38.200001	108.591682
38.700001	108.583710
39.500000	108.577606
40.000000	108.581551
40.599998	108.585518
41.200001	108.578720
41.799999	108.563683
42.500000	108.550179
43.099998	108.544846
43.700001	108.537933
44.400002	108.524689
45.000000	108.513252
45.500000	108.503746
46.200001	108.487267
46.799999	108.472717
47.500000	108.459755
48.200001	108.446564
48.700001	108.437004
49.400002	108.428169
50.000000	108.416595
50.799999	108.382599
51.500000	108.361198
52.200001	108.357590
53.000000	108.327744
53.799999	108.284157
54.500000	108.277924
55.200001	108.266571
56.000000	108.228088
57.000000	108.235672
58.000000	108.235374
59.000000	108.214218
60.000000	108.222412
60.799999	108.181641
61.500000	108.143456
62.200001	108.127182
63.000000	108.101089
64.000000	108.062981
65.000000	108.048035
66.000000	108.002838
67.000000	107.969597
68.000000	107.958168
69.000000	107.923233
70.000000	107.901520
71.000000	107.884949
72.000000	107.885300
73.000000	107.862610
74.000000	107.801094
75.000000	107.779793
76.199997	107.752960
77.500000	107.708168
78.800003	107.658516
80.000000	107.621719
81.199997	107.584274
82.500000	107.543327
83.800003	107.502029
85.000000	107.465591
86.199997	107.427879
87.500000	107.391479
88.500000	107.353241
90.000000	107.301407
91.199997	107.263802
92.500000	107.223305
93.800003	107.181030
95.000000	107.143570
96.199997	107.107941
97.500000	107.065964
98.800003	107.024506
100.000000	106.990265
101.500000	106.938385
103.000000	106.889008
104.400002	106.850349
106.000000	106.790535
107.500000	106.752907
109.000000	106.703003
110.599998	106.655151
112.000000	106.611252
113.800003	106.557114
115.000000	106.517731
117.199997	106.452873
118.000000	106.430580
120.599998	106.343231
122.000000	106.305847
124.099998	106.242554
125.000000	106.215324
126.500000	106.170403
128.000000	106.127762
131.500000	106.030624
132.000000	106.016586
134.000000	105.961037
136.000000	105.905075
138.000000	105.849899
140.000000	105.797646
143.000000	105.712906
145.000000	105.659821
147.500000	105.597618
150.000000	105.530312
152.500000	105.467270
155.000000	105.403389
157.500000	105.339073
160.000000	105.276642
162.500000	105.213745
165.000000	105.152611
167.500000	105.088806
170.000000	105.028473
172.500000	104.968170
175.000000	104.912453
177.500000	104.855591
180.000000	104.799362
182.500000	104.752815
185.000000	104.698502
187.500000	104.644943
190.000000	104.595032
192.500000	104.540939
195.000000	104.489037
197.500000	104.436432
200.000000	104.385040
203.000000	104.325340
206.000000	104.265053
209.000000	104.204590
212.000000	104.145706
214.000000	104.108948
218.000000	104.032913
220.000000	103.994759
224.000000	103.922691
227.000000	103.869362
230.000000	103.815285
233.000000	103.765320
236.000000	103.713821
240.000000	103.648468
243.000000	103.597275
247.000000	103.531868
250.000000	103.484795
254.000000	103.419640
258.000000	103.356766
262.000000	103.295044
265.000000	103.249924
269.000000	103.191513
272.000000	103.146004
276.000000	103.090034
280.000000	103.034248
285.000000	102.968407
290.000000	102.906258
295.000000	102.847107
300.000000	102.797104
304.000000	102.744446
307.000000	102.710953
311.000000	102.666901
315.000000	102.621872
320.000000	102.565208
325.000000	102.507942
330.000000	102.450409
335.000000	102.394272
340.000000	102.340958
345.000000	102.285851
350.000000	102.232651
355.000000	102.179970
360.000000	102.130363
365.000000	102.078720
370.000000	102.027962
375.000000	101.980110
382.000000	101.917404
387.000000	101.872902
395.000000	101.805527
400.000000	101.768494
406.000000	101.727814
412.000000	101.689056
418.000000	101.650024
425.000000	101.611168
431.000000	101.579826
437.000000	101.552559
444.000000	101.529251
450.000000	101.513199
455.000000	101.496986
462.000000	101.469307
468.000000	101.439590
475.000000	101.400040
482.000000	101.358551
487.000000	101.328369
494.000000	101.286888
500.000000	101.251396
508.000000	101.205460
515.000000	101.167587
522.000000	101.128693
530.000000	101.087761
538.000000	101.046684
545.000000	101.014297
552.000000	100.980087
560.000000	100.945724
570.000000	100.898209
580.000000	100.858772
590.000000	100.819153
600.000000	100.780052
608.000000	100.748489
615.000000	100.723122
622.000000	100.698036
630.000000	100.670784
640.000000	100.637772
650.000000	100.607719
660.000000	100.570969
670.000000	100.549423
680.000000	100.524483
690.000000	100.498657
700.000000	100.475410
710.000000	100.451378
720.000000	100.431427
730.000000	100.410431
740.000000	100.392494
750.000000	100.375015
762.000000	100.356468
775.000000	100.339958
788.000000	100.324905
800.000000	100.310509
812.000000	100.301758
825.000000	100.294235
838.000000	100.289612
850.000000	100.289223
862.000000	100.292191
875.000000	100.303230
885.000000	100.313828
900.000000	100.317093
912.000000	100.361725
925.000000	100.393318
938.000000	100.422661
950.000000	100.455307
962.000000	100.489464
975.000000	100.527420
988.000000	100.568520
1000.000000	100.608116
1015.000000	100.660233
1030.000000	100.713669
1044.000000	100.766617
1060.000000	100.829391
1075.000000	100.888306
1090.000000	100.948006
1106.000000	101.010223
1120.000000	101.065971
1138.000000	101.137131
1150.000000	101.178436
1172.000000	101.254776
1180.000000	101.279617
1206.000000	101.354126
1220.000000	101.389137
1241.000000	101.437309
1250.000000	101.455025
1265.000000	101.480209
1280.000000	101.498489
1315.000000	101.525986
1320.000000	101.526558
1340.000000	101.534744
1360.000000	101.530357
1380.000000	101.522629
1400.000000	101.509232
1430.000000	101.484650
1450.000000	101.464661
1475.000000	101.438271
1500.000000	101.413925
1525.000000	101.387512
1550.000000	101.367531
1575.000000	101.353966
1600.000000	101.346954
1625.000000	101.347412
1650.000000	101.359764
1675.000000	101.382324
1700.000000	101.415611
1725.000000	101.457863
1750.000000	101.517365
1775.000000	101.587906
1800.000000	101.675087
1825.000000	101.772827
1850.000000	101.886139
1875.000000	102.011383
1900.000000	102.154297
1925.000000	102.310387
1950.000000	102.481728
1975.000000	102.666496
2000.000000	102.865822
2030.000000	103.123672
2060.000000	103.405846
2090.000000	103.706451
2120.000000	104.027214
2140.000000	104.251122
2180.000000	104.726318
2200.000000	104.976562
2240.000000	105.501137
2270.000000	105.910355
2300.000000	106.332428
2330.000000	106.763184
2360.000000	107.198502
2400.000000	107.777481
2430.000000	108.200195
2470.000000	108.731026
2500.000000	109.090981
2540.000000	109.500130
2580.000000	109.805161
2620.000000	109.992325
2650.000000	110.046532
2690.000000	110.012634
2720.000000	109.915550
2760.000000	109.708847
2800.000000	109.440308
2850.000000	109.051086
2900.000000	108.642509
2950.000000	108.243340
3000.000000	107.870605
3040.000000	107.602234
3070.000000	107.419167
3110.000000	107.203171
3150.000000	107.017197
3200.000000	106.830009
3250.000000	106.693039
3300.000000	106.600624
3350.000000	106.550209
3400.000000	106.536545
3450.000000	106.553284
3500.000000	106.593338
3550.000000	106.641251
3600.000000	106.691231
3650.000000	106.726532
3700.000000	106.739708
3750.000000	106.730820
3820.000000	106.697266
3870.000000	106.702217
3950.000000	106.885727
4000.000000	107.147835
4060.000000	107.575638
4120.000000	108.043831
4180.000000	108.503967
4250.000000	109.032524
4310.000000	109.482521
4370.000000	109.912704
4440.000000	110.311974
4500.000000	110.453262
4550.000000	110.346336
4620.000000	109.786560
4680.000000	108.967728
4750.000000	107.767616
4820.000000	106.471954
4870.000000	105.559128
4940.000000	104.362419
5000.000000	103.443710
5080.000000	102.420883
5150.000000	101.735260
5220.000000	101.273567
5300.000000	101.028839
5380.000000	101.098137
5450.000000	101.413956
5520.000000	101.952530
5600.000000	102.829819
5700.000000	104.251793
5800.000000	105.911392
5900.000000	107.507103
6000.000000	108.493591
6080.000000	108.522011
6150.000000	108.044388
6220.000000	107.301697
6300.000000	106.355865
6400.000000	105.244148
6500.000000	104.301888
6600.000000	103.551682
6700.000000	102.983063
6800.000000	102.576157
6900.000000	102.314735
7000.000000	102.203484
7100.000000	102.219887
7200.000000	102.367401
7300.000000	102.644348
7400.000000	103.041092
7500.000000	103.558853
7620.000000	104.355293
7750.000000	105.370438
7880.000000	106.361755
8000.000000	106.845116
8120.000000	106.564476
8250.000000	105.465561
8380.000000	104.013351
8500.000000	102.662666
8620.000000	101.292480
8750.000000	100.008522
8850.000000	99.177223
9000.000000	98.124619
9120.000000	97.454582
9250.000000	96.900688
9380.000000	96.517288
9500.000000	96.285751
9620.000000	96.146790
9750.000000	96.040901
9880.000000	95.895714
10000.000000	95.663406
10150.000000	95.219360
10300.000000	94.657333
10440.000000	94.132668
10600.000000	93.609138
10750.000000	93.197708
