* frequency_hz	amplitude
20.299999	92.213203
20.600000	92.310112
20.900000	92.401924
21.200001	92.493767
21.400000	92.555023
21.799999	92.674286
22.000000	92.730972
22.400000	92.837662
22.700001	92.913361
23.000000	92.987762
23.299999	93.062408
23.600000	93.137245
24.000000	93.234192
24.299999	93.302399
24.700001	93.386742
25.000000	93.447632
25.400000	93.530693
25.799999	93.619179
26.200001	93.710648
26.500000	93.777512
26.900000	93.860641
27.200001	93.918282
27.600000	93.992165
28.000000	94.066650
28.500000	94.162384
29.000000	94.255531
29.500000	94.340347
30.000000	94.417480
30.400000	94.476494
30.700001	94.520126
31.100000	94.577530
31.500000	94.633820
32.000000	94.703247
32.500000	94.772636
33.000000	94.840538
33.500000	94.903793
34.000000	94.961739
34.500000	95.017731
35.000000	95.075539
35.500000	95.135345
36.000000	95.194450
36.500000	95.250938
37.000000	95.304924
37.500000	95.356659
38.200001	95.423775
38.700001	95.467484
39.500000	95.534485
40.000000	95.577126
40.599998	95.628586
41.200001	95.678680
41.799999	95.727524
42.500000	95.783539
43.099998	95.828972
43.700001	95.871262
44.400002	95.918983
45.000000	95.958710
45.500000	95.990585
46.200001	96.036423
46.799999	96.076927
47.500000	96.115509
48.200001	96.145309
48.700001	96.171944
49.400002	96.215538
50.000000	96.241486
50.799999	96.265594
51.500000	96.299408
52.200001	96.319962
53.000000	96.318199
53.799999	96.365944
54.500000	96.440346
55.200001	96.479263
56.000000	96.490173
57.000000	96.522385
58.000000	96.560867
59.000000	96.602631
60.000000	96.623459
60.799999	96.639191
61.500000	96.662407
62.200001	96.683968
63.000000	96.700836
64.000000	96.719040
65.000000	96.742996
66.000000	96.766907
67.000000	96.785561
68.000000	96.800430
69.000000	96.818008
70.000000	96.834724
71.000000	96.851814
72.000000	96.866425
73.000000	96.879234
74.000000	96.897743
75.000000	96.907829
76.199997	96.907890
77.500000	96.934944
78.800003	96.968758
80.000000	96.960518
81.199997	96.964691
82.500000	96.969048
83.800003	96.987488
85.000000	96.987122
86.199997	96.985092
87.500000	96.997032
88.500000	97.000633
90.000000	96.998779
91.199997	97.002243
92.500000	97.007332
93.800003	97.006165
95.000000	97.005234
96.199997	97.007034
97.500000	97.002853
98.800003	96.999130
100.000000	96.995270
101.500000	96.997452
103.000000	97.001373
104.400002	96.990547
106.000000	96.986061
107.500000	96.980118
109.000000	96.970818
110.599998	96.956650
