* frequency_hz	amplitude
20.299999	89.251358
20.600000	89.341209
20.900000	89.417854
21.200001	89.482819
21.400000	89.518143
21.799999	89.568481
22.000000	89.585175
22.400000	89.611580
22.700001	89.638611
23.000000	89.682411
23.299999	89.747742
23.600000	89.832596
24.000000	89.961319
24.299999	90.055634
24.700001	90.163315
25.000000	90.227722
25.400000	90.297012
25.799999	90.358612
26.200001	90.419891
26.500000	90.464722
26.900000	90.517685
27.200001	90.550217
27.600000	90.587921
28.000000	90.629829
28.500000	90.705200
29.000000	90.805359
29.500000	90.905853
30.000000	90.980148
30.400000	91.018402
30.700001	91.040466
31.100000	91.069977
31.500000	91.105835
32.000000	91.159683
32.500000	91.217628
33.000000	91.274750
33.500000	91.328323
34.000000	91.374657
34.500000	91.412895
35.000000	91.450455
35.500000	91.497391
36.000000	91.553665
36.500000	91.607025
37.000000	91.646515
37.500000	91.675529
38.200001	91.723083
38.700001	91.764641
39.500000	91.808945
40.000000	91.817299
40.599998	91.833122
41.200001	91.874290
41.799999	91.927902
42.500000	91.977547
43.099998	92.012115
43.700001	92.050156
44.400002	92.084213
45.000000	92.091400
45.500000	92.093193
46.200001	92.117599
46.799999	92.157288
47.500000	92.189201
48.200001	92.193001
48.700001	92.196213
49.400002	92.222542
50.000000	92.252480
50.799999	92.276985
51.500000	92.302567
52.200001	92.349754
53.000000	92.390930
53.799999	92.378799
54.500000	92.347672
55.200001	92.340424
56.000000	92.381729
57.000000	92.452599
58.000000	92.476868
59.000000	92.425232
60.000000	92.378952
60.799999	92.443253
61.500000	92.507675
62.200001	92.513306
63.000000	92.485085
64.000000	92.475815
65.000000	92.486649
66.000000	92.500656
67.000000	92.507675
68.000000	92.507919
69.000000	92.506165
70.000000	92.508072
71.000000	92.510147
72.000000	92.517593
73.000000	92.524658
74.000000	92.529823
75.000000	92.533371
76.199997	92.521530
77.500000	92.541527
78.800003	92.525352
80.000000	92.515503
81.199997	92.515900
82.500000	92.519714
83.800003	92.505119
85.000000	92.495468
86.199997	92.491646
87.500000	92.487518
88.500000	92.484192
90.000000	92.477737
91.199997	92.468971
92.500000	92.461769
93.800003	92.452888
95.000000	92.443596
96.199997	92.437927
97.500000	92.424278
98.800003	92.415771
100.000000	92.410889
101.500000	92.397926
103.000000	92.380836
104.400002	92.371254
106.000000	92.351395
107.500000	92.341820
109.000000	92.328606
