* frequency_hz	amplitude
20.000000	98.413948
20.299999	98.454529
20.600000	98.493835
20.900000	98.533791
21.200001	98.576324
21.400000	98.607147
21.799999	98.675758
22.000000	98.713005
22.400000	98.789032
22.700001	98.841248
23.000000	98.884506
23.299999	98.917015
23.600000	98.940399
24.000000	98.965462
24.299999	98.985512
24.700001	99.016266
25.000000	99.038040
25.400000	99.056549
25.799999	99.058395
26.200001	99.051224
26.500000	99.049232
26.900000	99.060081
27.200001	99.078461
27.600000	99.107819
28.000000	99.132904
28.500000	99.155960
29.000000	99.185913
29.500000	99.232452
30.000000	99.279427
30.400000	99.302277
30.700001	99.308891
31.100000	99.309906
31.500000	99.312805
32.000000	99.327896
32.500000	99.350334
33.000000	99.369408
33.500000	99.382927
34.000000	99.392677
34.500000	99.395950
35.000000	99.390305
35.500000	99.382874
36.000000	99.386505
36.500000	99.404572
37.000000	99.425430
37.500000	99.435501
38.200001	99.432419
38.700001	99.432533
39.500000	99.449501
40.000000	99.460655
40.599998	99.465561
41.200001	99.465744
41.799999	99.467934
42.500000	99.472076
43.099998	99.473595
43.700001	99.473938
44.400002	99.471069
45.000000	99.461365
45.500000	99.450516
46.200001	99.442200
46.799999	99.444191
47.500000	99.445168
48.200001	99.438225
48.700001	99.434669
49.400002	99.438293
50.000000	99.441177
50.799999	99.429268
51.500000	99.414009
52.200001	99.409637
53.000000	99.402618
53.799999	99.376396
54.500000	99.355843
55.200001	99.345291
56.000000	99.328934
57.000000	99.310196
58.000000	99.301620
59.000000	99.284126
60.000000	99.270462
60.799999	99.248756
61.500000	99.229042
62.200001	99.221443
63.000000	99.213364
64.000000	99.188629
65.000000	99.166962
66.000000	99.144051
67.000000	99.121613
68.000000	99.094849
69.000000	99.064857
70.000000	99.036263
71.000000	99.011353
72.000000	98.991348
73.000000	98.973442
74.000000	98.962921
75.000000	98.937225
76.199997	98.910965
77.500000	98.883842
78.800003	98.847542
80.000000	98.827034
81.199997	98.792023
82.500000	98.756454
83.800003	98.725403
85.000000	98.693024
86.199997	98.667061
87.500000	98.621826
88.500000	98.601257
90.000000	98.555443
91.199997	98.530113
92.500000	98.481247
93.800003	98.467552
95.000000	98.419708
96.199997	98.391785
97.500000	98.349815
98.800003	98.315994
100.000000	98.273727
101.500000	98.244278
103.000000	98.193176
104.400002	98.146713
106.000000	98.116455
107.500000	98.073547
109.000000	98.025162
110.599998	97.977036
112.000000	97.933144
113.800003	97.889168
115.000000	97.849159
117.199997	97.788910
118.000000	97.762306
120.599998	97.693512
122.000000	97.644958
124.099998	97.595749
125.000000	97.571960
126.500000	97.530838
128.000000	97.480362
131.500000	97.389450
132.000000	97.363708
134.000000	97.310654
136.000000	97.265900
138.000000	97.239136
140.000000	97.152466
143.000000	97.119026
145.000000	96.964233
147.500000	96.794281
150.000000	96.741409
152.500000	96.789383
155.000000	96.749290
157.500000	96.690125
160.000000	96.493393
162.500000	96.561180
165.000000	96.557388
167.500000	96.374168
170.000000	96.388420
172.500000	96.175888
175.000000	96.218170
177.500000	96.147079
180.000000	96.101814
182.500000	95.945992
185.000000	95.911560
187.500000	95.940231
190.000000	95.928680
192.500000	95.844589
195.000000	95.744698
197.500000	95.668068
200.000000	95.604218
203.000000	95.522530
206.000000	95.462456
209.000000	95.399483
212.000000	95.330536
214.000000	95.283607
218.000000	95.202850
220.000000	95.161011
224.000000	95.071793
227.000000	95.008644
230.000000	94.946793
233.000000	94.893631
236.000000	94.813110
240.000000	94.740219
243.000000	94.695503
247.000000	94.611473
250.000000	94.529190
254.000000	94.513832
258.000000	94.412315
262.000000	94.274086
265.000000	94.207428
269.000000	94.174049
272.000000	94.110428
276.000000	94.054008
280.000000	93.950920
285.000000	93.900162
290.000000	93.813087
295.000000	93.776093
300.000000	93.611908
304.000000	93.608154
307.000000	93.566910
311.000000	93.479759
315.000000	93.426109
320.000000	93.363754
325.000000	93.287971
330.000000	93.219154
335.000000	93.156906
340.000000	93.067154
345.000000	93.013008
350.000000	92.933037
355.000000	92.872002
360.000000	92.826683
365.000000	92.746819
370.000000	92.676842
375.000000	92.631546
382.000000	92.551231
387.000000	92.499306
395.000000	92.393341
400.000000	92.337944
406.000000	92.268852
412.000000	92.213196
418.000000	92.156998
425.000000	92.085915
431.000000	92.027557
437.000000	91.972885
444.000000	91.921997
450.000000	91.873505
455.000000	91.811409
462.000000	91.760910
468.000000	91.689056
475.000000	91.625763
482.000000	91.619415
487.000000	91.574905
494.000000	91.489227
500.000000	91.411331
508.000000	91.402649
515.000000	91.309998
522.000000	91.269089
530.000000	91.226959
538.000000	91.149666
545.000000	91.111244
552.000000	91.065041
560.000000	91.023529
570.000000	90.907585
580.000000	90.886482
590.000000	90.858017
600.000000	90.768570
608.000000	90.653656
615.000000	90.661591
622.000000	90.672821
630.000000	90.592255
640.000000	90.514885
650.000000	90.505150
660.000000	90.438828
670.000000	90.404068
680.000000	90.316605
690.000000	90.291306
700.000000	90.247963
710.000000	90.200256
720.000000	90.154961
730.000000	90.115326
740.000000	90.063530
750.000000	90.032791
762.000000	89.992981
775.000000	89.989639
788.000000	89.951859
800.000000	90.007370
812.000000	90.103546
825.000000	90.270058
838.000000	90.493088
850.000000	90.593506
862.000000	90.534729
875.000000	90.560791
885.000000	90.637100
900.000000	90.702309
912.000000	90.753227
925.000000	90.790710
938.000000	90.818481
950.000000	90.866714
962.000000	90.901855
975.000000	90.942932
