* frequency_hz	amplitude
20.299999	98.957695
20.600000	99.042908
20.900000	99.125183
21.200001	99.207939
21.400000	99.262314
21.799999	99.362679
22.000000	99.406219
22.400000	99.479034
22.700001	99.525070
23.000000	99.570549
23.299999	99.621727
23.600000	99.682190
24.000000	99.775200
24.299999	99.847549
24.700001	99.936539
25.000000	99.993431
25.400000	100.057190
25.799999	100.114922
26.200001	100.174950
26.500000	100.223297
26.900000	100.289726
27.200001	100.338264
27.600000	100.398308
28.000000	100.452896
28.500000	100.516602
29.000000	100.578690
29.500000	100.639198
30.000000	100.696815
30.400000	100.740944
30.700001	100.773232
31.100000	100.815567
31.500000	100.856995
32.000000	100.906769
32.500000	100.953522
33.000000	100.996765
33.500000	101.036697
34.000000	101.074509
34.500000	101.111984
35.000000	101.150055
35.500000	101.187675
36.000000	101.222801
36.500000	101.254555
37.000000	101.284050
37.500000	101.312653
38.200001	101.350975
38.700001	101.376396
39.500000	101.415550
40.000000	101.440094
40.599998	101.468628
41.200001	101.495903
41.799999	101.522621
42.500000	101.549118
43.099998	101.563095
43.700001	101.573318
44.400002	101.593224
45.000000	101.616737
45.500000	101.633400
46.200001	101.646896
46.799999	101.654556
47.500000	101.666145
48.200001	101.679115
48.700001	101.686768
49.400002	101.694397
50.000000	101.700485
50.799999	101.712326
51.500000	101.723297
52.200001	101.729713
53.000000	101.734474
53.799999	101.737068
54.500000	101.732590
55.200001	101.725914
56.000000	101.723686
57.000000	101.729599
58.000000	101.740265
59.000000	101.729767
60.000000	101.713646
60.799999	101.714920
61.500000	101.713600
62.200001	101.706863
63.000000	101.699203
64.000000	101.687866
65.000000	101.673470
66.000000	101.659973
67.000000	101.647064
68.000000	101.627991
69.000000	101.611893
70.000000	101.601234
71.000000	101.581505
72.000000	101.561974
73.000000	101.544456
74.000000	101.522743
75.000000	101.501450
76.199997	101.474548
77.500000	101.446976
78.800003	101.416122
80.000000	101.389282
81.199997	101.358437
82.500000	101.324211
83.800003	101.287445
85.000000	101.259476
86.199997	101.228783
87.500000	101.190437
88.500000	101.164215
90.000000	101.121445
91.199997	101.087151
92.500000	101.050079
93.800003	101.013840
95.000000	100.979042
96.199997	100.942886
97.500000	100.902763
98.800003	100.863052
100.000000	100.825470
101.500000	100.782028
103.000000	100.735016
104.400002	100.688736
106.000000	100.639786
107.500000	100.592148
109.000000	100.544182
110.599998	100.492355
112.000000	100.448898
113.800003	100.389488
115.000000	100.353104
117.199997	100.280342
118.000000	100.250252
120.599998	100.185562
122.000000	100.121048
124.099998	100.055939
125.000000	100.028069
126.500000	99.973679
128.000000	99.927322
131.500000	99.812737
132.000000	99.797874
134.000000	99.729393
136.000000	99.661453
138.000000	99.595467
140.000000	99.533409
143.000000	99.433174
