* frequency_hz	amplitude
20.000000	94.718231
20.299999	94.750031
20.600000	94.775139
20.900000	94.792442
21.200001	94.803772
21.400000	94.809959
21.799999	94.824738
22.000000	94.835091
22.400000	94.862206
22.700001	94.885818
23.000000	94.908401
23.299999	94.926163
23.600000	94.936211
24.000000	94.935852
24.299999	94.927505
24.700001	94.913292
25.000000	94.907578
25.400000	94.914230
25.799999	94.936234
26.200001	94.959465
26.500000	94.965454
26.900000	94.947365
27.200001	94.914764
27.600000	94.861229
28.000000	94.818413
28.500000	94.801933
29.000000	94.810875
29.500000	94.811798
30.000000	94.800003
30.400000	94.800415
30.700001	94.814728
31.100000	94.848679
31.500000	94.880753
32.000000	94.890244
32.500000	94.865326
33.000000	94.837181
33.500000	94.825699
34.000000	94.816917
34.500000	94.791183
35.000000	94.756371
35.500000	94.738312
36.000000	94.744881
36.500000	94.754852
37.000000	94.744698
37.500000	94.715172
38.200001	94.680428
38.700001	94.674263
39.500000	94.663651
40.000000	94.637970
40.599998	94.598122
41.200001	94.570618
41.799999	94.554688
42.500000	94.521721
43.099998	94.477577
43.700001	94.441437
44.400002	94.416084
45.000000	94.390213
45.500000	94.363579
46.200001	94.330025
46.799999	94.301682
47.500000	94.263710
48.200001	94.237427
48.700001	94.221611
49.400002	94.174309
50.000000	94.119293
50.799999	94.076012
51.500000	94.055252
52.200001	94.024963
53.000000	93.987167
53.799999	93.915329
54.500000	93.841713
55.200001	93.823074
56.000000	93.825172
57.000000	93.775253
58.000000	93.734558
59.000000	93.630211
60.000000	93.577263
60.799999	93.565140
61.500000	93.512085
62.200001	93.459656
63.000000	93.418808
64.000000	93.348557
65.000000	93.291946
66.000000	93.237000
67.000000	93.173286
68.000000	93.120712
69.000000	93.059959
70.000000	92.994621
71.000000	92.937691
72.000000	92.869728
73.000000	92.815781
74.000000	92.758980
75.000000	92.684395
76.199997	92.628273
77.500000	92.549995
78.800003	92.470009
80.000000	92.404785
81.199997	92.315048
82.500000	92.248123
83.800003	92.170494
85.000000	92.100899
86.199997	92.029915
87.500000	91.956490
88.500000	91.889046
90.000000	91.814423
91.199997	91.738129
92.500000	91.666870
93.800003	91.592102
95.000000	91.529068
96.199997	91.455475
97.500000	91.383766
98.800003	91.309875
100.000000	91.236206
101.500000	91.159737
103.000000	91.083107
104.400002	91.007339
106.000000	90.919655
107.500000	90.841545
109.000000	90.761627
110.599998	90.677177
112.000000	90.606987
113.800003	90.527367
115.000000	90.467819
117.199997	90.351929
118.000000	90.320221
120.599998	90.196899
122.000000	90.109344
124.099998	90.027176
125.000000	89.982666
126.500000	89.928528
128.000000	89.857971
131.500000	89.706421
132.000000	89.685532
134.000000	89.631989
136.000000	89.520767
138.000000	89.441864
140.000000	89.367111
143.000000	89.256905
145.000000	89.180428
147.500000	89.096275
150.000000	89.009674
152.500000	88.926498
155.000000	88.848061
157.500000	88.773865
160.000000	88.701813
162.500000	88.620926
165.000000	88.539383
167.500000	88.480858
170.000000	88.417351
172.500000	88.360870
175.000000	88.303520
177.500000	88.252579
180.000000	88.229240
182.500000	88.137466
185.000000	88.071030
187.500000	88.025513
190.000000	87.991943
192.500000	87.958771
195.000000	87.890381
197.500000	87.863228
200.000000	87.839066
203.000000	87.795174
206.000000	87.752563
209.000000	87.696915
212.000000	87.653564
214.000000	87.637863
218.000000	87.604904
220.000000	87.583763
224.000000	87.527245
227.000000	87.505280
230.000000	87.471519
233.000000	87.464188
236.000000	87.442276
240.000000	87.372223
243.000000	87.395485
247.000000	87.366150
250.000000	87.357735
254.000000	87.341385
258.000000	87.317551
262.000000	87.330215
265.000000	87.338608
269.000000	87.339081
272.000000	87.339325
276.000000	87.319206
280.000000	87.316750
285.000000	87.322945
290.000000	87.312355
295.000000	87.322769
300.000000	87.401047
304.000000	87.297852
307.000000	87.303864
311.000000	87.309189
315.000000	87.293488
320.000000	87.306175
325.000000	87.307823
330.000000	87.311760
335.000000	87.309517
340.000000	87.318344
345.000000	87.321678
350.000000	87.331329
355.000000	87.343040
360.000000	87.338974
365.000000	87.347755
370.000000	87.339119
375.000000	87.347725
382.000000	87.352638
387.000000	87.359879
395.000000	87.373192
400.000000	87.371681
406.000000	87.376801
412.000000	87.371033
418.000000	87.382767
425.000000	87.371811
431.000000	87.368912
437.000000	87.375443
444.000000	87.376007
450.000000	87.374237
455.000000	87.387253
462.000000	87.407135
468.000000	87.434837
475.000000	87.458046
482.000000	87.460419
487.000000	87.460739
494.000000	87.470192
500.000000	87.475349
508.000000	87.471458
515.000000	87.463348
522.000000	87.466904
530.000000	87.450615
538.000000	87.442299
545.000000	87.459106
552.000000	87.432518
560.000000	87.430878
570.000000	87.422798
580.000000	87.403229
590.000000	87.394073
600.000000	87.426216
608.000000	87.374367
615.000000	87.366455
622.000000	87.353607
630.000000	87.341873
640.000000	87.324333
650.000000	87.312958
660.000000	87.308212
670.000000	87.276321
680.000000	87.262901
690.000000	87.243706
700.000000	87.226669
710.000000	87.222427
720.000000	87.134583
730.000000	87.180649
740.000000	87.162018
750.000000	87.143753
762.000000	87.131821
775.000000	87.102020
788.000000	87.082382
800.000000	87.078667
812.000000	87.055717
825.000000	87.038376
838.000000	86.990921
850.000000	87.003288
862.000000	86.989494
875.000000	86.994644
885.000000	86.990311
900.000000	86.967560
912.000000	87.006477
925.000000	87.044716
938.000000	87.081299
950.000000	87.133499
962.000000	87.195274
975.000000	87.249359
988.000000	87.307800
1000.000000	87.356735
1015.000000	87.433083
1030.000000	87.503128
