* frequency_hz	amplitude
20.299999	106.971222
20.600000	106.964935
20.900000	106.947441
21.200001	106.926140
21.400000	106.911942
21.799999	106.886070
22.000000	106.874680
22.400000	106.853729
22.700001	106.837898
23.000000	106.820663
23.299999	106.801407
23.600000	106.780144
24.000000	106.749664
24.299999	106.726768
24.700001	106.698891
25.000000	106.681366
25.400000	106.662018
25.799999	106.641708
26.200001	106.611809
26.500000	106.580078
26.900000	106.529778
27.200001	106.493683
27.600000	106.460960
28.000000	106.450829
28.500000	106.453377
29.000000	106.437965
29.500000	106.396271
30.000000	106.359047
30.400000	106.346283
30.700001	106.337799
31.100000	106.305084
31.500000	106.230209
32.000000	106.099136
32.500000	106.004028
33.000000	106.008080
33.500000	106.074371
34.000000	106.105095
34.500000	106.054443
35.000000	105.962975
35.500000	105.892998
36.000000	105.858940
36.500000	105.833069
37.000000	105.796486
37.500000	105.756538
38.200001	105.707870
38.700001	105.667366
39.500000	105.587967
40.000000	105.544144
40.599998	105.497215
41.200001	105.445938
41.799999	105.395493
42.500000	105.344429
43.099998	105.292732
43.700001	105.229233
44.400002	105.163269
45.000000	105.119148
45.500000	105.079567
46.200001	105.012154
46.799999	104.955254
47.500000	104.903999
48.200001	104.867897
48.700001	104.849106
49.400002	104.825058
50.000000	104.792007
50.799999	104.723068
51.500000	104.670868
52.200001	104.646545
53.000000	104.615784
53.799999	104.558945
54.500000	104.512718
55.200001	104.468185
56.000000	104.400375
57.000000	104.328995
58.000000	104.266380
59.000000	104.169319
60.000000	104.092796
60.799999	104.038483
61.500000	103.978287
62.200001	103.917297
63.000000	103.856949
64.000000	103.784973
65.000000	103.718025
66.000000	103.653671
67.000000	103.582993
68.000000	103.516296
69.000000	103.455544
70.000000	103.396210
71.000000	103.339767
72.000000	103.280838
73.000000	103.214249
74.000000	103.150970
75.000000	103.088280
76.199997	103.013153
77.500000	102.932327
78.800003	102.848549
80.000000	102.772415
81.199997	102.699539
82.500000	102.620819
83.800003	102.541206
85.000000	102.468735
86.199997	102.400513
87.500000	102.325714
88.500000	102.273781
90.000000	102.192871
91.199997	102.131966
92.500000	102.065605
93.800003	101.999466
95.000000	101.938293
96.199997	101.876015
97.500000	101.810318
98.800003	101.743439
100.000000	101.684029
101.500000	101.608704
103.000000	101.536324
104.400002	101.476341
106.000000	101.405739
107.500000	101.335411
109.000000	101.265686
110.599998	101.185722
112.000000	101.121658
113.800003	101.036400
115.000000	100.983315
117.199997	100.883102
118.000000	100.843864
120.599998	100.739563
122.000000	100.677444
124.099998	100.590286
125.000000	100.556763
126.500000	100.488586
128.000000	100.432343
131.500000	100.295433
132.000000	100.276749
134.000000	100.198959
136.000000	100.123711
138.000000	100.051826
140.000000	99.976578
143.000000	99.874466
145.000000	99.800797
147.500000	99.721237
150.000000	99.630600
152.500000	99.553101
155.000000	99.472832
157.500000	99.393372
160.000000	99.318268
162.500000	99.243195
165.000000	99.170792
167.500000	99.097252
170.000000	99.026199
172.500000	98.958649
175.000000	98.889206
177.500000	98.822037
180.000000	98.769066
182.500000	98.694336
185.000000	98.629051
187.500000	98.568436
190.000000	98.505341
192.500000	98.445274
195.000000	98.386429
197.500000	98.330399
200.000000	98.274719
203.000000	98.205414
206.000000	98.142006
209.000000	98.077087
212.000000	98.019356
214.000000	97.985550
218.000000	97.922531
220.000000	97.896851
224.000000	97.852310
227.000000	97.819351
230.000000	97.787277
233.000000	97.749878
236.000000	97.710876
240.000000	97.633080
243.000000	97.612228
247.000000	97.552864
250.000000	97.507957
254.000000	97.448006
258.000000	97.387428
262.000000	97.331352
265.000000	97.290276
269.000000	97.236786
272.000000	97.196228
276.000000	97.141068
280.000000	97.091583
285.000000	97.029236
290.000000	96.972298
295.000000	96.912529
300.000000	96.860207
304.000000	96.813019
307.000000	96.783478
311.000000	96.739838
315.000000	96.698929
320.000000	96.653015
325.000000	96.606682
330.000000	96.564590
335.000000	96.524483
340.000000	96.492188
345.000000	96.452591
350.000000	96.417725
355.000000	96.385132
360.000000	96.351021
365.000000	96.316833
370.000000	96.283493
375.000000	96.245819
382.000000	96.198669
387.000000	96.166046
395.000000	96.112953
400.000000	96.081886
406.000000	96.045883
412.000000	96.011139
418.000000	95.977753
425.000000	95.935921
431.000000	95.900764
437.000000	95.865448
444.000000	95.826958
450.000000	95.790756
455.000000	95.761810
462.000000	95.717079
468.000000	95.680351
475.000000	95.639282
482.000000	95.592926
487.000000	95.567444
494.000000	95.534096
500.000000	95.507828
508.000000	95.472382
515.000000	95.446167
522.000000	95.428696
530.000000	95.416763
538.000000	95.414978
545.000000	95.407120
552.000000	95.398407
560.000000	95.378159
570.000000	95.350571
580.000000	95.321182
590.000000	95.296494
600.000000	95.271248
608.000000	95.255478
615.000000	95.235153
622.000000	95.217026
630.000000	95.200676
640.000000	95.179985
650.000000	95.158600
660.000000	95.135750
670.000000	95.121628
680.000000	95.103157
690.000000	95.089729
700.000000	95.079422
710.000000	95.069206
720.000000	95.061913
730.000000	95.058189
740.000000	95.054153
750.000000	95.055443
762.000000	95.050400
775.000000	95.049812
788.000000	95.054016
800.000000	95.055229
812.000000	95.068069
825.000000	95.075493
838.000000	95.089149
850.000000	95.107788
862.000000	95.126587
875.000000	95.154305
885.000000	95.174339
900.000000	95.214104
912.000000	95.247101
925.000000	95.283974
938.000000	95.330246
950.000000	95.371811
962.000000	95.418991
975.000000	95.475189
988.000000	95.531815
1000.000000	95.589630
1015.000000	95.662231
1030.000000	95.743065
1044.000000	95.819778
1060.000000	95.913925
1075.000000	96.006187
1090.000000	96.102715
1106.000000	96.208496
1120.000000	96.305489
1138.000000	96.439377
1150.000000	96.527519
1172.000000	96.696388
1180.000000	96.756546
1206.000000	96.955154
1220.000000	97.061852
1241.000000	97.212898
1250.000000	97.275490
1265.000000	97.376900
1280.000000	97.474838
1315.000000	97.683777
1320.000000	97.713020
1340.000000	97.816879
1360.000000	97.912560
1380.000000	98.005020
1400.000000	98.086296
1430.000000	98.201706
1450.000000	98.274254
1475.000000	98.362358
1500.000000	98.448532
1525.000000	98.539856
1550.000000	98.628189
1575.000000	98.711067
1600.000000	98.792404
1625.000000	98.875969
1650.000000	98.967796
1675.000000	99.072067
1700.000000	99.182343
1725.000000	99.299606
1750.000000	99.413986
1775.000000	99.529495
1800.000000	99.645699
1825.000000	99.746811
1850.000000	99.841248
1875.000000	99.928032
1900.000000	100.010536
1925.000000	100.087601
1950.000000	100.162918
1975.000000	100.239502
2000.000000	100.310486
2030.000000	100.399963
2060.000000	100.485374
2090.000000	100.570282
2120.000000	100.653580
2140.000000	100.706085
2180.000000	100.805885
2200.000000	100.851822
2240.000000	100.933678
2270.000000	100.986198
2300.000000	101.032799
2330.000000	101.070168
2360.000000	101.098175
2400.000000	101.126938
2430.000000	101.133781
2470.000000	101.130600
2500.000000	101.120667
2540.000000	101.098190
2580.000000	101.070221
2620.000000	101.040955
2650.000000	101.017738
2690.000000	100.981674
2720.000000	100.950974
2760.000000	100.902184
2800.000000	100.847885
2850.000000	100.771004
2900.000000	100.689293
2950.000000	100.605072
3000.000000	100.526489
3040.000000	100.464050
3070.000000	100.420303
3110.000000	100.365761
3150.000000	100.309395
3200.000000	100.248833
3250.000000	100.192307
3300.000000	100.143883
3350.000000	100.103745
3400.000000	100.076050
3450.000000	100.060966
3500.000000	100.054771
3550.000000	100.051796
3600.000000	100.047157
3650.000000	100.036201
3700.000000	100.018135
3750.000000	99.985214
3820.000000	99.906754
3870.000000	99.822792
3950.000000	99.631821
4000.000000	99.485031
4060.000000	99.288887
4120.000000	99.108795
4180.000000	98.994659
4250.000000	98.970352
4310.000000	99.038002
4370.000000	99.142776
4440.000000	99.259697
4500.000000	99.330078
4550.000000	99.354073
4620.000000	99.337296
4680.000000	99.278412
4750.000000	99.168037
4820.000000	99.026497
4870.000000	98.911240
4940.000000	98.742767
5000.000000	98.603508
5080.000000	98.437332
5150.000000	98.319740
5220.000000	98.228844
5300.000000	98.154961
5380.000000	98.096283
5450.000000	98.044792
5520.000000	97.980270
5600.000000	97.894966
5700.000000	97.755058
5800.000000	97.584503
5900.000000	97.406448
6000.000000	97.232407
6080.000000	97.109016
6150.000000	97.016647
6220.000000	96.946281
6300.000000	96.890869
6400.000000	96.872421
6500.000000	96.906670
6600.000000	97.008949
6700.000000	97.165001
6800.000000	97.388306
6900.000000	97.671814
7000.000000	98.028076
7100.000000	98.454132
7200.000000	98.947800
7300.000000	99.515671
7400.000000	100.134750
7500.000000	100.761894
7620.000000	101.492096
7750.000000	102.255379
7880.000000	102.734833
8000.000000	102.729149
8120.000000	102.316078
8250.000000	101.566223
8380.000000	100.717644
8500.000000	99.952469
8620.000000	99.234352
8750.000000	98.530518
8850.000000	98.041496
9000.000000	97.302979
9120.000000	96.956566
9250.000000	96.742569
9380.000000	96.445381
9500.000000	96.181602
9620.000000	95.886841
9750.000000	95.475357
9880.000000	94.931152
10000.000000	94.311600
10150.000000	93.380501
10300.000000	92.367439
10440.000000	91.393738
10600.000000	90.358162
10750.000000	89.536407
10900.000000	88.903122
11060.000000	88.465439
11200.000000	88.250786
11380.000000	88.201408
11500.000000	88.295219
11720.000000	88.638618
11800.000000	88.796951
12060.000000	89.370590
12200.000000	89.663116
12410.000000	90.106766
12500.000000	90.292519
12650.000000	90.620010
12800.000000	90.918243
13150.000000	91.724091
13200.000000	91.859406
13400.000000	92.458282
13600.000000	93.244827
13800.000000	94.163704
14000.000000	95.245361
14300.000000	97.094948
14500.000000	98.293411
14750.000000	98.882851
15000.000000	98.000366
15250.000000	96.422005
15500.000000	95.178299
15750.000000	94.388893
16000.000000	93.493195
16250.000000	93.157417
16500.000000	91.953018
16750.000000	90.514610
17000.000000	88.911148
17250.000000	88.079857
17500.000000	88.177780
17750.000000	88.816849
18000.000000	89.715477
18250.000000	90.360611
18500.000000	89.836464
18750.000000	88.175850
19000.000000	86.334694
19250.000000	84.136566
19500.000000	81.882446
19750.000000	80.280899
