* frequency_hz	amplitude
20.000000	103.657257
20.299999	103.657974
20.600000	103.652916
20.900000	103.642059
21.200001	103.626663
21.400000	103.615173
21.799999	103.594452
22.000000	103.587219
22.400000	103.580383
22.700001	103.579422
23.000000	103.576988
23.299999	103.568558
23.600000	103.552383
24.000000	103.524307
24.299999	103.507256
24.700001	103.500137
25.000000	103.504112
25.400000	103.504669
25.799999	103.473099
26.200001	103.397881
26.500000	103.324066
26.900000	103.238297
27.200001	103.206894
27.600000	103.220337
28.000000	103.274109
28.500000	103.329308
29.000000	103.318298
29.500000	103.256935
30.000000	103.202652
30.400000	103.186218
30.700001	103.186897
31.100000	103.193085
31.500000	103.193726
32.000000	103.181366
32.500000	103.159592
33.000000	103.134827
33.500000	103.109360
34.000000	103.083023
34.500000	103.054260
35.000000	103.021492
35.500000	102.985283
36.000000	102.947815
36.500000	102.910400
37.000000	102.873810
37.500000	102.839951
38.200001	102.797997
38.700001	102.768517
39.500000	102.721802
40.000000	102.694267
40.599998	102.651741
41.200001	102.595749
41.799999	102.553932
42.500000	102.540878
43.099998	102.514015
43.700001	102.453178
44.400002	102.411896
45.000000	102.410225
45.500000	102.374992
46.200001	102.261902
46.799999	102.205078
47.500000	102.213928
48.200001	102.154320
48.700001	102.062759
49.400002	102.004326
50.000000	102.023880
50.799999	101.972885
51.500000	101.876381
52.200001	101.859238
53.000000	101.845551
53.799999	101.742271
54.500000	101.685493
55.200001	101.679245
56.000000	101.633362
57.000000	101.547791
58.000000	101.512856
59.000000	101.474365
60.000000	101.423935
60.799999	101.359100
61.500000	101.293243
62.200001	101.242668
63.000000	101.204521
64.000000	101.142113
65.000000	101.059448
66.000000	101.003387
67.000000	100.939201
68.000000	100.867203
69.000000	100.813034
70.000000	100.744736
71.000000	100.686333
72.000000	100.632584
73.000000	100.570099
74.000000	100.504211
75.000000	100.441986
76.199997	100.378426
77.500000	100.286629
78.800003	100.220146
80.000000	100.144867
81.199997	100.078568
82.500000	99.998329
