* frequency_hz	amplitude
20.299999	104.086029
20.600000	104.090118
20.900000	104.090645
21.200001	104.091393
21.400000	104.092400
21.799999	104.095596
22.000000	104.097717
22.400000	104.102959
22.700001	104.107346
23.000000	104.111130
23.299999	104.112854
23.600000	104.111107
24.000000	104.102341
24.299999	104.092285
24.700001	104.078415
25.000000	104.070770
25.400000	104.066055
25.799999	104.064957
26.200001	104.061348
26.500000	104.053818
26.900000	104.036919
27.200001	104.021049
27.600000	104.000717
28.000000	103.985527
28.500000	103.974525
29.000000	103.965820
29.500000	103.952477
30.000000	103.933319
30.400000	103.916122
30.700001	103.903366
31.100000	103.886932
31.500000	103.870605
32.000000	103.849396
32.500000	103.827667
33.000000	103.806618
33.500000	103.786041
34.000000	103.764030
34.500000	103.739426
35.000000	103.713539
35.500000	103.688553
36.000000	103.664871
36.500000	103.640793
37.000000	103.614944
37.500000	103.587967
38.200001	103.550987
38.700001	103.525085
39.500000	103.482414
40.000000	103.456062
40.599998	103.425446
41.200001	103.392654
41.799999	103.356163
42.500000	103.316612
43.099998	103.290344
43.700001	103.263191
44.400002	103.218864
45.000000	103.177887
45.500000	103.150139
46.200001	103.113525
46.799999	103.068176
47.500000	103.006111
48.200001	102.964310
48.700001	102.947098
49.400002	102.916664
50.000000	102.879776
50.799999	102.834000
51.500000	102.795883
52.200001	102.748726
53.000000	102.696922
53.799999	102.653130
54.500000	102.610886
55.200001	102.567162
56.000000	102.516434
57.000000	102.454086
58.000000	102.404984
59.000000	102.324226
60.000000	102.253242
60.799999	102.224068
61.500000	102.186188
62.200001	102.141678
63.000000	102.099030
64.000000	102.034470
65.000000	101.967247
66.000000	101.914604
67.000000	101.853317
68.000000	101.791023
69.000000	101.730965
70.000000	101.671677
71.000000	101.614952
72.000000	101.552246
73.000000	101.494423
74.000000	101.439217
75.000000	101.377579
76.199997	101.307297
77.500000	101.231781
78.800003	101.152679
80.000000	101.086281
81.199997	101.019806
82.500000	100.949242
83.800003	100.870728
85.000000	100.805138
86.199997	100.732376
87.500000	100.663315
88.500000	100.607353
90.000000	100.528763
91.199997	100.461792
92.500000	100.387230
93.800003	100.321442
95.000000	100.260757
96.199997	100.198486
97.500000	100.129562
98.800003	100.056664
100.000000	99.997246
101.500000	99.918922
103.000000	99.844627
104.400002	99.773438
106.000000	99.694443
107.500000	99.624802
109.000000	99.545471
110.599998	99.469955
112.000000	99.403641
113.800003	99.315598
115.000000	99.259308
117.199997	99.158463
118.000000	99.121918
120.599998	99.004791
122.000000	98.941727
124.099998	98.845604
125.000000	98.808182
126.500000	98.738998
128.000000	98.676865
131.500000	98.522881
132.000000	98.504623
134.000000	98.419037
136.000000	98.340622
138.000000	98.258507
140.000000	98.172882
143.000000	98.056801
145.000000	97.982285
147.500000	97.884552
150.000000	97.794510
152.500000	97.699860
155.000000	97.608177
157.500000	97.520378
160.000000	97.427612
162.500000	97.347351
165.000000	97.225861
167.500000	97.169403
170.000000	97.083939
172.500000	97.007660
175.000000	96.925056
177.500000	96.852135
180.000000	96.758766
182.500000	96.689262
185.000000	96.614250
187.500000	96.539223
190.000000	96.463402
192.500000	96.398003
195.000000	96.319588
197.500000	96.251770
200.000000	96.183807
203.000000	96.097031
206.000000	96.023102
209.000000	95.936333
212.000000	95.856384
214.000000	95.810005
218.000000	95.711021
220.000000	95.651077
224.000000	95.558769
227.000000	95.477829
230.000000	95.414482
233.000000	95.335022
236.000000	95.274719
240.000000	95.189156
243.000000	95.135635
247.000000	95.070145
250.000000	95.026566
254.000000	94.986107
258.000000	94.931213
262.000000	94.861603
265.000000	94.793045
269.000000	94.723663
272.000000	94.646393
276.000000	94.617233
280.000000	94.526329
285.000000	94.406883
290.000000	94.347046
295.000000	94.269585
300.000000	94.169319
304.000000	94.136856
307.000000	94.071960
311.000000	93.976562
315.000000	93.964188
320.000000	93.917793
325.000000	93.797356
330.000000	93.729332
335.000000	93.664406
340.000000	93.626236
345.000000	93.557831
350.000000	93.477440
355.000000	93.457397
360.000000	93.353867
365.000000	93.295975
370.000000	93.258705
375.000000	93.190933
382.000000	93.137695
387.000000	93.079712
395.000000	92.965401
400.000000	92.915024
406.000000	92.919609
412.000000	92.851212
418.000000	92.757759
425.000000	92.736649
431.000000	92.673439
437.000000	92.600113
444.000000	92.537476
450.000000	92.488136
455.000000	92.457314
462.000000	92.383545
468.000000	92.366791
475.000000	92.326843
482.000000	92.273880
487.000000	92.260597
494.000000	92.201889
500.000000	92.169739
508.000000	92.123299
515.000000	92.096825
522.000000	92.075638
530.000000	92.037537
538.000000	92.010155
545.000000	91.997658
552.000000	91.982140
560.000000	91.968796
570.000000	91.959602
580.000000	91.958992
590.000000	91.960831
600.000000	91.974022
608.000000	91.983429
615.000000	91.994034
622.000000	91.998474
630.000000	92.010605
640.000000	92.025116
650.000000	92.042915
660.000000	92.036377
670.000000	92.061485
680.000000	92.067650
690.000000	92.073853
700.000000	92.078056
710.000000	92.080963
720.000000	92.080528
730.000000	92.078499
740.000000	92.075394
750.000000	92.075333
762.000000	92.070976
775.000000	92.068832
788.000000	92.069626
800.000000	92.068497
812.000000	92.075867
825.000000	92.079834
838.000000	92.092819
850.000000	92.105621
862.000000	92.121300
875.000000	92.147430
885.000000	92.168602
900.000000	92.209267
912.000000	92.245590
925.000000	92.285629
938.000000	92.338768
950.000000	92.391296
962.000000	92.445580
975.000000	92.509430
988.000000	92.579628
1000.000000	92.644394
1015.000000	92.739136
1030.000000	92.829460
1044.000000	92.920029
1060.000000	93.031464
1075.000000	93.132645
1090.000000	93.238022
1106.000000	93.350716
1120.000000	93.449089
1138.000000	93.581459
1150.000000	93.661804
1172.000000	93.816193
1180.000000	93.870201
1206.000000	94.043289
1220.000000	94.128914
1241.000000	94.260429
1250.000000	94.315773
1265.000000	94.398659
1280.000000	94.479568
1315.000000	94.664307
1320.000000	94.690720
1340.000000	94.780350
1360.000000	94.869598
1380.000000	94.959213
1400.000000	95.036781
1430.000000	95.151993
1450.000000	95.222618
1475.000000	95.311211
1500.000000	95.395760
1525.000000	95.481445
1550.000000	95.560707
1575.000000	95.639915
1600.000000	95.718193
1625.000000	95.795311
1650.000000	95.867020
1675.000000	95.941040
1700.000000	96.016045
1725.000000	96.087685
1750.000000	96.161987
1775.000000	96.233078
1800.000000	96.304016
1825.000000	96.377655
1850.000000	96.446083
1875.000000	96.518951
1900.000000	96.585327
1925.000000	96.656158
1950.000000	96.723541
1975.000000	96.788307
2000.000000	96.855225
2030.000000	96.930847
2060.000000	97.007835
2090.000000	97.079750
2120.000000	97.148521
2140.000000	97.193405
2180.000000	97.280006
2200.000000	97.323555
2240.000000	97.399628
2270.000000	97.460609
2300.000000	97.510216
2330.000000	97.560066
2360.000000	97.604591
2400.000000	97.662613
2430.000000	97.700668
2470.000000	97.747948
2500.000000	97.778107
2540.000000	97.811356
2580.000000	97.842514
2620.000000	97.867401
2650.000000	97.889862
2690.000000	97.923447
2720.000000	97.949333
2760.000000	97.987099
2800.000000	98.026840
2850.000000	98.072769
2900.000000	98.111183
2950.000000	98.137886
3000.000000	98.161507
3040.000000	98.177048
3070.000000	98.190369
3110.000000	98.206703
3150.000000	98.220688
3200.000000	98.242607
3250.000000	98.258675
3300.000000	98.280052
3350.000000	98.297668
3400.000000	98.315109
3450.000000	98.334999
3500.000000	98.354706
3550.000000	98.378036
3600.000000	98.400925
3650.000000	98.420532
3700.000000	98.438354
3750.000000	98.450073
3820.000000	98.458817
3870.000000	98.461502
3950.000000	98.465538
4000.000000	98.464897
4060.000000	98.461449
4120.000000	98.447113
4180.000000	98.430855
4250.000000	98.405197
4310.000000	98.386948
4370.000000	98.377258
4440.000000	98.370438
4500.000000	98.365051
4550.000000	98.356003
4620.000000	98.340958
4680.000000	98.322952
4750.000000	98.296402
4820.000000	98.271294
4870.000000	98.250900
4940.000000	98.225449
5000.000000	98.215385
5080.000000	98.205688
5150.000000	98.212982
5220.000000	98.212410
5300.000000	98.202736
5380.000000	98.189262
5450.000000	98.163956
5520.000000	98.147453
5600.000000	98.119514
5700.000000	98.078934
5800.000000	98.037933
5900.000000	98.000092
6000.000000	97.974220
6080.000000	97.965530
6150.000000	97.963142
6220.000000	97.973511
6300.000000	97.993027
6400.000000	98.044800
6500.000000	98.117004
6600.000000	98.228775
6700.000000	98.384888
6800.000000	98.580261
6900.000000	98.814331
7000.000000	99.084839
7100.000000	99.390335
7200.000000	99.740234
7300.000000	100.130295
7400.000000	100.550720
7500.000000	101.007904
7620.000000	101.612686
7750.000000	102.334808
7880.000000	103.019562
8000.000000	103.407310
8120.000000	103.262779
8250.000000	102.406403
8380.000000	101.062973
8500.000000	99.658798
8620.000000	98.226097
8750.000000	96.740898
8850.000000	95.653564
9000.000000	94.154602
9120.000000	93.090294
9250.000000	92.106827
9380.000000	91.379333
9500.000000	91.035278
9620.000000	91.084236
9750.000000	91.525681
9880.000000	92.133133
10000.000000	92.577530
10150.000000	92.860916
10300.000000	92.882996
10440.000000	92.769440
10600.000000	92.607117
10750.000000	92.475227
10900.000000	92.377167
11060.000000	92.332481
11200.000000	92.336929
11380.000000	92.397507
11500.000000	92.457291
11720.000000	92.570755
11800.000000	92.585342
12060.000000	92.534752
12200.000000	92.370499
12410.000000	91.950714
12500.000000	91.721046
12650.000000	91.258049
12800.000000	90.721519
13150.000000	89.451370
13200.000000	89.288651
13400.000000	88.631531
13600.000000	88.105148
13800.000000	87.658699
14000.000000	87.321495
14300.000000	87.037933
14500.000000	87.060188
14750.000000	87.272003
15000.000000	87.544525
15250.000000	88.394470
15500.000000	89.072121
15750.000000	89.248528
16000.000000	88.366875
16250.000000	86.495300
16500.000000	84.179001
16750.000000	81.920876
17000.000000	79.796379
17250.000000	78.010635
17500.000000	76.524170
17750.000000	75.437416
18000.000000	75.205673
18250.000000	73.101387
18500.000000	67.594353
18750.000000	68.441315
19000.000000	68.458427
19250.000000	67.835312
19500.000000	67.006310
19750.000000	64.678131
