* frequency_hz	amplitude
20.299999	103.057961
20.600000	103.072823
20.900000	103.080376
21.200001	103.087982
21.400000	103.094452
21.799999	103.110718
22.000000	103.120026
22.400000	103.139679
22.700001	103.154388
23.000000	103.168686
23.299999	103.182190
23.600000	103.194321
24.000000	103.207054
24.299999	103.213440
24.700001	103.218140
25.000000	103.220078
25.400000	103.222809
25.799999	103.227394
26.200001	103.233795
26.500000	103.238869
26.900000	103.244469
27.200001	103.246994
27.600000	103.247345
28.000000	103.244026
28.500000	103.235565
29.000000	103.226639
29.500000	103.223465
30.000000	103.228653
30.400000	103.234879
30.700001	103.236633
31.100000	103.230721
31.500000	103.214127
32.000000	103.184692
32.500000	103.157700
33.000000	103.140869
33.500000	103.130966
34.000000	103.119728
34.500000	103.103638
35.000000	103.085625
35.500000	103.069199
36.000000	103.053970
36.500000	103.037384
37.000000	103.018661
37.500000	102.999191
38.200001	102.972137
38.700001	102.951469
39.500000	102.914612
40.000000	102.891411
40.599998	102.865204
41.200001	102.839111
41.799999	102.810928
42.500000	102.776543
43.099998	102.748688
43.700001	102.721992
44.400002	102.686768
45.000000	102.649712
45.500000	102.615921
46.200001	102.571114
46.799999	102.538979
47.500000	102.506203
48.200001	102.473122
48.700001	102.448105
49.400002	102.409821
50.000000	102.371567
50.799999	102.315849
51.500000	102.274315
52.200001	102.242249
53.000000	102.203033
53.799999	102.155205
54.500000	102.112663
55.200001	102.069229
56.000000	102.017296
57.000000	101.961472
58.000000	101.908287
59.000000	101.843758
60.000000	101.785591
60.799999	101.738647
61.500000	101.693298
62.200001	101.651291
63.000000	101.608559
64.000000	101.552528
65.000000	101.493820
66.000000	101.430557
67.000000	101.369812
68.000000	101.312134
69.000000	101.252502
70.000000	101.193443
71.000000	101.133484
72.000000	101.078964
73.000000	101.018539
74.000000	100.961647
75.000000	100.904892
76.199997	100.834564
77.500000	100.760345
78.800003	100.687698
80.000000	100.622017
81.199997	100.549141
82.500000	100.477837
83.800003	100.407433
85.000000	100.341393
86.199997	100.276970
87.500000	100.205856
88.500000	100.150650
90.000000	100.072563
91.199997	100.004532
92.500000	99.939720
93.800003	99.868835
95.000000	99.810074
96.199997	99.746597
97.500000	99.678383
98.800003	99.615425
100.000000	99.554939
101.500000	99.481155
103.000000	99.404793
104.400002	99.339447
106.000000	99.262695
107.500000	99.191048
109.000000	99.117867
110.599998	99.047058
112.000000	98.973969
113.800003	98.904358
115.000000	98.839066
117.199997	98.748528
118.000000	98.715157
120.599998	98.581306
122.000000	98.543152
124.099998	98.457466
125.000000	98.416069
126.500000	98.352203
128.000000	98.282364
131.500000	98.143471
132.000000	98.125061
134.000000	98.049858
136.000000	97.969398
138.000000	97.893074
140.000000	97.820381
143.000000	97.709007
145.000000	97.632744
147.500000	97.545471
150.000000	97.458588
152.500000	97.377586
155.000000	97.288376
157.500000	97.205032
160.000000	97.127380
162.500000	97.039558
165.000000	96.966400
167.500000	96.879532
170.000000	96.805176
172.500000	96.734299
175.000000	96.664078
177.500000	96.582199
180.000000	96.517265
182.500000	96.452026
185.000000	96.372528
187.500000	96.311508
190.000000	96.246696
192.500000	96.179123
195.000000	96.120949
197.500000	96.062347
200.000000	95.995865
203.000000	95.925552
206.000000	95.857185
209.000000	95.781769
212.000000	95.721672
214.000000	95.672958
218.000000	95.575813
220.000000	95.544479
224.000000	95.454399
227.000000	95.393463
230.000000	95.337616
233.000000	95.277412
236.000000	95.225304
240.000000	95.150322
243.000000	95.082245
247.000000	95.017334
250.000000	94.955254
254.000000	94.887230
258.000000	94.827599
262.000000	94.760513
265.000000	94.707901
269.000000	94.638535
272.000000	94.595520
276.000000	94.529358
280.000000	94.469551
285.000000	94.403816
290.000000	94.330734
295.000000	94.258331
300.000000	94.187843
304.000000	94.137947
307.000000	94.105667
311.000000	94.053238
315.000000	93.996048
320.000000	93.938553
325.000000	93.867355
330.000000	93.813354
335.000000	93.756210
340.000000	93.687721
345.000000	93.631767
350.000000	93.580093
355.000000	93.530716
360.000000	93.475800
365.000000	93.450523
370.000000	93.434204
375.000000	93.427200
382.000000	93.440796
387.000000	93.442871
395.000000	93.414795
400.000000	93.378990
406.000000	93.336433
412.000000	93.291885
418.000000	93.243874
425.000000	93.190994
431.000000	93.149521
437.000000	93.104553
444.000000	93.061096
450.000000	93.024460
455.000000	92.993866
462.000000	92.951218
468.000000	92.917496
475.000000	92.882141
482.000000	92.842850
487.000000	92.818924
494.000000	92.785210
500.000000	92.757584
508.000000	92.722031
515.000000	92.691299
522.000000	92.667557
530.000000	92.634621
538.000000	92.605782
545.000000	92.582405
552.000000	92.556519
560.000000	92.533310
570.000000	92.498993
580.000000	92.470451
590.000000	92.443451
600.000000	92.424355
608.000000	92.398705
615.000000	92.385162
622.000000	92.371353
630.000000	92.359482
640.000000	92.337021
650.000000	92.322151
660.000000	92.302147
670.000000	92.284172
680.000000	92.278046
690.000000	92.264946
700.000000	92.258789
710.000000	92.251297
720.000000	92.248375
730.000000	92.249321
740.000000	92.253616
750.000000	92.269981
762.000000	92.295898
775.000000	92.317558
788.000000	92.336380
800.000000	92.357300
812.000000	92.374062
825.000000	92.396271
838.000000	92.422050
850.000000	92.447662
862.000000	92.478226
875.000000	92.516342
885.000000	92.552612
900.000000	92.602791
912.000000	92.648308
925.000000	92.704819
938.000000	92.758308
950.000000	92.819633
962.000000	92.881065
975.000000	92.954079
988.000000	93.032822
1000.000000	93.111382
1015.000000	93.211800
1030.000000	93.322250
1044.000000	93.428169
1060.000000	93.570679
1075.000000	93.709595
1090.000000	93.858810
1106.000000	94.034592
1120.000000	94.197113
1138.000000	94.421860
1150.000000	94.571281
1172.000000	94.846230
1180.000000	94.942444
1206.000000	95.229523
1220.000000	95.365227
1241.000000	95.544060
1250.000000	95.611008
1265.000000	95.707893
1280.000000	95.762238
1315.000000	95.778961
1320.000000	95.793983
1340.000000	95.887215
1360.000000	96.038048
1380.000000	96.173409
1400.000000	96.304161
1430.000000	96.476334
1450.000000	96.580902
1475.000000	96.712425
1500.000000	96.834824
1525.000000	96.959396
1550.000000	97.081009
1575.000000	97.205902
1600.000000	97.325432
1625.000000	97.448708
1650.000000	97.569595
1675.000000	97.691727
1700.000000	97.814865
1725.000000	97.936218
1750.000000	98.064308
1775.000000	98.189629
1800.000000	98.313118
1825.000000	98.437424
1850.000000	98.562531
1875.000000	98.684555
1900.000000	98.808823
1925.000000	98.931808
1950.000000	99.053558
