* frequency_hz	amplitude
20.299999	104.875336
20.600000	104.874741
20.900000	104.867004
21.200001	104.856895
21.400000	104.849884
21.799999	104.836433
22.000000	104.830177
22.400000	104.818260
22.700001	104.809067
23.000000	104.798927
23.299999	104.787331
23.600000	104.774239
24.000000	104.755203
24.299999	104.740784
24.700001	104.722755
25.000000	104.710503
25.400000	104.695358
25.799999	104.680054
26.200001	104.663200
26.500000	104.649300
26.900000	104.629501
27.200001	104.614052
27.600000	104.592743
28.000000	104.570351
28.500000	104.540627
29.000000	104.510460
29.500000	104.482147
30.000000	104.455780
30.400000	104.434258
30.700001	104.416817
31.100000	104.391464
31.500000	104.364777
32.000000	104.332069
32.500000	104.301208
33.000000	104.270088
33.500000	104.236153
34.000000	104.199722
34.500000	104.163757
35.000000	104.130569
35.500000	104.099442
36.000000	104.067680
36.500000	104.033325
37.000000	103.996704
37.500000	103.959641
38.200001	103.910217
38.700001	103.876999
39.500000	103.822983
40.000000	103.785912
40.599998	103.738510
41.200001	103.691605
41.799999	103.647423
42.500000	103.596840
43.099998	103.551598
43.700001	103.505501
44.400002	103.452805
45.000000	103.407921
45.500000	103.370186
46.200001	103.317863
46.799999	103.273727
47.500000	103.221245
48.200001	103.168701
48.700001	103.132439
49.400002	103.080803
50.000000	103.034027
50.799999	102.974541
51.500000	102.924591
52.200001	102.864159
53.000000	102.789810
53.799999	102.736397
54.500000	102.698112
55.200001	102.650261
56.000000	102.590248
57.000000	102.516876
58.000000	102.440582
59.000000	102.364899
60.000000	102.286362
60.799999	102.233772
61.500000	102.190689
62.200001	102.141197
63.000000	102.082619
64.000000	102.013542
65.000000	101.940781
66.000000	101.872467
67.000000	101.802948
68.000000	101.728989
69.000000	101.663109
70.000000	101.596977
71.000000	101.529160
72.000000	101.460396
73.000000	101.391747
74.000000	101.326530
75.000000	101.256760
76.199997	101.180992
77.500000	101.096901
78.800003	101.012161
80.000000	100.939812
81.199997	100.866928
82.500000	100.775230
83.800003	100.707031
85.000000	100.632217
86.199997	100.562561
87.500000	100.483215
88.500000	100.424316
90.000000	100.335220
91.199997	100.265999
92.500000	100.194092
93.800003	100.120140
95.000000	100.050575
96.199997	99.984016
97.500000	99.913124
98.800003	99.842339
100.000000	99.777130
101.500000	99.698212
103.000000	99.617851
104.400002	99.545876
106.000000	99.461403
107.500000	99.385727
109.000000	99.311867
110.599998	99.232964
112.000000	99.161369
113.800003	99.077728
115.000000	99.022507
117.199997	98.919159
118.000000	98.880806
120.599998	98.760117
122.000000	98.703842
124.099998	98.610519
125.000000	98.567169
126.500000	98.505089
128.000000	98.442078
131.500000	98.291962
132.000000	98.272919
134.000000	98.185799
136.000000	98.109474
138.000000	98.026588
140.000000	97.944252
143.000000	97.833015
145.000000	97.760979
147.500000	97.668671
150.000000	97.580360
152.500000	97.489624
155.000000	97.405846
157.500000	97.321587
160.000000	97.238663
162.500000	97.160912
165.000000	97.157394
167.500000	97.017517
170.000000	96.955948
172.500000	96.888741
175.000000	96.823837
177.500000	96.769943
180.000000	96.713394
182.500000	96.668167
185.000000	96.614281
187.500000	96.560631
190.000000	96.502968
192.500000	96.442490
195.000000	96.384506
197.500000	96.326790
200.000000	96.266708
203.000000	96.196304
206.000000	96.129425
209.000000	96.061752
212.000000	95.994293
214.000000	95.950500
218.000000	95.870293
220.000000	95.831856
224.000000	95.751877
227.000000	95.693275
230.000000	95.638397
233.000000	95.582184
236.000000	95.530144
240.000000	95.451714
243.000000	95.404175
247.000000	95.334999
250.000000	95.284439
254.000000	95.219193
258.000000	95.155937
262.000000	95.091942
265.000000	95.049835
269.000000	94.989380
272.000000	94.942978
276.000000	94.892334
280.000000	94.836868
285.000000	94.773834
290.000000	94.720428
295.000000	94.669655
300.000000	94.622086
304.000000	94.579544
307.000000	94.552216
311.000000	94.507111
315.000000	94.465912
320.000000	94.410721
325.000000	94.359512
330.000000	94.308838
335.000000	94.262833
340.000000	94.220123
345.000000	94.178772
350.000000	94.143616
355.000000	94.106476
360.000000	94.076630
365.000000	94.044235
370.000000	94.016327
375.000000	93.979713
382.000000	93.931725
387.000000	93.901497
395.000000	93.849091
400.000000	93.814606
406.000000	93.777252
412.000000	93.741806
418.000000	93.705620
425.000000	93.664482
431.000000	93.631424
437.000000	93.600082
444.000000	93.568108
450.000000	93.536926
455.000000	93.515671
462.000000	93.484177
468.000000	93.458885
475.000000	93.431938
482.000000	93.407349
487.000000	93.388885
494.000000	93.363213
500.000000	93.342941
508.000000	93.317673
515.000000	93.293564
522.000000	93.279121
530.000000	93.254921
538.000000	93.233322
545.000000	93.221252
552.000000	93.201004
560.000000	93.184280
570.000000	93.161041
580.000000	93.143425
590.000000	93.129364
600.000000	93.116531
608.000000	93.105186
615.000000	93.098457
622.000000	93.088318
630.000000	93.085175
640.000000	93.077118
650.000000	93.071815
660.000000	93.070404
670.000000	93.063766
680.000000	93.065262
690.000000	93.065742
700.000000	93.072319
710.000000	93.072487
720.000000	93.082291
730.000000	93.085640
740.000000	93.097092
750.000000	93.111877
762.000000	93.123474
775.000000	93.142853
788.000000	93.171432
800.000000	93.191734
812.000000	93.223679
825.000000	93.259445
838.000000	93.297379
850.000000	93.336105
862.000000	93.377960
875.000000	93.425705
885.000000	93.470596
900.000000	93.532455
912.000000	93.594208
925.000000	93.660591
938.000000	93.735359
950.000000	93.806221
962.000000	93.880318
975.000000	93.973801
988.000000	94.071999
1000.000000	94.165695
1015.000000	94.304504
1030.000000	94.451973
1044.000000	94.608406
1060.000000	94.803337
1075.000000	94.994125
1090.000000	95.185989
1106.000000	95.381737
1120.000000	95.551048
1138.000000	95.738762
1150.000000	95.859421
1172.000000	96.063324
1180.000000	96.132385
1206.000000	96.345711
1220.000000	96.458214
1241.000000	96.615967
