* frequency_hz	amplitude
20.299999	102.780869
20.600000	102.779510
20.900000	102.771889
21.200001	102.764084
21.400000	102.760101
21.799999	102.755508
22.000000	102.754486
22.400000	102.753143
22.700001	102.751167
23.000000	102.747665
23.299999	102.742760
23.600000	102.737099
24.000000	102.729607
24.299999	102.724518
24.700001	102.718239
25.000000	102.713432
25.400000	102.706444
25.799999	102.698830
26.200001	102.690918
26.500000	102.684746
26.900000	102.675674
27.200001	102.667824
27.600000	102.655792
28.000000	102.642586
28.500000	102.626114
29.000000	102.610870
29.500000	102.596100
30.000000	102.580276
30.400000	102.566544
30.700001	102.555801
31.100000	102.541321
31.500000	102.527008
32.000000	102.509666
32.500000	102.493011
33.000000	102.476532
33.500000	102.459274
34.000000	102.440483
34.500000	102.420387
35.000000	102.399948
35.500000	102.379959
36.000000	102.360855
36.500000	102.342751
37.000000	102.324905
37.500000	102.305405
38.200001	102.273102
38.700001	102.249313
39.500000	102.219604
40.000000	102.204796
40.599998	102.182892
41.200001	102.154434
41.799999	102.125084
42.500000	102.094109
43.099998	102.066963
43.700001	102.038254
44.400002	102.006920
45.000000	101.981323
45.500000	101.958549
46.200001	101.925339
46.799999	101.898277
47.500000	101.867355
48.200001	101.835999
48.700001	101.814743
49.400002	101.784851
50.000000	101.754593
50.799999	101.709412
51.500000	101.674095
52.200001	101.643188
53.000000	101.604523
53.799999	101.559708
54.500000	101.522316
55.200001	101.491447
56.000000	101.456833
57.000000	101.403076
58.000000	101.347900
59.000000	101.303558
60.000000	101.267601
60.799999	101.222809
61.500000	101.177032
62.200001	101.139008
63.000000	101.097313
64.000000	101.041718
65.000000	100.995522
66.000000	100.938057
67.000000	100.881218
68.000000	100.832153
69.000000	100.779129
70.000000	100.725662
71.000000	100.670441
72.000000	100.613907
73.000000	100.557846
74.000000	100.506088
75.000000	100.454765
76.199997	100.388931
77.500000	100.309052
78.800003	100.241081
80.000000	100.167770
81.199997	100.112991
82.500000	100.033913
83.800003	99.961601
85.000000	99.896133
86.199997	99.829681
87.500000	99.754089
88.500000	99.696892
90.000000	99.612350
91.199997	99.545349
92.500000	99.474861
93.800003	99.401299
95.000000	99.331635
96.199997	99.263351
97.500000	99.190628
98.800003	99.117416
100.000000	99.053146
101.500000	98.965225
103.000000	98.883278
104.400002	98.803780
106.000000	98.715172
107.500000	98.630768
109.000000	98.553772
110.599998	98.461975
112.000000	98.395256
113.800003	98.271103
115.000000	98.227364
117.199997	98.111275
118.000000	98.065369
120.599998	97.965057
122.000000	97.854599
124.099998	97.751793
125.000000	97.707809
126.500000	97.627792
128.000000	97.556541
131.500000	97.385597
132.000000	97.360916
134.000000	97.265076
136.000000	97.169785
138.000000	97.076813
140.000000	96.989769
143.000000	96.851967
145.000000	96.770874
147.500000	96.660736
150.000000	96.559090
152.500000	96.456734
155.000000	96.359177
157.500000	96.266319
160.000000	96.175079
162.500000	96.089600
165.000000	96.006935
167.500000	95.917725
170.000000	95.840691
172.500000	95.761978
175.000000	95.689102
177.500000	95.623306
180.000000	95.540138
182.500000	95.487183
185.000000	95.425865
187.500000	95.367691
190.000000	95.311874
192.500000	95.256142
195.000000	95.211815
197.500000	95.160767
200.000000	95.116188
203.000000	95.067169
206.000000	95.015358
209.000000	94.973068
212.000000	94.929581
214.000000	94.903008
218.000000	94.858902
220.000000	94.837265
224.000000	94.803078
227.000000	94.782913
230.000000	94.763542
233.000000	94.748489
236.000000	94.729919
240.000000	94.689247
243.000000	94.697311
247.000000	94.670555
250.000000	94.652031
254.000000	94.633606
258.000000	94.618271
262.000000	94.605843
265.000000	94.592636
269.000000	94.584686
272.000000	94.580971
276.000000	94.569008
280.000000	94.563202
285.000000	94.552818
290.000000	94.552849
295.000000	94.540581
300.000000	94.535004
304.000000	94.537064
307.000000	94.535286
311.000000	94.534973
315.000000	94.534645
320.000000	94.526848
325.000000	94.528923
330.000000	94.521500
335.000000	94.522049
340.000000	94.520317
345.000000	94.517441
350.000000	94.512756
355.000000	94.508827
360.000000	94.506081
365.000000	94.501907
370.000000	94.495735
375.000000	94.490814
382.000000	94.483223
387.000000	94.479721
395.000000	94.467239
400.000000	94.460304
406.000000	94.446503
412.000000	94.441238
418.000000	94.417114
425.000000	94.413361
431.000000	94.400276
437.000000	94.383263
444.000000	94.361427
450.000000	94.336884
455.000000	94.320328
462.000000	94.295609
468.000000	94.273163
475.000000	94.240883
482.000000	94.206711
487.000000	94.176376
494.000000	94.116676
500.000000	94.047562
508.000000	93.925209
515.000000	93.947113
522.000000	93.978119
530.000000	93.941040
538.000000	93.903084
545.000000	93.891418
552.000000	93.922371
560.000000	94.009689
570.000000	94.105240
580.000000	94.055969
590.000000	93.971451
600.000000	93.882462
608.000000	93.837349
615.000000	93.795570
622.000000	93.759529
630.000000	93.723221
640.000000	93.678894
650.000000	93.638504
660.000000	93.542419
670.000000	93.553535
680.000000	93.515396
690.000000	93.472588
700.000000	93.429749
710.000000	93.384857
720.000000	93.355255
730.000000	93.304787
740.000000	93.261322
750.000000	93.219856
762.000000	93.182899
775.000000	93.134323
788.000000	93.097702
800.000000	93.059990
812.000000	93.025879
825.000000	92.998940
838.000000	92.965912
850.000000	92.944908
862.000000	92.914749
875.000000	92.900620
885.000000	92.886108
900.000000	92.919319
912.000000	92.869171
925.000000	92.874367
938.000000	92.876846
950.000000	92.884827
962.000000	92.886818
975.000000	92.916016
988.000000	92.939438
1000.000000	92.965202
1015.000000	92.999283
1030.000000	93.038124
1044.000000	93.082748
1060.000000	93.138931
1075.000000	93.188103
1090.000000	93.245781
1106.000000	93.306847
1120.000000	93.363075
1138.000000	93.443970
1150.000000	93.481949
1172.000000	93.564926
1180.000000	93.594795
1206.000000	93.695015
1220.000000	93.744194
1241.000000	93.811020
1250.000000	93.836365
1265.000000	93.870941
1280.000000	93.913681
1315.000000	93.990372
1320.000000	93.998672
1340.000000	94.037460
1360.000000	94.063133
1380.000000	94.099960
1400.000000	94.114899
1430.000000	94.155815
1450.000000	94.163467
1475.000000	94.189102
1500.000000	94.205078
1525.000000	94.224503
1550.000000	94.238533
1575.000000	94.258598
1600.000000	94.283264
1625.000000	94.322617
1650.000000	94.361313
1675.000000	94.432892
1700.000000	94.530930
1725.000000	94.649788
1750.000000	94.768356
1775.000000	94.875114
1800.000000	94.964050
1825.000000	95.044678
1850.000000	95.129616
1875.000000	95.216118
1900.000000	95.299973
1925.000000	95.393433
1950.000000	95.493103
1975.000000	95.593994
2000.000000	95.700577
2030.000000	95.840454
2060.000000	95.988388
2090.000000	96.149933
2120.000000	96.321671
2140.000000	96.442017
2180.000000	96.681320
2200.000000	96.799484
2240.000000	97.027161
2270.000000	97.195671
2300.000000	97.368217
2330.000000	97.540474
2360.000000	97.710068
2400.000000	97.922318
2430.000000	98.093933
2470.000000	98.311722
2500.000000	98.470230
2540.000000	98.679459
2580.000000	98.879837
2620.000000	99.060280
2650.000000	99.187447
2690.000000	99.343437
2720.000000	99.449318
2760.000000	99.569771
2800.000000	99.659241
2850.000000	99.726395
2900.000000	99.745430
2950.000000	99.728500
3000.000000	99.717194
3040.000000	99.717339
3070.000000	99.735458
3110.000000	99.774139
3150.000000	99.796997
3200.000000	99.778984
3250.000000	99.710037
3300.000000	99.606712
3350.000000	99.469116
3400.000000	99.317307
3450.000000	99.147530
3500.000000	98.957275
3550.000000	98.753273
3600.000000	98.522171
3650.000000	98.335991
3700.000000	98.161896
3750.000000	98.003998
3820.000000	97.810875
3870.000000	97.709045
