* frequency_hz	amplitude
20.299999	107.421135
20.600000	107.422333
20.900000	107.417664
21.200001	107.413445
21.400000	107.411911
21.799999	107.411125
22.000000	107.411057
22.400000	107.409683
22.700001	107.406685
23.000000	107.402313
23.299999	107.397507
23.600000	107.393219
24.000000	107.389114
24.299999	107.386650
24.700001	107.382133
25.000000	107.376167
25.400000	107.363266
25.799999	107.344963
26.200001	107.323158
26.500000	107.305832
26.900000	107.282234
27.200001	107.264015
27.600000	107.238396
28.000000	107.211563
28.500000	107.179665
29.000000	107.155243
29.500000	107.139801
30.000000	107.127235
30.400000	107.113846
30.700001	107.100388
31.100000	107.078438
31.500000	107.054153
32.000000	107.023262
32.500000	106.991859
33.000000	106.958679
33.500000	106.924622
34.000000	106.892586
34.500000	106.863548
35.000000	106.834862
35.500000	106.803253
36.000000	106.768188
36.500000	106.731819
37.000000	106.696205
37.500000	106.661758
38.200001	106.614273
38.700001	106.580376
39.500000	106.525360
40.000000	106.489662
40.599998	106.445946
41.200001	106.402985
41.799999	106.361115
42.500000	106.311417
43.099998	106.267014
43.700001	106.221825
44.400002	106.168869
45.000000	106.122818
45.500000	106.084198
46.200001	106.031387
46.799999	105.988503
47.500000	105.939560
48.200001	105.887741
48.700001	105.849091
49.400002	105.797005
50.000000	105.754471
50.799999	105.694550
51.500000	105.638550
52.200001	105.582153
53.000000	105.517326
53.799999	105.455589
54.500000	105.402199
55.200001	105.350525
56.000000	105.305893
57.000000	105.230927
58.000000	105.136841
59.000000	105.101074
60.000000	104.993263
60.799999	104.911827
61.500000	104.896454
62.200001	104.861969
63.000000	104.782845
64.000000	104.720802
65.000000	104.657959
66.000000	104.573357
67.000000	104.497833
68.000000	104.432220
69.000000	104.367493
70.000000	104.293777
71.000000	104.225212
72.000000	104.162971
73.000000	104.099533
74.000000	104.025185
75.000000	103.954254
76.199997	103.885124
77.500000	103.801506
78.800003	103.713631
80.000000	103.637428
81.199997	103.563187
82.500000	103.482079
83.800003	103.398071
85.000000	103.328018
86.199997	103.259743
87.500000	103.181206
88.500000	103.122665
90.000000	103.036362
91.199997	102.968842
92.500000	102.892990
93.800003	102.822372
95.000000	102.751129
96.199997	102.687309
97.500000	102.616570
98.800003	102.547104
100.000000	102.486038
101.500000	102.406380
103.000000	102.328285
104.400002	102.259476
106.000000	102.179115
107.500000	102.106834
109.000000	102.034752
110.599998	101.954605
112.000000	101.892570
113.800003	101.800148
115.000000	101.757935
117.199997	101.650375
118.000000	101.591484
120.599998	101.574280
122.000000	101.443756
124.099998	101.355888
125.000000	101.328720
126.500000	101.254890
128.000000	101.199158
131.500000	101.064140
132.000000	101.044334
134.000000	100.960915
136.000000	100.886086
138.000000	100.817787
140.000000	100.746490
143.000000	100.639168
145.000000	100.568329
147.500000	100.490372
150.000000	100.402321
152.500000	100.325638
155.000000	100.247055
157.500000	100.169731
160.000000	100.092514
162.500000	100.014786
165.000000	99.941650
167.500000	99.869995
170.000000	99.797791
172.500000	99.726898
175.000000	99.654861
177.500000	99.581696
180.000000	99.534378
182.500000	99.444374
185.000000	99.370346
187.500000	99.304886
190.000000	99.243309
192.500000	99.169991
195.000000	99.128708
197.500000	99.091026
200.000000	99.096939
203.000000	99.136879
206.000000	99.197998
