* frequency_hz	amplitude
20.299999	101.558167
20.600000	101.574120
20.900000	101.598160
21.200001	101.634422
21.400000	101.663361
21.799999	101.720512
22.000000	101.743744
22.400000	101.773758
22.700001	101.781891
23.000000	101.781685
23.299999	101.777786
23.600000	101.774124
24.000000	101.773766
24.299999	101.778481
24.700001	101.792358
25.000000	101.807266
25.400000	101.827957
25.799999	101.840233
26.200001	101.838013
26.500000	101.829414
26.900000	101.820786
27.200001	101.824936
27.600000	101.848083
28.000000	101.880302
28.500000	101.901672
29.000000	101.882957
29.500000	101.844833
30.000000	101.825653
30.400000	101.831146
30.700001	101.840256
31.100000	101.847115
31.500000	101.841263
32.000000	101.821632
32.500000	101.801453
33.000000	101.785553
33.500000	101.769905
34.000000	101.753120
34.500000	101.738052
35.000000	101.725166
35.500000	101.711716
36.000000	101.695847
36.500000	101.676834
37.000000	101.653755
37.500000	101.629341
38.200001	101.609268
38.700001	101.607239
39.500000	101.583374
40.000000	101.541344
40.599998	101.490952
41.200001	101.467804
41.799999	101.454994
42.500000	101.414848
43.099998	101.369766
43.700001	101.340172
44.400002	101.318123
45.000000	101.292915
45.500000	101.267319
46.200001	101.230049
46.799999	101.197174
47.500000	101.155174
48.200001	101.101883
48.700001	101.058334
49.400002	101.012856
50.000000	100.996552
50.799999	100.968437
51.500000	100.921242
52.200001	100.882408
53.000000	100.843918
53.799999	100.786263
54.500000	100.740532
55.200001	100.700584
56.000000	100.647469
57.000000	100.585526
58.000000	100.511772
59.000000	100.476166
60.000000	100.440361
60.799999	100.360580
61.500000	100.299179
62.200001	100.252663
63.000000	100.196365
64.000000	100.138222
65.000000	100.078072
66.000000	100.010277
67.000000	99.947754
68.000000	99.861298
69.000000	99.790802
70.000000	99.729622
71.000000	99.661598
72.000000	99.622429
73.000000	99.565346
74.000000	99.494507
75.000000	99.428352
76.199997	99.333694
77.500000	99.280533
78.800003	99.170372
80.000000	99.085114
81.199997	99.017395
82.500000	98.920013
83.800003	98.836052
85.000000	98.764557
86.199997	98.674583
87.500000	98.594566
88.500000	98.530861
90.000000	98.440186
91.199997	98.351234
92.500000	98.269562
93.800003	98.195686
95.000000	98.110275
96.199997	98.035088
97.500000	97.953087
98.800003	97.865211
100.000000	97.798660
101.500000	97.703133
103.000000	97.607384
104.400002	97.506027
106.000000	97.421837
107.500000	97.330002
109.000000	97.219467
110.599998	97.125427
112.000000	97.040489
113.800003	96.941994
115.000000	96.856117
117.199997	96.735786
118.000000	96.672096
120.599998	96.524216
122.000000	96.443909
124.099998	96.319969
125.000000	96.268036
126.500000	96.179085
128.000000	96.095413
131.500000	95.889328
132.000000	95.858162
134.000000	95.745110
136.000000	95.628937
