* frequency_hz	amplitude
20.299999	97.332123
20.600000	97.409958
20.900000	97.477402
21.200001	97.540337
21.400000	97.581436
21.799999	97.665016
22.000000	97.708588
22.400000	97.799934
22.700001	97.870956
23.000000	97.941833
23.299999	98.010185
23.600000	98.074173
24.000000	98.151756
24.299999	98.205292
24.700001	98.273331
25.000000	98.323799
25.400000	98.391907
25.799999	98.461380
26.200001	98.531937
26.500000	98.585091
26.900000	98.654915
27.200001	98.705124
27.600000	98.766968
28.000000	98.822098
28.500000	98.884682
29.000000	98.948929
29.500000	99.020836
30.000000	99.096474
30.400000	99.152794
30.700001	99.189865
31.100000	99.232407
31.500000	99.271126
32.000000	99.322906
32.500000	99.383720
33.000000	99.449867
33.500000	99.513000
34.000000	99.567551
34.500000	99.613983
35.000000	99.656219
35.500000	99.697678
36.000000	99.740036
36.500000	99.783264
37.000000	99.825653
37.500000	99.864685
38.200001	99.912796
38.700001	99.946938
39.500000	100.011810
40.000000	100.056633
40.599998	100.104836
41.200001	100.141678
41.799999	100.172073
42.500000	100.210464
43.099998	100.246193
43.700001	100.278084
44.400002	100.310066
45.000000	100.340645
45.500000	100.370148
46.200001	100.409782
46.799999	100.435844
47.500000	100.460831
48.200001	100.486961
48.700001	100.505585
49.400002	100.529259
50.000000	100.549149
50.799999	100.576439
51.500000	100.598167
52.200001	100.618095
53.000000	100.639053
53.799999	100.655869
54.500000	100.671478
55.200001	100.687836
56.000000	100.700043
57.000000	100.716537
58.000000	100.717529
59.000000	100.690025
60.000000	100.717590
60.799999	100.756889
61.500000	100.768753
62.200001	100.768990
63.000000	100.768166
64.000000	100.764694
65.000000	100.762199
66.000000	100.759789
67.000000	100.758492
68.000000	100.751587
69.000000	100.745087
70.000000	100.737305
71.000000	100.721939
72.000000	100.710983
73.000000	100.696655
74.000000	100.676781
75.000000	100.663811
76.199997	100.638077
77.500000	100.616432
78.800003	100.594681
80.000000	100.559380
81.199997	100.525978
82.500000	100.491165
83.800003	100.449669
85.000000	100.418747
86.199997	100.379646
87.500000	100.341057
88.500000	100.301880
90.000000	100.252274
91.199997	100.208374
92.500000	100.152443
93.800003	100.104729
95.000000	100.065750
96.199997	100.013718
97.500000	99.954849
98.800003	99.905495
100.000000	99.847870
101.500000	99.782066
103.000000	99.720375
104.400002	99.647682
106.000000	99.574883
107.500000	99.505585
109.000000	99.413651
110.599998	99.345436
112.000000	99.265701
113.800003	99.153702
115.000000	99.073639
117.199997	98.983345
118.000000	98.941757
120.599998	98.766006
122.000000	98.690338
124.099998	98.571030
125.000000	98.513916
126.500000	98.422050
128.000000	98.319260
131.500000	98.087341
132.000000	98.051132
134.000000	97.925377
136.000000	97.779564
138.000000	97.645912
140.000000	97.503906
143.000000	97.284866
145.000000	97.136810
147.500000	96.948273
150.000000	96.755165
152.500000	96.561447
155.000000	96.374222
157.500000	96.172050
160.000000	95.975220
162.500000	95.793617
165.000000	95.601540
167.500000	95.426033
170.000000	95.247124
172.500000	95.056694
175.000000	94.871246
177.500000	94.752213
180.000000	94.540894
182.500000	94.371071
185.000000	94.186607
187.500000	94.005455
190.000000	93.809280
192.500000	93.605606
195.000000	93.403732
197.500000	93.203293
200.000000	92.997932
203.000000	92.750771
206.000000	92.520859
209.000000	92.280235
212.000000	92.051010
214.000000	91.902916
218.000000	91.599808
220.000000	91.439865
224.000000	91.162445
227.000000	90.938934
230.000000	90.733337
233.000000	90.527649
236.000000	90.344666
240.000000	90.095894
243.000000	89.895584
247.000000	89.686218
250.000000	89.544998
254.000000	89.322617
258.000000	89.151520
262.000000	88.999458
265.000000	88.886093
269.000000	88.837379
272.000000	88.653244
276.000000	88.561165
280.000000	88.485489
285.000000	88.420982
290.000000	88.382065
295.000000	88.348000
300.000000	88.342445
304.000000	88.365936
307.000000	88.367447
311.000000	88.404991
315.000000	88.429901
320.000000	88.496170
325.000000	88.557472
330.000000	88.611664
335.000000	88.704514
340.000000	88.774734
345.000000	88.850151
350.000000	88.938026
355.000000	89.020721
360.000000	89.104034
365.000000	89.187202
370.000000	89.279419
375.000000	89.354782
382.000000	89.471573
387.000000	89.541504
395.000000	89.669258
400.000000	89.748169
406.000000	89.831825
412.000000	89.914825
418.000000	89.985641
425.000000	90.077461
431.000000	90.148453
437.000000	90.208237
444.000000	90.285027
450.000000	90.347946
455.000000	90.391724
462.000000	90.462326
468.000000	90.502686
475.000000	90.562057
482.000000	90.601860
487.000000	90.645935
494.000000	90.695938
500.000000	90.725510
508.000000	90.778305
515.000000	90.809326
522.000000	90.845123
530.000000	90.883461
538.000000	90.922867
545.000000	90.951050
552.000000	90.971527
560.000000	91.002892
570.000000	91.030151
580.000000	91.057526
590.000000	91.078178
600.000000	91.096405
608.000000	91.118347
615.000000	91.132553
622.000000	91.141045
630.000000	91.160721
640.000000	91.170685
650.000000	91.185265
660.000000	91.195862
670.000000	91.207771
680.000000	91.220016
690.000000	91.230293
700.000000	91.239151
710.000000	91.251060
720.000000	91.262833
730.000000	91.271881
740.000000	91.288467
750.000000	91.301865
762.000000	91.312988
775.000000	91.329948
788.000000	91.344849
800.000000	91.358612
812.000000	91.379059
825.000000	91.398636
838.000000	91.416458
850.000000	91.438614
862.000000	91.457077
875.000000	91.487480
885.000000	91.512589
900.000000	91.585129
912.000000	91.673996
925.000000	91.785065
938.000000	91.876007
950.000000	91.945152
962.000000	92.004463
975.000000	92.060356
988.000000	92.110931
1000.000000	92.159195
1015.000000	92.251877
1030.000000	92.380936
1044.000000	92.517403
1060.000000	92.660950
1075.000000	92.791702
1090.000000	92.917122
1106.000000	93.057266
1120.000000	93.169914
1138.000000	93.316437
1150.000000	93.412071
1172.000000	93.580589
1180.000000	93.640953
1206.000000	93.835762
1220.000000	93.931877
1241.000000	94.075905
1250.000000	94.129913
1265.000000	94.229996
1280.000000	94.319763
1315.000000	94.520721
1320.000000	94.546860
1340.000000	94.656700
1360.000000	94.752121
1380.000000	94.854858
1400.000000	94.942108
1430.000000	95.078995
1450.000000	95.165398
1475.000000	95.270546
1500.000000	95.372993
1525.000000	95.476044
1550.000000	95.580925
1575.000000	95.697548
1600.000000	95.829330
1625.000000	95.981911
1650.000000	96.145439
1675.000000	96.303398
1700.000000	96.449348
1725.000000	96.581398
1750.000000	96.715340
1775.000000	96.842903
1800.000000	96.974777
1825.000000	97.109428
1850.000000	97.245209
1875.000000	97.385048
1900.000000	97.526466
1925.000000	97.675217
1950.000000	97.821068
1975.000000	97.971191
2000.000000	98.127640
2030.000000	98.314499
2060.000000	98.506729
2090.000000	98.700569
2120.000000	98.892815
2140.000000	99.023773
2180.000000	99.283585
2200.000000	99.414261
2240.000000	99.689034
2270.000000	99.898979
2300.000000	100.099174
2330.000000	100.295036
2360.000000	100.477562
2400.000000	100.722038
2430.000000	100.904602
2470.000000	101.155655
2500.000000	101.346146
2540.000000	101.581673
2580.000000	101.785347
2620.000000	101.953766
2650.000000	102.055901
2690.000000	102.169418
2720.000000	102.235428
2760.000000	102.298615
2800.000000	102.337173
2850.000000	102.355286
2900.000000	102.338631
2950.000000	102.294640
3000.000000	102.235146
3040.000000	102.191711
3070.000000	102.168457
3110.000000	102.162270
3150.000000	102.187607
3200.000000	102.237808
3250.000000	102.276871
3300.000000	102.286636
3350.000000	102.270950
3400.000000	102.244080
