* frequency_hz	amplitude
20.000000	98.795868
20.299999	98.711891
20.600000	98.653778
20.900000	98.644424
21.200001	98.685822
21.400000	98.731766
21.799999	98.824791
22.000000	98.855194
22.400000	98.866409
22.700001	98.834305
23.000000	98.784836
23.299999	98.737915
23.600000	98.708748
24.000000	98.703423
24.299999	98.713257
24.700001	98.720337
25.000000	98.709106
25.400000	98.670715
25.799999	98.622894
26.200001	98.590218
26.500000	98.583984
26.900000	98.593941
27.200001	98.603607
27.600000	98.600769
28.000000	98.572815
28.500000	98.520927
29.000000	98.489899
29.500000	98.488068
30.000000	98.476273
30.400000	98.436874
30.700001	98.393372
31.100000	98.336868
31.500000	98.305374
32.000000	98.303947
32.500000	98.305435
33.000000	98.271904
33.500000	98.215500
34.000000	98.178894
34.500000	98.177757
35.000000	98.182724
35.500000	98.157135
36.000000	98.094078
36.500000	98.017540
37.000000	97.958595
37.500000	97.929047
38.200001	97.903976
38.700001	97.868759
39.500000	97.799057
40.000000	97.781898
40.599998	97.785789
41.200001	97.776825
41.799999	97.738480
42.500000	97.674126
43.099998	97.608681
43.700001	97.537262
44.400002	97.467224
45.000000	97.418884
45.500000	97.377068
46.200001	97.321487
46.799999	97.288620
47.500000	97.263397
48.200001	97.242683
48.700001	97.215149
49.400002	97.129105
50.000000	97.055527
50.799999	97.084610
51.500000	97.135223
52.200001	97.049240
53.000000	96.916550
53.799999	96.910767
54.500000	96.883736
55.200001	96.776031
56.000000	96.637436
57.000000	96.573639
58.000000	96.520386
59.000000	96.226990
60.000000	96.197594
60.799999	96.332230
61.500000	96.341492
62.200001	96.317543
63.000000	96.295403
64.000000	96.232643
65.000000	96.196098
66.000000	96.081314
67.000000	95.981682
68.000000	95.945274
69.000000	95.889984
70.000000	95.811569
71.000000	95.742836
72.000000	95.644623
73.000000	95.575302
74.000000	95.547134
75.000000	95.448463
76.199997	95.398056
77.500000	95.352249
78.800003	95.259392
80.000000	95.140053
81.199997	95.096237
82.500000	95.003624
83.800003	94.949944
85.000000	94.867462
86.199997	94.807861
87.500000	94.739632
88.500000	94.653236
90.000000	94.548637
91.199997	94.544907
92.500000	94.439613
93.800003	94.379761
95.000000	94.303535
96.199997	94.232559
97.500000	94.175873
98.800003	94.117599
100.000000	94.036034
101.500000	93.991615
103.000000	93.887024
104.400002	93.830299
106.000000	93.716576
107.500000	93.673180
109.000000	93.568672
110.599998	93.498718
112.000000	93.455551
113.800003	93.361046
115.000000	93.347633
117.199997	93.229652
118.000000	93.205261
120.599998	93.117676
122.000000	93.028458
124.099998	92.955193
125.000000	92.912048
126.500000	92.860748
128.000000	92.818336
131.500000	92.709473
132.000000	92.686874
134.000000	92.599258
136.000000	92.526756
138.000000	92.462532
140.000000	92.382942
143.000000	92.303253
145.000000	92.239197
147.500000	92.144928
150.000000	92.076942
152.500000	92.022369
155.000000	91.973526
157.500000	91.890579
160.000000	91.845070
162.500000	91.793518
165.000000	91.710922
167.500000	91.647522
170.000000	91.617882
172.500000	91.554710
175.000000	91.525841
177.500000	91.472252
180.000000	91.453377
182.500000	91.419502
185.000000	91.365898
187.500000	91.327225
190.000000	91.279182
192.500000	91.234100
195.000000	91.217010
197.500000	91.179405
200.000000	91.137032
203.000000	91.112778
206.000000	91.091171
209.000000	91.061554
212.000000	91.019394
214.000000	90.999352
218.000000	90.981888
220.000000	90.976761
224.000000	90.946648
227.000000	90.936859
230.000000	90.903778
233.000000	90.903389
236.000000	90.871201
240.000000	90.852371
243.000000	90.835281
247.000000	90.822731
250.000000	90.822685
254.000000	90.812790
258.000000	90.803131
262.000000	90.799980
265.000000	90.809967
269.000000	90.806427
272.000000	90.814995
276.000000	90.817169
280.000000	90.819885
285.000000	90.826500
290.000000	90.813698
295.000000	90.803703
300.000000	90.802956
304.000000	90.810722
307.000000	90.808945
311.000000	90.802528
315.000000	90.796364
320.000000	90.801506
325.000000	90.810036
330.000000	90.811279
335.000000	90.807632
340.000000	90.809891
345.000000	90.806007
350.000000	90.800484
355.000000	90.802361
360.000000	90.799385
365.000000	90.799782
370.000000	90.794724
375.000000	90.793686
382.000000	90.788940
387.000000	90.786850
395.000000	90.785568
400.000000	90.781197
406.000000	90.783157
412.000000	90.779694
418.000000	90.781815
425.000000	90.783524
431.000000	90.779022
437.000000	90.776062
444.000000	90.771706
450.000000	90.761246
455.000000	90.766815
462.000000	90.759621
468.000000	90.753975
475.000000	90.745003
482.000000	90.734314
487.000000	90.731018
494.000000	90.731155
500.000000	90.732162
508.000000	90.722534
515.000000	90.721069
522.000000	90.716965
530.000000	90.710655
538.000000	90.706261
545.000000	90.705696
552.000000	90.704582
560.000000	90.684753
570.000000	90.673416
580.000000	90.664978
590.000000	90.659599
600.000000	90.649071
608.000000	90.640053
615.000000	90.639366
622.000000	90.636398
630.000000	90.635933
640.000000	90.629570
650.000000	90.622421
660.000000	90.628464
670.000000	90.618011
680.000000	90.621506
690.000000	90.620064
700.000000	90.624985
710.000000	90.629196
720.000000	90.631943
730.000000	90.632561
740.000000	90.636177
750.000000	90.647369
762.000000	90.650505
775.000000	90.664169
788.000000	90.675896
800.000000	90.693550
812.000000	90.703720
825.000000	90.732552
838.000000	90.756355
850.000000	90.778839
862.000000	90.812790
875.000000	90.851685
885.000000	90.892204
900.000000	90.950241
912.000000	90.991669
925.000000	91.048462
938.000000	91.108643
950.000000	91.166962
962.000000	91.243385
975.000000	91.321960
988.000000	91.399399
1000.000000	91.488968
1015.000000	91.575996
1030.000000	91.685043
1044.000000	91.789055
1060.000000	91.912918
1075.000000	92.029236
1090.000000	92.154388
1106.000000	92.289749
1120.000000	92.401718
1138.000000	92.546921
1150.000000	92.640190
1172.000000	92.807236
1180.000000	92.865074
1206.000000	93.047691
1220.000000	93.137398
1241.000000	93.273346
1250.000000	93.330574
1265.000000	93.414528
1280.000000	93.502121
1315.000000	93.680962
1320.000000	93.704277
1340.000000	93.795952
1360.000000	93.881264
1380.000000	93.966866
1400.000000	94.041870
1430.000000	94.146828
1450.000000	94.208824
1475.000000	94.296364
1500.000000	94.380875
1525.000000	94.451508
1550.000000	94.524895
1575.000000	94.604385
1600.000000	94.672676
1625.000000	94.747757
1650.000000	94.822510
1675.000000	94.904510
1700.000000	94.986534
1725.000000	95.064049
1750.000000	95.150055
1775.000000	95.238342
1800.000000	95.332268
1825.000000	95.422600
1850.000000	95.518738
1875.000000	95.617355
1900.000000	95.720093
1925.000000	95.824875
1950.000000	95.935593
1975.000000	96.042946
2000.000000	96.164658
2030.000000	96.290367
2060.000000	96.422859
2090.000000	96.560211
2120.000000	96.690750
2140.000000	96.778183
2180.000000	96.949516
2200.000000	97.029594
2240.000000	97.181038
2270.000000	97.283875
2300.000000	97.376129
2330.000000	97.453201
2360.000000	97.517097
2400.000000	97.582092
2430.000000	97.611481
2470.000000	97.631729
2500.000000	97.630051
2540.000000	97.617706
2580.000000	97.587402
2620.000000	97.549576
2650.000000	97.516525
2690.000000	97.479759
2720.000000	97.449699
2760.000000	97.417320
2800.000000	97.390366
2850.000000	97.378296
2900.000000	97.378883
2950.000000	97.389824
3000.000000	97.418709
3040.000000	97.436234
3070.000000	97.460159
3110.000000	97.484543
3150.000000	97.515190
3200.000000	97.554047
3250.000000	97.588821
3300.000000	97.621964
3350.000000	97.652466
3400.000000	97.679619
3450.000000	97.698631
3500.000000	97.714600
3550.000000	97.715408
3600.000000	97.710655
3650.000000	97.697433
3700.000000	97.677963
3750.000000	97.650116
3820.000000	97.590858
3870.000000	97.540833
3950.000000	97.432877
4000.000000	97.314865
4060.000000	97.233231
4120.000000	97.100143
4180.000000	96.952614
4250.000000	96.768860
4310.000000	96.590317
4370.000000	96.414536
4440.000000	96.219093
4500.000000	96.070648
4550.000000	95.961891
4620.000000	95.843338
4680.000000	95.774017
4750.000000	95.719185
4820.000000	95.680069
4870.000000	95.653763
4940.000000	95.608612
5000.000000	95.560738
5080.000000	95.463684
5150.000000	95.359543
5220.000000	95.238678
5300.000000	95.081223
5380.000000	94.907471
5450.000000	94.751122
5520.000000	94.594727
5600.000000	94.411285
5700.000000	94.187241
5800.000000	93.979019
5900.000000	93.783783
6000.000000	93.593109
6080.000000	93.486748
6150.000000	93.397781
6220.000000	93.329765
6300.000000	93.252907
6400.000000	93.210732
6500.000000	93.200401
6600.000000	93.233917
6700.000000	93.313614
6800.000000	93.452339
6900.000000	93.643578
7000.000000	93.886772
7100.000000	94.200233
7200.000000	94.584808
7300.000000	95.032410
7400.000000	95.527267
7500.000000	96.071175
7620.000000	96.743835
7750.000000	97.448624
7880.000000	98.010605
8000.000000	98.282791
8120.000000	98.286446
8250.000000	97.993332
8380.000000	97.512978
8500.000000	96.980232
8620.000000	96.417282
8750.000000	95.794548
8850.000000	95.346924
9000.000000	94.724258
9120.000000	94.311493
9250.000000	93.895050
9380.000000	93.554710
9500.000000	93.268433
9620.000000	93.011124
9750.000000	92.766174
9880.000000	92.536308
10000.000000	92.404099
10150.000000	92.154106
10300.000000	92.010178
10440.000000	91.893784
10600.000000	91.847099
10750.000000	91.855804
10900.000000	91.888428
11060.000000	91.938530
11200.000000	91.931740
11380.000000	91.878967
11500.000000	91.997139
11720.000000	92.126663
11800.000000	92.131256
12060.000000	91.899231
12200.000000	91.662369
12410.000000	91.116066
12500.000000	90.838509
12650.000000	90.293480
12800.000000	89.704590
13150.000000	88.315056
13200.000000	88.122620
13400.000000	87.449905
13600.000000	86.906448
13800.000000	86.427696
14000.000000	86.038048
14300.000000	85.712234
14500.000000	85.703354
14750.000000	85.910477
15000.000000	86.276428
15250.000000	86.595078
15500.000000	86.625076
15750.000000	85.949631
16000.000000	84.244553
16250.000000	82.130814
16500.000000	81.234474
16750.000000	80.872971
17000.000000	80.420128
17250.000000	79.991699
17500.000000	79.730690
17750.000000	79.847633
18000.000000	80.034027
18250.000000	80.381744
18500.000000	80.630066
18750.000000	79.685555
19000.000000	78.678108
19250.000000	77.876175
19500.000000	77.323242
19750.000000	76.327316
