* frequency_hz	amplitude
20.299999	107.782654
20.600000	107.763832
20.900000	107.738197
21.200001	107.711266
21.400000	107.693413
21.799999	107.657684
22.000000	107.639542
22.400000	107.602554
22.700001	107.574928
23.000000	107.548523
23.299999	107.524055
23.600000	107.501434
24.000000	107.472084
24.299999	107.448570
24.700001	107.413116
25.000000	107.383705
25.400000	107.343033
25.799999	107.303856
26.200001	107.267189
26.500000	107.240227
26.900000	107.202621
27.200001	107.172295
27.600000	107.130020
28.000000	107.088348
28.500000	107.040474
29.000000	106.996010
29.500000	106.950409
30.000000	106.901924
30.400000	106.862724
30.700001	106.833855
31.100000	106.795624
31.500000	106.756012
32.000000	106.703438
32.500000	106.650871
33.000000	106.603951
33.500000	106.562546
34.000000	106.519249
34.500000	106.467682
35.000000	106.409805
35.500000	106.353325
36.000000	106.303291
36.500000	106.257843
37.000000	106.212059
37.500000	106.163780
38.200001	106.095139
38.700001	106.047401
39.500000	105.971848
40.000000	105.924080
40.599998	105.866730
41.200001	105.810226
41.799999	105.754646
42.500000	105.689590
43.099998	105.632462
43.700001	105.575768
44.400002	105.513809
45.000000	105.461823
45.500000	105.415222
46.200001	105.346313
46.799999	105.291985
47.500000	105.236191
48.200001	105.176163
48.700001	105.127396
49.400002	105.059334
50.000000	105.006653
50.799999	104.939964
51.500000	104.882721
52.200001	104.829544
53.000000	104.767410
53.799999	104.700958
54.500000	104.648651
55.200001	104.593964
56.000000	104.516815
57.000000	104.447754
58.000000	104.383499
59.000000	104.284416
60.000000	104.236694
60.799999	104.161743
61.500000	104.080490
62.200001	104.041733
63.000000	104.003830
64.000000	103.909927
65.000000	103.844688
66.000000	103.778427
67.000000	103.714783
68.000000	103.642891
69.000000	103.573502
70.000000	103.514084
71.000000	103.440887
72.000000	103.379601
73.000000	103.317856
74.000000	103.248894
75.000000	103.190842
76.199997	103.122581
77.500000	103.037552
78.800003	102.965355
80.000000	102.889488
81.199997	102.822067
82.500000	102.749435
83.800003	102.680824
85.000000	102.614975
86.199997	102.549011
87.500000	102.479530
88.500000	102.431229
90.000000	102.352905
91.199997	102.292351
92.500000	102.233185
93.800003	102.165756
95.000000	102.114677
96.199997	102.057289
97.500000	101.984970
98.800003	101.928429
100.000000	101.882896
101.500000	101.816147
103.000000	101.750664
104.400002	101.688034
106.000000	101.626854
107.500000	101.563751
109.000000	101.508423
110.599998	101.443474
112.000000	101.392441
113.800003	101.320374
115.000000	101.277756
117.199997	101.200287
118.000000	101.159897
120.599998	101.095764
122.000000	101.048721
124.099998	100.968376
125.000000	100.945839
126.500000	100.893929
128.000000	100.851486
131.500000	100.743057
132.000000	100.730209
134.000000	100.674751
136.000000	100.615662
138.000000	100.563934
140.000000	100.512924
143.000000	100.444351
145.000000	100.392609
147.500000	100.332214
150.000000	100.277069
152.500000	100.225380
155.000000	100.171295
157.500000	100.122818
160.000000	100.072067
162.500000	100.023590
165.000000	99.982315
167.500000	99.935234
170.000000	99.896538
172.500000	99.856812
175.000000	99.817482
177.500000	99.780205
180.000000	99.739151
182.500000	99.716385
185.000000	99.680916
187.500000	99.652321
190.000000	99.621582
192.500000	99.590279
195.000000	99.563385
197.500000	99.549614
200.000000	99.510712
203.000000	99.490356
206.000000	99.461304
209.000000	99.436508
212.000000	99.414810
214.000000	99.398102
218.000000	99.372917
220.000000	99.360184
224.000000	99.335999
227.000000	99.321487
230.000000	99.302811
233.000000	99.293037
236.000000	99.275253
240.000000	99.200912
243.000000	99.245392
247.000000	99.227226
250.000000	99.220459
254.000000	99.210938
258.000000	99.191505
262.000000	99.183563
265.000000	99.175087
269.000000	99.164902
272.000000	99.148865
276.000000	99.148193
280.000000	99.141953
285.000000	99.129478
290.000000	99.115822
295.000000	99.103409
300.000000	99.052193
304.000000	99.084641
307.000000	99.076385
311.000000	99.066650
315.000000	99.057190
320.000000	99.044144
325.000000	99.031090
330.000000	99.018257
335.000000	98.999924
340.000000	98.987007
345.000000	98.970154
350.000000	98.959023
355.000000	98.945702
360.000000	98.930305
365.000000	98.919777
370.000000	98.913246
375.000000	98.898056
382.000000	98.884415
387.000000	98.875458
395.000000	98.858078
400.000000	98.849525
406.000000	98.827423
412.000000	98.812088
418.000000	98.796234
425.000000	98.774628
431.000000	98.747131
437.000000	98.727234
444.000000	98.698120
450.000000	98.675308
455.000000	98.657043
462.000000	98.625977
468.000000	98.600113
475.000000	98.573799
482.000000	98.548813
487.000000	98.520683
494.000000	98.498489
500.000000	98.474014
508.000000	98.439209
515.000000	98.415352
522.000000	98.387146
530.000000	98.359123
538.000000	98.331093
545.000000	98.309959
552.000000	98.287903
560.000000	98.255379
570.000000	98.226654
580.000000	98.196526
590.000000	98.170395
600.000000	98.151512
608.000000	98.120140
615.000000	98.106071
622.000000	98.088409
630.000000	98.074982
640.000000	98.054657
650.000000	98.040054
660.000000	97.996315
670.000000	98.009903
680.000000	97.995964
690.000000	97.989342
700.000000	97.980469
710.000000	97.977547
720.000000	97.978745
730.000000	97.976303
740.000000	97.973953
750.000000	97.979164
762.000000	97.987061
775.000000	97.998795
788.000000	98.014290
800.000000	98.031021
812.000000	98.057846
825.000000	98.085121
838.000000	98.115929
850.000000	98.153282
862.000000	98.190834
875.000000	98.236153
885.000000	98.276558
900.000000	98.352577
912.000000	98.393684
925.000000	98.456749
938.000000	98.527390
950.000000	98.596169
962.000000	98.669472
975.000000	98.754204
988.000000	98.843552
1000.000000	98.928413
1015.000000	99.042671
1030.000000	99.157684
1044.000000	99.272003
1060.000000	99.404480
1075.000000	99.534767
1090.000000	99.661720
1106.000000	99.798470
1120.000000	99.918510
1138.000000	100.074295
1150.000000	100.176117
1172.000000	100.360565
1180.000000	100.423676
1206.000000	100.627167
1220.000000	100.733643
1241.000000	100.884964
1250.000000	100.946060
1265.000000	101.048172
1280.000000	101.144096
1315.000000	101.355766
1320.000000	101.390282
1340.000000	101.494461
1360.000000	101.600128
1380.000000	101.704300
1400.000000	101.796066
1430.000000	101.931702
1450.000000	102.016167
1475.000000	102.118889
1500.000000	102.217674
1525.000000	102.305084
1550.000000	102.392853
1575.000000	102.474632
1600.000000	102.554947
1625.000000	102.631424
1650.000000	102.704765
1675.000000	102.777451
1700.000000	102.843399
1725.000000	102.912949
1750.000000	102.981598
1775.000000	103.051605
1800.000000	103.124771
1825.000000	103.196907
1850.000000	103.271011
1875.000000	103.352745
1900.000000	103.438065
1925.000000	103.528397
1950.000000	103.623611
1975.000000	103.721298
2000.000000	103.827271
2030.000000	103.960106
2060.000000	104.094238
2090.000000	104.237862
2120.000000	104.383217
2140.000000	104.479980
2180.000000	104.676041
2200.000000	104.775352
2240.000000	104.963089
2270.000000	105.100182
2300.000000	105.231201
2330.000000	105.353386
2360.000000	105.467285
2400.000000	105.606018
2430.000000	105.694435
2470.000000	105.796036
2500.000000	105.861023
2540.000000	105.928696
2580.000000	105.976852
2620.000000	106.005188
2650.000000	106.019188
2690.000000	106.020500
2720.000000	106.014359
2760.000000	105.997955
2800.000000	105.971085
2850.000000	105.927307
2900.000000	105.880608
2950.000000	105.827278
3000.000000	105.776840
3040.000000	105.736786
3070.000000	105.711380
3110.000000	105.675682
3150.000000	105.647522
3200.000000	105.617592
3250.000000	105.595009
3300.000000	105.581245
3350.000000	105.574997
3400.000000	105.577209
3450.000000	105.586372
3500.000000	105.604752
3550.000000	105.627548
3600.000000	105.656403
3650.000000	105.689079
3700.000000	105.724907
3750.000000	105.764549
3820.000000	105.815674
3870.000000	105.848549
3950.000000	105.891113
4000.000000	105.903473
4060.000000	105.899292
4120.000000	105.867775
4180.000000	105.800262
4250.000000	105.665588
4310.000000	105.504730
4370.000000	105.306496
4440.000000	105.051079
4500.000000	104.834244
4550.000000	104.671097
4620.000000	104.484726
4680.000000	104.362801
4750.000000	104.257614
4820.000000	104.168892
4870.000000	104.111069
4940.000000	104.021027
5000.000000	103.929291
5080.000000	103.782402
5150.000000	103.622398
5220.000000	103.442505
5300.000000	103.212311
5380.000000	102.958534
5450.000000	102.722267
5520.000000	102.481842
5600.000000	102.192017
5700.000000	101.842499
5800.000000	101.492477
5900.000000	101.158295
6000.000000	100.846893
6080.000000	100.626892
6150.000000	100.460617
6220.000000	100.313980
6300.000000	100.175644
6400.000000	100.053925
6500.000000	99.981209
6600.000000	99.966438
6700.000000	99.999756
6800.000000	100.088722
6900.000000	100.243805
7000.000000	100.463043
7100.000000	100.754021
7200.000000	101.125839
7300.000000	101.574760
7400.000000	102.103073
7500.000000	102.697273
7620.000000	103.491409
7750.000000	104.357841
7880.000000	105.036774
8000.000000	105.258186
8120.000000	104.906967
8250.000000	103.958794
8380.000000	102.688126
8500.000000	101.434921
8620.000000	100.186691
8750.000000	98.879379
8850.000000	97.927490
9000.000000	96.602211
9120.000000	95.647285
9250.000000	94.725616
9380.000000	93.927818
9500.000000	93.242744
9620.000000	92.591545
9750.000000	91.957016
9880.000000	91.435799
10000.000000	91.034286
10150.000000	90.625664
10300.000000	90.302177
10440.000000	90.088333
10600.000000	89.956474
10750.000000	89.890511
10900.000000	89.936447
11060.000000	90.010376
11200.000000	90.130554
11380.000000	90.413040
11500.000000	90.655464
11720.000000	91.187088
11800.000000	91.445320
12060.000000	92.396240
12200.000000	93.006691
12410.000000	94.139977
12500.000000	94.717972
12650.000000	95.786789
12800.000000	97.026161
13150.000000	100.410698
13200.000000	100.867645
13400.000000	102.037399
13600.000000	101.474426
13800.000000	99.767815
14000.000000	97.943695
14300.000000	95.850296
14500.000000	94.928307
14750.000000	94.238647
15000.000000	93.936508
15250.000000	94.055168
15500.000000	94.449722
15750.000000	94.995422
16000.000000	95.415939
16250.000000	95.308258
16500.000000	94.457428
16750.000000	93.063202
17000.000000	91.551376
17250.000000	90.117783
17500.000000	88.840073
17750.000000	87.778275
18000.000000	86.845055
18250.000000	86.045235
18500.000000	85.453278
18750.000000	84.905464
19000.000000	84.475204
19250.000000	83.817963
19500.000000	82.631180
19750.000000	80.297455
