* frequency_hz	amplitude
20.000000	98.507172
20.299999	98.477966
20.600000	98.452896
20.900000	98.431702
21.200001	98.418480
21.400000	98.419968
21.799999	98.465622
22.000000	98.513039
22.400000	98.643616
22.700001	98.744202
23.000000	98.819695
23.299999	98.855331
23.600000	98.853020
24.000000	98.824829
24.299999	98.818085
24.700001	98.857407
25.000000	98.915215
25.400000	98.993881
25.799999	99.034454
26.200001	99.030495
26.500000	99.015564
26.900000	99.009933
27.200001	99.026718
27.600000	99.067673
28.000000	99.106339
28.500000	99.127625
29.000000	99.139137
29.500000	99.180664
30.000000	99.254112
30.400000	99.307129
30.700001	99.327560
31.100000	99.323502
31.500000	99.297424
32.000000	99.272469
32.500000	99.282089
33.000000	99.309258
33.500000	99.321068
34.000000	99.313828
34.500000	99.314247
35.000000	99.338234
35.500000	99.365479
36.000000	99.366470
36.500000	99.343414
37.000000	99.329330
37.500000	99.346115
38.200001	99.385239
38.700001	99.385178
39.500000	99.343788
40.000000	99.331696
40.599998	99.350143
41.200001	99.381348
41.799999	99.394920
42.500000	99.381287
43.099998	99.365700
43.700001	99.360329
44.400002	99.355568
45.000000	99.346336
45.500000	99.343674
46.200001	99.352921
46.799999	99.353897
47.500000	99.331406
48.200001	99.317825
48.700001	99.332596
49.400002	99.362328
50.000000	99.360939
50.799999	99.321068
51.500000	99.285934
52.200001	99.259850
53.000000	99.234589
53.799999	99.221336
54.500000	99.216026
55.200001	99.201744
56.000000	99.174362
57.000000	99.159164
58.000000	99.152290
59.000000	99.139969
60.000000	99.129257
60.799999	99.090111
61.500000	99.065170
62.200001	99.062897
63.000000	99.043808
64.000000	98.996590
65.000000	98.977760
66.000000	98.941109
67.000000	98.892776
68.000000	98.884285
69.000000	98.850121
70.000000	98.799171
71.000000	98.804588
72.000000	98.773323
73.000000	98.728836
74.000000	98.712166
75.000000	98.680725
76.199997	98.646225
77.500000	98.607773
78.800003	98.563370
80.000000	98.529144
81.199997	98.484238
82.500000	98.447800
83.800003	98.393005
85.000000	98.358154
86.199997	98.325958
87.500000	98.269333
88.500000	98.243576
90.000000	98.180687
91.199997	98.162277
92.500000	98.100639
93.800003	98.075310
95.000000	98.028320
96.199997	97.988083
97.500000	97.943474
98.800003	97.898659
100.000000	97.861900
101.500000	97.810196
103.000000	97.764969
104.400002	97.713341
106.000000	97.657066
107.500000	97.608917
109.000000	97.559906
110.599998	97.511772
112.000000	97.454803
113.800003	97.391159
115.000000	97.350739
117.199997	97.281113
118.000000	97.257294
120.599998	97.126083
122.000000	97.125259
124.099998	97.054848
125.000000	97.027435
126.500000	96.978378
128.000000	96.930923
131.500000	96.805901
132.000000	96.793625
134.000000	96.722061
136.000000	96.655960
138.000000	96.598808
140.000000	96.529503
143.000000	96.429886
145.000000	96.374512
147.500000	96.299149
150.000000	96.215050
152.500000	96.137360
155.000000	96.067307
157.500000	96.000717
160.000000	95.907951
162.500000	95.837814
165.000000	95.776306
167.500000	95.685677
170.000000	95.609062
172.500000	95.514175
175.000000	95.438080
177.500000	95.368927
180.000000	95.293144
182.500000	95.227882
185.000000	95.153687
187.500000	95.078758
190.000000	95.003426
192.500000	94.935890
195.000000	94.883232
197.500000	94.825737
200.000000	94.783981
203.000000	94.753708
206.000000	94.723045
209.000000	94.718742
212.000000	94.705070
214.000000	94.689201
218.000000	94.634621
220.000000	94.614876
224.000000	94.541130
227.000000	94.489151
230.000000	94.435181
233.000000	94.365601
236.000000	94.301544
240.000000	94.210243
243.000000	94.153831
247.000000	94.077568
250.000000	94.004402
254.000000	93.939827
258.000000	93.857079
262.000000	93.774620
265.000000	93.723305
269.000000	93.650917
272.000000	93.597931
276.000000	93.528984
280.000000	93.454979
285.000000	93.371834
290.000000	93.289688
295.000000	93.210297
300.000000	93.124825
304.000000	93.068085
307.000000	93.023872
311.000000	92.957230
315.000000	92.905548
320.000000	92.830620
325.000000	92.763718
330.000000	92.696609
335.000000	92.624588
340.000000	92.560760
345.000000	92.494408
350.000000	92.437538
355.000000	92.369049
360.000000	92.316376
365.000000	92.250626
370.000000	92.194977
375.000000	92.137192
382.000000	92.067368
387.000000	92.004112
395.000000	91.922310
400.000000	91.871239
406.000000	91.816597
412.000000	91.756882
418.000000	91.696541
425.000000	91.643021
431.000000	91.579254
437.000000	91.532280
444.000000	91.476624
450.000000	91.429359
455.000000	91.390953
462.000000	91.326515
468.000000	91.287666
475.000000	91.237221
482.000000	91.187996
487.000000	91.153038
494.000000	91.102455
500.000000	91.068993
508.000000	91.009430
515.000000	90.967369
522.000000	90.928207
530.000000	90.895607
538.000000	90.856293
545.000000	90.807121
552.000000	90.767761
560.000000	90.734390
570.000000	90.687660
580.000000	90.654739
590.000000	90.609818
600.000000	90.587723
608.000000	90.564117
615.000000	90.549179
622.000000	90.548332
630.000000	90.527962
640.000000	90.504936
650.000000	90.503593
660.000000	90.497650
670.000000	90.487900
680.000000	90.468971
690.000000	90.461960
700.000000	90.439468
710.000000	90.443108
720.000000	90.428566
730.000000	90.431213
740.000000	90.425652
750.000000	90.432236
762.000000	90.444824
775.000000	90.453033
788.000000	90.471016
800.000000	90.486038
812.000000	90.507080
825.000000	90.545753
838.000000	90.578743
850.000000	90.625351
862.000000	90.684235
875.000000	90.735374
885.000000	90.788818
900.000000	90.860703
912.000000	90.932159
925.000000	91.020142
938.000000	91.103371
950.000000	91.198257
962.000000	91.299545
975.000000	91.410744
988.000000	91.531219
1000.000000	91.636528
1015.000000	91.792038
1030.000000	91.948547
