* frequency_hz	amplitude
20.000000	104.362
20.299999	104.351
20.600000	104.339
20.900000	104.326
21.200001	104.311
21.400000	104.302
21.799999	104.283
22.000000	104.274
22.400000	104.255
22.700001	104.240
23.000000	104.223
23.299999	104.204
23.600000	104.185
24.000000	104.160
24.299999	104.141
24.700001	104.118
25.000000	104.100
25.400000	104.077
25.799999	104.053
26.200001	104.030
26.500000	104.012
26.900000	103.988
27.200001	103.967
27.600000	103.938
28.000000	103.907
28.500000	103.872
29.000000	103.843
29.500000	103.815
30.000000	103.779
30.400000	103.745
30.700001	103.718
31.100000	103.682
31.500000	103.649
32.000000	103.609
32.500000	103.570
33.000000	103.529
33.500000	103.487
34.000000	103.447
34.500000	103.408
35.000000	103.368
35.500000	103.328
36.000000	103.286
36.500000	103.244
37.000000	103.202
37.500000	103.160
38.200001	103.102
38.700001	103.059
39.500000	102.990
40.000000	102.948
40.599998	102.896
41.200001	102.842
41.799999	102.789
42.500000	102.729
43.099998	102.674
43.700001	102.616
44.400002	102.554
45.000000	102.506
45.500000	102.467
46.200001	102.405
46.799999	102.350
47.500000	102.290
48.200001	102.233
48.700001	102.189
49.400002	102.125
50.000000	102.071
50.799999	102.003
51.500000	101.941
52.200001	101.877
53.000000	101.809
53.799999	101.742
54.500000	101.681
55.200001	101.623
56.000000	101.554
57.000000	101.465
58.000000	101.383
59.000000	101.300
60.000000	101.214
60.799999	101.145
61.500000	101.082
62.200001	101.022
63.000000	100.959
64.000000	100.876
65.000000	100.789
66.000000	100.711
67.000000	100.630
68.000000	100.548
69.000000	100.468
70.000000	100.387
71.000000	100.307
72.000000	100.231
73.000000	100.149
74.000000	100.068
75.000000	99.992
76.199997	99.899
77.500000	99.799
78.800003	99.701
80.000000	99.610
81.199997	99.520
82.500000	99.424
83.800003	99.327
85.000000	99.240
86.199997	99.153
87.500000	99.062
88.500000	98.993
90.000000	98.888
91.199997	98.806
92.500000	98.717
93.800003	98.627
95.000000	98.548
96.199997	98.469
97.500000	98.385
98.800003	98.300
100.000000	98.223
101.500000	98.127
103.000000	98.032
104.400002	97.944
106.000000	97.847
107.500000	97.756
109.000000	97.667
110.599998	97.572
112.000000	97.489
113.800003	97.382
115.000000	97.315
117.199997	97.197
118.000000	97.144
120.599998	97.027
122.000000	96.926
124.099998	96.809
125.000000	96.766
126.500000	96.684
128.000000	96.613
131.500000	96.455
132.000000	96.432
134.000000	96.338
136.000000	96.243
138.000000	96.150
140.000000	96.055
143.000000	95.911
145.000000	95.820
147.500000	95.712
150.000000	95.608
152.500000	95.523
155.000000	95.461
157.500000	95.409
160.000000	95.360
162.500000	95.293
165.000000	95.212
167.500000	95.125
170.000000	95.035
172.500000	94.946
175.000000	94.861
177.500000	94.780
180.000000	94.712
182.500000	94.644
185.000000	94.589
187.500000	94.538
190.000000	94.476
192.500000	94.405
195.000000	94.333
197.500000	94.260
200.000000	94.193
203.000000	94.109
206.000000	94.027
209.000000	93.950
212.000000	93.877
214.000000	93.828
218.000000	93.737
220.000000	93.687
224.000000	93.600
227.000000	93.538
230.000000	93.473
233.000000	93.406
236.000000	93.350
240.000000	93.290
243.000000	93.214
247.000000	93.138
250.000000	93.085
254.000000	93.016
258.000000	92.960
262.000000	92.907
265.000000	92.871
269.000000	92.815
272.000000	92.776
276.000000	92.718
280.000000	92.666
285.000000	92.599
290.000000	92.534
295.000000	92.471
300.000000	92.399
304.000000	92.369
307.000000	92.334
311.000000	92.287
315.000000	92.248
320.000000	92.191
325.000000	92.148
330.000000	92.098
335.000000	92.053
340.000000	92.009
345.000000	91.979
350.000000	91.949
355.000000	91.923
360.000000	91.883
365.000000	91.875
370.000000	91.845
375.000000	91.815
382.000000	91.770
387.000000	91.740
395.000000	91.694
400.000000	91.668
406.000000	91.635
412.000000	91.604
418.000000	91.574
425.000000	91.540
431.000000	91.516
437.000000	91.496
444.000000	91.467
450.000000	91.443
455.000000	91.427
462.000000	91.404
468.000000	91.383
475.000000	91.362
482.000000	91.342
487.000000	91.331
494.000000	91.311
500.000000	91.298
508.000000	91.282
515.000000	91.264
522.000000	91.251
530.000000	91.241
538.000000	91.224
545.000000	91.211
552.000000	91.203
560.000000	91.191
570.000000	91.183
580.000000	91.180
590.000000	91.171
600.000000	91.181
608.000000	91.167
615.000000	91.166
622.000000	91.165
630.000000	91.167
640.000000	91.167
650.000000	91.170
660.000000	91.190
670.000000	91.178
680.000000	91.182
690.000000	91.186
700.000000	91.191
710.000000	91.202
720.000000	91.199
730.000000	91.221
740.000000	91.234
750.000000	91.249
762.000000	91.269
775.000000	91.290
788.000000	91.319
800.000000	91.347
812.000000	91.378
825.000000	91.413
838.000000	91.458
850.000000	91.496
862.000000	91.542
875.000000	91.596
885.000000	91.639
900.000000	91.726
912.000000	91.771
925.000000	91.844
938.000000	91.915
950.000000	91.988
962.000000	92.065
975.000000	92.155
988.000000	92.242
1000.000000	92.334
1015.000000	92.444
1030.000000	92.563
1044.000000	92.682
1060.000000	92.812
1075.000000	92.934
1090.000000	93.063
1106.000000	93.199
1120.000000	93.320
1138.000000	93.470
