* frequency_hz	amplitude
20.000000	99.698364
20.299999	99.699203
20.600000	99.699181
20.900000	99.701088
21.200001	99.707191
21.400000	99.714005
21.799999	99.731567
22.000000	99.740150
22.400000	99.751656
22.700001	99.751831
23.000000	99.745071
23.299999	99.734535
23.600000	99.724869
24.000000	99.719437
24.299999	99.720703
24.700001	99.722710
25.000000	99.718658
25.400000	99.703178
25.799999	99.683426
26.200001	99.671455
26.500000	99.670258
26.900000	99.669853
27.200001	99.661095
27.600000	99.626366
28.000000	99.570145
28.500000	99.504364
29.000000	99.485886
29.500000	99.510010
30.000000	99.528267
30.400000	99.517868
30.700001	99.499573
31.100000	99.476837
31.500000	99.470078
32.000000	99.478951
32.500000	99.476654
33.000000	99.440872
33.500000	99.383621
34.000000	99.335304
34.500000	99.311859
35.000000	99.303474
35.500000	99.288620
36.000000	99.252281
36.500000	99.197029
37.000000	99.142212
37.500000	99.106613
38.200001	99.080704
38.700001	99.053505
39.500000	98.989975
40.000000	98.962982
40.599998	98.941681
41.200001	98.900589
41.799999	98.837921
42.500000	98.781754
43.099998	98.757599
43.700001	98.727821
44.400002	98.671425
45.000000	98.620720
45.500000	98.586143
46.200001	98.545555
46.799999	98.504608
47.500000	98.446312
48.200001	98.406090
48.700001	98.396217
49.400002	98.373672
50.000000	98.326797
50.799999	98.262825
51.500000	98.217834
52.200001	98.159187
53.000000	98.115616
53.799999	98.100830
54.500000	98.037682
55.200001	97.950684
56.000000	97.906921
57.000000	97.870369
58.000000	97.800781
59.000000	97.737137
60.000000	97.666870
60.799999	97.617493
61.500000	97.570671
62.200001	97.519737
63.000000	97.467369
64.000000	97.407715
65.000000	97.347198
66.000000	97.291069
67.000000	97.252914
68.000000	97.232132
69.000000	97.173943
70.000000	97.127090
71.000000	97.102333
72.000000	97.022224
73.000000	96.973221
74.000000	96.931786
75.000000	96.857407
76.199997	96.796127
77.500000	96.730560
78.800003	96.641907
80.000000	96.595741
81.199997	96.515053
82.500000	96.457184
83.800003	96.393707
85.000000	96.329720
86.199997	96.254120
87.500000	96.198517
88.500000	96.163589
90.000000	96.073685
91.199997	96.017876
92.500000	95.960136
93.800003	95.908653
95.000000	95.856682
96.199997	95.802048
97.500000	95.746704
98.800003	95.687462
100.000000	95.643982
101.500000	95.589439
103.000000	95.538757
104.400002	95.485886
106.000000	95.429443
107.500000	95.367157
109.000000	95.318977
110.599998	95.257462
112.000000	95.205666
113.800003	95.134331
115.000000	95.097137
117.199997	95.024498
118.000000	94.998306
120.599998	94.912094
122.000000	94.859177
124.099998	94.790504
125.000000	94.762749
126.500000	94.713921
128.000000	94.672562
131.500000	94.569427
132.000000	94.555786
134.000000	94.486954
136.000000	94.436424
138.000000	94.376945
140.000000	94.321808
143.000000	94.236076
145.000000	94.180679
147.500000	94.113281
150.000000	94.046356
152.500000	93.983795
155.000000	93.931229
157.500000	93.893456
160.000000	93.869141
162.500000	93.846115
165.000000	93.817917
167.500000	93.783348
170.000000	93.747536
172.500000	93.702698
175.000000	93.658607
177.500000	93.612045
180.000000	93.568909
182.500000	93.524101
185.000000	93.478149
187.500000	93.436951
190.000000	93.395012
192.500000	93.353714
195.000000	93.318405
197.500000	93.281555
200.000000	93.245819
203.000000	93.204651
206.000000	93.161804
209.000000	93.119881
212.000000	93.081009
214.000000	93.054306
218.000000	93.004234
220.000000	92.974640
224.000000	92.928986
227.000000	92.894913
230.000000	92.859070
233.000000	92.829941
236.000000	92.797493
240.000000	92.744965
243.000000	92.721840
247.000000	92.684715
250.000000	92.659348
254.000000	92.617439
258.000000	92.584198
262.000000	92.547256
265.000000	92.521591
269.000000	92.485153
272.000000	92.464767
276.000000	92.431572
280.000000	92.400604
285.000000	92.360954
290.000000	92.325226
295.000000	92.289093
300.000000	92.258171
304.000000	92.231476
307.000000	92.212059
311.000000	92.188515
315.000000	92.166931
320.000000	92.137650
325.000000	92.108932
330.000000	92.077057
335.000000	92.050209
340.000000	92.024643
345.000000	91.996895
350.000000	91.974434
355.000000	91.945152
360.000000	91.924133
365.000000	91.903427
370.000000	91.880348
375.000000	91.858849
382.000000	91.826080
387.000000	91.809517
395.000000	91.782928
400.000000	91.761589
406.000000	91.740005
412.000000	91.717346
418.000000	91.697220
425.000000	91.677452
431.000000	91.654358
437.000000	91.632713
444.000000	91.614204
450.000000	91.595261
455.000000	91.581284
462.000000	91.560242
468.000000	91.543228
475.000000	91.526031
482.000000	91.506760
487.000000	91.494858
494.000000	91.479233
500.000000	91.463341
508.000000	91.445648
515.000000	91.431587
522.000000	91.418518
530.000000	91.401176
538.000000	91.383965
545.000000	91.374535
552.000000	91.359612
560.000000	91.345337
570.000000	91.331871
580.000000	91.315796
590.000000	91.301819
600.000000	91.289597
608.000000	91.282089
615.000000	91.271027
622.000000	91.265854
630.000000	91.259140
640.000000	91.248482
650.000000	91.241364
660.000000	91.235435
670.000000	91.230988
680.000000	91.229027
690.000000	91.225220
700.000000	91.222748
710.000000	91.224907
720.000000	91.225586
730.000000	91.227119
740.000000	91.227036
750.000000	91.232704
762.000000	91.242691
775.000000	91.252792
788.000000	91.269180
800.000000	91.283188
812.000000	91.299873
825.000000	91.323456
