* frequency_hz	amplitude
20.299999	99.793022
20.600000	99.820862
20.900000	99.843811
21.200001	99.865623
21.400000	99.879692
21.799999	99.905975
22.000000	99.918030
22.400000	99.940552
22.700001	99.957260
23.000000	99.974693
23.299999	99.992889
23.600000	100.010941
24.000000	100.032097
24.299999	100.044296
24.700001	100.055710
25.000000	100.062607
25.400000	100.073227
25.799999	100.088272
26.200001	100.107018
26.500000	100.121368
26.900000	100.138237
27.200001	100.148750
27.600000	100.161240
28.000000	100.173264
28.500000	100.184875
29.000000	100.184952
29.500000	100.174416
30.000000	100.173973
30.400000	100.196114
30.700001	100.226044
31.100000	100.271423
31.500000	100.300476
32.000000	100.288658
32.500000	100.232109
33.000000	100.180267
33.500000	100.175964
34.000000	100.215248
34.500000	100.259789
35.000000	100.279518
35.500000	100.275856
36.000000	100.267220
36.500000	100.263687
37.000000	100.261940
37.500000	100.258293
38.200001	100.256660
38.700001	100.261017
39.500000	100.264313
40.000000	100.259933
40.599998	100.255859
41.200001	100.257507
41.799999	100.257431
42.500000	100.247353
43.099998	100.238899
43.700001	100.238441
44.400002	100.237549
45.000000	100.228363
45.500000	100.220970
46.200001	100.219452
46.799999	100.215454
47.500000	100.192604
48.200001	100.169304
48.700001	100.164383
49.400002	100.161652
50.000000	100.150558
50.799999	100.134712
51.500000	100.127769
52.200001	100.116974
53.000000	100.105118
53.799999	100.101242
54.500000	100.091476
55.200001	100.076202
56.000000	100.067245
57.000000	100.062134
58.000000	100.029778
59.000000	99.986046
60.000000	99.983452
60.799999	99.985695
61.500000	99.975426
62.200001	99.963585
63.000000	99.945648
64.000000	99.915298
65.000000	99.901604
66.000000	99.882835
67.000000	99.854424
68.000000	99.831474
69.000000	99.807098
70.000000	99.785629
71.000000	99.760437
72.000000	99.741066
73.000000	99.724648
74.000000	99.692551
75.000000	99.667366
76.199997	99.649277
77.500000	99.614105
78.800003	99.583214
80.000000	99.557869
81.199997	99.529922
82.500000	99.494003
83.800003	99.458748
85.000000	99.430542
86.199997	99.403152
87.500000	99.374504
88.500000	99.338020
90.000000	99.296082
91.199997	99.267036
92.500000	99.238068
93.800003	99.196159
95.000000	99.169128
96.199997	99.133659
97.500000	99.106140
98.800003	99.060997
100.000000	99.039101
101.500000	98.992760
103.000000	98.947510
104.400002	98.914459
106.000000	98.865875
107.500000	98.824600
109.000000	98.779144
110.599998	98.735245
112.000000	98.691826
113.800003	98.650429
115.000000	98.610703
117.199997	98.558731
118.000000	98.537781
120.599998	98.460678
122.000000	98.425636
124.099998	98.374893
125.000000	98.349594
126.500000	98.308151
128.000000	98.272095
131.500000	98.180878
132.000000	98.168655
134.000000	98.122917
136.000000	98.071129
138.000000	98.027313
140.000000	97.976738
143.000000	97.906456
145.000000	97.867790
147.500000	97.798042
150.000000	97.742538
152.500000	97.687164
155.000000	97.626137
157.500000	97.558731
160.000000	97.510933
162.500000	97.445007
165.000000	97.383591
167.500000	97.335236
170.000000	97.271027
172.500000	97.224823
175.000000	97.162888
177.500000	97.111656
180.000000	97.053932
182.500000	97.002899
185.000000	96.947685
187.500000	96.891808
190.000000	96.831741
192.500000	96.780220
195.000000	96.723190
197.500000	96.675827
200.000000	96.619514
203.000000	96.557266
206.000000	96.494377
209.000000	96.434441
212.000000	96.372086
214.000000	96.332420
218.000000	96.252365
220.000000	96.216034
224.000000	96.138168
227.000000	96.084602
230.000000	96.029984
233.000000	95.969910
236.000000	95.909546
240.000000	95.837608
243.000000	95.783600
247.000000	95.711510
250.000000	95.660324
254.000000	95.603912
258.000000	95.541229
262.000000	95.472893
265.000000	95.419342
269.000000	95.357956
272.000000	95.313507
276.000000	95.255127
280.000000	95.196770
285.000000	95.128838
290.000000	95.065430
295.000000	94.989166
300.000000	94.919556
304.000000	94.871300
307.000000	94.829544
311.000000	94.776169
315.000000	94.726440
320.000000	94.664886
325.000000	94.601997
330.000000	94.541283
335.000000	94.483246
340.000000	94.421951
345.000000	94.366882
350.000000	94.309235
355.000000	94.260231
360.000000	94.202942
365.000000	94.149986
370.000000	94.103935
375.000000	94.053619
382.000000	93.991623
387.000000	93.946846
395.000000	93.874710
400.000000	93.830269
406.000000	93.773911
412.000000	93.726944
418.000000	93.680168
425.000000	93.622955
431.000000	93.576874
437.000000	93.529945
444.000000	93.479752
450.000000	93.440460
455.000000	93.400177
462.000000	93.356819
468.000000	93.316902
475.000000	93.271660
482.000000	93.229866
487.000000	93.199646
494.000000	93.160133
500.000000	93.125229
508.000000	93.081085
515.000000	93.044495
522.000000	93.007324
530.000000	92.969345
538.000000	92.931000
545.000000	92.899284
552.000000	92.869492
560.000000	92.837341
570.000000	92.796829
580.000000	92.760017
590.000000	92.721756
600.000000	92.688431
608.000000	92.661896
615.000000	92.640640
622.000000	92.618629
630.000000	92.601547
640.000000	92.571030
650.000000	92.548409
660.000000	92.526581
670.000000	92.508911
680.000000	92.489876
690.000000	92.477043
700.000000	92.461090
710.000000	92.451347
720.000000	92.442848
730.000000	92.434486
740.000000	92.430695
750.000000	92.431427
762.000000	92.430206
775.000000	92.431465
788.000000	92.441254
800.000000	92.446396
812.000000	92.462021
825.000000	92.482132
838.000000	92.503838
850.000000	92.529945
862.000000	92.559990
875.000000	92.596817
885.000000	92.629189
900.000000	92.679901
912.000000	92.729706
925.000000	92.784714
938.000000	92.851959
950.000000	92.912010
962.000000	92.978806
975.000000	93.051552
988.000000	93.138092
1000.000000	93.217827
