* frequency_hz	amplitude
20.299999	101.835983
20.600000	101.848541
20.900000	101.842186
21.200001	101.826653
21.400000	101.815773
21.799999	101.802193
22.000000	101.801514
22.400000	101.809708
22.700001	101.817368
23.000000	101.819984
23.299999	101.814651
23.600000	101.802498
24.000000	101.783752
24.299999	101.774292
24.700001	101.772232
25.000000	101.776260
25.400000	101.782135
25.799999	101.781937
26.200001	101.774994
26.500000	101.767952
26.900000	101.759483
27.200001	101.754349
27.600000	101.747215
28.000000	101.737579
28.500000	101.722313
29.000000	101.708084
29.500000	101.696655
30.000000	101.683319
30.400000	101.668106
30.700001	101.654312
31.100000	101.635162
31.500000	101.618118
32.000000	101.601166
32.500000	101.585739
33.000000	101.567223
33.500000	101.544731
34.000000	101.521057
34.500000	101.499191
35.000000	101.479797
35.500000	101.461441
36.000000	101.441673
36.500000	101.418716
37.000000	101.393021
37.500000	101.367111
38.200001	101.335190
38.700001	101.315338
39.500000	101.282028
40.000000	101.258041
40.599998	101.227531
41.200001	101.197617
41.799999	101.168747
42.500000	101.134781
43.099998	101.105499
43.700001	101.077751
44.400002	101.044991
45.000000	101.010925
45.500000	100.978394
46.200001	100.935463
46.799999	100.905502
47.500000	100.870178
48.200001	100.829353
48.700001	100.801971
49.400002	100.768547
50.000000	100.737274
50.799999	100.690094
51.500000	100.652939
52.200001	100.617950
53.000000	100.574379
53.799999	100.528961
54.500000	100.486710
55.200001	100.446609
56.000000	100.406906
57.000000	100.349266
58.000000	100.303207
59.000000	100.257263
60.000000	100.180908
60.799999	100.130829
61.500000	100.094475
62.200001	100.055893
63.000000	100.010269
64.000000	99.952309
65.000000	99.898232
66.000000	99.837334
67.000000	99.776566
68.000000	99.725868
69.000000	99.666992
70.000000	99.607094
71.000000	99.551376
72.000000	99.491257
73.000000	99.428230
74.000000	99.369041
75.000000	99.313507
76.199997	99.251907
77.500000	99.171860
78.800003	99.097404
80.000000	99.032516
81.199997	98.967834
82.500000	98.892235
83.800003	98.812271
85.000000	98.744003
86.199997	98.680115
87.500000	98.597893
88.500000	98.541489
90.000000	98.455734
91.199997	98.387276
92.500000	98.302475
93.800003	98.231514
95.000000	98.174377
96.199997	98.105019
97.500000	98.029663
